"#property","latitude","longitude","name","address","installationPosition","telephoneNumber","availableDate","startTime","endTime","availableDateNote","equipmentForChildren"
"1","34.34092056","134.0452297","健康増進施設サラマンダー","高松市番町一丁目10-16 財団法人 三宅医学研究所 セントラルパーククリニック","セントラルクリニック　２階  セントラルクリニック　４階",,,,,,
"2","34.35215833","134.0481344","ＪＲホテルクレメント高松","高松市浜ノ町1-1","１階ロビー",,,,,,
"3","34.25197","133.9301869","イオン綾川ショッピングセンター","綾歌郡綾川町萱原822-1","1・2・3階各モール側・ジャスコサービスセンター・ジャスコ防災センター",,,,,,
"4","34.350725","134.0447294","コナミスポーツクラブ高松","高松市浜ノ町8-52","マシンジム入口",,,,,,
"5","34.33277167","134.0466464","株式会社穴吹工務店","高松市藤塚町一丁目11-22","１階　エントランス",,,,,,
"6","34.34187056","134.0507847","高松ワシントンホテルプラザ","高松市瓦町一丁目2-3","２階　フロントカウンター",,,,,,
"7","34.33888667","134.0525983","ことでん瓦町駅","高松市常磐町一丁目3-1","瓦町駅改札口",,,,,,
"8","34.33581306","134.0463936","東横イン高松中新町","高松市中央町11-5","１階　ロビー",,,,,,
"9","34.35196583","134.0042439","イオン高松ショッピングセンター","高松市香西本町1-1","ジャスコ棟１階サービスカウンター・  モール棟１階インフォメーション・  １階防災センター",,,,,,
"10","34.31664056","134.0418044","ゆめタウン高松","高松市三条町608-1","１階　中央サービスカウンター横",,,,,,
"11","34.35075","134.0468208","ＪＲ高松駅","高松市浜ノ町1-20","駅内コンコース",,,,,,
"12","34.33915384637989","134.04593408102096","社団法人高松市医師会","高松市天神前4-14","会長室",,,,,,
"13","34.31189393548706","134.05392846871183","大和ハウス工業株式会社香川支店","高松市伏石町2089-1","１階　玄関",,,,,,
"14","34.29968111","133.9561897","社団法人香川県看護協会","高松市国分寺町国分152-4","看護研修センター　２階の事務室入口",,,,,,
"15","34.30534444","134.0557492","在宅ケアステーションみちしるべ","高松市太田下町3026-3","１階デイルーム　救急カート内",,,,,,
"16","34.34658782535925","134.04822588764029","東横イン高松兵庫町","高松市兵庫町3-1","ホテル１階ロビー",,,,,,
"17","34.344454","134.050378","高松丸亀町商店街振興組合　参番街東館","高松市丸亀町13-3","参番街東館1階",,,,,,
"18","34.34547077654665","134.0487000294317","リーガホテルゼスト高松","高松市古新町9-1","１階　フロント",,,,,,
"19","34.336061532609534","134.1034865262297","株式会社　ユーミック","高松市新田町甲91-1","玄関",,,,,,
"20","34.33354","134.15733","高松市道の駅源平の里むれ","高松市牟礼町原631-7　","物産棟（自販機内）","087-845-6080","月水木金土日","9:00","17:00","第１・第３火曜日除く、12/31は9:00～15:00",
"21","34.34306880023033","134.05001436750234","高松丸亀町商店街振興組合　岩佐佛喜堂","高松市丸亀町10-3","丸亀町10?3　岩佐佛喜堂内",,,,,,
"22","34.30703333","134.0726922","ザ・ココナツウエルネスクラブ高松","高松市林町2018-1","１階　ラウンジ",,,,,,
"23","34.33692667","134.0472794","大和リース株式会社高松支店","高松市中新町11-1","アクア中新町ビル８階事務所内",,,,,,
"24","34.31444028","134.0402975","フィットネスクラブレフコゆめタウン高松店","高松市上天神町266","１階フロント前",,,,,,
"25","34.33725333","133.9967283","大東産業株式会社","高松市香西南町102-4","２階　事務所",,,,,,
"26","34.26957430085608","134.12750015522522","ジャパンスイミングスクール三木校","木田郡三木町田中109-1","館内２階レストルーム",,,,,,
"27","34.35457139","134.0247894","ジャパンスイミングスクール高松校","高松市新北町28-12","館内２階",,,,,,
"28","34.31286889","134.0738975","瀬戸内スイミングスクール木太校","高松市木太町546","コーチ室",,,,,,
"29","34.33887472","134.0962392","瀬戸内スイミングスクール屋島校","高松市屋島西町2020","コーチ室",,,,,,
"30","34.26323194","134.0312611","瀬戸内スイミングスクール香川校","高松市香川町大野170-5","コーチ室",,,,,,
"31","34.34673360224325","134.0851340740125","旧高松テルサ","高松市屋島西町2366-3　","ロビー","087-844-3511","月火水木金土日","9:00","22:00","12/29～1/3及び臨時休業日を除く",
"33","34.33523917","134.0947614","屋島自動車学校","高松市春日町1304-3","校舎　２階ロビー",,,,,,
"34","34.27183389","134.1095775","フジグラン十川","高松市十川東町55-1","食料品館ＡＴＭコーナー横",,,,,,
"35","34.34730028","134.0415381","日通商事株式会社高松支店","高松市錦町二丁目6-3","正面玄関入口",,,,,,
"36","34.332738096967546","134.0995001177909","（株）タダノ","高松市新田町甲34","工場内１１棟南・南館２階",,,,,,
"37","34.29244889","134.0667317","株式会社　サニクリーン四国高松支店","高松市上林町500-3","受付カウンター",,,,,,
"38","34.3031175","134.0841969","四国警備保障株式会社","高松市六条町1197-1","正面入口カウンター上・右側",,,,,,
"39","34.33979639","134.0673694","ロイヤルケア高松アネックス","高松市福岡町四丁目28-17","１階ロビー",,,,,,
"40","34.33985194","134.0680942","ロイヤルケア高松","高松市福岡町四丁目28-27","１階ロビー",,,,,,
