"#property","areaCode","areaNumber","confidential","confidentialInformation","totalArea","cityCode","cityName","townName","beforeShowa46","showa4657","showa57Heisei","heisei211","heisei1221","heisei22","unknown","total","verificationOfAccounts","subtraction"
"1","372010010","2",,,,"37201","高松市","塩屋町","53","27","20","9","4","3","0","116","116","0"
"2","372010020","2",,,,"37201","高松市","築地町","102","62","32","34","25","14","0","269","269","0"
"3","37201003000","3",,,,"37201","高松市","塩上町","25","10","6","4","3","4","0","52","52","0"
"4","37201003001","3",,,,"37201","高松市","塩上町１丁目","61","26","11","14","16","3","0","131","131","0"
"5","37201003002","3",,,,"37201","高松市","塩上町２丁目","145","59","36","39","21","7","0","307","307","0"
"6","37201003003","3",,,,"37201","高松市","塩上町３丁目","92","69","30","26","27","13","0","257","257","0"
"7","372010040","2",,,,"37201","高松市","八坂町","33","7","4","6","3","6","0","59","59","0"
"8","372010050","2",,,,"37201","高松市","福田町","65","20","18","23","8","1","0","135","135","0"
"9","37201006001","3",,,,"37201","高松市","常磐町１丁目","38","28","14","5","3","1","0","89","89","0"
"10","37201006002","3",,,,"37201","高松市","常磐町２丁目","66","34","12","19","10","3","0","144","144","0"
"11","37201007001","3",,,,"37201","高松市","瓦町１丁目","68","35","21","12","7","3","0","146","146","0"
"12","37201007002","3",,,,"37201","高松市","瓦町２丁目","85","48","24","31","4","3","0","195","195","0"
"13","372010080","2",,,,"37201","高松市","古馬場町","70","76","26","14","7","3","0","196","196","0"
"14","372010090","2",,,,"37201","高松市","御坊町","37","28","15","8","4","3","0","95","95","0"
"15","372010100","2",,,,"37201","高松市","今新町","63","23","10","7","2","2","0","107","107","0"
"16","372010110","2",,,,"37201","高松市","大工町","60","21","12","20","6","0","0","119","119","0"
"17","372010120","2",,,,"37201","高松市","百間町","51","25","10","9","4","2","0","101","101","0"
"18","372010130","2",,,,"37201","高松市","片原町","50","30","4","10","7","2","0","103","103","0"
"19","372010140","2",,,,"37201","高松市","鶴屋町","37","23","7","12","9","3","0","91","91","0"
"20","372010150","2",,,,"37201","高松市","本町","102","47","22","25","9","9","0","214","214","0"
"21","372010160","2",,,,"37201","高松市","北浜町","66","33","22","26","10","8","0","165","165","0"
"22","37201017001","3",,,,"37201","高松市","朝日町１丁目","9","9","6","5","4","5","0","38","38","0"
"23","37201017002","3",,,,"37201","高松市","朝日町２丁目","61","41","8","19","10","13","0","152","152","0"
"24","37201017003","3",,,,"37201","高松市","朝日町３丁目","21","10","12","12","2","6","0","63","63","0"
