"#property","latitude","longitude","name","address","telephoneNumber","Establisher","fiscalYearStartDay","startTimeWeekDays","startTimeSaturday","startTimeSundays","capacity","targetAge","serviceContents","Equipment"
"1","34.342924","134.016856","さくらの杜保育園","761-8031 高松市郷東町116-1","087-897-3917","平成レッグス株式会社　代表取締役社長　住谷　幸伸","H29.1.6","7：30～18：30（18：30～19：00）","7：30～18：30（18：30～19：00）","7：30～18：30（18：30～19：00）","12","3ヶ月～2歳児","月極め、一時預かり","構造：木造1階建て（専用建物）、保育室：52.99㎡、屋外：なし"
"2","34.322897","134.065382","松縄なちゅれ保育園","760-0079 高松市松縄町34-4","087-802-6110","ビューティーアンドケア株式会社　代表取締役　山田　将成","H29.3.25","7：30～18：30（18：30～19：00）","7：30～12：30（12：30～13：00）","休","12","0～2歳児","月極め、一時預かり","構造：鉄骨造2階建ての１階（事務所用建物）、保育室：45.58㎡、屋外：なし"
"3","34.292236","134.029098","わくわく保育所","761-8084 高松市一宮町880-1","087-814-3558","社会福祉法人　喜勝会　理事長　小出　克元","H29.4.1","7：30～18：30（7：00～7：30,18：30～19：00）","7：30～18：30（7：00～7：30,18：30～19：00）","祝：7：30～18：30（7：00～7：30,18：30～19：00）
日：休","15","0～2歳児","月極め、一時預かり","構造：鉄骨造1階建て（専用建物）、保育室：55.071㎡、屋外：37.21㎡"
"4","34.338126","134.045553","ニチイキッズ　高松天神前保育園","760-0018 高松市天神前11-27　カサール三石庵ビル1F","087-812-2012","株式会社　ニチイ学館　代表取締役　森　信介","H29.4.1","7：30～18：30","7：30～18：30","休","18","0～2歳児","月極め、一時預かり","構造：鉄筋コンクリート造9階建ての1階（集合住宅）、保育室：61.49㎡、屋外：なし"
"6","34.323192","134.064851","保育園アルペジオ　高松松縄町園","760-0079 高松市松縄町28-20","087-802-8020","株式会社　アルペジオ　代表取締役　井村　義幸","H29.7.18","7：30～18：30（18：30～19：30）","7：30～18：30","休","40","6ヶ月～5歳児","月極め、一時預かり","構造：鉄骨造1階建て（専用建物）、保育室：137.65㎡、屋外：92㎡"
"7","34.334951","134.059976","あどみっく花園保育園","760-0072 高松市花園町一丁目14-3","087-802-6030","株式会社　アドミック　代表取締役社長　海田　晃弘","H29.5.30","7：30～18：30","7：30～18：30","休","12","3ヶ月～2歳児","月極め","構造：鉄筋コンクリート造3階建ての1階（店舗）、保育室：58.07㎡、屋外：なし"
"8","0","0","あなかれほいくえん高松","760-0022 高松市西内町12-8","087-822-4188","学校法人穴吹学園　理事長　穴吹　忠嗣","H29.7.12","8：00～19：00（7：30～8：00,19：00～19：30）","8：00～19：00","休","19","6ヶ月～2歳児","月極め、一時預かり","構造：鉄筋コンクリート造5階建ての1階（業務用建物）、保育室：57.03㎡、屋外：なし"
"9","34.336542","134.038079","保育園アルペジオ　高松宮脇町園","760-0005 高松市宮脇町1-35-19","087-802-6560","株式会社　アルペジオ　代表取締役　井村　義幸","H29.10.1","7：30～18：30（18：30～19：30）","7：30～18：30","休","31","6ヶ月～5歳児","月極め、一時預かり","構造：鉄骨造1階建て（専用建物）、保育室：90.46㎡、屋外：92㎡"
"10","34.351051","134.088912","スマはぴ保育園","761-0113 高松市屋島西町2484番地11","087-843-8188","スマイル・ステーション株式会社　代表取締役　石井　千恵美","H29.12.1","8：00～19：00（19：00～19：30）","休","休","11","3ヶ月～2歳児","月極め、一時預かり","構造：鉄骨造2階建ての１階（事務所用建物）、保育室：36.43㎡、屋外：12.54㎡"
"11","34.339028","134.048449","都市型保育園　ポポラー高松瓦町園","760-0050 高松市亀井町10-10 ソレイユ第一ビル2F","087-832-5050","株式会社　タスク・フォース　取締役社長　永井　美穂","H30.3.1","7：30～20：30","7：30～20：30","休","35","2ヶ月～5歳児","月極め、一時預かり","構造：鉄筋コンクリート造4階建ての2階（業務用建物）、保育室：89㎡、屋外：なし"
