"#property","latitude","longitude","name","address","telephoneNumber","referenceObject","note","service","availableDate","startTime","endTime","availableDateNote","capacity"
"1","34.34775861","134.03693833","老人いこいの家白梅荘","高松市扇町一丁目2-31",,,,,"月火水木金土日","09:00","18:00","時間外利用可能",
"2","34.33678278","134.04053944","老人いこいの家亀阜荘","高松市亀岡町7-7",,,,,"月火水木金土日","09:00","18:00","時間外利用可能",
"3","34.32848333","134.05657333","老人いこいの家楠上荘","高松市楠上町二丁目5-11",,,,,"月火水木金土日","09:00","18:00","時間外利用可能",
"4","34.34524444","134.04068056","老人いこいの家二番丁荘","高松市番町二丁目13-1",,,,,"月火水木金土日","09:00","18:00","時間外利用可能",
"5","34.33663667","134.05711083","老人いこいの家花畑荘","高松市多賀町一丁目1-25",,,,,"月火水木金土日","09:00","18:00","時間外利用可能",
"6","34.34635194","134.03124444","老人いこいの家西二番丁荘","高松市扇町三丁目6-15",,,,,"月火水木金","09:00","18:00",,
"7","34.35181611","134.02563667","老人いこいの家新北荘","高松市新北町6-15",,,,,"月火水木金土日","09:00","18:00","時間外利用可能",
"8","34.33248028","134.04976944","老人いこいの家栗林藤塚荘","高松市藤塚町二丁目12-23",,,,,"月火水木金土日","09:00","18:00","時間外利用可能",
"9","34.34630528","134.12677778","老人いこいの家牟礼いこいの家","高松市牟礼町牟礼1978-1",,,,,"月火水木金土日","09:00","18:00","時間外利用可能",
"10","34.33712806","134.13068722","老人いこいの家牟礼いこいの広場","高松市牟礼町牟礼568",,,,,,,,,
