"#property","latitude","longitude","name","address","telephoneNumber","referenceObject","note","service","availableDate","startTime","endTime","availableDateNote","capacity"
"1","34.35423472","133.99511139","特別養護老人ホーム　シオンの丘ホーム","高松市香西北町260","087-881-4531","http://www.bokuyoukai.or.jp/qhm/sion/",,"介護老人福祉施設（特別養護老人ホーム）","月火水木金土日",,,"24時間対応","70"
"2","34.30691194","134.10875","特別養護老人ホーム　弘恩苑","高松市前田西町683-7","087-847-9555","http://www.kouzenkai.jp/shisetsu/kouon/f_kouonen.html",,"介護老人福祉施設（特別養護老人ホーム）","月火水木金土日",,,"24時間対応","80"
"3","34.3374875","134.02980333","特別養護老人ホーム　さぬき","高松市宮脇町二丁目37-21","087-831-4451","http://www.sanuki-sha.or.jp/sanuki/moving/special.html",,"介護老人福祉施設（特別養護老人ホーム）","月火水木金土日",,,"24時間対応","87"
"4","34.26577528","133.99492806","特別養護老人ホーム　岡本荘","高松市岡本町527-1","087-885-2828","http://www.koutouen.com/okamotosou/index.html",,"介護老人福祉施設（特別養護老人ホーム）","月火水木金土日",,,"24時間対応","90"
"5","34.26001167","134.09969417","特別養護老人ホーム　すみれ荘","高松市十川西町1234-1","087-848-0800","https://www.sumire-fukushi.jp/sumire/",,"介護老人福祉施設（特別養護老人ホーム）","月火水木金土日",,,"24時間対応","90"
"6","34.26501","134.04741528","特別養護老人ホーム　竜雲舜虹苑","高松市仏生山町甲3100-2","087-888-5800","http://www.ryuungakuen.or.jp/facility/shunkoen",,"介護老人福祉施設（特別養護老人ホーム）","月火水木金土日",,,"24時間対応","50"
"7","34.317271","134.027954","特別養護老人ホーム　サマリヤ","高松市松並町573-1","087-815-1165","http://www.samariya.or.jp/",,"介護老人福祉施設（特別養護老人ホーム）","月火水木金土日",,,"24時間対応","80"
"8","34.29417083","134.06622639","特別養護老人ホーム　さくら荘","高松市林町76-14","087-868-0700","https://www.sumire-fukushi.jp/sakura/",,"介護老人福祉施設（特別養護老人ホーム）","月火水木金土日",,,"24時間対応","50"
"9","34.33086944","134.06070083","特別養護老人ホーム　はなぞの園","高松市上福岡町2004-1","087-837-0006","http://www.hanazono.or.jp/index9.html",,"介護老人福祉施設（特別養護老人ホーム）","月火水木金土日",,,"24時間対応","50"
"10","34.31818861","133.98588278","特別養護老人ホーム　大寿苑","高松市鬼無町鬼無882-2","087-881-6565","http://www.daijyuan.com/",,"介護老人福祉施設（特別養護老人ホーム）","月火水木金土日",,,"24時間対応","80"
"11","34.33258722","134.11999278","特別養護老人ホーム　香色苑","高松市高松町1350-22","087-844-9090","http://www.kouzenkai.jp/shisetsu/koushiki/f_koushokuen.html",,"介護老人福祉施設（特別養護老人ホーム）","月火水木金土日",,,"24時間対応","50"
"12","34.33712611","134.01625444","特別養護老人ホーム　エデンの丘","高松市鶴市町1770-4","087-812-3455","http://www.bokuyoukai.or.jp/qhm/eden/",,"介護老人福祉施設（特別養護老人ホーム）","月火水木金土日",,,"24時間対応","60"
"13","34.30438028","134.03901194","特別養護老人ホーム　おりいぶ荘","高松市太田下町2020-1","087-815-1800","https://www.sumire-fukushi.jp/olive/",,"介護老人福祉施設（特別養護老人ホーム）","月火水木金土日",,,"24時間対応","50"
"14","34.35932833","134.11163139","特別養護老人ホーム　逅里苑","高松市屋島東町408-1","087-844-8500","http://www.syurikai.com/relation/kourien.php",,"介護老人福祉施設（特別養護老人ホーム）","月火水木金土日",,,"24時間対応","60"
"15","34.23166694","134.07069472","特別養護老人ホーム　高松さんさん荘","高松市西植田町4212-1","087-849-1333","http://www.sansan-kai.com/takamatsu/index.html",,"介護老人福祉施設（特別養護老人ホーム）","月火水木金土日",,,"24時間対応","50"
"16","34.29176472","134.02951583","特別養護老人ホーム　一宮の里","高松市一宮町875","087-886-8168","http://www.kishokai.com/ichinomiya/",,"介護老人福祉施設（特別養護老人ホーム）","月火水木金土日",,,"24時間対応","50"
"17","34.32778944","134.07524139","特別養護老人ホーム　法寿苑","高松市木太町3308","087-832-5500","http://www.kouzenkai.jp/houjyuen/index.html",,"介護老人福祉施設（特別養護老人ホーム）","月火水木金土日",,,"24時間対応","50"
"18","34.29453722","134.058205","特別養護老人ホーム　なでしこ香川","高松市多肥上町1423-1","087-815-2000","http://www.saiseikai.or.jp/facilities/f03/3715-0004/",,"介護老人福祉施設（特別養護老人ホーム）","月火水木金土日",,,"24時間対応","50"
"19","34.35023639","134.05607556","特別養護老人ホーム　玉藻荘","高松市北浜町7-10","087-811-4450","http://www.sanuki-sha.or.jp/tamamo/",,"介護老人福祉施設（特別養護老人ホーム）","月火水木金土日",,,"24時間対応","80"
"20","34.34651417","134.02789194","特別養護老人ホーム　あかね","高松市西町4-1","087-834-1165","http://www.sw-akane.jp/",,"介護老人福祉施設（特別養護老人ホーム）","月火水木金土日",,,"24時間対応","50"
"21","34.340374","134.122399","特別養護老人ホーム　守里苑","高松市牟礼町牟礼2321-14","087-845-4417","http://www.syurikai.com/relation/syurien.php",,"介護老人福祉施設（特別養護老人ホーム）","月火水木金土日",,,"24時間対応","60"
"22","34.37950417","134.14379417","特別養護老人ホーム　あじの里","高松市庵治町4151-7","087-870-3500","http://www.yoyokai.or.jp/",,"介護老人福祉施設（特別養護老人ホーム）","月火水木金土日",,,"24時間対応","60"
"23","34.25278889","134.03711917","特別養護老人ホーム　あん樹苑　※","高松市香川町浅野1414","087-879-3344","https://www.sumire-fukushi.jp/anju","※名称の「あん」は木偏に「安」と表示する","介護老人福祉施設（特別養護老人ホーム）","月火水木金土日",,,"24時間対応","80"
"24","34.23175","134.0504075","特別養護老人ホーム　さんさん荘","高松市香川町川内原1003-1","087-879-0123","http://www.sansan-kai.com/sansanso/index.html",,"介護老人福祉施設（特別養護老人ホーム）","月火水木金土日",,,"24時間対応","60"
"25","34.24484472","134.01187444","特別養護老人ホーム　扇寿","高松市香南町横井492-1","087-815-8231","http://care-net.biz/37/senjyu/",,"介護老人福祉施設（特別養護老人ホーム）","月火水木金土日",,,"24時間対応","30"
"26","34.29854","133.959976","特別養護老人ホーム　アイムの杜","高松市国分寺町新居1339-3","087-864-9031","http://www.hiiragikai.com/shisetsu/",,"介護老人福祉施設（特別養護老人ホーム）","月火水木金土日",,,"24時間対応","50"
"27","34.3374875","134.02983111","養護老人ホーム　さぬき","高松市宮脇町二丁目37-21","087-831-4451","http://www.sanuki-sha.or.jp/sanuki/moving/normal.html",,"養護老人ホーム","月火水木金土日",,,"24時間対応","100"
"28","34.25278889","134.03714694","養護老人ホーム　あぜりあ園","高松市香川町浅野1414","087-879-3346","https://www.sumire-fukushi.jp/anju/guide/azeria.html",,"養護老人ホーム","月火水木金土日",,,"24時間対応","100"
"29","34.29417083","134.06625417","ケアハウス　花みずき","高松市林町76-14","087-868-0800","https://www.sumire-fukushi.jp/sakura/guide/care_house.html",,"軽費老人ホーム","月火水木金土日",,,"24時間対応","50"
