"№","対象","開催日","開始時間","終了時間","行事名","場所名称","緯度","経度","説明","料金","定員","申込期間","URL","問い合わせ先（市の担当課）","TEL",,,,,,,,,,,,
"1","高校生・一般","9月7日(土)～
11月4日(月・祝) ","9:00","17:00（最終入館16:30まで）","コレクション展","サンクリスタル高松３階
研究閲覧室、常設展示室","34.344356374684175","134.03322734074726","「文藝春秋　漫画読本」","研究閲覧室 無料
常設展示室 一般300円
大学生200円
65歳以上/高校生以下無料","なし","なし","https://www.city.takamatsu.kagawa.jp/kurashi/kosodate/bunka/kikuchikan/index.html","菊池寛記念館","087-861-4502",,,,,,,,,,,,
"2","両方","9月7日（土）～
10月14日（月・祝）","9:00","17:00（最終入館16:30まで）","菊池寛記念館第３３回文学展","サンクリスタル高松４階
企画展示室","34.344356374684175","134.03322734074726","サザエさんと菊池寛のうちあけ話
サザエさんの生みの親、長谷川町子の世界が高松にやってくる！","一般500円
大学生/65歳以上300円","なし","なし","https://www.city.takamatsu.kagawa.jp/kurashi/kosodate/bunka/kikuchikan/index.html","菊池寛記念館","087-861-4502",,,,,,,,,,,,
"3","高校生・一般","9月10日(火)～
11月4日(月・祝)","9:00","17:00（最終入館16:30まで）","ミニコレクション展","サンクリスタル高松３階
研究閲覧室","34.344356374684175","134.03322734074726","「源氏物語と作家たち」","無料","なし","なし","https://www.city.takamatsu.kagawa.jp/kurashi/kosodate/bunka/kikuchikan/index.html","菊池寛記念館","087-861-4502",,,,,,,,,,,,
"4","両方","9月11日（水）","10:30","12:30","かみはの「緑を学び楽しむ教室」③　～庭木の冬期剪定について～","高松市市民活動センター会議室","34.33864982","134.05237050","庭木（主に松）の剪定や管理について学び、整った樹木の庭を楽しみましょう。","500円
（資料代等）","申込先着30人","8月5日午前10時～定員に達するまで","https://www.flat-takamatsu.net/bcs/info6906.html","高松市市民活動センター","087-812-7534",,,,,,,,,,,,
"5","高校生・一般","9月11日(aaa)","13:30","15:10","まなび映画CAN(11)
「スカイ・キャプテン」","生涯学習センター","34.34541065906359","134.05404503449154","毎月2回！無料の映画上映会です♪
驚愕の革新映像で描くアクションアドベンチャー大作!突如、摩天楼の群を謎の巨大ロボット軍団が襲う。世界を滅亡から救うためスカイキャプテンの戦いが始まる！","無料","当日先着
220人","観覧希望者は、当日直接会場へ","https://www.city.takamatsu.kagawa.jp/kurashi/kosodate/shougai_gakushu/manabican/taikeizu/r6-jigyoutaikei/riyosokushin/eigacan/syogaku202408020911.html","生涯学習センター","087-811-6222",,,,,,,,,,,,
"6","高校生・一般","（6月13日、6月27日、7月11日、7月25日、8月22日、）9月12日、9月26日、10月10日、10月24日、11月14日、11月28日、12月12日、1月9日、1月23日、2月13日、2月27日
いずれも（木）","18:00","20:00","高松市夜間教室","生涯学習センター","34.34541065906359","134.05404503449154","義務教育を修了しないまま学齢期を経過した人や、不登校など様々な事情により十分な教育を受けられないまま中学校を卒業した人などを対象に、生涯学習の一環として、小学校及び中学校の義務教育課程の学習内容に関する学び直しの機会を提供するために、教育委員会が開設している教室です。","無料","15名程度","定員に達するまで、申込受付期間を延長しています。","https://www.city.takamatsu.kagawa.jp/kurashi/kosodate/shougai_gakushu/syakyo08291051.html","生涯学習センターまなびCAN","087-811-6222",,,,,,,,,,,,
"7","子ども・親子","9月14日（土）
～9月18日（水）","10:00
（一部コーナーを除く）","21:00
（一部コーナーを除く）","げすいどうフェスタ","瓦町FLAG8階
IKŌDE瓦町","34.33890424 ","134.05261739 ","下水道の役割や高松市が行う下水道事業のパネル展示や、下水道に関する実験、高松市のマンホールデザインを使った体験などを行います。
なお、今年度は、新デザインマンホール蓋お披露目会及び姉妹・親善都市マンホールカードセットの限定配布します。
　■新デザインマンホール蓋お披露目会　9月14日（土）11時～
　■姉妹・親善都市マンホールカードセット（3種類）限定配布　9月15日（日）・16日（月）10:00～17:00（※事前申込・先着制）","無料","—","姉妹・親善都市マンホールカードセット限定配布　→　9／4（水）～9／10（火）ロゴフォームからの事前申込・先着制（計100名）","https://www.city.takamatsu.kagawa.jp/kurashi/kurashi/jogesuido/oshirase/gesuifesta_r6.html","下水道経営課","087-839-2765",,,,,,,,,,,,
"8","両方","9月14日（土）","10:30","12:00","高松おじゃみの会のおじゃみで遊ぼう♪","高松市市民活動センター会議室","34.33864982","134.05237050","～お手玉で、手からこころへぬくもりを～","無料","申込先着20人","8月5日午前10時～定員に達するまで","https://www.flat-takamatsu.net/bcs/info6907.html","高松市市民活動センター","087-812-7534",,,,,,,,,,,,
"9","両方","9月19日(aaa)","13:30","15:00","参画交流サロン
「ペットボトルでかわいい磁石をつくろう！」","男女共同参画センター
学習研修室2","34.34001310","134.05954630","ペットボトルのキャップを使って、冷蔵庫などに貼り付けられる可愛い磁石を作りましょう。","300円","10人程度","定員に達するまで","https://www.sankaku087.net/","男女共同参画センター
（人権・男女共同参画推進課）","087-833-2282
（087-839-2292）",,,,,,,,,,,,
"10","両方","9月20日(aaa)","10:30","12:00","人生100年時代の生き方講座
「遺言書の基礎知識と相続について
～すべての方に起きる相続問題。だから今、お勉強～」","男女共同参画センター
学習研修室3","34.34001310","134.05954630","講師：久保田　英俊さん（金融広報アドバイザー）
※託児あり（生後6か月から就学前）","無料","20人程度","定員に達するまで
※託児については
1週間前まで","https://www.sankaku087.net/","男女共同参画センター
（人権・男女共同参画推進課）","087-833-2282
（087-839-2292）",,,,,,,,,,,,
"11","高校生・一般","9月21日（土）","14:00","16:00","つながりを広げて深める「地域連携のコツ」","高松市市民活動センター会議室","34.33864982","134.05237050","自分の活動を広げていきたい時に、地域との連携は不可欠です。実際の事例に 行政の視点も交えながら、地域とつながるコツを学びます。","無料","申込先着30人","8月25日午前10時～定員に達するまで","https://www.flat-takamatsu.net/bcs/info6964.html","高松市市民活動センター","087-812-7534",,,,,,,,,,,,
"12","両方","9月21日（土）","10:00","15:00","パラスポーツを体験しよう！","せとうちサスティナブルヨットハーバー
（高松市ヨット競技場）","34.3520017095678","134.041333438227","障がいのある人への理解を深めてもらうため、年齢・性別・障がいの有無にとらわれないパラスポーツ等を体験してもらい、誰でも体力や身体能力に関係なくスポーツを楽しんでもらうことを目的としたイベントです。
ヨット（ハンザ）、カローリング、ボッチャ、ラダーゲッターが体験できます。","無料","ハンザ体験
40組80名
（自由参加体験あり）","～9月19日（木）まで","—","公益財団法人高松市スポーツ協会
（高松市スポーツ振興課）","087-823-2311",,,,,,,,,,,,
"13","高校生・一般","9月21日(aaa)","13:30","15:00","讃岐村塾歴史講座
「瀬戸内海国立公園と小西和」","サンリスタル高松３階
視聴覚ホール","34.3439921150164","134.034387395467","瀬戸内海は1934（昭和9）年3月16日、日本初の国立公園として雲仙、霧島と共に指定され、今年で90周年を迎えました。その功労者の一人に小西和(こにしかなう)がいます。
小西は、瀬戸内海の魅力を総合的な書物『瀬戸内海論』として発表し、瀬戸内海を国立公園として保護する必要がある事を提唱しました。
今回は、小西が瀬戸内海を国立公園にするためにどのような活動を行ったのか、その一端を紹介します。","無料","先着220名","申込不要","https://www.city.takamatsu.kagawa.jp/smph/kurashi/kosodate/bunka/rekishi/sonjyuku_kouen_.html","高松市歴史資料館","087-861-4520",,,,,,,,,,,,
"14","両方","9月22日(aaa)","10:00","12:00","市民企画講座
「香川の発酵食・醤油について知ろう」","男女共同参画センター
学習研修室1・2・3","34.34001310","134.05954630","講師：黒島　慶子さん（醤油ソムリエール）
岡田　佳織さん（かめびし醤油社長）
松田　恒代さん（フードアレルギージャパン代表）
企画：フードアレルギージャパン
※託児あり（生後6か月から就学前）","1,000円","80人","定員に達するまで
※託児については
1週間前まで","https://www.sankaku087.net/","男女共同参画センター
（人権・男女共同参画推進課）","087-833-2282
（087-839-2292）",,,,,,,,,,,,
"15","両方","9月22日（日）","14:00","—","プロスポーツを応援！
（カマタマーレ讃岐）
対戦相手：松本山雅ＦＣ","Pikaraスタジアム
（香川県立丸亀競技場）","34.26198278333297","133.7860142668099","地域密着型トップスポーツチームの公式戦ホームゲームです。","席種により異なります","無し","—","カマタマーレ讃岐オフィシャルサイト

https://www.kamatamare.jp/","カマタマーレ讃岐
(高松市スポーツ振興課)","087-887-3280
(087-839-2626)",,,,,,,,,,,,
