"#property","latitude","longitude","name","address","telephoneNumber","referenceObject","note"
"1","34.296244","134.113886","高松市立前田幼稚園","高松市前田東町788-1","087-847-6582","http://www.city.takamatsu.kagawa.jp/kurashi/kosodate/youchien_hoiku/kodomoen/chiiki_suishin/gaiyou.html","市立幼稚園"
"2","34.306811","134.094141","高松市立川添幼稚園","高松市東山崎町601","087-847-6934","http://www.city.takamatsu.kagawa.jp/kurashi/kosodate/youchien_hoiku/kodomoen/chiiki_suishin/gaiyou.html","市立幼稚園"
"4","34.275992","134.070302","高松市立三渓幼稚園","高松市三谷町2316-2","087-889-2514","http://www.city.takamatsu.kagawa.jp/kurashi/kosodate/youchien_hoiku/kodomoen/chiiki_suishin/gaiyou.html","市立幼稚園"
"5","34.345893","133.996786","高松市立香西幼稚園","高松市香西西町59-1","087-882-0161","http://www.city.takamatsu.kagawa.jp/kurashi/kosodate/youchien_hoiku/kodomoen/chiiki_suishin/gaiyou.html","市立幼稚園"
"6","34.291795","134.024177","高松市立一宮幼稚園","高松市一宮町1233-2","087-886-3088","http://www.city.takamatsu.kagawa.jp/kurashi/kosodate/youchien_hoiku/kodomoen/chiiki_suishin/gaiyou.html","市立幼稚園"
"7","34.292403","134.051671","高松市立多肥幼稚園","高松市多肥上町990-2","087-889-2513","http://www.city.takamatsu.kagawa.jp/kurashi/kosodate/youchien_hoiku/kodomoen/chiiki_suishin/gaiyou.html","市立幼稚園"
"8","34.268131","134.008164","高松市立川岡幼稚園","高松市川部町524-3","087-885-0550","http://www.city.takamatsu.kagawa.jp/kurashi/kosodate/youchien_hoiku/kodomoen/chiiki_suishin/gaiyou.html","市立幼稚園"
"9","34.285767","134.003182","高松市立円座幼稚園","高松市円座町125-2","087-885-0846","http://www.city.takamatsu.kagawa.jp/kurashi/kosodate/youchien_hoiku/kodomoen/chiiki_suishin/gaiyou.html","市立幼稚園"
"10","34.300941","133.995119","高松市立檀紙幼稚園","高松市御厩町776-1","087-885-2595","http://www.city.takamatsu.kagawa.jp/kurashi/kosodate/youchien_hoiku/kodomoen/chiiki_suishin/gaiyou.html","市立幼稚園"
"11","34.32771","134.005074","高松市立弦打幼稚園","高松市鶴市町360","087-881-3563","http://www.city.takamatsu.kagawa.jp/kurashi/kosodate/youchien_hoiku/kodomoen/chiiki_suishin/gaiyou.html","市立幼稚園"
"12","34.328058","133.992816","高松市立鬼無幼稚園","高松市鬼無町佐藤128-1","087-881-4913","http://www.city.takamatsu.kagawa.jp/kurashi/kosodate/youchien_hoiku/kodomoen/chiiki_suishin/gaiyou.html","市立幼稚園"
"13","34.322396","134.076556","高松市立木太幼稚園","高松市木太町3901-1","087-833-8144","http://www.city.takamatsu.kagawa.jp/kurashi/kosodate/youchien_hoiku/kodomoen/chiiki_suishin/gaiyou.html","市立幼稚園"
"17","34.336237","134.07927","高松市立木太北部幼稚園","高松市木太町2604-5","087-862-1031","http://www.city.takamatsu.kagawa.jp/kurashi/kosodate/youchien_hoiku/kodomoen/chiiki_suishin/gaiyou.html","市立幼稚園"
