"#property","lunchDay","menuName","foodName","quantity"
"1","9/2","梅ちりめんごはん（麦入り）","精白米（自校）","62"
"2","9/2","梅ちりめんごはん（麦入り）","精白米（自校）","68"
"3","9/2","梅ちりめんごはん（麦入り）","米粒麦　自校","6"
"4","9/2","梅ちりめんごはん（麦入り）","米粒麦　自校","7"
"5","9/2","梅ちりめんごはん（麦入り）","鉄強化米","0.5"
"6","9/2","梅ちりめんごはん（麦入り）","梅ちりめんの素　２８０ｇ","3"
"7","9/2","牛乳","牛乳","206"
"8","9/2","がんもどきとひじきのうま煮","鶏肉　胸・皮なし（２×２㎝）","12"
"9","9/2","がんもどきとひじきのうま煮","鶏肉　もも・皮なし（２×２㎝）","8"
"10","9/2","がんもどきとひじきのうま煮","（冷）ミニひろうす　青大豆入り","20"
"11","9/2","がんもどきとひじきのうま煮","（乾）ひじき","3"
"12","9/2","がんもどきとひじきのうま煮","つきこんにゃく","25"
"13","9/2","がんもどきとひじきのうま煮","洗いごぼう","15"
"14","9/2","がんもどきとひじきのうま煮","人参","10"
"15","9/2","がんもどきとひじきのうま煮","（冷）さやいんげん　５００ｇ","8"
"16","9/2","がんもどきとひじきのうま煮","サラダ油","1"
"17","9/2","がんもどきとひじきのうま煮","しょうゆ","4"
"18","9/2","がんもどきとひじきのうま煮","三温糖","3"
"19","9/2","がんもどきとひじきのうま煮","清酒","1"
"20","9/2","がんもどきとひじきのうま煮","みりん","0.5"
"21","9/2","がんもどきとひじきのうま煮","湯","20"
"22","9/2","　ごまあえ","キャベツ","30"
"23","9/2","　ごまあえ","小松菜","20"
"24","9/2","　ごまあえ","きゅうり","10"
"25","9/2","　ごまあえ","炒り白ごま","1"
"26","9/2","　ごまあえ","（個）ゆずかつおドレッシング","10"
"27","9/3","ごはん","精白米（委託・白）","70"
"28","9/3","ごはん","精白米（委託・白）","80"
"29","9/3","牛乳","牛乳","206"
"30","9/3","さばのみそ煮","（冷）さばのみそ煮","小　50"
"31","9/3","さばのみそ煮","（冷）さばのみそ煮","中　70"
"32","9/3","チンゲンサイともやしのあえもの","チンゲンサイ","20"
"33","9/3","チンゲンサイともやしのあえもの","きゅうり","20"
"34","9/3","チンゲンサイともやしのあえもの","もやし","15"
"35","9/3","チンゲンサイともやしのあえもの","人参","5"
"36","9/3","チンゲンサイともやしのあえもの","炒り白ごま","1"
"37","9/3","チンゲンサイともやしのあえもの","（個）青じそドレッシング","8"
"38","9/3","なす入りふしめん汁","型抜きかまぼこ（小菊）","6"
"39","9/3","なす入りふしめん汁","ふしめん　","6"
"40","9/3","なす入りふしめん汁","なす","20"
"41","9/3","なす入りふしめん汁","玉葱","25"
"42","9/3","なす入りふしめん汁","中ねぎ","5"
"43","9/3","なす入りふしめん汁","しょうゆ","0.6"
"44","9/3","なす入りふしめん汁","食塩","0.4"
"45","9/3","なす入りふしめん汁","削り節　だし用","4"
"46","9/3","なす入りふしめん汁","出し昆布","1"
"47","9/3","なす入りふしめん汁","水","120"
"48","9/3","くりのムース","（個）栗のムース","30"
"49","9/4","小型コッペパン","コッペパン","30"
"50","9/4","小型コッペパン","コッペパン","30"
"51","9/4","牛乳","牛乳","206"
"52","9/4","ボンゴレスパゲティ","スパゲティ（ハーフ）","35"
"53","9/4","ボンゴレスパゲティ","ゆで塩","1.5"
"54","9/4","ボンゴレスパゲティ","ベーコン（短冊）","5"
"55","9/4","ボンゴレスパゲティ","（冷）あさりむき身","15"
"56","9/4","ボンゴレスパゲティ","白ぶどう酒","2"
"57","9/4","ボンゴレスパゲティ","玉葱","40"
"58","9/4","ボンゴレスパゲティ","（袋）トマト水煮　１ｋｇ","25"
"59","9/4","ボンゴレスパゲティ","エリンギ","7"
"60","9/4","ボンゴレスパゲティ","ズッキーニ","7"
"61","9/4","ボンゴレスパゲティ","人参","7"
"62","9/4","ボンゴレスパゲティ","にんにく　","0.3"
"63","9/4","ボンゴレスパゲティ","サラダ油","2"
"64","9/4","ボンゴレスパゲティ","（袋）トマトケチャップ　１kg","5"
"65","9/4","ボンゴレスパゲティ","赤ぶどう酒","2"
"66","9/4","ボンゴレスパゲティ","ウスターソース","1"
"67","9/4","ボンゴレスパゲティ","上白糖","1"
"68","9/4","ボンゴレスパゲティ","食塩","0.4"
"69","9/4","ボンゴレスパゲティ","こしょう","0.05"
"70","9/4","ボンゴレスパゲティ","チキンコンソメ","0.3"
"71","9/4","ボンゴレスパゲティ","一味","0.01"
"72","9/4","ボンゴレスパゲティ","粉チーズ","3"
"73","9/4","イタリアンサラダ　","キャベツ","35"
"74","9/4","イタリアンサラダ　","きゅうり","15"
"75","9/4","イタリアンサラダ　","赤パプリカ","5"
"76","9/4","イタリアンサラダ　","（缶）ホールコーン","5"
"77","9/4","イタリアンサラダ　","（個）イタリアンドレッシング","8"
"78","9/4","ヨーグルト","（個）ヨーグルト　鉄分強化","70"
"79","9/5","ごはん","精白米（委託・白）","70"
"80","9/5","ごはん","精白米（委託・白）","80"
"81","9/5","ひじきのり（中のみ）","（個）ひじきのり","10"
"82","9/5","牛乳","牛乳","206"
"83","9/5","肉じゃが","豚肉並（２×２㎝スライス）","25"
"84","9/5","肉じゃが","じゃがいも","80"
"85","9/5","肉じゃが","玉葱","50"
"86","9/5","肉じゃが","つきこんにゃく","15"
"87","9/5","肉じゃが","人参","10"
"88","9/5","肉じゃが","（冷）さやいんげん　５００ｇ","5"
"89","9/5","肉じゃが","サラダ油","1"
"90","9/5","肉じゃが","しょうゆ","3.5"
"91","9/5","肉じゃが","中双糖","2.5"
"92","9/5","肉じゃが","清酒","1"
"93","9/5","肉じゃが","湯","5"
"94","9/5","アスパラガスのサラダ","キャベツ","30"
"95","9/5","アスパラガスのサラダ","アスパラガス","15"
"96","9/5","アスパラガスのサラダ","人参","7"
"97","9/5","アスパラガスのサラダ","（缶）ホールコーン","7"
"98","9/5","アスパラガスのサラダ","（個）青じそドレッシング","8"
"99","9/6","中華風たきこみごはん（麦入り）","精白米（自校）","55"
"100","9/6","中華風たきこみごはん（麦入り）","米粒麦　自校","5"
"101","9/6","中華風たきこみごはん（麦入り）","鉄強化米","0.5"
"102","9/6","中華風たきこみごはん（麦入り）","焼き豚（１㎝角切り）","20"
"103","9/6","中華風たきこみごはん（麦入り）","たけのこ水煮（ホール）","10"
"104","9/6","中華風たきこみごはん（麦入り）","人参","5"
"105","9/6","中華風たきこみごはん（麦入り）","中ねぎ","5"
"106","9/6","中華風たきこみごはん（麦入り）","（冷）むき枝豆　１㎏","5"
"107","9/6","中華風たきこみごはん（麦入り）","干ししいたけ（スライス）","0.5"
"108","9/6","中華風たきこみごはん（麦入り）","ごま油","1"
"109","9/6","中華風たきこみごはん（麦入り）","清酒","4"
"110","9/6","中華風たきこみごはん（麦入り）","しょうゆ","3.5"
"111","9/6","中華風たきこみごはん（麦入り）","上白糖","0.8"
"112","9/6","中華風たきこみごはん（麦入り）","食塩","0.4"
"113","9/6","牛乳","牛乳","206"
"114","9/6","野菜いため　","豚肉並（３×３㎝スライス）","20"
"115","9/6","野菜いため　","清酒","1"
"116","9/6","野菜いため　","玉葱","20"
"117","9/6","野菜いため　","キャベツ","20"
"118","9/6","野菜いため　","もやし","20"
"119","9/6","野菜いため　","チンゲンサイ","15"
"120","9/6","野菜いため　","人参","5"
"121","9/6","野菜いため　","ビーフン","3"
"122","9/6","野菜いため　","にんにく　","0.2"
"123","9/6","野菜いため　","生姜","0.2"
"124","9/6","野菜いため　","サラダ油","0.5"
"125","9/6","野菜いため　","ごま油","0.5"
"126","9/6","野菜いため　","しょうゆ","1.5"
"127","9/6","野菜いため　","チキンコンソメ","0.3"
"128","9/6","野菜いため　","食塩","0.4"
"129","9/6","野菜いため　","こしょう","0.03"
"130","9/6","野菜いため　","豆板醤","0.03"
"131","9/6","フルーツポンチ","（レト）パインアップル　１㎏","20"
"132","9/6","フルーツポンチ","（レト）みかん　国産・１㎏","20"
"133","9/6","フルーツポンチ","（レト）黄桃　１㎏","15"
"134","9/6","フルーツポンチ","（冷）カクテルゼリー","20"
"135","9/6","フルーツポンチ","（冷）白玉","20"
"136","9/9","夏にぴったり！ぶたにらスタミナどんぶり","精白米（委託・白）","70"
"137","9/9","夏にぴったり！ぶたにらスタミナどんぶり","精白米（委託・白）","80"
"138","9/9","夏にぴったり！ぶたにらスタミナどんぶり","豚肉並ミンチ","40"
"139","9/9","夏にぴったり！ぶたにらスタミナどんぶり","清酒","1"
"140","9/9","夏にぴったり！ぶたにらスタミナどんぶり","（レト）ひきわり大豆　１kg","15"
"141","9/9","夏にぴったり！ぶたにらスタミナどんぶり","玉葱","40"
"142","9/9","夏にぴったり！ぶたにらスタミナどんぶり","たけのこ水煮（ホール）","10"
"143","9/9","夏にぴったり！ぶたにらスタミナどんぶり","にら","5"
"144","9/9","夏にぴったり！ぶたにらスタミナどんぶり","エリンギ（１×３×０．３㎝）","5"
"145","9/9","夏にぴったり！ぶたにらスタミナどんぶり","にんにく　","0.5"
"146","9/9","夏にぴったり！ぶたにらスタミナどんぶり","生姜","0.3"
"147","9/9","夏にぴったり！ぶたにらスタミナどんぶり","ごま油","0.7"
"148","9/9","夏にぴったり！ぶたにらスタミナどんぶり","しょうゆ","2.1"
"149","9/9","夏にぴったり！ぶたにらスタミナどんぶり","オイスターソース","1.4"
"150","9/9","夏にぴったり！ぶたにらスタミナどんぶり","三温糖","1"
"151","9/9","夏にぴったり！ぶたにらスタミナどんぶり","チキンコンソメ","0.5"
"152","9/9","夏にぴったり！ぶたにらスタミナどんぶり","豆板醤","0.1"
"153","9/9","夏にぴったり！ぶたにらスタミナどんぶり","炒り白ごま","1"
"154","9/9","夏にぴったり！ぶたにらスタミナどんぶり","でんぷん","0.5"
"155","9/9","夏にぴったり！ぶたにらスタミナどんぶり","湯","7"
"156","9/9","夏にぴったり！ぶたにらスタミナどんぶり","（個）刻みのり　０．３ｇ","0.3"
"157","9/9","牛乳","牛乳","206"
"158","9/9","はるさめスープ","ボンレスハム（短冊）卵抜き","7"
"159","9/9","はるさめスープ","玉葱","20"
"160","9/9","はるさめスープ","人参","7"
"161","9/9","はるさめスープ","中ねぎ","5"
"162","9/9","はるさめスープ","春雨（８～１０㎝）","5"
"163","9/9","はるさめスープ","干ししいたけ（スライス）","1"
"164","9/9","はるさめスープ","サラダ油","0.5"
"165","9/9","はるさめスープ","（袋）がらスープ　１ｋｇ","4"
"166","9/9","はるさめスープ","しょうゆ","0.5"
"167","9/9","はるさめスープ","チキンコンソメ","0.3"
"168","9/9","はるさめスープ","食塩","0.5"
"169","9/9","はるさめスープ","こしょう","0.03"
"170","9/9","はるさめスープ","ごま油","0.1"
"171","9/9","はるさめスープ","湯","130"
"172","9/10","コッペパン　","コッペパン　","50"
