"業務種別","施設名称１","施設郵便番号","施設所在地１","施設所在地２","営業者申請者名","営業者役職名","営業者代表者名","営業者都道府県名称","営業者住所１","営業者住所２","開設確認番号","開設確認日","開設確認日"
"クリーニング所","ラクーンデリバリー　高松駅前店","769-2101","さぬき市志度１８０９−８","（営業範囲　高松市内一円）","荒井　麻太郎",,,,,,,"        ","        "
"クリーニング所","毎日屋クリーニング","760-0008","高松市中野町５−１２",,"多田　讓二",,,,,,"第51-55号","S35.02.26","S35.02.26"
"クリーニング所","竹中ドライクリーニング店","760-0040","高松市片原町５−２",,"竹中　美代子",,,,,,"第1-17号","S36.04.08","S36.04.08"
"クリーニング所","さかえドライ株式会社","761-8073","高松市太田下町２２４５番地",,"さかえドライ株式会社","代表取締役","長渡　邦弘","香川県","高松市太田下町２２４５番地",,"第51-13号","S38.11.05","S38.11.05"
"クリーニング所","関西クリーニング","761-8072","高松市三条町５０９番地",,"赤根　照三",,,,,,"第51-39号","S38.11.30","S38.11.30"
"クリーニング所","はとやクリーニング店","760-0068","高松市松島町二丁目５の５０",,"佐藤　修",,,,,,"第51-85号","S39.09.14","S39.09.14"
"クリーニング所","讃高ドライ","769-0101","高松市国分寺町新居２０１９−８",,"竹島　元美",,,,,,"第45-1号","S45.01.14","S45.01.14"
"クリーニング所","森ランドリー","761-8077","高松市出作町３３６番地",,"森　行春",,,,,,"第44-22号","S45.03.24","S45.03.24"
"クリーニング所","さかえドライ佐々木店","760-0076","高松市観光町５２５の１０",,"佐々木　富子",,,,,,"第45-24号","S45.08.26","S45.08.26"
"クリーニング所","さかえドライ第１営業所","761-8084","高松市一宮町５６６の１",,"武林　信江",,,,,,"第45-70号","S46.01.27","S46.01.27"
"クリーニング所","福岡ママクリーニング","760-0066","高松市福岡町三丁目２７の６",,"株式会社　入江化学ドライクリーニングセンター","代表取締役","入江　重機","香川県","坂出市青葉町８番３号",,"第45-85号","S46.04.20","S46.04.20"
"クリーニング所","ママドライ勅使","761-8058","高松市勅使町１０２８番地",,"山下　コマツ",,,,,,"第45-122号","S46.04.23","S46.04.23"
"クリーニング所","白洋舎　上福岡東店","760-0077","高松市上福岡町７１９番地",,"株式会社　白洋舎","代表取締役","鵜川　俊英","香川県","高松市郷東町１３５番地１",,"第45-111号","S46.12.16","S46.12.16"
"クリーニング所","ハイドライ森内有限会社","760-0020","高松市錦町一丁目１４−４",,"ハイドライ森内有限会社","代表取締役","森内　雅治","香川県","高松市錦町一丁目１番地",,"第46-52号","S47.03.17","S47.03.17"
"クリーニング所","太陽ドライ","761-8076","高松市多肥上町大字幸南２３６１番地",,"石田　花子",,,,,,"第47-90号","S47.10.21","S47.10.21"
"クリーニング所","白屋クリーニング一宮店","761-8084","高松市一宮町大字宮西４６８番地",,"横内　シゲ",,,,,,"第47-65号","S48.03.22","S48.03.22"
"クリーニング所","白洋舎　朝日町サービス店","760-0065","高松市朝日町三丁目５の３４",,"長川　桂子",,,,,,"第47-110号","S48.03.23","S48.03.23"
"クリーニング所","さかえドライやまだ店","760-0077","高松市上福岡町９４５−２４",,"山田　一枝",,,,,,"第47-106号","S48.03.29","S48.03.29"
"クリーニング所","さかえドライ　黒川店","761-0441","高松市由良町３４１の８",,"黒川　君孝",,,,,,"第48-11号","S48.07.06","S48.07.06"
"クリーニング所","エプロンセンター山花","761-0121","高松市牟礼町牟礼１４３０",,"山花　富美子",,,,,,"第48-24号","S48.11.08","S48.11.08"
"クリーニング所","さかえドライ　カサイショップ","760-0077","高松市上福岡町７７７の７",,"笠井　シズ",,,,,,"第48-40号","S49.04.03","S49.04.03"
"クリーニング所","星屋クリーニング店","761-0130","高松市庵治町１７９２番地",,"有限会社星屋クリーニング店","代表取締役","多田　輝久利","香川県","高松市庵治町１７９２番地",,"第49-17号","S49.11.26","S49.11.26"
"クリーニング所","ミニスター松福店","760-0067","高松市松福町二丁目１０−８",,"川上　フデ",,,,,,"第50-20号","S51.02.10","S51.02.10"
"クリーニング所","スワンクリーニング取次所","760-0038","高松市井口町６番地６",,"真鍋　愛子",,,,,,"第51-25号","S51.10.25","S51.10.25"
"クリーニング所","後藤衣料販賣店（さかえドライ）","761-8084","高松市一宮町６７４の１",,"後藤　美枝",,,,,,"第51-28号","S51.11.25","S51.11.25"
"クリーニング所","株式会社　　ダスキン玉藻","760-0017","高松市番町四丁目３番１５号",,"株式会社　ダスキン玉藻","代表取締役","鈴木　新平","香川県","坂出市文京町一丁目６番３号",,"第51-34号","S52.02.07","S52.02.07"
"クリーニング所","安部クリーニング店","761-8047","高松市岡本町１５５７番地２５",,"有限会社安部クリーニング店","取締役","安部　真二","香川県","高松市岡本町１５５７番地２５",,"第52-16号","S52.11.07","S52.11.07"
"クリーニング所","木太町横山サービス","760-0080","高松市木太町１１６４−１",,"横山　絹子",,,,,,"第52-24号","S53.02.27","S53.02.27"
"クリーニング所","ハニードライ","760-0080","高松市木太町１８７３番地１",,"株式会社ハニードライ","代表取締役","新宮領　達也","香川県","高松市木太町１８７３番地１",,"第54-33号","S55.02.14","S55.02.14"
"クリーニング所","ハニードライ伏石店","761-8071","高松市伏石町１４２４番地",,"宮武　房子",,,,,,"第54-42号","S55.03.17","S55.03.17"
"クリーニング所","株式会社　ニューダスキン屋島","761-0303","高松市六条町１２６２番地１",,"株式会社　ニューダスキン屋島","代表取締役","上田　一義","香川県","高松市六条町１２６２番地１",,"第55-3号","S55.04.18","S55.04.18"
"クリーニング所","コトデンクリーニング築港店","760-0023","高松市寿町一丁目５−２０",,"有限会社　ベアクリーニング","代表取締役","竹谷　昭二","香川県","高松市兵庫町７番地１３",,"第55-8号","S55.05.19","S55.05.19"
"クリーニング所","株式会社　入江化学ドライクリーニングセンター　国分寺営業所","769-0105","高松市国分寺町柏原２０","スーパー小林内","株式会社　入江化学ドライクリーニングセンター","代表取締役","入江　重機","香川県","坂出市青葉町８−３",,"第55-4号","S55.07.14","S55.07.14"
"クリーニング所","ダスキン讃岐","760-0058","高松市東田町７−３",,"伊藤　省二",,,,,,"第55-19号","S55.08.09","S55.08.09"
"クリーニング所","ダスキン愛の店古高松店","760-0080","高松市木太町２区１２０９番地",,"山本　和俊",,,,,,"第55-23号","S55.09.09","S55.09.09"
"クリーニング所","みつばチェーン　今里店","760-0078","高松市今里町３７２−８",,"渡辺　和見",,,,,,"第56-21号","S56.10.22","S56.10.22"
"クリーニング所","白洋舎　国北店","769-0101","高松市国分寺町新居１８８４−７",,"真鍋　さちよ",,,,,,"第56-13号","S56.11.19","S56.11.19"
"クリーニング所","白洋舎　東山崎　上原店","761-0312","高松市東山崎町３４７−１",,"上原　恵美子",,,,,,"第56-42号","S57.02.17","S57.02.17"
"クリーニング所","白洋舎　　西宝町サービス","760-0004","高松市西宝町一丁目１６−２９",,"佐々木　明美",,,,,,"第56-45号","S57.02.18","S57.02.18"
"クリーニング所","白洋舎　松並サービス店","761-8052","高松市松並町７９５−１",,"岡　貞雄",,,,,,"第57-52号","S57.02.18","S57.02.18"
"クリーニング所","有限会社　　洗光舎","760-0068","高松市松島町一丁目２番２８号",,"有限会社　洗光舎","代表取締役","寒川　紀世子","香川県","高松市松島町一丁目２番２８号",,"第56-60号","S57.04.07","S57.04.07"
"クリーニング所","白洋舎　　塩上南サービス店","760-0062","高松市塩上町三丁目１９−１３",,"樋口　和子",,,,,,"第57-13号","S57.05.17","S57.05.17"
"クリーニング所","さかえドライ馬渕サービス店","761-8073","高松市太田下町１４８２−１",,"馬渕　清子",,,,,,"第57-17号","S57.06.11","S57.06.11"
"クリーニング所","白洋舎　坂口サービス店","761-0121","高松市牟礼町牟礼３１４−１",,"坂口　祐子",,,,,,"第57-26号","S57.07.03","S57.07.03"
"クリーニング所","東宝サンシャイン　　塩上店　　みつこ","760-0062","高松市塩上町３番地５−９",,"野綱　光子",,,,,,"第57-54号","S57.11.08","S57.11.08"
"クリーニング所","白洋舎　観光通店","760-0055","高松市観光通一丁目２−１",,"八木　一彦",,,,,,"第57-53号","S57.11.08","S57.11.08"
"クリーニング所","白洋舎中原サービス店","761-8081","高松市成合町８３０−４４",,"中原　弘子",,,,,,"第57-65号","S57.12.13","S57.12.13"
"クリーニング所","有限会社都屋クリーニング","760-0072","高松市花園町一丁目８番１号",,"有限会社都屋クリーニング","取締役","中村　憲正","香川県","高松市花園町一丁目８番１号",,"第57-73号","S57.12.21","S57.12.21"
"クリーニング所","みつばチェーン　大杉ドライクリーニング株式会社　国分寺２号店","769-0101","高松市国分寺町新居５８４",,"白井　留里子",,,,,,"第58-1号","S58.01.28","S58.01.28"
"クリーニング所","白洋舎北部サービス店","760-0001","高松市新北町１３−１６",,"平尾　信子",,,,,,"第57-103号","S58.03.08","S58.03.08"
"クリーニング所","ハニードライ　新居サービス","769-0101","高松市国分寺町新居１０７２−１",,"三山　和子",,,,,,"第58-6号","S58.04.01","S58.04.01"
"クリーニング所","琴屋ドライクリーニング森本店","760-0075","高松市楠上町一丁目２−２０",,"森本　朝子",,,,,,"第58-16号","S58.07.01","S58.07.01"
"クリーニング所","琴屋ドライクリーニング楠上岩佐店","760-0075","高松市楠上町一丁目１−１３",,"岩佐　嘉代子",,,,,,"第58-17号","S58.07.01","S58.07.01"
"クリーニング所","有限会社　白栄社　ストアー千代店","761-1701","高松市香川町大野６５３−１７",,"有限会社　白栄社","代表取締役","加茂　好幸","香川県","高松市多肥上町２２２０−１０",,"第58-20号","S58.07.07","S58.07.07"
"クリーニング所","有限会社　白栄社　川東店","761-1706","高松市香川町川東上１７２４−１４",,"有限会社　白栄社","代表取締役","加茂　好幸","香川県","高松市多肥上町２２２０−１０",,"第58-21号","S58.07.12","S58.07.12"
"クリーニング所","白洋舎　六万寺店","761-0121","高松市牟礼町牟礼１２５２番地",,"株式会社　白洋舎","代表取締役","鵜川　俊英","香川県","高松市郷東町１３５番地１",,"第58-26号","S58.09.02","S58.09.02"
"クリーニング所","井上クリーニング店","761-1706","高松市香川町川東上２０１５−１",,"大西　秀樹",,,,,,"第58-41号","S58.12.22","S58.12.22"
"クリーニング所","都屋クリーニング片山サービス店","760-0044","高松市御坊町２−１",,"片山　昌三",,,,,,"第59-4号","S59.02.02","S59.02.02"
"クリーニング所","ハニードライ　由佐サービス","761-1402","高松市香南町由佐３５３−３",,"左光　洋子",,,,,,"第59-11号","S59.03.06","S59.03.06"
"クリーニング所","今井商店","761-8085","高松市寺井町４２７番地",,"今井　満子",,,,,,"第59-24号","S59.04.12","S59.04.12"
"クリーニング所","白洋舎　花の宮店","760-0073","高松市栗林町一丁目１５番６号",,"株式会社　白洋舎","代表取締役","鵜川　俊英","香川県","高松市郷東町１３５番地１",,"第59-25号","S59.04.24","S59.04.24"
"クリーニング所","さかえドライ川添サービス","761-0312","高松市東山崎町７６５番地",,"濱松　恵二",,,,,,"第59-58号","S59.12.19","S59.12.19"
"クリーニング所","株式会社トーカイ","761-8032","高松市鶴市町２０２５番地３",,"株式会社トーカイ","代表取締役","松尾　隆之","香川県","高松市鶴市町２０２５番地３",,"第60-24号","S60.09.25","S60.09.25"
"クリーニング所","竹川ドライ","761-0802","高松市鬼無町鬼無４３６番地３",,"竹川　鋭治",,,,,,"第61-10号","S61.02.12","S61.02.12"
"クリーニング所","ハニードライスイズカメラサービス","761-8078","高松市仏生山町甲３００３番地",,"水津　繁美",,,,,,"第61-14号","S61.02.25","S61.02.25"
"クリーニング所","中元クリーニング三条店","761-8071","高松市伏石町９３５番地",,"細谷　千恵子",,,,,,"第61-34号","S61.04.23","S61.04.23"
"クリーニング所","ハニードライ　ホビーサービス","761-8084","高松市一宮町１８１−４",,"佐野　佳子",,,,,,"第61-76号","S61.12.16","S61.12.16"
"クリーニング所","全国みつばチェーン大杉ドライ新名店","769-0104","高松市国分寺町新名４４６−６",,"藤井　和美",,,,,,"第62-4号","S62.02.25","S62.02.25"
