"業務種別","施設名称１","施設郵便番号","施設所在地１","施設所在地２","施設電話番号","営業者申請者名","営業者役職名","営業者代表者名","営業者都道府県名称","営業者住所１","営業者住所２","許可番号","許可日","旅館業の種別"
"旅館業","赤松旅館","761-1612","高松市塩江町安原上東４４７−１",,"087-893-0312","赤松　照剛",,,,,,"第576号","S37.08.20","旅館・ホテル"
"旅館業","屋島の宿　桃太郎","761-0111","高松市屋島東町１８２１番地",,"087-841-9464","株式会社旅館桃太郎","代表取締役","浜田　富久","香川県","高松市屋島東町１８２１番地",,"第590号","S38.01.14","旅館・ホテル"
"旅館業","あじ温泉　庵治観光ホテル　海のやどり","761-0130","高松市庵治町５４９４番地",,"087-871-3141","瀬戸内海観光株式会社","代表取締役","金井　眞智子","香川県","高松市庵治町５４９４番地",,"第672号","S38.12.21","旅館・ホテル"
"旅館業","大河","760-0032","高松市本町５−１２",,"087-822-0339","百々　マヤ子",,,,,,"第41-29号","S41.07.07","旅館・ホテル"
"旅館業","民宿　龍宮","760-0092","高松市女木町４５３番地",,"087-873-0205","松内　ユキエ",,,,,,"第42-5号","S42.05.11","簡易宿所"
"旅館業","高松美山ホテル","760-0005","高松市宮脇町二丁目３２番４０号",,"087-831-7185","有限会社　高松美山ホテル","代表取締役","粂井　敏英","香川県","高松市宮脇町二丁目３２番４０号",,"第42-20号","S42.05.22","旅館・ホテル"
"旅館業","銀星旅館","760-0006","高松市亀岡町１番１６号",,"087-831-2171","有限会社　銀星旅館","代表取締役","田中　一美","香川県","高松市亀岡町１番１６号",,"第43-66号","S43.12.11","旅館・ホテル"
"旅館業","ビジネスホテル　　丸久","760-0020","高松市錦町二丁目３番１０号",,"087-851-7305","株式会社　ホテル丸久","代表取締役","木村　チカ子","香川県","高松市錦町二丁目３番１０号",,"第45-20号","S45.08.05","旅館・ホテル"
"旅館業","クラブ　フィール","760-0080","高松市木太町２３８８番地３",,"087-831-6212","有限会社クラブＡ","取締役","塩津　香緒里","香川県","高松市木太町２３８８番地３",,"第47-17号","S47.07.21","旅館・ホテル"
"旅館業","ホテル　ティーンカーベル","761-0122","高松市牟礼町大町１４０８番地",,"087-845-1839","有限会社　新川","代表取締役","上原　英幹","香川県","高松市牟礼町大町１４０８番地",,"第47-15号","S47.08.25","旅館・ホテル"
"旅館業","塩江新温泉ホテル","761-1612","高松市塩江町安原上東２７８番地２",,,"株式会社　塩江新温泉ホテル","代表取締役","橘　澄夫","香川県","高松市塩江町安原上東２７８番地２",,"第47-50号","S48.03.22","旅館・ホテル"
"旅館業","ホテル　フィオーレ","761-0111","高松市屋島東町５４５番地",,"087-841-1641","有限会社壇ノ浦企業","代表取締役","塩津　将司","香川県","高松市屋島東町５４５番地",,"第48-24号","S48.10.12","旅館・ホテル"
"旅館業","スペースインピア","761-0122","高松市牟礼町大町１２７０−１",,"087-845-2722","有限会社　アズマ","取締役","中村　清子","香川県","高松市牟礼町大町１２７０−１",,"第48-30号","S48.11.22","旅館・ホテル"
"旅館業","有限会社　万喜屋","760-0021","高松市西の丸町１番４号",,"087-822-3366","有限会社　万喜屋","代表取締役","濱岡　徹","香川県","高松市西の丸町１番４号",,"第49-1号","S49.04.23","旅館・ホテル"
"旅館業","黒乃屋","761-0130","高松市庵治町９９２番地２",,"087-871-3161","株式会社　黒乃屋","代表取締役","木村　博人","香川県","高松市庵治町９９２番地２",,"第5-12号","S49.06.25","旅館・ホテル"
"旅館業","香川県立屋島少年自然の家","761-0111","高松市屋島東町３４番地１",,"087-843-4545","香川県教育委員会","教育長","淀谷　圭三郎","香川県","高松市天神前６番１号",,"第50-10号","S50.07.11","簡易宿所"
"旅館業","高松ステーションホテル","760-0023","高松市寿町一丁目１番地",,"087-821-6989","讃榮社株式会社","代表取締役","松原　富士","香川県","高松市屋島東町１６７番地１",,"第51-27号","S52.03.22","旅館・ホテル"
"旅館業","広瀬旅館","761-0112","高松市屋島中町２５７−２",,"087-841-1836","広瀬　憲吾",,,,,,"第52-18号","S52.11.18","旅館・ホテル"
"旅館業","ニューロッジ","761-8004","高松市中山町９１１−１０",,"087-881-2276","有限会社Ｔ＆Ｓ　ｏｆｆｉｃｅ","代表取締役","武本　千恵","香川県","高松市中山町９１１番地１０",,"第52-25号","S53.03.06","旅館・ホテル"
"旅館業","ホテルニュー白嶺","769-0102","高松市国分寺町国分東山２８４１−１",,"087-874-0136","加寿丸海運有限会社","代表取締役","谷沢　忠士","香川県","高松市亀水町３４２番地",,"第54-3号","S54.07.09","旅館・ホテル"
"旅館業","ホテル５スターズ","769-0101","高松市国分寺町新居５８番地３",,"087-874-5422","有限会社　プレジャー１","取締役","上原　英幹","香川県","高松市国分寺町新居５８番地３",,"第54-6号","S54.12.06","旅館・ホテル"
"旅館業","ホテルニューパレス","760-0080","高松市木太町２３９７−１",,"087-861-2288","宮地　徳子",,,,,,"第55-12号","S55.11.25","旅館・ホテル"
"旅館業","ビジネスホテルプリンス","760-0080","高松市木太町６区２５０５−２",,"087-861-9565","有限会社　ビジネスホテルプリンス","代表取締役","中所　邦高","香川県","高松市木太町６区２５０５番地２",,"第55-15号","S55.11.28","旅館・ホテル"
"旅館業","ホテルプリンセス","769-0102","高松市国分寺町国分２３９５−１",,"087-874-0691","有限会社　三愛","代表取締役","塩津　君栄","香川県","高松市国分寺町国分２３９５−１",,"第55-5号","S55.12.26","旅館・ホテル"
"旅館業","ホテルニュー銀河","761-0101","高松市春日町字片田１７４１−４",,"087-843-3563","有限会社　シルバ−商事","代表取締役","長松　正則","香川県","高松市春日町１７４１番地４",,"第55-20号","S56.01.22","旅館・ホテル"
"旅館業","ホテルファンタジー","760-0080","高松市木太町２４６１番地",,"087-835-0059","有限会社おおにし","代表取締役","高橋　進","香川県","高松市木太町２４６１番地",,"第56-1号","S56.05.30","旅館・ホテル"
"旅館業","ホテル五色台ロッジ","761-8002","高松市生島町４２２の１",,"087-882-6260","有限会社　青峰商事","代表取締役","谷澤　作太郎","香川県","高松市亀水町１２１２番地",,"第57-2号","S57.06.03","旅館・ホテル"
"旅館業","有限会社栗林山荘","760-0005","高松市宮脇町２丁目３１番２７号",,"087-834-3000","有限会社栗林山荘","取締役","市川　卓磨","香川県","高松市宮脇町二丁目３１番２７号",,"第57-6号","S57.12.02","旅館・ホテル"
"旅館業","ハイパーリゾートヴィラ塩江","761-1614","高松市塩江町上西乙688番地1",,"087-822-8822","ハイパーリゾート株式会社","代表取締役","八木　裕幸","香川県","高松市塩江町上西乙688番地1",,"第58-2号","S58.04.12","旅館・ホテル"
"旅館業","ＨＯＴＥＬ　ＶＥＮＥＴＩＡＮ　ＰＲＥＭＩＵＭ","760-0080","高松市木太町西浜２４６０−３３","他１筆","087-835-0887","株式会社　東京企画","代表取締役","有馬　雅子","香川県","高松市木太町２４６０番地３３",,"第59-1号","S59.02.01","旅館・ホテル"
"旅館業","えびすや旅館","769-0102","高松市国分寺町国分２０６６の１",,"087-874-0567","片岡　隆",,,,,,"第59-1号","S59.02.06","旅館・ホテル"
"旅館業","カユン","760-0080","高松市木太町２４６０番地７",,"087-837-2156","有限会社　パオラ","代表取締役","河本　明実","香川県","高松市木太町２４６０番地７",,"第59-9号","S59.07.31","旅館・ホテル"
"旅館業","イン・アスカ","760-0080","高松市木太町２４５８−２",,"087-861-6973","有限会社喜美興産","代表取締役","塩津　将司","香川県","高松市木太町２４５８番地２",,"第59-16号","S59.12.06","旅館・ホテル"
"旅館業","ホテル・ニューヨーク","760-0080","高松市木太町２４６０番地２７",,"087-835-3833","有限会社　ホテル・ニューヨーク","代表取締役","酒井　馨","香川県","高松市木太町２４６０番地２７",,"第59-17号","S59.12.20","旅館・ホテル"
"旅館業","ホテルエクシード","760-0080","高松市木太町字西浜２４６０番地３１",,"087-833-8459","有限会社　ホテルエクシード","代表取締役","宮地　徳子","香川県","高松市木太町字西浜２４６０番地３１",,"第60-2号","S60.02.05","旅館・ホテル"
"旅館業","エスペランサ","760-0080","高松市木太町２４６０−２８",,"087-861-6611","有限会社　ミヤジ","代表取締役","宮地　隆","香川県","高松市木太町２３９７番地",,"第60-3号","S60.02.06","旅館・ホテル"
"旅館業","ホテル　ヴィースタイル　ガール","760-0080","高松市木太町２４６０番地５",,"087-862-2277","有限会社　樹園","代表取締役","谷山　泰且","香川県","高松市木太町２４６０番地５",,"第60-4号","S60.02.06","旅館・ホテル"
"旅館業","リゾート・イン・星","761-8002","高松市生島町４２３番地３４３",,"087-881-1937","有限会社　リゾートイン星","代表取締役","小西　知子","香川県","高松市生島町４２３番地３４３",,"第60-5号","S60.02.08","旅館・ホテル"
"旅館業","ホテル夢","760-0080","高松市木太町２４５８番地１",,"087-834-5444","朝日住宅株式会社　","代表取締役","砂川　加代子","香川県","高松市木太町２１６１番地４",,"第60-7号","S60.02.08","旅館・ホテル"
"旅館業","ホテルエンペラー","760-0054","高松市常磐町二丁目１１番地１２",,"087-835-4366","オリエント実業有限会社　","代表取締役","多田　信子","香川県","高松市常磐町二丁目１１番地１２",,"第60-10号","S60.02.27","旅館・ホテル"
"旅館業","カーホテル香川","761-1705","高松市香川町川東下１１９４番地１",,"087-879-2308","有限会社　髙木興業","代表取締役","高木　義晴","香川県","高松市香南町由佐３０９番地２",,"第60-15号","S60.03.11","旅館・ホテル"
"旅館業","ビジネスホテル夢","760-0054","高松市常磐町２丁目１０−１７",,"087-831-8231","朝日住宅株式会社　","代表取締役","砂川　加代子","香川県","高松市木太町２１６１番地４",,"第61-7号","S61.04.25","旅館・ホテル"
"旅館業","一宮寺　三密会館","761-8084","高松市一宮町６０７番地",,"087-885-2301","宗教法人　一宮寺","代表役員","加藤　弘淳","香川県","高松市一宮町６０７番地",,"第62-6号","S62.09.30","簡易宿所"
"旅館業","ホテル　コピエ","761-8004","高松市中山町９１３番地１１",,"087-882-0229","有限会社　ホテルオアシス","代表取締役","山下　和子","香川県","高松市中山町９１３番地１１",,"第62-11号","S62.11.09","旅館・ホテル"
"旅館業","ビジネスホテル　高松パレス","760-0022","高松市西内町２番７号",,"087-851-3232","有限会社ビジネスホテル高松パレス","代表取締役","多田　一郎","香川県","高松市西内町２番７号",,"第62-13号","S63.01.06","旅館・ホテル"
"旅館業","屋島ロイヤルホテル","761-0113","高松市屋島西町１９０９−３",,"087-841-1000","光繁興業株式会社","代表取締役","伊賀　万佐子","香川県","高松市春日町１７４４番地４",,"第62-18号","S63.03.23","旅館・ホテル"
"旅館業","新樺川観光ホテル","761-1612","高松市塩江町安原上東１番地６",,"087-893-1200","株式会社　新樺川","代表取締役","橘　澄夫","香川県","高松市塩江町安原上東１番地６",,"第63-1号","S63.04.14","旅館・ホテル"
"旅館業","アパホテル　高松瓦町","760-0048","高松市福田町１３番地１６",,"087-823-2323","有限会社　アサノビル","代表取締役","浅野　直樹","香川県","高松市福田町１３番地１６",,"第63-9号","S63.10.03","旅館・ホテル"
"旅館業","四国高松温泉　ニューグランデみまつ","760-0046","高松市通町２−３",,"087-851-3507","株式会社三松","代表取締役","金井　優典","香川県","高松市通町２番地の３",,"第63-19号","H01.03.06","旅館・ホテル"
"旅館業","ホテル福屋","760-0025","高松市古新町５番地８",,"087-851-2365","株式会社　ホテル福屋","代表取締役","土居　邦壽","香川県","高松市古新町５番地８",,"第1-6号","H01.07.13","旅館・ホテル"
"旅館業","ビジネスホテル　サンシャイン高松","760-0071","高松市藤塚町３−１７−１５",,"087-837-6161","有限会社ビジネスホテル高松パレス","代表取締役","多田　一郎","香川県","高松市西内町２番７号",,"第1-13号","H02.03.02","旅館・ホテル"
"旅館業","ささや旅館","761-0112","高松市屋島中町１６８の２",,"087-841-9533","小川　加代子",,,,,,"第2-1号","H02.04.18","旅館・ホテル"
"旅館業","ニューサウナゴールデンタイム","760-0052","高松市瓦町二丁目１番地５，６，７，２１",,"087-833-1234","有限会社ニューサウナゴールデンタイム","代表取締役","深田　初王","香川県","高松市瓦町二丁目１番地７","クィーンズスクエアー第３ビル５階","第2-3号","H02.06.25","簡易宿所"
"旅館業","花樹海","760-0004","高松市西宝町三丁目５番１０号",,"087-861-5580","株式会社　喜代美山荘","代表取締役","三矢　昌洋","香川県","高松市西宝町三丁目５番１０号",,"第2-4号","H02.07.24","旅館・ホテル"
"旅館業","さぬき温泉","761-1612","高松市塩江町安原上東２０６５−１",,"087-893-0300","株式会社　渡辺電工","代表取締役","渡辺　弘之","香川県","高松市香川町大野６９３番地１",,"第2-9号","H02.10.20","旅館・ホテル"
"旅館業","かぼちゃの馬車","760-0080","高松市木太町字洲端道下２３８８−１，５，６",,"087-837-2152","有限会社　立春興業","代表取締役","有馬　雅子","香川県","高松市木太町２３８８番地１",,"第2-11号","H02.12.11","旅館・ホテル"
"旅館業","ホテル丸登美","760-0046","高松市通町６番地の１２",,"087-851-2971","有限会社　丸登美旅館","取締役","松本　康弘","香川県","高松市通町６番地の１２",,"第2-15号","H03.03.15","旅館・ホテル"
"旅館業","ホテル　フレンズ　イン　ギャラクシー","761-0101","高松市春日町字片田１７４１−３",,"087-844-4111","有限会社　シルバ−商事","代表取締役","長松　正則","香川県","高松市春日町字片田１７４１−４",,"第3-5号","H03.10.21","旅館・ホテル"
"旅館業","百百家","761-8024","高松市鬼無町藤井５４番地１",,"087-882-0874","有限会社百百家","取締役","穴吹　千保美","香川県","高松市鬼無町藤井５４番地１",,"第4-4号","H04.07.31","旅館・ホテル"
"旅館業","ホテル　　真華","760-0041","高松市百間町６番９号",,"087-822-2111","有限会社　真華","代表取締役","金井　眞智子","香川県","高松市通町２番地３",,"第5-1号","H05.04.28","旅館・ホテル"
"旅館業","高松パークホテル","760-0048","高松市福田町１１番地１",,"087-823-1111","穴吹エンタープライズ株式会社","代表取締役","三村　和馬","香川県","高松市古新町９番地１",,"第5-3号","H05.07.01","旅館・ホテル"
"旅館業","香川県立五色台少年自然センター","761-8002","高松市生島町４２３番地",,"087-881-4428","香川県教育委員会","教育長","淀谷　圭三郎","香川県","高松市天神前６番１号",,"第5-5号","H05.08.17","簡易宿所"
"旅館業","ホテル　マリンパレス　　さぬき","760-0066","高松市福岡町二丁目３番４号",,"087-851-6677","香川県市町村職員共済組合","理事長","大西　秀人","香川県","高松市福岡町二丁目３番４号",,"第5-6号","H05.10.18","旅館・ホテル"
"旅館業","ホテル　　大東京","761-0101","高松市春日町１７４１",,"087-841-0388","有限会社　ホテル東京","代表取締役","森田　昌和","香川県","高松市春日町１７４１",,"第5-9号","H05.12.06","旅館・ホテル"
"旅館業","黒乃屋","761-0130","高松市庵治町９９２番地２",,"087-871-3161","株式会社　黒乃屋","代表取締役","木村　博人","香川県","高松市庵治町９９２番地２",,"第5-10号","H05.12.21","旅館・ホテル"
"旅館業","ビジネスホテル　シャトーエスト高松","760-0036","高松市城東町二丁目２番７号",,"087-823-8100","有限会社シャトーエスト高松","代表取締役","廣瀬　守","香川県","高松市城東町二丁目２番７号",,"第6-1号","H06.04.19","旅館・ホテル"
"旅館業","ビジネスホテル　イーストパーク栗林","760-0073","高松市栗林町一丁目１４−３",,"087-861-5252","有限会社ビジネスホテル　高松パレス","代表取締役","多田　一郎","香川県","高松市西内町２番７号",,"第7-4号","H08.02.15","旅館・ホテル"
"旅館業","ホテル　ラ　フェスタ","760-0080","高松市木太町２４６１番地",,"087-837-0203","有限会社おおにし","代表取締役","高橋　進","香川県","高松市木太町２４６１番地",,"第9-4号","H09.12.22","旅館・ホテル"
"旅館業","ホテル　ルピナス","760-0021","高松市西の丸町５番地１",,"087-821-0558","岡田　文子",,,,,,"第10-1号","H10.05.11","旅館・ホテル"
"旅館業","ビジネスホテル　淸惠","760-0021","高松市西の丸町５番８号",,"087-851-4713","高井　淸美",,,,,,"第10-2号","H10.07.16","旅館・ホテル"
"旅館業","ビジネスホテル　東宝イン高松","760-0036","高松市城東町１丁目５番１８号",,"087-823-1000","有限会社ビジネスホテル高松パレス","代表取締役","多田　一郎","香川県","高松市西内町２番７号",,"第11004号","H12.07.10","旅館・ホテル"
"旅館業","サンロイヤルホテル","761-0301","高松市林町２５７１−２",,"087-815-1000","光繁興業株式会社","代表取締役","伊賀　万佐子","香川県","高松市春日町１７４４番地４",,"第11009号","H13.04.06","旅館・ホテル"
"旅館業","四国電力株式会社　総合研修所","761-0113","高松市屋島西町１８５０−１",,"087-841-1561","四国電力株式会社","代表取締役","宮本　喜弘","香川県","高松市丸の内２番５号",,"第11010号","H13.04.12","旅館・ホテル"
"旅館業","ＪＲホテルクレメント高松","760-0011","高松市浜ノ町１番１号",,"087-811-1111","株式会社ＪＲ四国ホテルズ","代表取締役","藤本　聡","香川県","高松市浜ノ町１番１号",,"第11012号","H13.05.08","旅館・ホテル"
"旅館業","藤沢民宿","761-1613","高松市塩江町上西甲９０６番地",,"087-893-0076","藤沢　節子",,,,,,"第14-1号","H14.05.22","簡易宿所"
"旅館業","魚虎旅館","761-1612","高松市塩江町安原上東４４２−２",,"087-893-0121","松岡　耕三",,,,,,"第14-2号","H14.08.19","旅館・ホテル"
"旅館業","ホテルＮＯ．１高松","760-0076","高松市観光通二丁目４番１号",,"087-812-2222","アサヒエンタープライズ有限会社","代表取締役","森崎　栄作","高知県","高知市廿代町６番１７号",,"第11016号","H15.03.19","旅館・ホテル"
