"業務種別","施設名称１","施設郵便番号","施設所在地１","施設所在地２","施設電話番号","申請者名","申請者役職名","申請者代表者名","申請者都道府県名称","申請者住所１","申請者住所２","許可番号","許可日","営業の種別"
"公衆浴場業","あじ温泉　庵治観光ホテル　海のやどり","761-0130","高松市庵治町５４９４番地",,,"瀬戸内海観光株式会社","代表取締役","金井　眞智子","香川県","高松市庵治町５４９４番地",,"第182号","S39.04.06","その他の公衆浴場"
"公衆浴場業","いとより温泉","760-0012","高松市瀬戸内町３−１６",,"087-851-8943","有限会社　いとより温泉","取締役","野口　一二三","香川県","高松市瀬戸内町３−１６",,"第211号","S44.11.10","一般公衆浴場"
"公衆浴場業","秘書コレクション　高松店","760-0054","高松市常磐町二丁目５−１８",,"087-834-2561","有限会社南國商事","取締役","西川　泰勲","香川県","高松市常磐町二丁目５番地１８",,"第244号","S48.03.03","その他の公衆浴場"
"公衆浴場業","塩の江新温泉","761-1612","高松市塩江町安原上東２７８番地２",,"087-893-0246","株式会社　塩江新温泉ホテル","代表取締役","橘　澄夫","香川県","高松市塩江町安原上東２７８−２",,"第246号","S48.03.19","その他の公衆浴場"
"公衆浴場業","石庭","760-0036","高松市城東町二丁目７番４号",,"087-822-2662","有限会社　鎌倉観光","取締役","酒井　宣子","香川県","高松市城東町二丁目７番４号",,"第260号","S51.07.31","その他の公衆浴場"
"公衆浴場業","えびす湯","760-0013","高松市扇町一丁目２１−４",,"087-821-3303","辰馬　繁信",,,,,,"第275号","S53.06.05","一般公衆浴場"
"公衆浴場業","ハイパーリゾートヴィラ塩江","761-1614","高松市塩江町上西乙688番地1",,"087-893-1111","ハイパーリゾート株式会社","代表取締役","八木　裕幸","香川県","高松市塩江町上西乙688番地1",,"第301号","S58.04.08","その他の公衆浴場"
"公衆浴場業","吉野湯","760-0036","高松市城東町一丁目２番１０号",,"087-851-2592","有限会社　吉野湯","取締役","山本　和雄","香川県","高松市城東町一丁目２番１０号",,"第317号","S61.06.26","一般公衆浴場"
"公衆浴場業","新樺川観光ホテル","761-1612","高松市塩江町安原上東１番地６",,"087-893-1200","株式会社　新樺川","代表取締役","橘　澄夫","香川県","高松市塩江町安原上東１番地６",,"第318号","S61.07.22","その他の公衆浴場"
"公衆浴場業","さぬき温泉","761-1612","高松市塩江町安原上東２０６５−１",,"087-893-0300","株式会社　渡辺電工","代表取締役","渡辺　弘之","香川県","高松市香川町大野６９３−１",,"第332号","H01.04.19","その他の公衆浴場"
"公衆浴場業","ニューサウナゴールデンタイム","760-0052","高松市瓦町二丁目１番地５，６，７，２１",,"087-833-1234","有限会社　ニューサウナゴールデンタイム","代表取締役","深田　初王","香川県","高松市瓦町二丁目１番地７","クィーンズスクエアー第３ビル５階","第342号","H02.06.25","その他の公衆浴場"
"公衆浴場業","株式会社ヤマウチ　瀬戸内スイミングスクール香川校","761-1701","高松市香川町大野１７０−５",,"087-888-4341","株式会社ヤマウチ","代表取締役","岡本　将","香川県","高松市田村町３９７番地",,"第347号","H03.03.25","その他の公衆浴場"
"公衆浴場業","椿温泉","761-8047","高松市岡本町５２７番地１",,"087-885-2828","社会福祉法人香東園","理事長","石川　憲","香川県","高松市岡本町５２７番地１",,"第348号","H03.10.28","その他の公衆浴場"
"公衆浴場業","江戸城","760-0036","高松市城東町二丁目８番１４号",,"087-822-2800","有限会社　一光観光","代表取締役","栗永　秀夫","香川県","高松市城東町二丁目８番１４号",,"第357号","H05.02.22","その他の公衆浴場"
"公衆浴場業","鮎滝カントリークラブ浴場","761-1707","高松市香川町東谷２５９番地１",,"087-897-1111","宇高国道フェリー株式会社","代表取締役","加藤　琢二","香川県","高松市北浜町１番１号",,"第368号","H07.07.28","その他の公衆浴場"
"公衆浴場業","スーパー銭湯　あかね温泉","760-0002","高松市茜町２８番４３号",,"087-833-0268","有限会社新英興産","代表取締役","鈴木　英敬","香川県","高松市茜町２０番１４号",,"第375号","H09.09.12","一般公衆浴場"
"公衆浴場業","香川県立総合水泳プール","761-8042","高松市御厩町１５８５−１",,,"香川県教育委員会","教育長","淀谷　圭三郎","香川県","高松市番町四丁目１番１０号",,"第377号","H11.03.31","その他の公衆浴場"
"公衆浴場業","高松市ふれあい福祉センター　勝賀","761-8014","高松市香西南町４７６−１",,"087-882-6950","高松市長",,"大西　秀人","香川県","高松市番町１丁目８番１５号",,"第11001号","H11.04.14","その他の公衆浴場"
"公衆浴場業","フィットネスクラブ　レフコゆめタウン高松店","761-8056","高松市上天神町２６６番地",,"087-864-6210","株式会社レフコ","代表取締役","池田　孝道","香川県","丸亀市田村町１２３８番地",,"第11005号","H12.08.28","その他の公衆浴場"
"公衆浴場業","梅の湯","761-8063","高松市花ノ宮町三丁目２番７号",,"087-866-9793","有限会社　梅新","代表取締役","髙木　勝美","香川県","高松市花ノ宮町三丁目２番７号",,"第11006号","H12.09.28","一般公衆浴場"
"公衆浴場業","屋島カントリークラブ","761-0122","高松市牟礼町大町２５０８番地",,"087-845-3111","株式会社　チェリーゴルフ屋島","代表取締役","島津　崇","香川県","高松市牟礼町大町２５０８番地",,"第4号","H13.01.05","その他の公衆浴場"
"公衆浴場業","坊城温泉らら","761-0301","高松市林町２５７１−２",,"087-841-1000","光繁興業株式会社","代表取締役","伊賀　万佐子","香川県","高松市春日町１７４４番地４",,"第11008号","H13.04.06","一般公衆浴場"
"公衆浴場業","香川県営相撲場　シャワー室","761-8002","高松市生島町６１４","香川県総合運動公園内","087-881-0354","香川県知事",,"池田　豊人","香川県","高松市番町４丁目１−１０",,"第11009号","H13.08.24","その他の公衆浴場"
"公衆浴場業","サラマンダー","760-0017","高松市番町一丁目１０番１６号",,"087-863-3377","一般財団法人　三宅医学研究所","代表理事","三宅　信一郎","香川県","高松市番町一丁目１０番１６号",,"第11010号","H13.11.06","その他の公衆浴場"
"公衆浴場業","かざし温泉","769-0103","高松市国分寺町福家甲９９３番地６",,"087-874-7102","有限会社　松本","代表取締役","松本　宏道","香川県","高松市国分寺町福家甲９９５番地１",,"第89号","H13.11.22","その他の公衆浴場"
"公衆浴場業","高松クレーターの湯　天然温泉　きらら","761-8084","高松市一宮町８００番地１",,"087-815-6622","株式会社　きらら","代表取締役","植松　恵美子","香川県","高松市一宮町２２８番地１",,"第11011号","H13.12.12","その他の公衆浴場"
"公衆浴場業","アルファシティ屋島六番館展望家族風呂","761-0113","高松市屋島西町字飛石２２７４−２０",,,"穴吹興産株式会社","代表取締役","穴吹　忠嗣","香川県","高松市鍛冶屋町７番地１２",,"第11012号","H14.03.29","その他の公衆浴場"
"公衆浴場業","三十六温泉　由良里の湯","761-0441","高松市由良町４３−１",,"087-848-5126","有限会社　いち華","代表取締役","茂木　美奈子","香川県","高松市由良町４３番地１",,"第11014号","H14.07.30","一般公衆浴場"
"公衆浴場業","香川県立武道館　浴室","760-0066","高松市福岡町１−５−５","香川県立武道館内","087-821-5125","香川県知事",,"池田　豊人","香川県","高松市番町４丁目１−１０",,"第11018号","H15.05.09","その他の公衆浴場"
"公衆浴場業","岩盤浴天照","760-0062","高松市塩屋町１１番１５","２階","087-822-4007","有限会社　丸善美容商事","代表取締役","山内　澄子","香川県","高松市番町三丁目２０番６号",,"第11025号","H17.03.01","その他の公衆浴場"
