"#LINK",,,,,,,,,,,,,
"#lang","ja",,,,,,,,,,,,
"#attribution_name","高松市",,,,,,,,,,,,
"#license","http://creativecommons.org/licenses/by/3.0/deed.ja",,,,,,,,,,,,
"#file_name","0092",,,,,,,,,,,,
"#download_from","https://opendata.smartcity-takamatsu.jp/ckan/dataset/number_of_people_moving_in_and_out_r2",,,,,,,,,,,,
"#property","month","withinThePrefOfTransferMan","withinThePrefOfTransfeWoman","OutsideThePrefMan","OutsideThePrefManWoman","MoveInAndOthersMan","MoveInAndOthersWoman","WithinThePrefMan","WithinThePrefWoman","OutOfThePrefMan","OutOfThePreffWoman","MovingOutAndOthersMan","MovingOutAndOthersWoman"
"#object_type_xsd","string","string","string","string","string","string","string","string","string","string","string","string","string"
"#property_context","Assertion","Assertion","Assertion","Assertion","Assertion","Assertion","Assertion","Assertion","Assertion","Assertion","Assertion","Assertion","Assertion"
"1","1","101","111","337","258","6","2","113","95","363","299","16","4"
"2","2","162","143","382","313","10","8","154","109","451","385","5","2"
"3","3","223","282","1166","902","12","13","274","286","2046","1532","11","6"
"4","4","170","165","1135","794","4","4","89","97","605","432","8","7"
"5","5","117","86","465","322","14","6","98","96","365","291","12","3"
"6","6","104","79","372","267","17","6","107","86","442","311","11","4"
"7","7","105","90","530","375","3","7","87","112","453","316","9","6"
"8","8","112","134","416","336","15","9","112","82","368","310","11","5"
"9","9","95","97","412","256","6","3","94","72","415","336","9","3"
"10","10","124","111","494","333","6","4","87","93","407","266","8","2"
"11","11","125","114","351","286","13","3","90","75","258","227","11","2"
"12","12","100","76","265","252","9","7","70","91","348","265","12","2"
