"#property","latitude","longitude","name","surveyDate","manWeekdaysAverage","womanWeekdaysAverage","bicycleWeekdaysAverage","totalWeekdaysAverage","manHolidayAverage","womanHolidayAverage","bicycleHolidayAverage","totalHolidayAverage"
"1","34.34656216","134.0474199","兵庫町（西）","2023年　平均","2718","1908","2598","7224","1950","1586","1822","5359"
"2","34.34611804","134.0503202","兵庫町（東）","2023年　平均","4561","4110","3288","11959","4858","4809","2371","12038"
"3","34.34623723","134.0505822","片原町西（西）","2023年　平均","4504","5790","1734","12027","5780","8374","1140","15294"
"4","34.34605303","134.050753","片原町西（東）","2023年　平均","3068","2650","2948","8666","3551","3575","2150","9275"
"5","34.34565749","134.0534195","片原町東（西）","2023年　平均","1618","1710","2574","5902","1730","1709","1993","5431"
"6","34.34594459","134.0505151","丸亀町（北）","2023年　平均","4516","5684","343","10543","6503","8541","269","15313"
"7","34.34248008","134.0497777","丸亀町（南）","2023年　平均","4993","5425","440","10858","7596","8887","364","16847"
"8","34.34576171","134.0520263","ライオン通（北）","2023年　平均","1408","1188","1510","4106","1775","1657","1159","4591"
"9","34.34202953","134.0513141","ライオン通（南）","2023年　平均","1357","951","1603","3910","1442","1191","1269","3902"
"10","34.33955867","134.0492149","南新町（南）","2023年　平均","4122","3293","3378","10793","4774","5010","2377","12161"
"11","34.33893127","134.0492953","常磐町（西）","2023年　平均","3044","2851","2051","7947","3907","3967","1493","9367"
"12","34.33864532","134.0513471","常磐町（東）","2023年　平均","2024","2090","753","4866","2556","2708","569","5833"
"13","34.33753408","134.0488606","田町（中）","2023年　平均","2343","1949","3870","8162","2055","1764","2701","6520"
"14","34.33961724","134.0502126","菊池寛通（南）","2023年　平均","1564","1482","261","3308","1039","831","179","2050"
"15","34.33990511","134.0493391","菊池寛通（北）","2023年　平均","1940","1810","1093","4843","2168","2114","746","5028"
