"#property","latitude","longitude","name","address","telephoneNumber","referenceObject","note","availableDate","startTime","endTime","availableDateNote","basicPrice","detailPrice","description","access","parkingInformation"
"1","34.35056333","134.04680583","香川・高松ツーリストインフォメーション","高松市浜ノ町1-20JR高松駅1階コンコース","087-826-0170","http://www.my-kagawa.jp/point/2486/",,"月火水木金土日","09:00","20:00",,"無料",,"高松市及び香川県内の観光パンフレットを取り揃えた観光案内所。常時、英語、中国語、韓国語に対応。","JR高松駅1階コンコース","無"
"2","34.38945694","134.05230528","高松市鬼ヶ島おにの館","高松市女木町15-22","087-873-0728","http://oninoyakata.stringly.com/",,"月火水木金土日","08:00","17:20","8/1から8/20までの期間は8：00から18：10まで","無料",,"おに伝説に関する資料の展示室、食堂を併設。船の待合室としての利用も可能。自転車の貸し出しも行っている。","高松港から女木港へフェリーで約20分。女木港降りて徒歩1分","駐車スペース6台"
"4","34.17037417","134.08198167","塩江湯愛の郷センター（道の駅しおのえ）","高松市塩江町安原上東390-4","087-893-1378","http://shionoe.jp/",,"月水木金土日","08:00","19:00","定休日：火曜日（祝日の場合は翌日）、12月31日～1月2日、営業時間：１１月～２月は午前８時～午後６時","無料",,"国道１９３号の香東川上流の川沿いに位置し、塩江温泉郷の目印になっている。「観光物産センターしおのえ」が隣接していて、塩江の特産品が購入できる。","JR高松駅からバスで約７５分。","駐車スペース２５台"
"5","34.17030472","134.08225667","塩江インフォメーションセンター","高松市塩江町安原上東390-9","087-893-0148","http://shionoe.jp/",,"月火木金土日","10:00","17:00","定休日：毎週水曜日","無料",,"道の駅「しおのえ」に併設。塩江地域の観光情報・イベント情報を紹介しています。","JR高松駅からバスで約６０分。塩江バス停おりてすぐ。","無（道の駅「しおのえ」を利用）"
"6","34.12451361","134.07401333","奥の湯公園キャンプ場","高松市塩江町上西甲2131-2","087-893-1136","http://shionoe.jp/",,"月火水木金土日",,,"開設期間：4/1～10/31","奥の湯公園キャンプ場　入場料（小学生以上）：200円、テントサイト：1,020円　　等",,"公園の中に川が流れており、キャンプ場がある。炊事場、水道、トイレ、貸ハンゴウ、貸テント、貸毛布などの設備がある。","高松空港から車で約２５分。","駐車スペース３５台"
"7","34.23944611","134.00727306","香南楽湯","高松市香南町横井997-2","087-815-8585","http://www.souyu.co.jp/kounan/",,"月火水木金土日","10:00","23:00","定休日：第３水曜日（祝日の場合は翌日）","大人670円、小人（小学生）310円、高齢者（65歳以上）510円、障がい者（手帳所持者）510円",,"木漏れ日のある「陽の風呂」と御影石・庵治石の「石の風呂」の天然温泉があるユニークな道の駅。館内には、おみやげショップの他に、レストラン、軽食コーナー、コミックコーナー、ボディケアがあり、産直市「香南朝市」も併設。","JR高松駅からバスで約４５分。","駐車スペース１０１台"
"8","34.33351","134.15671167","高松市道の駅源平の里むれ","高松市牟礼町原631-7","087-845-6080","http://www.genpei-mure.com/",,"月火水木金土日","09:00","17:00","定休日：第1、第3水曜日（祝日の場合は翌平日）","無料",,"国道11号線にある道の駅。地元の特産品等の物販施設や食事処のほかにお遍路さんのための休憩施設、駐車場、トイレ、情報ステーションも併設。","琴電房前駅より徒歩10分。志度ICから車で10分。","大型13台、普通車47台、身障者用2台"
"10","34.38999472","134.128515","純愛の聖地庵治・観光交流館","高松市庵治町5824-4","087-871-1700","http://www.aji-shashinkan.com/",,"月水木金土日","09:00","17:00","休館日：火曜日","無料",,"世界の中心で愛を叫ぶに登場したロケセット「雨平写真館」を復元した施設。写真館内ではカフェを営業。併設の展示棟では物販コーナーだけでなく個展やワークショップ、その他イベントも随時開催。","【車】高松自動車道高松中央ICより国道11号経由、庵治方面へ約25分。【バス】JR高松駅バスターミナルより、琴電バス「庵治線」で40分。「庵治農協前」停留場下車すぐ。","駐車スペース10台"
"11","34.433465","134.06086361","男木島灯台資料館","高松市男木町1062-3","087-839-2416","http://www.city.takamatsu.kagawa.jp/kankou/library/list/12_todai.html",,"日","09:00","16:30","原則、日曜日と祝日のみ開館。瀬戸内国際芸術祭開催期間中は毎日会館。荒天時等閉館となる場合あり。","無料",,"全国、瀬戸内海の灯台の位置、海上保安庁の役割、男木島灯台の仕組みなどを紹介したパネルなどを展示。また、男木島の歴史、生活、観光のことなども幅広く紹介している資料館。","高松港から男木港へフェリーで40分。男木港から徒歩40分。","無"
"12","34.35263917","134.04797222","（公財）高松観光コンベンション・ビューロー","高松市サンポート1-1","087-822-7060","http://www.takamatsu.or.jp/",,,,,,,,,,
"13","34.19758944","134.03359917","高松市健康増進温浴施設","高松市塩江町安原下第3-2074-2","087-897-0781","http://www.loop-shionoe.jp/",,,,,,,,,,
"14","34.27148139","133.95075056","高松市国分寺橘ノ丘総合運動公園はくちょう温泉","高松市国分寺町新名2213-1","087-874-8900","http://www.taka-spo.or.jp/hak1.html",,,,,,,,,,
"15","34.358321599807326","134.09897991157067","高松市屋島山上交流拠点施設（やしまーる）","高松市 屋島東町1784-6","087-802-8466","https://www.yashima-navi.jp/jp/yashimaru/",,"月水木金土日","09:00","17:00（金・土・祝前日は21：00）","定休日：火曜日（休祝日の場合は、翌平日）","無料(パノラマアート作品の観覧は別途必要）",,"瀬戸内海の多島美や市街地を望むことができる展望スペースが設置されているほか、絵画とジオラマを組み合わせて源平合戦をテーマに描いたパノラマ展示「屋島での夜の夢」や飲食・物販スペースなどが併設されている。",,"387台"
