"№","名　　　　称",,"開設者","latitude","longitude","所在地","TEL","開設日","あん摩","はり","きゅう","柔整併設","出張業務"
"1","あい鍼灸整骨院","アイシンキュウセイコツイン","宮﨑　智史","34.301959","133.952008","香川県高松市国分寺町国分462","087-887-6650","2011/4/5","○","○","○","○",
"2","アオバ鍼灸治療院","アオバシンキュウチリョウイン","堀　尚民","34.344854","134.036550","香川県高松市扇町2丁目8-6","087-884-1960","2024/5/27",,"○","○",,
"3","愛染指圧整体所","アイゼンシアツセイタイショ","愛染　實夫","34.350924","133.988721","香川県高松市香西西町357","087-882-2918","1981/3/21","○","○","○",,
"4","愛染鍼灸指圧院","アイゼンシンキュウシアツイン","愛染　武宏","34.353101","133.992315","香川県高松市香西北町326-6","087-882-1203","2005/7/4","○","○","○","○",
"5","青空鍼灸整体院","アオゾラシンキュウセイタイイン","綾井　剛","34.312856","134.038075","香川県高松市上天神町559-7","087-867-7379","2005/12/11","○","○","○",,
"6","阿賀あん摩はりきゅう治療院","アガアンマハリキュウチリョウイン","阿賀　政勝","34.326813","134.047032","香川県高松市花ノ宮町一丁目11-31","087-831-3832","1964/3/21","○","○","○","○",
"7","アクア鍼灸院","アクアシンキュウイン","串田　吉央","34.309033","134.062292","香川県高松市伏石町2142-14","087-887-9335","2013/1/3",,"○","○",,
"8","明気通鍼灸院","アキツシンキュウイン","末沢　彰一","34.293783","133.964712","香川県高松市国分寺町福家甲3871-18","087-874-3409","1991/11/25","○","○","○","○",
"9","朝陽鍼灸接骨院","アサヒシンキュウセッコツイン","山口　圭介","34.299252","134.110936","香川県高松市前田西町17-1　ラフィネHIRO　1F","087-880-4080","2016/3/25",,"○","○","○",
"10","あさひ治療院","アサヒチリョウイン","林　正知","34.349943","134.002083","香川県高松市香西本町8-1　M-1ビル２F","087-808-8017","2020/5/1",,"○","○",,
"11","あずき鍼灸院","アズキシンキュウイン","藤澤　直人","34.338494","134.013800","香川県高松市鶴市町2044-2","090-9459-0818","2024/5/15",,"○","○",,
"12","阿部　欣之","アベ　ヨシユキ","阿部　欣之","34.327062","134.004702","香川県高松市鶴市町197-1","087-813-0782","2011/3/1","○","○","○",,"○"
"13","荒井治療院","アライチリョウイン","荒井　利治","34.318304","134.072725","香川県高松市木太町1362-8","087-868-4364","1991/12/1","○","○","○",,
"14","アムス治療院","アムスチリョウイン","木内　裕太","34.313421","134.109154","香川県高松市新田町乙23-16","090-5912-5269","2023/10/17",,"○","○",,
"15","荒岡　正貴","アラオカ　マサキ","荒岡　正貴","34.240118","134.002188","香川県高松市香南町西庄2107-6","080-3166-5327","2019/9/18",,"○","○",,"○"
"16","アラタ鍼灸院","アラタシンキュウイン","荒田　康照","34.197334","134.041804","香川県高松市塩江町安原下第２号1667-2","087-897-0110","1979/1/4",,"○","○",,
"17","ありす鍼灸院","アリスシンキュウイン","(株）アリスプラン","34.269259","134.109615","香川県高松市十川東町83-1","087-814-3966","2014/5/1",,"○","○","○",
