,"属性","属性","属性","幸福度・満足度","幸福度・満足度","幸福度・満足度","幸福度・満足度","幸福度・満足度","医療・福祉","医療・福祉","買物・飲食","買物・飲食","住宅環境","住宅環境","住宅環境","移動・交通","遊び・娯楽","子育て","子育て","初等・中等教育","初等・中等教育","地域行政","地域行政","デジタル生活","デジタル生活","公共空間","公共空間","都市景観","自然景観","自然の恵み","自然の恵み","環境共生","自然災害","事故・犯罪","事故・犯罪","地域とのつながり","地域とのつながり","地域とのつながり","地域とのつながり","地域とのつながり","多様性と寛容性","多様性と寛容性","多様性と寛容性","多様性と寛容性","多様性と寛容性","自己効力感","健康状態","健康状態","文化・芸術","文化・芸術","教育機会の豊かさ","雇用・所得","雇用・所得","事業創造","独自設問"
"回答者ID","性別","年代","住所","現在、あなたはどの程度幸せですか。「とても幸せ」を 10 点、「とても不幸」を0点とすると、何点くらいになると思いますか。いずれかの数字を1つだけお答えください。","今から5年後、あなたはどの程度幸せだと思いますか。「とても幸せ」を 10 点、「とても不幸」を0点とすると、何点くらいになると思いますか。いずれかの数字を1つだけお答えください。","現在、あなたの住んでいる地域の暮らしにどの程度満足していますか。「とても満足」を 10 点、「とても不満足」を0点とすると、何点くらいになると思いますか。いずれかの数字を1つだけお答えください。","あなたの町内（集落）の人々は、大体において、どれぐらい幸せだと思いますか。「とても幸せ」を10点、「とても不幸」を0点として、いずれかの数字を1つだけお答えください。ここでは自分の同居家族は除いて考えてください。","自分だけでなく、身近なまわりの人も楽しい気持ちでいると思う","暮らしている地域は、医療機関が充実している","私の暮らしている地域では、介護・福祉施設のサービスが受けやすい","暮らしている地域は、日常の買い物にまったく不便がない","私の暮らしている地域では、飲食を楽しめる場所が充実している","自宅には、心地のいい居場所がある","【点数逆転設問】自宅の近辺は、騒音に悩まされている","私の暮らしている地域では、適度な費用で住居を確保できる","私の暮らしている地域では、公共交通機関で、好きな時に好きなところへ移動ができる","私の暮らしている地域には、楽しい時間を過ごせる娯楽施設がある","私の暮らしている地域では、子育て支援・補助が手厚い","私の暮らしている地域では、子どもたちがいきいきと暮らせる","私の暮らしている地域には、教育環境（小中高校）が整っている","私の暮らしている地域では、通学しやすい場所に学校がある","暮らしている地域行政は、地域のことを真剣に考えていると思う","暮らしている地域の公共施設は使い勝手がよく便利である","私の暮らしている地域では、行政サービスのデジタル化が進んでいる","私の暮らしている地域では、仕事や日常生活の場でデジタルサービスを利用しやすい","暮らしている地域の雰囲気は、自分にとって心地よい","私の暮らしている地域には、まちなか、公園、川沿い等で、心地よく歩ける場所がある","私の暮らしている地域には、自慢できる都市景観がある","私の暮らしている地域には、自慢できる自然景観がある","暮らしている地域では、身近に自然を感じることができる","暮らしている地域の空気や水は澄んでいてきれいだと感じる","私の暮らしている地域では、リサイクルや再生可能エネルギー活用等、環境への取組みが盛んである","私の暮らしている地域では、防災対策がしっかりしている","私の暮らしている地域では、防犯対策（交番・街燈・防犯カメラ・住民の見守り等）が整っており、治安がよい","私の暮らしている地域では、歩道や信号が整備されていて安心である","私は、同じ町内（集落）に住む人たちを信頼している","私の暮らしている地域では、コミュニティ活動への市民参加が盛んである","暮らしている地域には、困ったときに相談できる人が身近にいる","私は、町内（集落）の人が困っていたら手助けをする","私は、この町内（集落）に対して愛着を持っている","この町内（集落）には、どんな人の意見でも受け入れる雰囲気がある","私は、見知らぬ他者であっても信頼する","私は、町内（集落）の人が自分をどう思っているかが気になる","私の暮らしている地域では、女性が活躍しやすい雰囲気がある","私の暮らしている地域では、若い人が活躍しやすい雰囲気がある","自分のことを好ましく感じる","私は、身体的に健康な状態である","私は、精神的に健康な状態である","暮らしている地域は、文化・芸術・芸能が盛んで誇らしい","将来生まれてくる世代のために、良い環境や文化を残したい","私の暮らしている地域では、学びたいことを学べる機会がある","私の暮らしている地域では、やりたい仕事を見つけやすい","私の暮らしている地域では、適切な収入を得るための機会がある​","暮らしている地域には、新たな事に挑戦・成長するための機会がある","私自身は日中過ごす場所まで、公共交通機関で移動することができる"
"10001",,,,"6",,"5","6","4","4","4","4","4","5","2","3","4","3","1","2","2","4","4","4","2","4","4","4","4","4","4","5","2","4","4","4","5","3","4","4","4","4","2","3","4","3","3","2","2","3","3","2","2","4","3",
"10002",,,,"7",,"7","7","4","4","4","4","4","4","2","4","4","4","4","4","4","4","4","4","4","4","4","3","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","3","4","4","4","4","4","4","4","4","4",
"10003",,,,"10",,"9","9","4","5","5","5","5","5","1","2","4","4","4","5","5","5","4","4","4","4","5","4","4","3","4","4","4","4","5","5","4","3","3","3","4","3","2","3","4","4","4","4","5","5","5","5","4","5","4",
"10004",,,,"5",,"5","5","3","5","3","3","1","3","1","4","1","2","4","4","4","4","4","4","3","3","4","3","2","3","4","2","3","4","2","2","3","3","3","4","3","3","2","1","3","3","4","3","4","3","4","4","3","3","3",
"10005",,,,"5",,"7","6","3","4","3","4","3","3","2","4","3","2","4","3","4","3","4","3","3","3","4","3","4","4","3","3","3","3","4","4","4","3","3","4","4","3","2","4","3","3","3","3","2","3","4","3","3","3","3",
"10006",,,,"7",,"9","6","4","4","4","4","4","5","1","4","3","3","3","4","4","4","4","4","3","4","4","4","4","4","4","4","3","3","3","4","4","3","3","4","4","3","3","3","4","4","4","4","5","3","4","4","4","4","4",
"10007",,,,"4",,"6","7","3","3","3","2","3","3","1","3","2","2","3","4","3","4","3","2","3","3","3","2","3","4","4","3","3","3","2","4","4","4","4","3","3","3","3","3","3","3","3","2","2","3","3","3","3","3","3",
"10008",,,,"7",,"6","5","4","3","4","2","2","4","2","2","2","2","3","3","4","3","3","2","3","3","4","4","3","4","4","4","3","4","4","4","3","4","4","4","4","4","4","2","2","2","4","4","4","4","4","4","3","4","3",
"10009",,,,"7",,"7","7","4","4","3","4","4","4","3","3","1","1","2","4","1","3","3","2","4","2","4","2","2","2","4","4","3","4","4","3","3","4","4","4","4","3","1","4","4","4","2","3","2","3","4","3","3","3","3",
