"#property","latitude","longitude","name","address","installationPosition","telephoneNumber","availableDate","startTime","endTime","availableDateNote","equipmentForChildren"
"1","34.34092056","134.0452297","健康増進施設サラマンダー","高松市番町１丁目１０−１６ 財団法人 三宅医学研究所 セントラルパーククリニック","セントラルクリニック　２階  セントラルクリニック　４階",,,,,,
"2","34.35215833","134.0481344","JRホテルクレメント高松","高松市浜ノ町1-1","１階ロビー",,,,,,
"3","34.25197","133.9301869","イオン綾川ショッピングセンター","綾歌郡綾川町萱原822-1","1・2・3階各モール側・ジャスコサービスセンター・ジャスコ防災センター",,,,,,
"4","34.350725","134.0447294","コナミスポーツクラブ高松","高松市浜ノ町8-52","マシンジム入口",,,,,,
"5","34.33277167","134.0466464","株式会社穴吹工務店","高松市藤塚町1丁目11-22","１階　エントランス",,,,,,
"6","34.34187056","134.0507847","高松ワシントンホテルプラザ","高松市瓦町1丁目2-3","２階　フロントカウンター",,,,,,
"7","34.33888667","134.0525983","コトデン瓦町駅","高松市常磐町1丁目3-1","瓦町駅改札口",,,,,,
"8","34.33581306","134.0463936","東横イン高松中新町","高松市中央町11-5","１階　ロビー",,,,,,
"9","34.35196583","134.0042439","イオン高松ショッピングセンター","高松市香西本町1-1","ジャスコ棟１階サービスカウンター・  モール棟１階インフォメーション・  １階防災センター",,,,,,
"10","34.31664056","134.0418044","ゆめタウン高松","高松市三条町６０８‐１","１階　中央サービスカウンター横",,,,,,
"11","34.35075","134.0468208","四国旅客鉄道株式会社　高松駅","高松市浜ノ町１-２０","駅内コンコース",,,,,,
"12","34.339207","134.04569","社団法人高松市医師会","高松市天神前4-14","会長室",,,,,,
"13","34.31181861","134.0538936","大和ハウス工業株式会社香川支店","高松市伏石町2089-1","１階　玄関",,,,,,
"14","34.29968111","133.9561897","社団法人香川県看護協会","高松市国分寺町国分152-4","看護研修センター　２階の事務室入口",,,,,,
"15","34.30534444","134.0557492","在宅ケアステーションみちしるべ","高松市太田下町3026-3","１階デイルーム　救急カート内",,,,,,
"16","34.346545","134.0481597","東横イン　高松兵庫町","高松市兵庫町３-１","ホテル１階ロビー",,,,,,
"17","34.344454","134.050378","高松丸亀町商店街振興組合　参番街東館","高松市丸亀町13-3","参番街東館1階",,,,,,
"18","34.34545306","134.04881","リーガホテルゼスト高松株式会社","高松市古新町9-1","１階　フロント",,,,,,
"19","34.33622806","134.1044189","株式会社　ユーミック","高松市新田町甲91-1","玄関",,,,,,
"20","34.33354","134.15733","高松市道の駅源平の里むれ","高松市牟礼町原631-7　","物産棟（自販機内）","087-845-6080","月水木金土日","9:00","17:00","第１・第３火曜日除く、12/31は9:00～15:00",
"21","34.343061","134.050127","高松丸亀町商店街振興組合　岩佐佛喜堂","高松市丸亀町10-3","丸亀町10?3　岩佐佛喜堂内",,,,,,
"22","34.30703333","134.0726922","ザ・ココナツウエルネスクラブ高松","高松市林町2018-1","１階　ラウンジ",,,,,,
"23","34.33692667","134.0472794","大和リース株式会社高松支店","高松市中新町11-1","アクア中新町ビル８階事務所内",,,,,,
"24","34.31444028","134.0402975","フィットネスクラブレフコゆめタウン高松店","高松市上天神町266","１階フロント前",,,,,,
"25","34.33725333","133.9967283","大東産業株式会社","高松市香西南町102-4","２階　事務所",,,,,,
"26","34.26951667","134.1274331","ジャパンスイミングスクール　三木校","木田郡三木町田中109-1","館内２階レストルーム",,,,,,
