"#property","latitude","longitude","name","address","telephoneNumber","referenceObject","note","availableDate","startTime","endTime","availableDateNote"
"1","34.31382333","134.03022889","鶴尾出張所","高松市田村町303-1","087-866-1793","http://www.city.takamatsu.kagawa.jp/kurashi/kurashi/shisetsu/shisho/sougou_center.html",,"月火水木金","09:00","17:00","国民の祝日に関する法律に規定する休日及び年末年始（１２月２９日から翌年の１月３日まで）は利用不可。"
"2","34.31875","134.05385","太田出張所","高松市伏石町2016-37","087-866-1796","http://www.city.takamatsu.kagawa.jp/kurashi/kurashi/shisetsu/shisho/sougou_center.html",,"月火水木金","09:00","17:00","国民の祝日に関する法律に規定する休日及び年末年始（１２月２９日から翌年の１月３日まで）は利用不可。"
"3","34.32624528","134.07670778","木太出張所","高松市木太町3480-2","087-834-5485","http://www.city.takamatsu.kagawa.jp/kurashi/kurashi/shisetsu/shisho/sougou_center.html",,"月火水木金","09:00","17:00","国民の祝日に関する法律に規定する休日及び年末年始（１２月２９日から翌年の１月３日まで）は利用不可。"
"4","34.33566417","134.10751306","古高松出張所","高松市高松町10-20","087-841-6261","http://www.city.takamatsu.kagawa.jp/kurashi/kurashi/shisetsu/shisho/sougou_center.html",,"月火水木金","09:00","17:00","国民の祝日に関する法律に規定する休日及び年末年始（１２月２９日から翌年の１月３日まで）は利用不可。"
"5","34.34371056","134.10129944","屋島出張所","高松市屋島中町449-1","087-841-6258","http://www.city.takamatsu.kagawa.jp/kurashi/kurashi/shisetsu/shisho/sougou_center.html",,"月火水木金","09:00","17:00","国民の祝日に関する法律に規定する休日及び年末年始（１２月２９日から翌年の１月３日まで）は利用不可。"
"6","34.29657167","134.11258333","前田出張所","高松市前田東町838","087-847-5897","http://www.city.takamatsu.kagawa.jp/kurashi/kurashi/shisetsu/shisho/sougou_center.html",,"月火水木金","09:00","17:00","国民の祝日に関する法律に規定する休日及び年末年始（１２月２９日から翌年の１月３日まで）は利用不可。"
"7","34.30697278","134.08946833","川添出張所","高松市元山町136-4","087-847-5893","http://www.city.takamatsu.kagawa.jp/kurashi/kurashi/shisetsu/shisho/sougou_center.html",,"月火水木金","09:00","17:00","国民の祝日に関する法律に規定する休日及び年末年始（１２月２９日から翌年の１月３日まで）は利用不可。"
"8","34.29778","134.07625","林出張所","高松市林町329-1","087-866-2095","http://www.city.takamatsu.kagawa.jp/kurashi/kurashi/shisetsu/shisho/sougou_center.html",,"月火水木金","09:00","17:00","国民の祝日に関する法律に規定する休日及び年末年始（１２月２９日から翌年の１月３日まで）は利用不可。"
"9","34.27771639","134.06947833","三谷出張所","高松市三谷町1201-1","087-889-4914","http://www.city.takamatsu.kagawa.jp/kurashi/kurashi/shisetsu/shisho/sougou_center.html",,"月火水木金","09:00","17:00","国民の祝日に関する法律に規定する休日及び年末年始（１２月２９日から翌年の１月３日まで）は利用不可。"
"10","34.29067333","134.02893556","一宮出張所","高松市一宮町838-1","087-886-0811","http://www.city.takamatsu.kagawa.jp/kurashi/kurashi/shisetsu/shisho/sougou_center.html",,"月火水木金","09:00","17:00","国民の祝日に関する法律に規定する休日及び年末年始（１２月２９日から翌年の１月３日まで）は利用不可。"
