"#property","latitude","longitude","name","address","telephoneNumber","targetChildren","capacity","availableDate","normalTime","normalPrice","extendedChildcare","detailPrice","longVacation","longVacationPrice","registrationFee","insuranceFee","snack","lunch","note"
"1","34.3449589","134.0399965","放課後児童クラブまある","番町ニ丁目14番2号 1階","087-813-2251","小学1～6年生","40人","月～土曜日
土曜日については月１回施設の指定する日のみ","放課後～19:00
土曜日　８:０0～19:00","20,000円/月　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　","ー","ー","8:00～19:00","5日間　12,000円","利用料に含む","利用料に含む","利用料に含む","各自持参・弁当注文当日受付あり","学校休校日、警報時も8：00～19：00利用可
英会話、体操教室、学習指導あり　　　　　　　　　※上記すべて追加料金なし　"
"2","34.3381769","134.0395831","放課後児童クラブるぽ","亀岡町２番１８号","087-802-3757","小学１～６年生","３８人","月～土曜日","放課後～18:30
土曜日　９:０0～18:30","月～金曜日　２０,000円/月
月～土曜日　２３,000円/月","18:30～19:00","４00円／３０分","８:30～18:30","＜8月のみ＞　　　　　　　　　　　　　　　　　　　月～金曜日　２５,000円/月
月～土曜日　２８,000円/月","３,000円/年（保険料を含む）","利用料に含む","利用料に含む","各自持参・弁当注文可能","送迎あり（無料）"
"3","34.3229984","134.0436633","学童クラブゆうか","花ノ宮町三丁目4番28号","087-815-2868","小学1～6年生","45人","月～土曜日","放課後～ 19:00
土曜日　8:00～18:00
（7:30～受け入れ可能）","【定期】　月～金曜日 15,000円/月
　　　　　土曜日　　　2,000円/日
【不定期】月～金曜日　1,200円/日 
　　　　　土曜日　　　2,500円/日     ","平日・長期　19:00～21:00
土曜日　　　  7:30～  8:00
　　　　　   18:00～21:00
　　　　（事前にご相談ください）","500円/30分","7:30～19:00
（延長は平常時と同じ）","（8月）
【定期】月～金曜日     28,000円/月
【不定期】  月～金曜日  2,500円/日","新規 6,000円/年　更新 5,000円/年","800円/年","軽食を提供　利用料に含む","各自持参
ゆうか手作りお弁当注文可（300円）
※夕食も可","・学校休校日、警報発令時　利用可
・21:00までのお預かりあり
・兄弟姉妹割引有　一人親家庭登録料免除
・下校時のお迎え有（有料）
・塾への送迎有（日程調整のつく限り。基本的には栗林校区内の塾）
  その他、特別な事情ありの方ご相談に応じます。"
"4","34.326536","134.0456745","花ノ宮こども園","花ノ宮町一丁目10番22号","087-831-6318","小学1～6年生","28人","月～土曜日","放課後～17:30
土曜日　８:３0～17:00","5,000円/月（8月を除く）
2,000円/月（おやつ・教材）","月～金　7:00～8:30、17:30～19:00　土曜日　7:00～8:30                                       ※土曜日の夕方延長保育はありません。","＜登録＞ 
７:00～7:30 3,000円/月  17:31～18:00 2,000円/月
７:31～8:00 2,000円/月  18:01～18:30 2,000円/月+400円/回
8:01～8:30 1,000円/月  18:31～19:00 2,000円/月 +900円/回","8:30～17:30
（延長は平常時と同じ）","100円/時間
2,000円/月（おやつ・教材）","5,000円/年
（保険料800円を含む）","—","利用料に含む","各自持参",
"5","34.3337103","134.046243","学童保育ハルクラブ","藤塚町一丁目8番23号","087-802-4586","小学1～6年生","43人","月～土曜日","放課後～18:30
土曜日　7:30～18:30","【定期】　　月～金　13,000円/月
　　　　　　土曜日　1,000円/日
　　　　学校休業日　500円加算/日
【不定期】　月～金　1,300円/日
　　　　　　土曜日　2,000円/日
　　　　学校休業日　2,000円/日","18:30～19:00","300円／30分","7:30～18:30
（延長は平常時と同じ）","【定期】500円加算／日
（8月は最大6,000円加算）
【不定期】2,000円／日
（夏休み8月利用料は25,000円）","入会金　3,000円
【定期】年会費　3,000円/年
【不定期】年会費　1,500円/年","年会費に含む","利用料に含む","各自持参・弁当注文可能","・定期（月極コース）はハルカルチャーにおける習い事1種類の受講が含まれる。
・一人親家庭入会金免除
・兄弟姉妹割引あり"
"6","34.3334381","134.0463305","学童保育ハルクラブ第２教室","藤塚町一丁目１４番３号 ２階","087-802-4586","小学1～6年生","3５人","月～土曜日","放課後～18:30
土曜日　7:30～18:30","【定期】　　月～金　13,000円/月
　　　　　　土曜日　1,000円/日
　　　　学校休業日　500円加算/日
【不定期】　月～金　1,300円/日
　　　　　　土曜日　2,000円/日
　　　　学校休業日　2,000円/日","18:30～19:00","300円／30分","7:30～18:30
（延長は平常時と同じ）","【定期】500円加算／日
（8月は最大6,000円加算）
【不定期】2,000円／日
（夏休み8月利用料は25,000円）","入会金　3,000円
【定期】年会費　3,000円/年
【不定期】年会費　1,500円/年","年会費に含む","利用料に含む","各自持参・弁当注文可能","・定期（月極コース）はハルカルチャーにおける習い事1種類の受講が含まれる。
・一人親家庭入会金免除
・兄弟姉妹割引あり"
"7","34.3387365","134.0515577","アーキペラゴ放課後児童クラブ","高松市塩上町一丁目２番７号","087-813-1001","小学1～6年生","25人","月～土曜日","放課後～18:00
土曜日　9:00～18:00","【定期】　長期休暇月以外
　　　　　月～金曜日　　20,000円/月
　　　　　月～土曜日　　30,000円/月

【不定期】1,000円（３時間以内）","平日・土曜日・長期　18:00～１９:00　　　　　　　　　　　　　　土曜日・長期のみ　　８:00～　９:00","500円/30分","9:00～18:00","1、3、4、7、12月　　30,000円/月
                       ８月　　36,000円/月","【定期】3,000円/年（保険料800円を含む）
【不定期】3,000円/年（保険料800円が別途必要）","ー","【定期】利用料に含む
【不定期】100円/1日","各自持参、一緒に買いに行く
（長期休暇中）","一人親家庭割引有り
（登録料免除、利用料割引）
兄弟姉妹割引有り
（２人目以降登録料免除、利用料割引）"
"8","34.3424917","134.0592149","ふくふく児童クラブ","松福町一丁目12番20号","087-802-6336","小学1～6年生（低学年優先）","40人","月～土曜日
土曜日はクラブの指定する日","放課後～18:00
土曜日　9：00～18：00","　　　月～金曜日　　6,000円/月
　　　土曜日（～16：30）750円／日
　　　土曜日（～18：00）900円／日","8:00～9:00、18:00～19:00","【登録者】 2,000円/月（8：00～）
　　　　 　1,000円/月（8：30～）
　　　　 　1,000円/月（～18：30）
　　　　 　2,000円/月（～19：00）
　　　　　 　１00円/30分
（【非登録者】は別途規定有）","9:00～18:00","【登録者】（春休み・冬休みは別途規定有）
　7月　７,000円
　8月　12,000円
【非登録者】（春休み・冬休みは別途規定有）
　夏休み全期間　17,000円","3,000円/年
（保険料を含む）","ー","１,000円/月
（長期休暇中・非登録者は別途規定有）","各自持参","・兄弟姉妹割引あり
・学校休校日、警報発令時開室
・下校時のお迎え（有料）あり
　（新番丁、花園、栗林小等）
　　　　　　　　　"
"9","34.3341005","134.0714996","学童保育アローナック","木太町2344番地1","087-813-2278","小学1～6年生","40人","月～土曜日","放課後～19:00
土曜日　8:00～19:00","月～金曜日(週５日利用)   15,000円/月　　　　　    　　　　　　　　月～金曜日(週４日利用)   14,000円/月　　　　　　    　　　　　　　土曜日　午前８時～午後１時までの５時間　750円　　　　　　　　　
　　　　午後１時～午後７時までの５時間　750円　
　午前８時～午後７時までの１１時間　１５００円　","19:00～22:00","500円/時間","8:00～19:00","3、8、12月　25,000円/月","年会費　5,000円/年","800円/年","利用料に含む","各自持参","兄弟姉妹割引あり
（２人目以降年会費免除、利用料割引）"
"10","34.3136152","134.0557809","アフタースクール香川","伏石町2078番地10","087-864-6812/090-6604-8772","小学1～6年生","85人","月～土曜日","放課後～19:00
土曜日　7:30～19:00","【定期】　月～金曜日　10,000円/月
【不定期】　300円/時間（1,500円/日）
　　　　　1,000円/月
     （全く利用しない月のみ継続維持費として）　　　　　　　　　　　　　　　　　　　　　　　　　　【土曜日限定】　4,000円/月","月～金曜日（19:00～19:30）","19:00を越える場合
500円/30分","7:30～19:00（延長保育あり）","夏休み期間のみ
【定期】平常時と同額に　200円×利用日数を加算
【不定期】平常時と同額に　100円×利用日数を加算","1世帯4,200円/年","800円/年","100円/日","各自持参","兄弟姉妹割引・ひとり親割引あり
下校時のお迎え（有料）あり"
"11","34.3107719","134.0606605","こぶし中央保育園（のびっこ教室）","松縄町1142番地7","087-866-7169","小学1～6年生","40人
（長期休暇60人）","月～土曜日","放課後～18:00
土曜日　8:30～18:00","月～金曜日　5,000円/月　
　   土曜日　     50円/時間　　
（月登録以外は100円/時間）","７:00～8:30、18:00～19:00","100円/30分
200円/時間","8:30～18:00","＜8月利用＞  月～金曜日         7,500円/月
＜７、8月の長期のみの利用＞  9,500円","500円
（初回利用時・保険料含む）","—","100円/日","各自弁当持参","長期休暇のみの方は、ご相談ください。"
