#property,areaCode,areaNumber,confidential,confidentialInformation,totalArea,cityCode,cityName,townName,numberOfBusinessFacilities,businessFacilityBuildingArea,totalFloorAreaOfBusinessFacilities,numberOfCommercialFacilities,commercialFacilityBuildingArea,TotalFloorAreaOfCommercialFacilities,NumberOfAccommodationFacilities,AccommodationBuildingArea,AccommodationTotalFloorArea,NumberOfCommercialComplexFacilities,CommercialComplexBuildingArea,TotalFloorAreaOfCommercialComplex,NumberOf Houses,ResidentialBuildingArea,TotalFloorAreaOfTheHouse,numberOfApartmentBuildings
1,372010010,2,,,,37201,高松市,塩屋町,9,1636.62,9161.9,7,549.78,1655.62,1,171.37,245.18,,,,34,2454.65,5366.59,1
2,372010020,2,,,,37201,高松市,築地町,7,1321.47,4404.48,4,307.48,729.87,,,,,,,156,8632.14,25191.26,19
3,37201003000,3,,,,37201,高松市,塩上町,4,526.88,2701.02,,,,,,,,,,36,1982,5549.7,2
4,37201003001,3,,,,37201,高松市,塩上町１丁,16,1506.59,6169.53,8,830,1848.45,,,,,,,80,4026.47,9586.03,6
5,37201003002,3,,,,37201,高松市,塩上町２丁,14,1553.49,4117.35,8,834.09,2909.4,,,,,,,181,11448.75,28103.03,20
6,37201003003,3,,,,37201,高松市,塩上町３丁,13,1316.13,5796.46,10,629.91,1771.28,,,,,,,165,9288.4,22376.63,13
7,372010040,2,,,,37201,高松市,八坂町,,,,3,234.49,447.92,,,,,,,30,1551.76,3730.57,3
8,372010050,2,,,,37201,高松市,福田町,7,506.2,1502.29,7,577.31,1759.02,3,732.67,4535.26,,,,85,4743.51,12577.83,6
9,37201006001,3,,,,37201,高松市,常磐町１丁,5,586.57,2031.75,35,11873.01,98693.28,,,,,,,28,1724.21,5023.93,
10,37201006002,3,,,,37201,高松市,常磐町２丁,10,927.95,4112.53,13,1103.06,3722.55,6,834.15,3610.12,,,,57,3966.57,9896.32,9
11,37201007001,3,,,,37201,高松市,瓦町１丁目,20,2718.44,11272.11,24,1720.49,7252.47,6,1874.97,19875.03,,,,50,2707.78,9923.36,5
