#property,areaCode,areaNumber,confidential,confidentialInformation,totalArea,cityCode,cityName,townName,woodenStorehouse,steelReinforcedConcrete,reinforcedConcrete,steelFrame,lightSteelFrame,brick,unknown
1,372010010,2,,,,37201,高松市,塩屋町,41,2,37,31,5,0,0
2,372010020,2,,,,37201,高松市,築地町,118,4,51,69,25,2,0
3,37201003000,3,,,,37201,高松市,塩上町,28,1,9,8,4,2,0
4,37201003001,3,,,,37201,高松市,塩上町１丁目,58,0,32,33,7,1,0
5,37201003002,3,,,,37201,高松市,塩上町２丁目,173,2,54,57,18,3,0
6,37201003003,3,,,,37201,高松市,塩上町３丁目,106,2,54,77,15,3,0
7,372010040,2,,,,37201,高松市,八坂町,31,0,12,10,1,5,0
8,372010050,2,,,,37201,高松市,福田町,47,1,34,42,7,4,0
9,37201006001,3,,,,37201,高松市,常磐町１丁目,16,3,24,43,0,3,0
10,37201006002,3,,,,37201,高松市,常磐町２丁目,43,3,40,41,16,1,0
11,37201007001,3,,,,37201,高松市,瓦町１丁目,31,9,40,62,4,0,0
12,37201007002,3,,,,37201,高松市,瓦町２丁目,60,10,59,59,3,4,0
13,372010080,2,,,,37201,高松市,古馬場町,31,1,76,74,9,5,0
14,372010090,2,,,,37201,高松市,御坊町,21,0,35,33,4,2,0
15,372010100,2,,,,37201,高松市,今新町,31,2,37,31,3,3,0
16,372010110,2,,,,37201,高松市,大工町,39,6,34,33,5,2,0
17,372010120,2,,,,37201,高松市,百間町,25,3,36,31,1,5,0
18,372010130,2,,,,37201,高松市,片原町,32,2,31,31,5,2,0
19,372010140,2,,,,37201,高松市,鶴屋町,33,1,18,27,12,0,0
20,372010150,2,,,,37201,高松市,本町,123,0,35,45,10,1,0
21,372010160,2,,,,37201,高松市,北浜町,64,4,28,49,15,5,0
22,37201017001,3,,,,37201,高松市,朝日町１丁目,5,0,1,28,3,1,0
23,37201017002,3,,,,37201,高松市,朝日町２丁目,94,0,13,31,12,2,0
24,37201017003,3,,,,37201,高松市,朝日町３丁目,14,0,2,40,4,3,0
25,37201017004,3,,,,37201,高松市,朝日町４丁目,2,0,17,190,57,31,0
26,37201017005,3,,,,37201,高松市,朝日町５丁目,10,0,8,158,26,4,0
27,37201017006,3,,,,37201,高松市,朝日町６丁目,0,0,9,57,6,6,0
28,372010180,2,,,,37201,高松市,東浜町,32,1,11,8,2,0,0
29,37201019001,3,,,,37201,高松市,城東町１丁目,41,0,38,25,1,3,0
30,37201019002,3,,,,37201,高松市,城東町２丁目,44,2,15,53,24,5,0
31,372010200,2,,,,37201,高松市,朝日新町,3,1,46,102,16,7,0
32,372010210,2,,,,37201,高松市,通町,31,1,10,23,5,0,0
33,372010220,2,,,,37201,高松市,井口町,31,3,19,10,2,0,0
34,372010230,2,,,,37201,高松市,末広町,45,2,23,25,15,3,0
35,37201024001,3,,,,37201,高松市,福岡町１丁目,50,4,14,16,19,3,0
36,37201024002,3,,,,37201,高松市,福岡町２丁目,240,9,52,110,54,2,0
37,37201024003,3,,,,37201,高松市,福岡町３丁目,299,0,32,133,69,6,0
38,37201024004,3,,,,37201,高松市,福岡町４丁目,368,0,26,59,49,3,0
39,37201025001,3,,,,37201,高松市,松福町１丁目,207,6,49,65,37,2,0
40,37201025002,3,,,,37201,高松市,松福町２丁目,181,0,44,49,33,3,0
41,37201026000,3,,,,37201,高松市,松島町,35,1,3,9,4,0,0
