#property,latitude,longitude,name,address,telephoneNumber,referenceObject,note
1,34.34758361,134.03246917,高松市日新コミュニティセンター,高松市瀬戸内町22-9,087-834-9911,,
2,34.34451944,134.03656833,高松市二番丁コミュニティセンター,高松市扇町二丁目8-7,087-822-3556,,
3,34.34355083,134.04488778,高松市四番丁コミュニティセンター,高松市番町二丁目3-5,087-851-8479,,
4,34.33958444,134.03529167,高松市亀阜コミュニティセンター,高松市宮脇町一丁目6-18,087-834-0797,,
5,34.32881028,134.04804333,高松市栗林コミュニティセンター,高松市栗林町三丁目2-12,087-835-5399,,
6,34.34023306,134.06504944,高松市松島コミュニティセンター,高松市松福町二丁目15-24,087-821-0435,,
7,34.33607972,134.05686194,高松市花園コミュニティセンター,高松市観光通二丁目8-9,087-835-5398,,
8,34.341274,134.056839,高松市築地コミュニティセンター,高松市築地町14-1,087-862-1166,,
9,34.34741472,134.05595611,高松市新塩屋町コミュニティセンター,高松市城東町一丁目1-47,087-822-1066,,
10,34.31385667,134.03025667,高松市鶴尾コミュニティセンター,高松市田村町303-1,087-866-3176,,
11,34.318758157,134.053920381,高松市太田コミュニティセンター,高松市伏石町2016-37,087-867-1139,,
12,34.31384917,134.06404833,高松市太田中央コミュニティセンター,高松市松縄町1108-1,087-867-3396,,
13,34.30185833,134.04128111,高松市太田南コミュニティセンター,高松市太田上町1045-2,087-865-9947,,
14,34.32620361,134.07672722,高松市木太コミュニティセンター,高松市木太町3480-2,087-834-5547,,
15,34.31924611,134.07618028,高松市木太南コミュニティセンター,高松市木太町1486,087-865-4273,,
16,34.33559694,134.07944333,高松市木太北部コミュニティセンター,高松市木太町2603,087-831-9000,,
17,34.34371056,134.10129944,高松市屋島コミュニティセンター,高松市屋島中町449-1,087-841-6927,,
18,34.35227583,134.08916139,高松市屋島西コミュニティセンター,高松市屋島西町2483-2,087-843-2961,,
19,34.35496778,134.11591722,高松市屋島東コミュニティセンター,高松市屋島東町928,087-841-9931,,
20,34.33566417,134.10751306,高松市古高松コミュニティセンター,高松市高松町10-20,087-841-6262,,
21,34.32697333,134.09171194,高松市古高松南コミュニティセンター,高松市春日町782-2,087-841-2186,,
22,34.29663556,134.11261944,高松市前田コミュニティセンター,高松市前田東町838,087-847-6168,,
23,34.30697278,134.08946833,高松市川添コミュニティセンター,高松市元山町136-4,087-847-5979,,
24,34.297699,134.076245,高松市林コミュニティセンター,高松市林町329-1,087-866-3405,,
25,34.27772944,134.06947,高松市三谷コミュニティセンター,高松市三谷町1201-1,087-889-4938,,
26,34.27850556,134.04784528,高松市仏生山コミュニティセンター,高松市仏生山町乙45-4,087-889-4955,,
27,34.29041,134.05148611,高松市多肥コミュニティセンター,高松市多肥上町433-5,087-889-4956,,
28,34.29067333,134.02893556,高松市一宮コミュニティセンター,高松市一宮町838-1,087-886-4793,,
29,34.269316,134.009945,高松市川岡コミュニティセンター,高松市川部町486-3,087-886-4963,,
30,34.28539,134.00551278,高松市円座コミュニティセンター,高松市円座町1622-1,087-886-4993,,
31,34.30092139,133.99466861,高松市檀紙コミュニティセンター,高松市御厩町775-1,087-886-4955,,
32,34.32894333,134.00571417,高松市弦打コミュニティセンター,高松市鶴市町356-3,087-882-0285,,
33,34.32706,133.99330139,高松市鬼無コミュニティセンター,高松市鬼無町佐藤31-3,087-882-0875,,
34,34.34688556,133.99627528,高松市香西コミュニティセンター,高松市香西本町476-1,087-882-0294,,
35,34.35871417,133.96876917,高松市下笠居コミュニティセンター,高松市生島町353-1,087-882-0856,,
36,34.39210389,134.0517525,高松市女木コミュニティセンター,高松市女木町203-1,087-873-0105,,
37,34.422601613,134.054220139,高松市男木コミュニティセンター,高松市男木町1988,087-873-0002,,
38,34.27649833,134.08546139,高松市川島コミュニティセンター,高松市川島本町191-2,087-848-0054,,
39,34.27361306,134.10510694,高松市十河コミュニティセンター,高松市十川西町579-1,087-848-0166,,
40,34.23821417,134.09904472,高松市東植田コミュニティセンター,高松市東植田町1825-1,087-849-0104,,
41,34.24028,134.07882694,高松市西植田コミュニティセンター,高松市西植田町2247-1,087-849-0101　,,
42,34.241488,134.034423,高松市川東コミュニティセンター,高松市香川町川東上1865-13,087-879-4215,,
43,34.20461444,134.06167694,高松市東谷コミュニティセンター,高松市香川町東谷873-3,087-879-7997,,
44,34.1963675,134.04155944,高松市塩江コミュニティセンター,高松市塩江町安原下第2号1645,087-897-0137,,
45,34.3852675,134.12994556,高松市庵治コミュニティセンター,高松市庵治町888－1,087-871-4162,,
46,34.25663833,134.03566639,高松市浅野コミュニティセンター,高松市香川町浅野826-2,087-888-2537,,
47,34.33608722,134.142685,高松市大町コミュニティセンター,高松市牟礼町大町1463-2,087-870-1306,,
48,34.26717583,134.02466444,高松市大野コミュニティセンター,高松市香川町大野1329-1,087-886-1960,,
49,34.240124,134.012912,高松市香南コミュニティセンター,高松市香南町由佐1172,087-879-8993,,
50,34.30537556,133.96234361,高松市国分寺北部コミュニティセンター,高松市国分寺町新居1840-6,087-874-5805,,
51,34.28412861,133.96106694,高松市国分寺南部コミュニティセンター,高松市国分寺町福家甲3106-3,087-874-1116,,
52,34.33783,134.13929,高松市牟礼コミュニティセンター,高松市牟礼町牟礼302-1,087-845-4111,,
