#property,latitude,longitude,prefCode,identification,pref,city,name,fullNameInKana,alternativeName,fullNameInRomaji,classification,category,placeName,address,katagaki,telephoneNumber,extensionNumber,member,memberUnit,corporateNumber,owner,culturalPropertyDate,availableDate,startTime,endTime,availableDateNote,image,iamgeLicense,summary,summaryInRomaji,description,descriptionEng,referenceObject
1,0,0,37201,,香川県,高松市,国分寺本堂,,,,国指定重要文化財,建造物,国分寺,高松市国分寺町国分2065,,,,,,,,1904-08-29,,,,,,,,,,,
2,34.350573,134.051651,37201,,香川県,高松市,高松城  北之丸月見櫓、北之丸渡櫓、北之丸水手御門、旧東之丸艮櫓,,,,国指定重要文化財,建造物,玉藻公園,高松市玉藻町2-1,,087-851-1521,,,,,,1947-02-26,月火水木金土日,,,【開園時間】およそ日の出から日没まで。季節によって異なる。HP参照のこと。【閉園日】12月29日～31日。【その他】月見櫓と水手御門は毎週日曜日に内部公開。他は内部非公開。,,,,,,,http://www.takamatsujyo.com/
3,0,0,37201,,香川県,高松市,屋島寺本堂,,,,国指定重要文化財,建造物,屋島寺,高松市屋島東町1808,,,,,,,,1955-06-22,,,,,,,,,,,
4,0,0,37201,,香川県,高松市,小比賀家住宅 （主屋、午門、土蔵、米蔵、附土塀）,,,,国指定重要文化財,建造物,,高松市御厩町331,,,,,,,,1971-06-22,,,,【公開日】毎月第3日曜日。10：00～16：00。,,,,,,,
5,0,0,37201,,香川県,高松市,旧下木家住宅,,,,国指定重要文化財,建造物,公益財団法人　四国民家博物館（四国村）,高松市屋島中町91,,087-843-3111,,,,,,1982-02-16,月火水木金土日,08:30,17:30,年中無休。【閉園時間】18：00（4月～10月）、17：30（11月～3月）,,,,,,,https://www.shikokumura.or.jp/
6,0,0,37201,,香川県,高松市,旧河野家住宅,,,,国指定重要文化財,建造物,公益財団法人　四国民家博物館（四国村）,高松市屋島中町91,,087-843-3111,,,,,,1982-02-16,月火水木金土日,08:30,17:30,年中無休。【閉園時間】18：00（4月～10月）、17：30（11月～3月）,,,,,,,https://www.shikokumura.or.jp/
7,34.350573,134.051651,37201,,香川県,高松市,披雲閣（旧松平家高松別邸）　,,,,国指定重要文化財,建造物,玉藻公園,高松市玉藻町2-1,,087-851-1521,,,,,,2012-07-09,月火水木金土日,,,【開園時間】およそ日の出から日没まで。季節によって異なる。HP参照のこと。【閉園日】12月29日～31日。【その他】原則非公開。施設利用がなく、ボランティアガイドの案内があれば内部見学可能。,,,,,,,http://www.takamatsujyo.com/
8,0,0,37201,,香川県,高松市,絹本著色十王像  陸信忠筆,,,,国指定重要文化財,絵画,法然寺,高松市仏生山町甲3215-1,,,,,,,,1901-03-27,,,,,,,,,,,
9,0,0,37201,,香川県,高松市,絹本著色観世音功徳図  伝鶴州筆    六曲屏風 三双、二曲屏風 一双,,,,国指定重要文化財,絵画,法然寺,高松市仏生山町甲3215-1,,,,,,,,1901-03-27,,,,,,,,,,,
10,0,0,37201,,香川県,高松市,紙本金地著色源氏物語図（若菜、紅葉賀）  狩野養信筆   八曲屏風,,,,国指定重要文化財,絵画,法然寺,高松市仏生山町甲3215-1,,,,,,,,1901-03-27,,,,,,,,,,,
