"№","　歯　科　技　工　所　名","開　設　者","法人代表者","latitude","longitude","所在地","TEL","開設日"
"1","ＭＤアートラボラトリ","入星　武",,"34.327561","134.072296","香川県高松市木太町２区１２０９番地５","087-866-6488","1977/4/1"
"2","フセイシデンタル工房","伏石　善行",,"34.280029","134.082306","香川県高松市由良町１２２９番地３９","087-848-1536","1999/1/23"
"3","Ｎ．Ｋデンタルラボラトリー","日下　伸男",,"34.280038","134.082303","香川県高松市屋島西町２３０４番地１１","087-843-8094","1986/3/25"
"4","大住デンタルテクニカ","大住　隆之",,"34.302424","134.042311","香川県高松市太田上町９５０番地８",,"1987/2/1"
"5","有限会社ヤシマデンタルサービス","有限会社ヤシマデンタルサービス","代表取締役　日下　幸弘","34.354752","134.089535","香川県高松市屋島西町２３０４番地１０","087-843-5218","1990/12/4"
"6","宮崎歯科技工所","宮崎　博",,"34.315078","134.047391","香川県高松市三条町２９９番地８","087-865-5952","1974/5/1"
"7","株式会社ア歯研　　　　　　　　","株式会社ア歯研　　　　　　　　","代表取締役　髙木　和彰","34.338943","134.04436","香川県高松市天神前６番６号","087-835-5001","1988/3/21"
"8","室谷技工所","室谷　卓男",,"34.338573","134.011987","香川県高松市鶴市町２０３５番地４","087-881-4794","1988/12/1"
"9","ラボ２１","平崎　清貴",,"34.347345","134.012909","香川県高松市郷東町４９６番地","087-881-5391","1991/6/4"
"10","ツムラデンタルラボラトリー","津村　佳成",,"34.284645","134.089711","香川県高松市由良町２９９番地６","087-848-4387","1992/5/1"
"11","遠藤歯科技工所","遠藤　人志",,"34.264502","134.087561","香川県高松市池田町１３５８番地２","087-848-0446","1993/5/11"
"12","デンタルファクトリーイチハラ","市原　俊二",,"34.321304","134.089064","香川県高松市春日町４１２番地５","087-844-3177","1994/2/14"
"13","コアデンタルラボ高松","村尾　修",,"34.332082","134.078517","香川県高松市木太町３１６４番地１３","087-834-1565","1995/4/14"
"14","ミツ歯科技工所","松原　由典",,"34.335769","134.069966","香川県高松市松島町三丁目１５番１２号","087-861-5735","1981/4/1"
"15","有限会社クラフト","有限会社クラフト","代表取締役　山本　数一","34.320725","133.996525","香川県高松市飯田町４２３番地５","087-882-6334","1994/7/14"
"16","かもい歯科技工所","鴨居　浩",,"34.336156","134.036108","香川県高松市宮脇町二丁目２５番１号","087-837-0870","1997/8/21"
"17","歯科工房　中井","中井　公一郎",,"34.336227","134.036098","香川県高松市木太町２９０５番地９","087-835-1729","1997/10/1"
"18","クラフト杉山","杉山　佳樹",,"34.319711","134.060114","香川県高松市松縄町１０２０番地１","087-865-5088","1998/1/1"
"19","有限会社セントラル・ラボ　　　","有限会社セントラル・ラボ　　　","代表取締役　松崎　晃","34.337052","134.046701","香川県高松市中央町１番６号","087-831-6123","1999/5/1"
"20","神内歯科技工所","神内　照男",,"34.277751","134.080606","香川県高松市川島本町５４８番地８",,"2000/1/1"
"21","ウエハラデンタルラボラトリー","上原　茂富",,"34.280859","134.050282","香川県高松市仏生山町乙８１番地２","087-889-5233","2001/2/1"
"22","柴垣歯科技工所","柴垣　幸治",,"34.297676","134.101423","香川県高松市前田西町１０７４番地","087-847-8660","2001/2/1"
"23","タカセ歯科技工所","高瀬　章雄",,"34.297684","134.101445","香川県高松市高松町１４９３番地３","087-843-8183","1985/8/1"
"24","シミズデンタルワーク","清水　健司",,"34.307871","134.090701","香川県高松市東山崎町６８１番地５","087-847-3877","1995/8/21"
"25","サン・セラミック","日下　高明",,"34.354756","134.089773","香川県高松市屋島西町２３００番地１８",,"1991/1/1"
"26","是本歯科技工所","是本　政廣",,"34.354748","134.089751","香川県高松市亀水町８０７番地２",,"S60.1"
"27","ツケヤネ・アートラボ","附屋根　孝幸",,"34.354912","133.985708","香川県高松市香西北町６６０番地３","087-882-4758","2003/1/1"
"28","デンタルファクトリー","辻本　憲司",,"34.295018","134.040022","香川県高松市太田上町３１９番地１","087-888-1721","2005/6/1"
"29","歯科工房　グランツ","杉村　吾郎",,"34.306968","133.945764","香川県高松市国分寺町国分２１１９番地１０","087-821-2909","1994/4/3"
"30","ヒロタ技工所","廣田　耕一郎",,"34.307025","133.945769","香川県高松市国分寺町新居３１８０番地","087-874-1657","2000/1/1"
"31","坂東技研","坂東　由美",,"34.292325","133.969189","香川県高松市国分寺町福家甲３９７１番地１","087-874-5162","2004/10/6"
"32","作花歯科技工","作花　正",,"34.255823","134.011841","香川県高松市香南町吉光１４４番地５","087-879-4809","1986/1/5"
"33","ナカガワデンタルアート","中川秀延",,"34.255338","134.011067","香川県高松市香南町吉光１３７番地５",,"1996/4/25"
"34","むれデンタルラボラトリー","岩淵　亘男",,"34.350001","134.126576","香川県高松市牟礼町牟礼３０１３番地１","087-845-2850","2000/5/23"
"35","デンタルワーク　マツイ","松井　友紀子",,"34.267524","134.035301","香川県高松市香川町浅野２６５番地３","087-888-3564","2002/8/8"
"36","福家デンタル・アシスト","福家　清治",,"34.287988","134.116159","香川県高松市亀田町２９５番地１０",,"2006/4/1"
"37","クロテック","黒川　智広",,"34.298749","134.121481","香川県高松市前田東町３６３番地３",,"1994/9/1"
"38","小西デンタルスポット","小西　義太郎",,"34.301947","133.947742","香川県高松市国分寺町国分８４５番地１",,"2007/2/13"
"39","有限会社デンタルハウスエアスター","有限会社デンタルハウスエアスター","代表取締役　大植　健一","34.301655","133.968828","香川県高松市国分寺町新居３９６番地１",,"2007/2/17"
"40","株式会社デンタルメティック","株式会社デンタルメティック","代表取締役　梨野　宏文","34.291711","133.988281","香川県高松市中間町１２３４番地","087-885-4645","2007/6/27"
"41","ブルーム","古川　修司",,"34.299305","134.077587","香川県高松市林町３６４番地６","087-867-8276","2008/3/1"
"42","レヴァンテ","遠藤　豊和",,"34.347419","134.003924","香川県高松市香西本町６６番地３","087-897-3620","2008/9/3"
"43","香西歯科技工所","香西　俊裕",,"34.306874","134.112117","香川県高松市前田西町５５０番地","087-847-5068","2009/4/1"
"44","有限会社嶋谷歯科技工所","有限会社嶋谷歯科技工所","代表取締役　嶋谷　住一","34.266511","134.092037","香川県高松市川島東町１２４９番地１１","087-848-3505","1988/2/1"
"45","梅村歯科技工所","有限会社梅村歯科技工所","取締役　梅村　恒","34.272919","134.087783","香川県高松市川島東町９５２番地２５","087-848-2949","2000/2/26"
"46","釜野歯科技工所","釜野　幹夫",,"34.272902","134.038219","香川県高松市仏生山町甲１９２２番地４","087-889-0025","2012/4/21"
"47","黒島技工所","黒島　雅文",,"34.250049","134.035781","香川県高松市香川町浅野１３５５番地１７","087-879-5622","2012/6/20"
"48","Ｄｅｎｔａｌ　Ｌａｂｏｒａｔｏｒｙ　Oｒａｌｅ　Ａｒｔｉｇｉａｎｏ","平尾　公一",,"34.295525","134.054186","香川県高松市多肥上町１２２３番地１９","090-5711-1007","2013/1/1"
"49","有限会社デイエスケイ","有限会社デイエスケイ","代表取締役　岡﨑　秀徳","34.302616","133.959358","香川県高松市国分寺町新居１７６１番地１・国分寺町新居３３８１番地１","087-874-1567","2013/2/1"
"50","Ｄｅｎｔａｌ　Ｌａｂｏ　ｉｃｈｉ","市原　康裕",,"34.334572","134.050731","香川県高松市藤塚町二丁目４番８号","090-2822-9992","2014/2/4"
"51","ＯＯＰＡＲＴＳ","梅田　茂和",,"34.337104","134.058741","香川県高松市多賀町二丁目９番２７号","087-802-1001","2014/5/7"
"52","ＴＯＴＡＬＥ","四宮　耕一",,"34.32749","133.98905","香川県高松市鬼無町佐藤５７２番地","087-882-0648","2014/11/21"
"53","デンタルラボマツダ","松田　隆",,"34.297929","134.069946","香川県高松市林町２０２番地１５","087-880-0664","1900/1/0"
"54","Ｓｈｉｋａ工房","多田　広文",,"34.300197","134.046789","香川県高松市太田上町７８０番地４","087-814-6410",
"55","ウツミ・デンタルアシスト","内海　忠男　　　　",,"34.332006","134.008167","香川県高松市鶴市町６６６番地６２　２Ｆ","087-881-8630","1998/4/1"
"56","デンタル・ラボ・アール","田岡　良一",,"34.320553","134.031271","香川県高松市西ハゼ町１８８番地１　三笠ハイツ１０２","090-1578-8679","2015/5/18"
"57","株式会社WILLE　","株式会社WILLE　",,"34.284566","134.011284","香川県高松市円座町１４３８番地１","087-880-2654","10/1/20"
"58","公益社団法人香川県歯科医師会立香川県先進歯科技工研修センター","公益社団法人香川県歯科医師会","会長　豊嶋　健治","34.347435","134.042798","香川県高松市錦町二丁目８番３８号","087-813-1411","2015/7/27"
"59","ＫＡＺＵデンタルラボラトリー","上池　和博",,"34.266292","134.105116","香川県高松市十川東町６５６番地３","087-848-4790","2015/7/27"
"60","Ａｒｓ　ｌａｂ（アルス ラボ）","大下　延宏",,"34.326571","134.056046","香川県高松市今里町一丁目４５４番地１","080-2983-8964","2015/9/26"
"61","アートアンドサイエンス株式会社","アートアンドサイエンス株式会社","代表取締役　植村　修作","34.323621","134.103712","香川県高松市新田町甲６３３番地１","087-843-8832","2009/2/1"
"62","株式会社ａｂｃ","株式会社ａｂｃ","代表取締役　小田　宏記","34.319484","134.054351","香川県高松市伏石町２０１４番地４",,"2017/1/1"
"63","スギモト・デンタル・ラボ","杉本　広文",,"34.309755","134.021864","香川県高松市勅使町１４１０番地４−３","090-2898-8048","2018/11/29"
"64","高松デンタルサプライ","森　和彦",,"34.267307","134.054181","香川県高松市三谷町４３６７番地９","087-889-6882","2016/4/6"
"65","Ｑｃｒｅａｔｅ","宮本　高英",,"34.283796","134.047348","香川県高松市仏生山町甲４３７番地１",,"2019/1/21"
"66","ＭＰＣ　ｌａｂｏ","永田　拓也",,"34.301383","134.041642","香川県高松市太田上町９７８番地８",,"2019/4/15"
"67","ＭＡＲＵ　Ｄｅｎｔａｌ　Ｌａｂｏｒａｔｏｒｙ","丸岡　暢茂",,"34.268059","134.054401","香川県高松市三谷町４３９１番地１",,"2019/8/16"
"68","スマイルケア株式会社","スマイルケア株式会社","代表取締役　細川　直哉","34.347253","134.024878","香川県高松市西町１９番３号",,"2019/11/7"
"69","ＨＩＲＯＳＨＩ　Ｄｅｎｔａｌ　Ｗｏｒｋｓ","医療法人社団裕歯科クリニック","理事長　西原　裕","34.290657","134.068643","香川県高松市上林町字竹部６５番地１",,"2019/4/1"
"70","アズスタイルデンタルラボラトリー","清水　歩",,"34.271672","134.103721","香川県高松市十川西町５１４番地１４",,"2020/9/2"
"71","神山歯科技工所","神山　順",,"34.285041","134.053913","香川県高松市多肥上町６３０番地４",,"2021/1/4"
"72","デント・ラボラトーリオ","石井　弘之",,"34.295416","134.057481","香川県高松市多肥上町字松林１２９２番地１",,"2021/12/1"
"73","Ｐｏｎｅｎｔｅ","遠藤　真奈美",,"34.347306","134.004085","香川県高松市香西本町５０番地５　アドバンス香西Ｂ棟１０２",,"2022/5/1"
"74","大西．D．ラボ","大西　正弘",,"34.232884","134.031176","香川県高松市香川町川東上１４３６番地１","090-1328-6286","2022/9/28"
"75","株式会社シケン高松技工所","株式会社シケン","代表取締役　島　隆寛","34.343695","134.005401","香川県高松市香西東町３１５番地10","087-804-7270","2023/1/10"
"76","広田技工所","小川　慈男",,"34.283351","134.043396","香川県高松市仏生山町甲３２３番地","087-889-1010","1993/5/1"
"77","凪","岩田　力",,"34.397641","134.130906","香川県高松市庵治町５４５５番地１",,"2023/4/8"
"78","オカダデンタルラボラトリー","岡田　真始",,"34.333779","134.117562","香川県高松市高松町１４６４番地１３",,"2023/1/1"
"79","ＳＭＬデンタルラボラトリー","多田　祐介",,"34.324089","134.103766","香川県高松市新田町甲６１４番地８","090-4332-5694","2024/3/21"
