#property,name,address,telephoneNumber,flood_L1,flood_L2,inundation,sedimentDisaster,stormSurge,tunami,fire,earthquake,evacuationSpace,jurisdiction,location,elevation,capacity,residentsAssociation
1,日新小学校跡施設,高松市瀬戸内町18-2,087-839-2611,○,△,○,○,△,△,○,○,○,地域振興課,"34.34753333,134.03003917",1.7,238,日新地区コミュニティ協議会
2,新番丁小学校,高松市錦町2-14-1,087-851-1316,○,△,○,○,△,△,○,○,○,教育総務課,"34.34583944,134.04099361",2.9,429,二番丁地区コミュニティ協議会
3,四番丁小学校跡施設,高松市番町1-5-1,087-823-2714,○,○,○,○,△,○,○,○,○,埋蔵文化財センター,"34.34377306,134.04579889",2.5,315,四番丁コミュニティ協議会
4,亀阜小学校,高松市亀岡町10-1,087-861-2013,○,○,○,○,△,○,○,○,○,教育総務課,"34.33752361,134.03989417",4.1,351,亀阜校区コミュニティ協議会
5,栗林小学校,高松市栗林町2-10-7,087-861-3438,○,○,○,○,○,○,○,○,○,教育総務課,"34.33083306,134.05012111",6.2,429,栗林校区コミュニティ協議会
6,花園小学校,高松市花園町2-7-7,087-831-9129,○,○,○,○,△,○,○,○,○,教育総務課,"34.33344111,134.05785361",2.5,310,花園地区コミュニティ協議会
7,築地小学校跡施設,高松市築地町14-1,087-839-2611,○,○,△,○,△,△,○,○,○,地域振興課,"34.34125139,134.05681472",1.6,279,築地地区コミュニティ協議会
8,総合教育センター,高松市末広町5,087-811-2161,○,○,○,○,△,△,○,○,○,総合教育センター,"34.34375389,134.05616194",2,310,新塩屋町地区コミュニティ協議会
9,鶴尾小学校,高松市松並町636-1,087-867-2564,○,△,△,○,○,○,○,○,○,教育総務課,"34.31556472,134.02853472",16.3,306,鶴尾校区コミュニティ協議会
10,太田小学校,高松市伏石町845-1,087-865-4433,○,○,○,○,○,○,○,○,○,教育総務課,"34.31229917,134.05171333",13.2,393,太田地区コミュニティ協議会
11,太田南小学校,高松市太田下町1823-1,087-865-9395,○,○,○,○,○,○,○,○,○,教育総務課,"34.30652444,134.04418639",19.9,393,太田南地区コミュニティ協議会
12,中央小学校,高松市松縄町1138,087-866-2938,○,○,○,○,○,○,○,○,○,教育総務課,"34.32068722,134.06164556",9.8,306,太田地区コミュニティ協議会
13,木太小学校,高松市木太町3480-1,087-861-6337,○,△,○,○,△,△,○,○,○,教育総務課,"34.32505639,134.07648556",1.7,324,木太地区コミュニティ協議会
14,木太北部小学校,高松市木太町2613,087-831-4150,○,△,○,○,△,△,○,○,○,教育総務課,"34.33625528,134.08043778",1,274,木太地区コミュニティ協議会
15,木太南小学校,高松市木太町1530-1,087-866-7295,○,△,○,○,△,○,○,○,○,教育総務課,"34.32080417,134.07471944",3.2,324,木太地区コミュニティ協議会
16,古高松小学校,高松市高松町398,087-841-9204,○,△,○,○,○,○,○,○,○,教育総務課,"34.33228972,134.10677444",4.1,314,古高松地区コミュニティ協議会
17,古高松南小学校,高松市新田町甲2605,087-843-2467,○,△,○,○,△,○,○,○,○,教育総務課,"34.32686222,134.09864194",3.3,277,古高松地区コミュニティ協議会
18,屋島小学校,高松市屋島西町1205-1,087-841-1538,○,○,△,×,○,○,○,○,○,教育総務課,"34.347035,134.09963306",16.4,405,屋島地区コミュニティ協議会
19,屋島西小学校,高松市屋島西町2469,087-841-1063,○,△,○,○,△,○,○,○,○,教育総務課,"34.350915,134.09065306",2.7,396,屋島地区コミュニティ協議会
20,屋島東小学校,高松市屋島東町942-1,087-843-8402,○,○,○,○,△,△,○,○,○,教育総務課,"34.3537625,134.11598694",2.5,247,屋島地区コミュニティ協議会
21,前田小学校,高松市前田東町819-3,087-847-6562,△,△,△,○,○,○,○,○,○,教育総務課,"34.29588,134.11301944",13.3,315,前田校区コミュニティ協議会
22,川添小学校,高松市東山崎町207-1,087-847-6055,○,△,△,○,○,○,○,○,○,教育総務課,"34.30559528,134.09283194",7.8,396,川添地区コミュニティ協議会
