"#property","latitude","longitude","name","address","telephoneNumber","flood_L1","flood_L2","inundation","sedimentDisaster","stormSurge","tunami","fire","earthquake","evacuationSpace","jurisdiction","elevation","capacity","residentsAssociation"
"1","34.34753333","134.0300392","日新小学校跡施設","高松市瀬戸内町18-2","087-839-2611","○","△","○","○","△","△","○","○","○","地域振興課","1.7","238","日新地区コミュニティ協議会"
"2","34.34583944","134.0409936","新番丁小学校","高松市錦町2-14-1","087-851-1316","○","△","○","○","△","△","○","○","○","教育総務課","2.9","429","二番丁地区コミュニティ協議会"
"3","34.34377306","134.0457989","四番丁小学校跡施設","高松市番町1-5-1","087-823-2714","○","○","○","○","△","○","○","○","○","埋蔵文化財センター","2.5","315","四番丁コミュニティ協議会"
"4","34.33752361","134.0398942","亀阜小学校","高松市亀岡町10-1","087-861-2013","○","○","○","○","△","○","○","○","○","教育総務課","4.1","351","亀阜校区コミュニティ協議会"
"5","34.33083306","134.0501211","栗林小学校","高松市栗林町2-10-7","087-861-3438","○","○","○","○","○","○","○","○","○","教育総務課","6.2","429","栗林校区コミュニティ協議会"
"6","34.33344111","134.0578536","花園小学校","高松市花園町2-7-7","087-831-9129","○","○","○","○","△","○","○","○","○","教育総務課","2.5","310","花園地区コミュニティ協議会"
"7","34.34125139","134.0568147","築地小学校跡施設","高松市築地町14-1","087-839-2611","○","○","△","○","△","△","○","○","○","地域振興課","1.6","279","築地地区コミュニティ協議会"
"8","34.34375389","134.0561619","総合教育センター","高松市末広町5","087-811-2161","○","○","○","○","△","△","○","○","○","総合教育センター","2","310","新塩屋町地区コミュニティ協議会"
"9","34.31556472","134.0285347","鶴尾小学校","高松市松並町636-1","087-867-2564","○","△","△","○","○","○","○","○","○","教育総務課","16.3","306","鶴尾校区コミュニティ協議会"
"10","34.31229917","134.0517133","太田小学校","高松市伏石町845-1","087-865-4433","○","○","○","○","○","○","○","○","○","教育総務課","13.2","393","太田地区コミュニティ協議会"
"11","34.30652444","134.0441864","太田南小学校","高松市太田下町1823-1","087-865-9395","○","○","○","○","○","○","○","○","○","教育総務課","19.9","393","太田南地区コミュニティ協議会"
"12","34.32068722","134.0616456","中央小学校","高松市松縄町1138","087-866-2938","○","○","○","○","○","○","○","○","○","教育総務課","9.8","306","太田地区コミュニティ協議会"
"13","34.32505639","134.0764856","木太小学校","高松市木太町3480-1","087-861-6337","○","△","○","○","△","△","○","○","○","教育総務課","1.7","324","木太地区コミュニティ協議会"
"14","34.33625528","134.0804378","木太北部小学校","高松市木太町2613","087-831-4150","○","△","○","○","△","△","○","○","○","教育総務課","1","274","木太地区コミュニティ協議会"
"15","34.32080417","134.0747194","木太南小学校","高松市木太町1530-1","087-866-7295","○","△","○","○","△","○","○","○","○","教育総務課","3.2","324","木太地区コミュニティ協議会"
"16","34.33228972","134.1067744","古高松小学校","高松市高松町398","087-841-9204","○","△","○","○","○","○","○","○","○","教育総務課","4.1","314","古高松地区コミュニティ協議会"
"17","34.32686222","134.0986419","古高松南小学校","高松市新田町甲2605","087-843-2467","○","△","○","○","△","○","○","○","○","教育総務課","3.3","277","古高松地区コミュニティ協議会"
"18","34.347035","134.0996331","屋島小学校","高松市屋島西町1205-1","087-841-1538","○","○","△","×","○","○","○","○","○","教育総務課","16.4","405","屋島地区コミュニティ協議会"
"19","34.350915","134.0906531","屋島西小学校","高松市屋島西町2469","087-841-1063","○","△","○","○","△","○","○","○","○","教育総務課","2.7","396","屋島地区コミュニティ協議会"
"20","34.3537625","134.1159869","屋島東小学校","高松市屋島東町942-1","087-843-8402","○","○","○","○","△","△","○","○","○","教育総務課","2.5","247","屋島地区コミュニティ協議会"
"21","34.29588","134.1130194","前田小学校","高松市前田東町819-3","087-847-6562","△","△","△","○","○","○","○","○","○","教育総務課","13.3","315","前田校区コミュニティ協議会"
"22","34.30559528","134.0928319","川添小学校","高松市東山崎町207-1","087-847-6055","○","△","△","○","○","○","○","○","○","教育総務課","7.8","396","川添地区コミュニティ協議会"
"23","34.30118417","134.0701647","林小学校","高松市林町1108-1","087-865-6250","○","○","○","○","○","○","○","○","○","教育総務課","13.8","315","林地区コミュニティ協議会"
"24","34.27360944","134.0686047","三渓小学校","高松市三谷町2173-1","087-889-0767","○","○","○","○","○","○","○","○","○","教育総務課","28.4","234","三谷地区コミュニティ協議会"
