"#property","prefCode","no","pref","cityName","townName","address","buildingName","venue","eventName","overview","organizer","startDate","startTime","endDate","endTime"
"1","372013","0001","香川県","高松市","ことでん瓦町駅～ことでん高松築港駅",,,"商店街周辺","今昔まちあるきツアー","設定日：5/16(土)、23(土)
参加料金：\1,500
集合場所：ことでん瓦町駅/9：30
解散場所：ことでん高松築港駅/12：00頃
現在の高松市街地は、江戸時代の城下町を基礎として築かれています。絵図を手元に高松市街地を歩きながら、その名残を訪ね、今の高松を知るツアーです。途中、讃岐三白にゆかりのあるお店も訪問します。（プレゼント付き）","(公財)高松観光コンベンション・ビューロー","5/16/2020","09:30","5/23/2020","12:00"
"2","372013","0002","香川県","高松市","番町1丁目","11-63",,"アイパル香川","第16回小学生英語暗唱大会","英語の暗唱文(小学校低学年向け、小学校高学年向け）を覚え、大会当日に1人ずつ発表します。審査員(外国人を含む)が点数をつけ、優秀賞及び優良賞を選びます。　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　応募資格・対象：日本語を母国語とする高松市、直島町の小学生　　　　　　　　　　　　　　　定員数：小学1年生～3年生　25名、　小学4年生～6年生　25名　　　　　　　　　　　　　　　　　参加費用：無料　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　申込締切日：５月29日（金）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　申込先：高松市国際交流協会　　　　　　　　　　　　　　　　　　　　※英語の暗唱文は、協会の窓口またはホームページからのダウンロードにより入手可能です。","高松市国際交流協会","7/26/2020","13:30","7/26/2020","16:00"
"3","372013","0003","香川県","高松市","庵治町","5824-4",,"純愛の聖地庵治・観光交流館　市民ギャラリー","西森靖徳　水彩風景画展","高松市在住の西森靖徳さんの水彩風景画展です。約６０点展示します。　※最終日は１５時までです。","特定非営利活動法人はじめの一歩","5/9/2020","09:00","5/18/2020","17:00"
"4","372013","0004","香川県","高松市","松島町一丁目","15-1",,"高松市こども未来館　５階　プラネタリウム室","プラネタリウム　ゴールデンウィーク特別投影","ゴールデンウィーク特別投影のお知らせ☆
〇5月5日(火・祝)『星空おはなし会』
夢みらい図書館の司書さんの優しい語りとプラネタリウム解説員の星空案内をお楽しみいただけます。今回は、「おとめ座」のお話です。
〇5月2日(土)～6日(水・祝)『ＧＷ二本立てスペシャル』
１回の投影で番組を２本ご覧いただけるとってもお得なスペシャル投影です！
詳しくはこども未来館ホームページをご覧ください。","高松市","5/2/2020","00:00","5/6/2020","00:00"
"5","372013","0005","香川県","高松市","香川町川東上","1865-13",,"高松市香川図書館　2階　おはなしのへや","高松市香川図書館「おはなし会」","香川図書館では、絵本や紙芝居などの読み聞かせ「おはなし会」を定期的に開催しています。子どもから大人まで楽しむことができます。
●おはなしばんび（幼児～小学校低学年向け）
5月9日（土）午後2時～2時30分","高松市教育委員会","5/9/2020","14:00","5/9/2020","14:30"
"6","372013","0006","香川県","高松市","昭和町一丁目","2-20",,"中央図書館　１階児童コーナー","高松市中央図書館「こどもの読書週間」行事","2020年こどもの読書週間「出会えたね。とびっきりの一冊に。」
●さわってみよう「さわる」絵本
    と　き　4月23日（木）～5月12日（火）
　内　容　ボランティアが作成した「さわる絵本」の展示
","高松市教育委員会","4/23/2020","00:00","5/12/2020","00:00"
"7","372013","0007","香川県","高松市","昭和町一丁目","2-20",,"サンクリスタル高松　３階　第１集会室","ブックスタートボランティア説明会","「ブックスタート」とは、「絵本」を通じて、赤ちゃんと保護者がゆっくり向き合い、心ふれあうひとときを持つきっかけとなる活動です。
保健センターやコミュニティセンターでの４か月児相談時に、絵本を手渡し、絵本の楽しさや図書館の活用方法などを伝えていただく「ブックスタートボランティア」の説明会を開催します。

","高松市教育委員会","5/13/2020","14:00","5/13/2020","15:00"
"8","372013","0008","香川県","高松市","昭和町一丁目","2-20",,"高松市中央図書館　１階児童コーナー　おはなしのへや","高松市中央図書館「おはなし会」","　中央図書館では、わらべうたや絵本・紙芝居の読み聞かせなどの「おはなし会」を定期的に開催しています。「おはなしの世界」でたくさん遊んでみませんか。
●ゆりかごおはなし会（9か月～３歳未満児向け）
　5月6日（水）午前10時～10時30分
●おはなしのかけはし（幼児～小学校低学年向け）
　5月9日（土）午後2時～2時30分","高松市教育委員会","5/6/2020","00:00","5/23/2020","00:00"
"9","372013","0009","香川県","高松市","昭和町一丁目","2-20",,"高松市中央図書館　２階展示コーナー","高松市中央図書館 展示コーナー「のぞいて見よう。おもちゃの世界」展","　中央図書館では、香川県を始め、日本や外国の玩具（おもちゃ）等が掲載されている本を紹介し、玩具に対する知識を深めていただくとともに、もっと玩具に関心を持っていただくことを目的に「のぞいて見よう。おもちゃの世界」と題しまして５月３１日まで展示を行っています。","高松市教育委員会","4/1/2020","00:00","5/31/2020","00:00"
"10","372013","0010","香川県","高松市","国分寺町新居","1298",,"高松市国分寺図書館　おはなしコーナーまたは研修展示室","高松市国分寺図書館「おはなし会」","　国分寺図書館では、絵本・紙芝居の読み聞かせなどの「おはなし会」を定期的に開催しています。「おはなしの世界」でたくさん遊んでみませんか。
●本だいすきおはなし会（幼児～小学校低学年向け）
　　5月2日（土）午後2時～2時30分、おはなしコーナー
●キッズ読み聞かせ隊おはなし会（幼児～小学校低学年向け）
　　5月9日（土）午後2時～2時30分、おはなしコーナー


","高松市教育委員会","5/2/2020","00:00","5/23/2020","00:00"
