#LINK,,,,,,
#lang,ja,,,,,
#attribution_name,高松市,,,,,
#license,http://creativecommons.org/licenses/by/3.0/deed.ja,,,,,
#file_name,0057,,,,,
#download_from,https://opendata.smartcity-takamatsu.jp/ckan/dataset/fire_brigade,,,,,
#property,name,address,telephoneNumber,referenceObject,note,location
#object_type_xsd,string,string,string,string,string,string
#property_context,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion
1,高松市消防団東部分団屯所,高松市観光通2-5-18,087-861-2503,http://www.city.takamatsu.kagawa.jp/kurashi/kurashi/shobo/shobo/shobodan/dai1.html,,"34.33629,134.05585"
2,高松市消防団西部分団第１部屯所,高松市番町2-19-12,087-861-2503,http://www.city.takamatsu.kagawa.jp/kurashi/kurashi/shobo/shobo/shobodan/dai1.html,,"34.34487,134.03933"
3,高松市消防団西部分団第２部屯所,高松市瀬戸内町49-14,087-861-2503,http://www.city.takamatsu.kagawa.jp/kurashi/kurashi/shobo/shobo/shobodan/dai1.html,,"34.34844,134.03419"
4,高松市消防団南部分団屯所,高松市栗林町2-10-45,087-861-2503,http://www.city.takamatsu.kagawa.jp/kurashi/kurashi/shobo/shobo/shobodan/dai1.html,,"34.33059,134.04906"
5,高松市消防団北部分団屯所,高松市松福町1-20-9,087-861-2503,http://www.city.takamatsu.kagawa.jp/kurashi/kurashi/shobo/shobo/shobodan/dai1.html,,"34.34176,134.0586"
6,高松市消防団女木分団東浦屯所,高松市女木町2938-7,087-861-2503,http://www.city.takamatsu.kagawa.jp/kurashi/kurashi/shobo/shobo/shobodan/dai1.html,,"34.3901,134.05301"
7,高松市消防団女木分団西浦屯所,高松市女木町2943,087-861-2503,http://www.city.takamatsu.kagawa.jp/kurashi/kurashi/shobo/shobo/shobodan/dai1.html,,"34.39484,134.04418"
8,高松市消防団男木分団港屯所,高松市男木町133-4,087-861-2503,http://www.city.takamatsu.kagawa.jp/kurashi/kurashi/shobo/shobo/shobodan/dai1.html,,"34.42196,134.05457"
9,高松市消防団男木分団山上屯所,高松市男木町1903,087-861-2503,http://www.city.takamatsu.kagawa.jp/kurashi/kurashi/shobo/shobo/shobodan/dai1.html,,"34.42273,134.05576"
10,高松市消防団鶴尾分団第１部屯所,高松市田村町264-4,087-861-2503,http://www.city.takamatsu.kagawa.jp/kurashi/kurashi/shobo/shobo/shobodan/dai2.html,,"34.315,134.03329"
11,高松市消防団鶴尾分団第２部屯所,高松市勅使町898-3,087-861-2503,http://www.city.takamatsu.kagawa.jp/kurashi/kurashi/shobo/shobo/shobodan/dai2.html,,"34.3052,134.02125"
12,高松市消防団鶴尾分団第３部屯所,高松市田村町753-1,087-861-2503,http://www.city.takamatsu.kagawa.jp/kurashi/kurashi/shobo/shobo/shobodan/dai2.html,,"34.30463,134.02805"
13,高松市消防団太田分団第１部屯所,高松市太田上町1045-2,087-861-2503,http://www.city.takamatsu.kagawa.jp/kurashi/kurashi/shobo/shobo/shobodan/dai2.html,,"34.30171,134.04154"
14,高松市消防団太田分団第２部屯所,高松市伏石町1120-3,087-861-2503,http://www.city.takamatsu.kagawa.jp/kurashi/kurashi/shobo/shobo/shobodan/dai2.html,,"34.31341,134.05486"
15,高松市消防団三谷分団第１部屯所,高松市三谷町1201-1,087-861-2503,http://www.city.takamatsu.kagawa.jp/kurashi/kurashi/shobo/shobo/shobodan/dai2.html,,"34.278,134.06949"
16,高松市消防団三谷分団第２部屯所,高松市三谷町3151-9,087-861-2503,http://www.city.takamatsu.kagawa.jp/kurashi/kurashi/shobo/shobo/shobodan/dai2.html,,"34.26011,134.0688"
17,高松市消防団三谷分団第３部屯所,高松市三谷町4564-5,087-861-2503,http://www.city.takamatsu.kagawa.jp/kurashi/kurashi/shobo/shobo/shobodan/dai2.html,,"34.26853,134.0615"
18,高松市消防団多肥分団第１部屯所,高松市多肥上町819-3,087-861-2503,http://www.city.takamatsu.kagawa.jp/kurashi/kurashi/shobo/shobo/shobodan/dai2.html,,"34.29133,134.05221"
19,高松市消防団多肥分団第２部屯所,高松市多肥上町1843-3,087-861-2503,http://www.city.takamatsu.kagawa.jp/kurashi/kurashi/shobo/shobo/shobodan/dai2.html,,"34.28214,134.05417"
20,高松市消防団仏生山分団第１部屯所,高松市仏生山町甲2528-16,087-861-2503,http://www.city.takamatsu.kagawa.jp/kurashi/kurashi/shobo/shobo/shobodan/dai2.html,,"34.27709,134.0491"
21,高松市消防団仏生山分団第２部屯所,高松市仏生山町甲1011-5,087-861-2503,http://www.city.takamatsu.kagawa.jp/kurashi/kurashi/shobo/shobo/shobodan/dai2.html,,"34.28069,134.03669"
22,高松市消防団一宮分団第１部屯所,高松市一宮町834-7,087-861-2503,http://www.city.takamatsu.kagawa.jp/kurashi/kurashi/shobo/shobo/shobodan/dai3.html,,"34.2909,134.0287"
23,高松市消防団一宮分団第２部屯所,高松市鹿角町583-1,087-861-2503,http://www.city.takamatsu.kagawa.jp/kurashi/kurashi/shobo/shobo/shobodan/dai3.html,,"34.30099,134.0319"
24,高松市消防団一宮分団第３部屯所,高松市一宮町97-6,087-861-2503,http://www.city.takamatsu.kagawa.jp/kurashi/kurashi/shobo/shobo/shobodan/dai3.html,,"34.28619,134.02127"
25,高松市消防団川岡分団屯所,高松市川部町487-1,087-861-2503,http://www.city.takamatsu.kagawa.jp/kurashi/kurashi/shobo/shobo/shobodan/dai3.html,,"34.26803,134.00586"
26,高松市消防団円座分団屯所,高松市円座町1626-7,087-861-2503,http://www.city.takamatsu.kagawa.jp/kurashi/kurashi/shobo/shobo/shobodan/dai3.html,,"34.28569,134.00452"
27,高松市消防団檀紙分団屯所,高松市檀紙町777-10,087-861-2503,http://www.city.takamatsu.kagawa.jp/kurashi/kurashi/shobo/shobo/shobodan/dai3.html,,"34.29982,133.99672"
28,高松市消防団木太分団第１部屯所,高松市木太町3429-5,087-861-2503,http://www.city.takamatsu.kagawa.jp/kurashi/kurashi/shobo/shobo/shobodan/dai4.html,,"34.32662,134.07723"
29,高松市消防団木太分団第２部屯所,高松市木太町2558,087-861-2503,http://www.city.takamatsu.kagawa.jp/kurashi/kurashi/shobo/shobo/shobodan/dai4.html,,"34.33373,134.07905"
30,高松市消防団古高松分団第１部屯所,高松市高松町10-21,087-861-2503,http://www.city.takamatsu.kagawa.jp/kurashi/kurashi/shobo/shobo/shobodan/dai4.html,,"34.33536,134.10731"
31,高松市消防団古高松分団第２部屯所,高松市新田町甲923-4,087-861-2503,http://www.city.takamatsu.kagawa.jp/kurashi/kurashi/shobo/shobo/shobodan/dai4.html,,"34.32429,134.10714"
32,高松市消防団古高松分団第３部屯所,高松市春日町1591-4,087-861-2503,http://www.city.takamatsu.kagawa.jp/kurashi/kurashi/shobo/shobo/shobodan/dai4.html,,"34.33546,134.08753"
33,高松市消防団屋島分団第１部屯所,高松市屋島西町字丸山440-23,087-861-2503,http://www.city.takamatsu.kagawa.jp/kurashi/kurashi/shobo/shobo/shobodan/dai4.html,,"34.36595,134.09225"
34,高松市消防団屋島分団第２部屯所,高松市屋島東町1808,087-861-2503,http://www.city.takamatsu.kagawa.jp/kurashi/kurashi/shobo/shobo/shobodan/dai4.html,,"34.35794,134.10126"
35,高松市消防団屋島分団第３部屯所,高松市屋島西町1584-4,087-861-2503,http://www.city.takamatsu.kagawa.jp/kurashi/kurashi/shobo/shobo/shobodan/dai4.html,,"34.34532,134.09705"
36,高松市消防団屋島分団第４部屯所,高松市屋島東町1554-4,087-861-2503,http://www.city.takamatsu.kagawa.jp/kurashi/kurashi/shobo/shobo/shobodan/dai4.html,,"34.34236,134.11448"
37,高松市消防団屋島分団第５部屯所,高松市屋島東町528,087-861-2503,http://www.city.takamatsu.kagawa.jp/kurashi/kurashi/shobo/shobo/shobodan/dai4.html,,"34.35842,134.1138"
38,高松市消防団前田分団第１部屯所,高松市亀田町172-7,087-861-2503,http://www.city.takamatsu.kagawa.jp/kurashi/kurashi/shobo/shobo/shobodan/dai5.html,,"34.28469,134.11363"
39,高松市消防団前田分団第２部屯所,高松市前田西町1-10,087-861-2503,http://www.city.takamatsu.kagawa.jp/kurashi/kurashi/shobo/shobo/shobodan/dai5.html,,"34.29706,134.11203"
40,高松市消防団川添分団第１部屯所,高松市元山町975-9,087-861-2503,http://www.city.takamatsu.kagawa.jp/kurashi/kurashi/shobo/shobo/shobodan/dai5.html,,"34.31132,134.08351"
41,高松市消防団川添分団第２部屯所,高松市東山崎町33‐7,087-861-2503,http://www.city.takamatsu.kagawa.jp/kurashi/kurashi/shobo/shobo/shobodan/dai5.html,,"34.30194,134.09112"
42,高松市消防団林分団第１部屯所,高松市林町1170-7,087-861-2503,http://www.city.takamatsu.kagawa.jp/kurashi/kurashi/shobo/shobo/shobodan/dai5.html,,"34.30138,134.07208"
43,高松市消防団林分団第２部屯所,高松市上林町408-5,087-861-2503,http://www.city.takamatsu.kagawa.jp/kurashi/kurashi/shobo/shobo/shobodan/dai5.html,,"34.2898,134.06719"
44,高松市消防団川島分団屯所,高松市由良町542-4,087-861-2503,http://www.city.takamatsu.kagawa.jp/kurashi/kurashi/shobo/shobo/shobodan/dai5.html,,"34.28435,134.08457"
45,高松市消防団十河分団屯所,高松市十川西町299-10,087-861-2503,http://www.city.takamatsu.kagawa.jp/kurashi/kurashi/shobo/shobo/shobodan/dai5.html,,"34.27411,134.10497"
46,高松市消防団東植田分団屯所,高松市東植田町2026-12,087-861-2503,http://www.city.takamatsu.kagawa.jp/kurashi/kurashi/shobo/shobo/shobodan/dai5.html,,"34.24004,134.09747"
47,高松市消防団東植田分団菅沢屯所,高松市菅沢町字宮ノ谷338-1,087-861-2503,http://www.city.takamatsu.kagawa.jp/kurashi/kurashi/shobo/shobo/shobodan/dai5.html,,"34.19379,134.09776"
48,高松市消防団東植田分団城屯所,高松市東植田町3451-1,087-861-2503,http://www.city.takamatsu.kagawa.jp/kurashi/kurashi/shobo/shobo/shobodan/dai5.html,,"34.22741,134.10958"
49,高松市消防団西植田分団屯所,高松市西植田町字中塚3039-2,087-861-2503,http://www.city.takamatsu.kagawa.jp/kurashi/kurashi/shobo/shobo/shobodan/dai5.html,,"34.24001,134.07592"
50,高松市消防団西植田分団神内屯所,高松市西植田町7972-4,087-861-2503,http://www.city.takamatsu.kagawa.jp/kurashi/kurashi/shobo/shobo/shobodan/dai5.html,,"34.22893,134.07292"
51,高松市消防団弦打分団屯所,高松市鶴市町651-5,087-861-2503,http://www.city.takamatsu.kagawa.jp/kurashi/kurashi/shobo/shobo/shobodan/dai6.html,,"34.33168,134.00614"
52,高松市消防団鬼無分団屯所,高松市鬼無町佐藤31-3,087-861-2503,http://www.city.takamatsu.kagawa.jp/kurashi/kurashi/shobo/shobo/shobodan/dai6.html,,"34.32735,133.99335"
53,高松市消防団香西分団屯所,高松市香西北町37-6,087-861-2503,http://www.city.takamatsu.kagawa.jp/kurashi/kurashi/shobo/shobo/shobodan/dai6.html,,"34.34695,133.99586"
54,高松市消防団下笠居分団第１部屯所,高松市生島町351-4,087-861-2503,http://www.city.takamatsu.kagawa.jp/kurashi/kurashi/shobo/shobo/shobodan/dai6.html,,"34.3584,133.96912"
55,高松市消防団下笠居分団第２部屯所,高松市亀水町458-1,087-861-2503,http://www.city.takamatsu.kagawa.jp/kurashi/kurashi/shobo/shobo/shobodan/dai6.html,,"34.3723,133.94413"
56,高松市消防団国分寺分団第１部屯所,高松市国分寺町新居546-5,087-861-2503,http://www.city.takamatsu.kagawa.jp/kurashi/kurashi/shobo/shobo/shobodan/dai6.html,,"34.30401,133.96662"
57,高松市消防団国分寺分団第２部屯所,高松市国分寺町新名1320-1,087-861-2503,http://www.city.takamatsu.kagawa.jp/kurashi/kurashi/shobo/shobo/shobodan/dai6.html,,"34.28427,133.95947"
58,高松市消防団国分寺分団第３部屯所,高松市国分寺町国分961-8,087-861-2503,http://www.city.takamatsu.kagawa.jp/kurashi/kurashi/shobo/shobo/shobodan/dai6.html,,"34.30112,133.94439"
59,高松市消防団国分寺分団第４部屯所,高松市国分寺町福家1895-4,087-861-2503,http://www.city.takamatsu.kagawa.jp/kurashi/kurashi/shobo/shobo/shobodan/dai6.html,,"34.27337,133.97165"
60,高松市消防団塩江分団第１部屯所,高松市塩江町安原下第2号1590-1,087-861-2503,http://www.city.takamatsu.kagawa.jp/kurashi/kurashi/shobo/shobo/shobodan/dai7.html,,"34.19596,134.04212"
