"#property","latitude","longitude","name","address","telephoneNumber","referenceObject","note"
"1","34.33629","134.05585","高松市消防団東部分団屯所","高松市観光通2-5-18","087-861-2503","http://www.city.takamatsu.kagawa.jp/kurashi/kurashi/shobo/shobo/shobodan/dai1.html",
"2","34.34487","134.03933","高松市消防団西部分団第１部屯所","高松市番町2-19-12","087-861-2503","http://www.city.takamatsu.kagawa.jp/kurashi/kurashi/shobo/shobo/shobodan/dai1.html",
"3","34.34844","134.03419","高松市消防団西部分団第２部屯所","高松市瀬戸内町49-14","087-861-2503","http://www.city.takamatsu.kagawa.jp/kurashi/kurashi/shobo/shobo/shobodan/dai1.html",
"4","34.33059","134.04906","高松市消防団南部分団屯所","高松市栗林町2-10-45","087-861-2503","http://www.city.takamatsu.kagawa.jp/kurashi/kurashi/shobo/shobo/shobodan/dai1.html",
"5","34.34176","134.0586","高松市消防団北部分団屯所","高松市松福町1-20-9","087-861-2503","http://www.city.takamatsu.kagawa.jp/kurashi/kurashi/shobo/shobo/shobodan/dai1.html",
"6","34.3901","134.05301","高松市消防団女木分団東浦屯所","高松市女木町2938-7","087-861-2503","http://www.city.takamatsu.kagawa.jp/kurashi/kurashi/shobo/shobo/shobodan/dai1.html",
"7","34.39484","134.04418","高松市消防団女木分団西浦屯所","高松市女木町2943","087-861-2503","http://www.city.takamatsu.kagawa.jp/kurashi/kurashi/shobo/shobo/shobodan/dai1.html",
"8","34.42196","134.05457","高松市消防団男木分団港屯所","高松市男木町133-4","087-861-2503","http://www.city.takamatsu.kagawa.jp/kurashi/kurashi/shobo/shobo/shobodan/dai1.html",
"9","34.42273","134.05576","高松市消防団男木分団山上屯所","高松市男木町1903","087-861-2503","http://www.city.takamatsu.kagawa.jp/kurashi/kurashi/shobo/shobo/shobodan/dai1.html",
"10","34.315","134.03329","高松市消防団鶴尾分団第１部屯所","高松市田村町264-4","087-861-2503","http://www.city.takamatsu.kagawa.jp/kurashi/kurashi/shobo/shobo/shobodan/dai2.html",
"11","34.3052","134.02125","高松市消防団鶴尾分団第２部屯所","高松市勅使町898-3","087-861-2503","http://www.city.takamatsu.kagawa.jp/kurashi/kurashi/shobo/shobo/shobodan/dai2.html",
"12","34.30463","134.02805","高松市消防団鶴尾分団第３部屯所","高松市田村町753-1","087-861-2503","http://www.city.takamatsu.kagawa.jp/kurashi/kurashi/shobo/shobo/shobodan/dai2.html",
"13","34.30171","134.04154","高松市消防団太田分団第１部屯所","高松市太田上町1045-2","087-861-2503","http://www.city.takamatsu.kagawa.jp/kurashi/kurashi/shobo/shobo/shobodan/dai2.html",
"14","34.31341","134.05486","高松市消防団太田分団第２部屯所","高松市伏石町1120-3","087-861-2503","http://www.city.takamatsu.kagawa.jp/kurashi/kurashi/shobo/shobo/shobodan/dai2.html",
"15","34.278","134.06949","高松市消防団三谷分団第１部屯所","高松市三谷町1201-1","087-861-2503","http://www.city.takamatsu.kagawa.jp/kurashi/kurashi/shobo/shobo/shobodan/dai2.html",
"16","34.26011","134.0688","高松市消防団三谷分団第２部屯所","高松市三谷町3151-9","087-861-2503","http://www.city.takamatsu.kagawa.jp/kurashi/kurashi/shobo/shobo/shobodan/dai2.html",
"17","34.26853","134.0615","高松市消防団三谷分団第３部屯所","高松市三谷町4564-5","087-861-2503","http://www.city.takamatsu.kagawa.jp/kurashi/kurashi/shobo/shobo/shobodan/dai2.html",
"18","34.29133","134.05221","高松市消防団多肥分団第１部屯所","高松市多肥上町819-3","087-861-2503","http://www.city.takamatsu.kagawa.jp/kurashi/kurashi/shobo/shobo/shobodan/dai2.html",
"19","34.28214","134.05417","高松市消防団多肥分団第２部屯所","高松市多肥上町1843-3","087-861-2503","http://www.city.takamatsu.kagawa.jp/kurashi/kurashi/shobo/shobo/shobodan/dai2.html",
"20","34.27709","134.0491","高松市消防団仏生山分団第１部屯所","高松市仏生山町甲2528-16","087-861-2503","http://www.city.takamatsu.kagawa.jp/kurashi/kurashi/shobo/shobo/shobodan/dai2.html",
"21","34.28069","134.03669","高松市消防団仏生山分団第２部屯所","高松市仏生山町甲1011-5","087-861-2503","http://www.city.takamatsu.kagawa.jp/kurashi/kurashi/shobo/shobo/shobodan/dai2.html",
"22","34.2909","134.0287","高松市消防団一宮分団第１部屯所","高松市一宮町834-7","087-861-2503","http://www.city.takamatsu.kagawa.jp/kurashi/kurashi/shobo/shobo/shobodan/dai3.html",
"23","34.30099","134.0319","高松市消防団一宮分団第２部屯所","高松市鹿角町583-1","087-861-2503","http://www.city.takamatsu.kagawa.jp/kurashi/kurashi/shobo/shobo/shobodan/dai3.html",
"24","34.28619","134.02127","高松市消防団一宮分団第３部屯所","高松市一宮町97-6","087-861-2503","http://www.city.takamatsu.kagawa.jp/kurashi/kurashi/shobo/shobo/shobodan/dai3.html",
"25","34.26803","134.00586","高松市消防団川岡分団屯所","高松市川部町487-1","087-861-2503","http://www.city.takamatsu.kagawa.jp/kurashi/kurashi/shobo/shobo/shobodan/dai3.html",
"26","34.28569","134.00452","高松市消防団円座分団屯所","高松市円座町1626-7","087-861-2503","http://www.city.takamatsu.kagawa.jp/kurashi/kurashi/shobo/shobo/shobodan/dai3.html",
"27","34.29982","133.99672","高松市消防団檀紙分団屯所","高松市檀紙町777-10","087-861-2503","http://www.city.takamatsu.kagawa.jp/kurashi/kurashi/shobo/shobo/shobodan/dai3.html",
"28","34.32662","134.07723","高松市消防団木太分団第１部屯所","高松市木太町3429-5","087-861-2503","http://www.city.takamatsu.kagawa.jp/kurashi/kurashi/shobo/shobo/shobodan/dai4.html",
"29","34.33373","134.07905","高松市消防団木太分団第２部屯所","高松市木太町2558","087-861-2503","http://www.city.takamatsu.kagawa.jp/kurashi/kurashi/shobo/shobo/shobodan/dai4.html",
"30","34.33536","134.10731","高松市消防団古高松分団第１部屯所","高松市高松町10-21","087-861-2503","http://www.city.takamatsu.kagawa.jp/kurashi/kurashi/shobo/shobo/shobodan/dai4.html",
"31","34.32429","134.10714","高松市消防団古高松分団第２部屯所","高松市新田町甲923-4","087-861-2503","http://www.city.takamatsu.kagawa.jp/kurashi/kurashi/shobo/shobo/shobodan/dai4.html",
"32","34.33546","134.08753","高松市消防団古高松分団第３部屯所","高松市春日町1591-4","087-861-2503","http://www.city.takamatsu.kagawa.jp/kurashi/kurashi/shobo/shobo/shobodan/dai4.html",
