#property,latitude,longitude,name,address,telephoneNumber,referenceObject,note
1,34.34277,134.04654,高松市消防局,高松市番町一丁目8-15,087-861-2500,http://www.city.takamatsu.kagawa.jp/kurashi/kurashi/shobo/shobo/shobokyoku/index.html,
2,34.33875,134.03884,高松市北消防署,高松市宮脇町一丁目2-34,087-861-1551,http://www.city.takamatsu.kagawa.jp/kurashi/kurashi/shobo/shobo/shobokyoku/kakuka/kita/index.html,
3,34.34755,134.06496,高松市北消防署朝日分署,高松市朝日町二丁目1-39,087-822-1419,http://www.city.takamatsu.kagawa.jp/kurashi/kurashi/shobo/shobo/shobokyoku/kakuka/kita/kita_asahi/index.html,
4,34.30317,134.05921,高松市南消防署,高松市多肥下町1530-16,087-815-0119,http://www.city.takamatsu.kagawa.jp/kurashi/kurashi/shobo/shobo/shobokyoku/kakuka/minami/index.html,
5,34.23345,134.0347,高松市南消防署香川分署,高松市香川町川東上947-1,087-879-4111,http://www.city.takamatsu.kagawa.jp/kurashi/kurashi/shobo/shobo/shobokyoku/kakuka/minami/kagawa/index.html,
6,34.29133,134.01056,高松市南消防署円座出張所,高松市円座町1035-1,087-886-6145,http://www.city.takamatsu.kagawa.jp/kurashi/kurashi/shobo/shobo/shobokyoku/kakuka/minami/enza.html,
7,34.17001,134.08253,高松市南消防署塩江出張所,高松市塩江町安原上東390-1,087-840-6220,http://www.city.takamatsu.kagawa.jp/kurashi/kurashi/shobo/shobo/shobokyoku/kakuka/minami/shioe.html,
8,34.31981,134.03959,高松市南消防署東ハゼ救急ステーション,高松市東ハゼ町17-8,087-815-0124,http://www.city.takamatsu.kagawa.jp/kurashi/kurashi/shobo/shobo/shobokyoku/kakuka/minami/higashihaze.html,
9,34.32608,134.10602,高松市東消防署,高松市新田町甲984-1,087-843-5119,http://www.city.takamatsu.kagawa.jp/kurashi/kurashi/shobo/shobo/shobokyoku/kakuka/higashi/index.html,
10,34.35646,134.12335,高松市東消防署牟礼分署,高松市牟礼町牟礼3720-328,087-845-1255,http://www.city.takamatsu.kagawa.jp/kurashi/kurashi/shobo/shobo/shobokyoku/kakuka/higashi/mure.html,
11,34.27608,134.08527,高松市東消防署山田出張所,高松市川島本町191-3,087-848-0823,http://www.city.takamatsu.kagawa.jp/kurashi/kurashi/shobo/shobo/shobokyoku/kakuka/higashi/yamada.html,
12,34.33939,133.99766,高松市西消防署,高松市香西南町603-1,087-881-0119,http://www.city.takamatsu.kagawa.jp/kurashi/kurashi/shobo/shobo/shobokyoku/kakuka/nishi/index.html,
13,34.28979,133.96136,高松市西消防署国分寺出張所,高松市国分寺町新名695-4,087-874-1119,http://www.city.takamatsu.kagawa.jp/kurashi/kurashi/shobo/shobo/shobokyoku/kakuka/nishi/kokubunji.html,
