"#property","latitude","longitude","name","address","telephoneNumber","referenceObject","note","service","availableDate","startTime","endTime","availableDateNote","capacity"
"1","34.3380529158747","134.05411351805583","グループホームやすらぎ","高松市塩上町一丁目4-10",,,,"認知症対応型共同生活介護",,,,,
"2","34.33364639","134.04691583","グループホーム　ひがん","高松市藤塚町一丁目11-5",,,,"認知症対応型共同生活介護",,,,,
"3","34.330325","134.06113139","グループホーム愛の里","高松市上福岡町2005-11",,,,"認知症対応型共同生活介護",,,,,
"4","34.30722639","133.99956528","グループホーム　オアシス香西","高松市檀紙町1452-1",,,,"認知症対応型共同生活介護",,,,,
"5","34.28434611","134.01455361","グループホーム春風荘","高松市円座町1300-2",,,,"認知症対応型共同生活介護",,,,,
"6","34.26092639","134.01459611","グループホームあい","高松市川部町1300-1",,,,"認知症対応型共同生活介護",,,,,
"7","34.31523417","134.02003833","西春日グループホーム","高松市西春日町1511-1",,,,"認知症対応型共同生活介護",,,,,
"8","34.31362611","134.02590722","グループホーム　ほおずき","高松市松並町649-1",,,,"認知症対応型共同生活介護",,,,,
"9","34.322645","134.04190278","グループホーム　暖暖","高松市室新町1-8",,,,"認知症対応型共同生活介護",,,,,
"10","34.32076472","134.05430722","グループホームすずらん","高松市伏石町2008-5",,,,"認知症対応型共同生活介護",,,,,
"11","34.30706611","134.04354472","グループホーム　こすもす","高松市太田下町1868-2",,,,"認知症対応型共同生活介護",,,,,
"12","34.30438028","134.03901194","グループホーム　花もめん","高松市太田下町2020-1",,,,"認知症対応型共同生活介護",,,,,
"13","34.30271583","134.01248361","愛の家グループホーム高松成合","高松市成合町581",,,,"認知症対応型共同生活介護",,,,,
"14","34.29199222","134.02054167","らく楽一宮","高松市一宮町1568-1",,,,"認知症対応型共同生活介護",,,,,
"15","34.32359278","134.078855","グループホーム  木太","高松市木太町3749-3",,,,"認知症対応型共同生活介護",,,,,
"16","34.33139778","134.09350611","グループホーム吉祥","高松市春日町1336-1",,,,"認知症対応型共同生活介護",,,,,
"17","34.32543444","134.08769306","グループホーム  春日","高松市春日町671-1",,,,"認知症対応型共同生活介護",,,,,
"18","34.32825389","134.09985583","グループホーム真珠の湯","高松市新田町甲2712-1",,,,"認知症対応型共同生活介護",,,,,
"19","34.31631917","134.10206972","グループホーム　ミモザ","高松市新田町甲2181-1",,,,"認知症対応型共同生活介護",,,,,
"20","34.34113889","134.11879528","グループホーム　エーデルワイス","高松市高松町2160-1",,,,"認知症対応型共同生活介護",,,,,
"21","34.33625889","134.11294889","ニチイケアセンター古高松","高松市高松町1718-2",,,,"認知症対応型共同生活介護",,,,,
"22","34.28601333","134.05931889","認知症高齢者グループホーム第三若葉荘","高松市上林町822-1",,,,"認知症対応型共同生活介護",,,,,
"23","34.2964575","134.09948167","グループホーム邑","高松市前田西町1080-18",,,,"認知症対応型共同生活介護",,,,,
"24","34.25982833","134.10604083","グループホーム　らく楽十川","高松市十川東町938-1",,,,"認知症対応型共同生活介護",,,,,
"25","34.27957861","134.08590861","グループホーム　うちんく","高松市川島本町276-1",,,,"認知症対応型共同生活介護",,,,,
"26","34.28301083","134.06016611","認知症高齢者グループホーム第五若葉荘","高松市三谷町1643-1",,,,"認知症対応型共同生活介護",,,,,
"27","34.26881528","134.06000833","認知症高齢者グループホーム第六若葉荘","高松市三谷町4551-6",,,,"認知症対応型共同生活介護",,,,,
"28","34.28093889","134.06097722","認知症高齢者グループホーム若葉荘","高松市三谷町1654-5",,,,"認知症対応型共同生活介護",,,,,
"29","34.28840722","134.05028639","グループホーム　そよの里","高松市多肥上町504-2",,,,"認知症対応型共同生活介護",,,,,
"30","34.33550917","133.99654528","グループホーム  きらら","高松市香西南町37-2",,,,"認知症対応型共同生活介護",,,,,
"31","34.32829056","133.99665667","グループホーム  ひまわり","高松市鬼無町藤井126-1",,,,"認知症対応型共同生活介護",,,,,
"32","34.31449194","133.9959125","グループホーム菜の花","高松市飯田町104-1",,,,"認知症対応型共同生活介護",,,,,
"33","34.32354944","134.00077028","悠久の里　高松西","高松市飯田町1334-4",,,,"認知症対応型共同生活介護",,,,,
"34","34.24929111","133.99278167","グループホーム　悠悠香南","高松市香南町西庄182-1",,,,"認知症対応型共同生活介護",,,,,
"35","34.24460806","133.98967361","グループホーム　悠悠せんねん村","高松市香南町西庄695-1",,,,"認知症対応型共同生活介護",,,,,
"36","34.17937056","134.08689778","グループホーム　悠悠不動の滝","高松市塩江町安原上東203-6",,,,"認知症対応型共同生活介護",,,,,
"37","34.26443722","134.02720028","ひまわりの家","高松市香川町大野901-1",,,,"認知症対応型共同生活介護",,,,,
"38","34.24249278","134.03030917","グループホーム　ほととぎす","高松市香川町川東下672-5",,,,"認知症対応型共同生活介護",,,,,
"39","34.3304825","134.15104","高齢者グループホームプレスマン","高松市牟礼町原932-1",,,,"認知症対応型共同生活介護",,,,,
"40","34.29202444","133.95774722","グループホームあいむ","高松市国分寺町新名478-1",,,,"認知症対応型共同生活介護",,,,,
"41","34.293583","133.996948","グループホーム語り愛","高松市円座町字道下288-1",,,,"認知症対応型共同生活介護",,,,,
"42","34.288677","134.003803","ネムの木　グループホーム　円座","香川県高松市円座町94-1",,,,"認知症対応型共同生活介護",,,,,
"43","34.3239","134.108288","グループホーム　らく楽新田","高松市新田町甲1144-3",,,,"認知症対応型共同生活介護",,,,,
"44","34.377899","134.139091","グループホーム　悠悠庵治の太陽","高松市庵治町3822-１",,,,"認知症対応型共同生活介護",,,,,
"45","34.342305","134.069126","グループホーム　リーラの家さくら","高松市福岡町四丁目12-18",,,,"認知症対応型共同生活介護",,,,,
"46","34.350465","134.09462","リーラの家　やしま","高松市屋島西町893-1",,,,"認知症対応型共同生活介護",,,,,
"47","34.322026","134.003625","グループホーム　オアシスＫ","高松市飯田町705",,,,"認知症対応型共同生活介護",,,,,
"48","34.345285887234","134.0400804522808","グループホーム新番丁","高松市番町二丁目14-2",,,,"認知症対応型共同生活介護",,,,,
"49","34.34331422027985","134.06037192666588","グループホーム花クッカ","高松市松福町一丁目12-3",,,,"認知症対応型共同生活介護",,,,,
"50","34.31613769511954","134.10228897180178","グループホームアカシア","高松市新田町甲2180-1",,,,"認知症対応型共同生活介護",,,,,
"51","34.29832458520862","133.9598471880089","グループホームアイムの杜","高松市国分寺町新居1339-3",,,,"認知症対応型共同生活介護",,,,,
