#property,latitude,longitude,name,address,telephoneNumber,referenceObject,note,availableDate,startTime,endTime,availableDateNote
1,34.34215333,134.07383528,高松市総合体育館,高松市福岡町四丁目36-1,087-822-0211,http://www.taka-spo.or.jp/sou1.html,,月水木金土日,09:00,22:00,
2,34.37418861,133.94320556,高松市亀水運動センター,高松市亀水町458-1,087-881-0182,http://www.taka-spo.or.jp/tar2.html,,月水木金土日,09:00,22:00,
3,34.30956083,133.98178139,高松市西部運動センター,高松市鬼無町鬼無10-2,087-885-3344,http://www.taka-spo.or.jp/sei2.html,,月水木金土日,09:00,22:00,
4,34.26090222,134.01621917,高松市かわなべスポーツセンター,高松市川部町932-7,087-885-4611,http://www.taka-spo.or.jp/ssp2.html,,月水木金土日,09:00,22:00,
5,34.34252806,134.14306528,高松市牟礼総合体育館,高松市牟礼町牟礼152-10,087-845-7060,http://www.taka-spo.or.jp/mus1.html,,火水木金土日,09:00,22:00,
6,34.25509944,134.02869778,高松市香川総合体育館,高松市香川町川東下1917-1,087-879-8000,http://www.taka-spo.or.jp/kag1.html,,火水木金土日,09:00,22:00,
8,34.24330306,134.006425,高松市香南体育館,高松市香南町横井844-7,087-879-3136,http://www.taka-spo.or.jp/kot1.html,,火水木金土日,09:00,22:00,
9,34.28304917,133.96156556,高松市国分寺勤労青少年ホーム,高松市国分寺町福家甲3005,087-874-4311,http://www.taka-spo.or.jp/kks1.html,,火水木金土日,09:00,21:00,
10,34.27173972,134.04764111,高松市立仏生山公園体育館,高松市仏生山町甲2654-1,087-888-5011,http://www.taka-spo.or.jp/but1.html,,火水木金土日,09:00,22:00,
11,34.33254722,134.14707528,高松市牟礼中央公園運動センター,高松市牟礼町原1019-8,087-845-1563,http://www.taka-spo.or.jp/muc2.html,,月水木金土日,09:00,22:00,
12,34.2725575,133.94999056,高松市国分寺橘ノ丘総合運動公園,高松市国分寺町新名2069-1,087-874-4311,http://www.taka-spo.or.jp/bg2.html,,火水木金土日,09:00,22:00,
