#property,latitude,longitude,name,address,telephoneNumber,referenceObject,note
1,34.29140028,134.11203194,香川県立高松東高等学校,高松市前田東町690-1,087-847-6221,,
2,34.32619167,133.98126417,香川県立高松西高等学校,高松市鬼無町山口257-1,087-882-6411,,
3,34.28661528,134.023655,香川県立高松南高等学校,高松市一宮町531,087-885-1131,,
4,34.34620222,134.14253444,香川県立高松北高等学校,高松市牟礼町牟礼1583-1,087-845-2155,,
5,34.34121806,134.04428361,香川県立高松高等学校,高松市番町三丁目1-1,087-831-7251,,
6,34.3270325,134.05274139,高松第一高等学校,高松市桜町二丁目5-10,087-861-0244,http://www.taka-ichi-h.ed.jp/,
7,34.34377639,134.04200222,香川県立高松工芸高等学校,高松市番町二丁目9-30,087-851-4144,,
8,34.3383,134.05953417,香川県立高松商業高等学校,高松市松島町一丁目18-54,087-833-1971,,
9,34.29544472,134.05708806,香川県立高松桜井高等学校,高松市多肥上町1250,087-869-1010,,
10,34.26663139,134.01814694,香川県立香川中央高等学校,高松市香川町大野2001,087-886-7151,,
11,34.33688194,134.04306167,英明高等学校,高松市亀岡町1-10,087-833-3737,,
12,34.33962472,134.06075056,高松中央高等学校,高松市松島町一丁目14-8,087-831-1291,,
13,34.32657361,134.03363194,香川県大手前高松高等学校,高松市室新町1166,087-867-5970,,
14,34.33146083,133.98646444,香川誠陵高等学校,高松市鬼無町佐料469-1,087-881-7800,,
15,34.31039861,134.0106825,香川高等専門学校,高松市勅使町355,087-869-3811,,
16,34.34439222,134.03481972,香川県立盲学校,高松市扇町二丁目9-12,087-851-3217,,
17,34.29750028,134.04101889,香川県立聾学校,高松市太田上町513-1,087-865-4492,,
18,34.30568972,134.02994417,香川県立香川中部養護学校,高松市田村町784,087-867-3522,,
19,34.30547028,134.03170389,香川県立高松養護学校,高松市田村町1098-1,087-865-4500,,
