#LINK,,,,,,,,,,,,,,,,,,,,,,,,,
#lang,ja,,,,,,,,,,,,,,,,,,,,,,,,
#attribution_name,高松市,,,,,,,,,,,,,,,,,,,,,,,,
#license,http://creativecommons.org/licenses/by/3.0/deed.ja,,,,,,,,,,,,,,,,,,,,,,,,
#file_name,0062,,,,,,,,,,,,,,,,,,,,,,,,
#download_from,https://opendata.smartcity-takamatsu.jp/ckan/dataset/hospital,,,,,,,,,,,,,,,,,,,,,,,,
#property,prefCode,identification,pref,city,name,fullNameInKana,alternativeName,address,katagaki,location,telephoneNumber,extensionNumber,faxNumber,corporateNumber,corporateName,medicalCode,availableDate,medicalStartTime,medicalEndTime,availableDateNote,overtimeResponse,medicalSubjects,numberOfBeds,referenceObject,note
#object_type_xsd,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string
#property_context,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion
1,372013,,香川県,高松市,いわき病院,イワキビョウイン,病院,香川県高松市香南町大字由佐113-1,,",",087-879-3533,,087-879-1080,,医療法人社団以和貴会,,月火水木金,08：30,17：15,火曜日、木曜日午後休診。,,内科、心療内科、精神科、神経科、神経内科、呼吸器科、消化器科、リハビリ科、麻酔科、歯科、歯科口腔外科,237,http://www.iwaki-hospital.or.jp/,
2,372013,,香川県,高松市,大西病院,オオニシビョウイン,病院,香川県高松市上天神町336,,",",087-866-1792,,087-865-7601,,一般財団法人大西精神衛生研究所,,月火水木金土,09：00,17：00,土曜日12：30まで。,,精神科、神経科,374,http://ohnishi-hp.or.jp/,
3,372013,,香川県,高松市,おさか脳神経外科病院,オサカノウシンケイゲカビョウイン,病院,香川県高松市三名町378-1,,",",087-886-3300,,087-885-3038,,医療法人社団新進会,,月火水木金土,08：30（受付）,17：00（受付）,土曜日午後休診。,,内科、神経内科、循環器内科、外科、整形外科、脳神経外科、リハビリ科、放射線科、麻酔科,69,https://www.osaka-nhp.jp/,
4,372013,,香川県,高松市,オサカ病院,オサカビョウイン,病院,香川県高松市香川町浅野272,,",",087-889-0703,,087-889-6539,,医療法人社団仁樹会,,月火水木金土,08：30,18：00,木曜日午後休診。,,内科、循環器内科、外科、整形外科、形成外科、泌尿器科、肛門外科、リハビリ科、放射線科、麻酔科,52,http://www.osaka-hp.jp/,
5,372013,,香川県,高松市,香川県済生会病院,カガワケンサイセイカイビョウイン,病院,香川県高松市多肥上町1331-1,,",",087-868-1551,,087-868-9733,,社会福祉法人恩賜財団済生会支部香川県済生会,,月火水木金,09：00,17：00,,,内科、消化器内科、循環器内科、糖尿病内科、腎臓内科、人工透析内科、内視鏡内科、小児科、外科、整形外科、消化器外科、内視鏡外科、皮膚科、泌尿器科、眼科、リハビリ科、放射線科、麻酔科,198,http://www.saiseikai-kagawa.jp/,
6,372013,,香川県,高松市,香川県立中央病院,カガワケンリツチュウオウビョウイン,病院,香川県高松市朝日町一丁目2-1,,",",087-811-3333,,,,香川県,,月火水木金,08：30,17：15,,,内科、呼吸器内科、消化器内科、循環器内科、糖尿病内科、腎臓内科、脳神経内科、血液内科、緩和ケア内科、腫瘍内科、小児科、外科、整形外科、形成外科、脳神経外科、頭頚部外科、呼吸器外科、消化器外科、乳腺・内分泌外科、心臓血管外科、皮膚科、泌尿器科、産婦人科、眼科、耳鼻咽喉科、リハビリ科、放射線科、病理診断科、救急科、麻酔科、歯科、歯科口腔外科,533,http://www.chp-kagawa.jp/,
7,372013,,香川県,高松市,かがわ総合リハビリテーション病院　,カガワソウゴウリハビリテーションビョウイン,病院,香川県高松市田村町1114,,",",087-867-6008,,087-865-3915,,香川県,,月火水木金,09：00,16：00（受付）,耳鼻科09：30から15：00まで。,,内科、循環器内科、小児科、整形外科、脳神経外科、皮膚科、泌尿器科、眼科、耳鼻咽喉科、リハビリ科、歯科,184,"http://www.kagawa-reha.net/
http://www.kagawa-reha.net/hospital.html",
8,372013,,香川県,高松市,木太三宅病院,キタミヤケビョウイン,病院,香川県高松市木太町3836-7,,",",087-867-3131,,087-867-3133,,医療法人社団三恵会,,月火水木金土,09：00,18：00,水曜日、土曜日午後休診。,,内科、消化器内科、循環器内科、外科、整形外科、消化器外科、心臓血管外科、肛門外科、リハビリ科、,31,http://www.kitamiyake.jp/,
9,372013,,香川県,高松市,キナシ大林病院,キナシオオバヤシビョウイン,病院,香川県高松市鬼無町藤井435-1,,",",087-881-3631,,087-881-3867,,医療法人財団博仁会,,月火水木金土,08：00（受付）,17：00（受付）,水曜日午後休診。,,内科、心療内科、精神科、神経内科、呼吸器内科科、消化器内科、循環器内科、糖尿病内科、腎臓内科、人工透析内科、外科、整形外科、形成外科、脳神経外科、消化器外科、乳腺・内分泌外科、泌尿器科、眼科、リハビリ科、放射線科、放射線診断科、麻酔科、皮膚科,254,http://www.obayashihp.or.jp/,
10,372013,,香川県,高松市,久米川病院,クメガワビョウイン,病院,香川県高松市新田町甲474-3,,",",087-844-3111,,087-844-3112,,医療法人社団啓友会,,月火水木金土,08：30,17：30,,,呼吸器内科、消化器内科、循環器内科、糖尿病内科、リウマチ科、整形外科、脳神経外科、呼吸器外科、消化器外科、乳腺・内分泌外科、循環器外科、皮膚科、リハビリ科、泌尿器科,49,http://kumegawa-hsp.jp/,
11,372013,,香川県,高松市,クワヤ病院,クワヤビョウイン,病院,香川県高松市塩屋町1-4,,",",087-851-5208,,087-851-6027,,医療法人社団雙和会,,月火水木金土,09：00,17：30,,,内科、心療内科、精神科、呼吸器科、胃腸科、循環器科、糖尿病内科、ペインクリニック内科、リウマチ科、整形外科、皮膚科、美容皮膚科、泌尿器科、リハビリ科、放射線科,73,http://www.kuwaya.or.jp/,
12,372013,,香川県,高松市,国立療養所大島青松園,コクリツリョウヨウジョオオシマセイショウエン,病院,香川県高松市庵治町6034-1,,",",087-871-3131,,087-871-4821,,厚生労働大臣,,,,,,,内科、外科、整形外科、形成外科、皮膚科、耳鼻咽喉科、歯科,100,https://www.mhlw.go.jp/seisakunitsuite/bunya/kenkou_iryou/iryou/hansen/osima/,
,,,,,,,,,,,,,,,,,,,,,,,,,
14,372013,,香川県,高松市,三光病院,サンコウビョウイン,病院,香川県高松市牟礼町原883-1,,",",087-845-3301,,087-845-6822,,医療法人社団光風会,,月火水木金土,09：00,17：00,水曜日は午後7時まで診療。土曜日午後休診。,,内科、精神科、心療内科,320,http://www.sanko-hp.com/,
