"#property","latitude","longitude","address","alternativeName","city","name","corporateRepresentative","establisher","openingDate","telephoneNumber","faxNumber","fullNameInKana","identification","katagaki","medicalCode","medicalSubjects","note","numberOfBeds","overtimeResponse","pref","prefCode","referenceObject"
"jp.takamatsu.smartcity.medical.Hospital.1","34.236976","134.021769","香川県高松市香南町大字由佐113-1","病院","高松市","医療法人社団以和貴会いわき病院","理事長　渡邊　朋之","医療法人社団以和貴会","1974/4/1","087-879-3533","087-879-1080","イワキビョウイン",,,,"内科、心療内科、小児神経内科、精神科、神経科、神経内科、呼吸器科、消化器科、リハビリ科、麻酔科、歯科",,"237",,"香川県","372013","http://www.iwaki-hospital.or.jp/"
"jp.takamatsu.smartcity.medical.Hospital.2","34.315735","134.043564","香川県高松市上天神町336","病院","高松市","一般財団法人大西精神衛生研究所附属大西病院","理事長　吉田　穂束","一般財団法人大西精神衛生研究所","1950/12/20","087-866-1792","087-865-7601","オオニシビョウイン",,,,"精神科",,"374",,"香川県","372013","http://ohnishi-hp.or.jp/"
"jp.takamatsu.smartcity.medical.Hospital.3","34.291262","134.03246","香川県高松市三名町378-1","病院","高松市","医療法人社団新進会おさか脳神経外科病院","理事長　苧坂　邦彦","医療法人社団新進会","1984/10/1","087-886-3300","087-885-3038","オサカノウシンケイゲカビョウイン",,,,"内科、脳神経内科、循環器内科、外科、整形外科、脳神経外科、リハビリ科、放射線科、麻酔科",,"69",,"香川県","372013","https://www.osaka-nhp.jp/"
"jp.takamatsu.smartcity.medical.Hospital.4","34.266491","134.034178","香川県高松市香川町浅野272","病院","高松市","医療法人社団仁樹会オサカ病院","理事長　森川　穎二","医療法人社団仁樹会","1994/4/1","087-889-0703","087-889-6539","オサカビョウイン",,,,"内科、循環器内科、外科、整形外科、形成外科、泌尿器科、リハビリ科、放射線科、麻酔科",,"52",,"香川県","372013","http://www.osaka-hp.jp/"
"jp.takamatsu.smartcity.medical.Hospital.5","34.295549","134.058338","香川県高松市多肥上町1331-1","病院","高松市","社会福祉法人恩賜財団済生会支部香川県済生会病院","支部長　一井　眞比古","社会福祉法人恩賜財団済生会支部香川県済生会","2004/4/1","087-868-1551","087-868-9733","カガワケンサイセイカイビョウイン",,,,"内科、消化器内科、循環器内科、糖尿病内科、腎臓内科、人工透析内科、内視鏡内科、小児科、外科、整形外科、消化器外科、内視鏡外科、皮膚科、泌尿器科、眼科、リハビリ科、放射線科、麻酔科",,"198",,"香川県","372013","http://www.saiseikai-kagawa.jp/"
"jp.takamatsu.smartcity.medical.Hospital.6","34.348813","134.062552","香川県高松市朝日町一丁目2-1","病院","高松市","香川県立中央病院","香川県知事","香川県","2014/3/1","087-811-3333",,"カガワケンリツチュウオウビョウイン",,,,"内科、呼吸器内科、消化器内科、循環器内科、糖尿病内科、腎臓内科、脳神経内科、血液内科、緩和ケア内科、肝臓内科、腫瘍内科、小児科、外科、整形外科、形成外科、脳神経外科、頭頚部外科、呼吸器外科、消化器外科、乳腺・内分泌外科、心臓血管外科、皮膚科、泌尿器科、産婦人科、眼科、耳鼻咽喉科、リハビリ科、放射線科、病理診断科、救急科、麻酔科、歯科、歯科口腔外科、分娩実施、透析実施",,"533",,"香川県","372013","http://www.chp-kagawa.jp/"
"jp.takamatsu.smartcity.medical.Hospital.7","34.30674","134.030365","香川県高松市田村町1114","病院","高松市","かがわ総合リハビリテーション病院　","香川県知事","香川県","1986/4/1","087-867-6008","087-865-3915","カガワソウゴウリハビリテーションビョウイン",,,,"内科、循環器内科、小児科、整形外科、脳神経外科、皮膚科、泌尿器科、眼科、耳鼻咽喉科、リハビリ科、歯科",,"184",,"香川県","372013","http://www.kagawa-reha.net/http://www.kagawa-reha.net/hospital.html"
"jp.takamatsu.smartcity.medical.Hospital.8","34.321035","134.080172","香川県高松市木太町3836-7","病院","高松市","医療法人社団三恵会木太三宅病院","理事長　三宅　泰二郎","医療法人社団三恵会","2000/9/1","087-867-3131","087-867-3133","キタミヤケビョウイン",,,,"内科、消化器内科、循環器内科、外科、整形外科、消化器外科、心臓血管外科、肛門外科、リハビリ科、",,"31",,"香川県","372013","http://www.kitamiyake.jp/"
"jp.takamatsu.smartcity.medical.Hospital.9","34.33271","134.002186","香川県高松市鬼無町藤井435-1","病院","高松市","医療法人財団博仁会キナシ大林病院","理事長　川上　由佳","医療法人財団博仁会","2005/5/1","087-881-3631","087-881-3867","キナシオオバヤシビョウイン",,,,"内科、心療内科、精神科、神経内科、呼吸器内科科、消化器内科、循環器内科、糖尿病内科、腎臓内科、人工透析内科、血液内科、外科、整形外科、形成外科、脳神経外科、消化器外科、乳腺・内分泌外科、泌尿器科、眼科、リハビリ科、放射線科、放射線診断科、麻酔科、皮膚科、透析実施",,"254",,"香川県","372013","http://www.obayashihp.or.jp/"
"jp.takamatsu.smartcity.medical.Hospital.10","34.32859","134.105524","香川県高松市新田町甲474-3","病院","高松市","医療法人社団啓友会久米川病院","理事長　吉澤　潔","医療法人社団啓友会","1995/4/1","087-844-3111","087-844-3112","クメガワビョウイン",,,,"呼吸器内科、消化器内科、循環器内科、糖尿病内科、リウマチ科、整形外科、脳神経外科、呼吸器外科、消化器外科、乳腺・内分泌外科、循環器外科、皮膚科、泌尿器科、リハビリ科",,"49",,"香川県","372013","http://kumegawa-hsp.jp/"
