"#property","latitude","longitude","address","alternativeName","city","name","corporateRepresentative","establisher","openingDate","telephone　number","medicalSubjects","note","numberOfBeds","pref","prefCode"
"jp.takamatsu.smartcity.medical.Hospital.1","34.319621","134.110708","香川県高松市新田町乙８番地","病院","高松市","独立行政法人国立病院機構高松医療センター","理事長　新木　一弘","独立行政法人国立病院機構","1947/4/1","087-841-2146","内科、脳神経内科、呼吸器内科、消化器内科、循環器内科、小児神経内科、小児科、外科、整形外科、皮膚科、泌尿器科、リハビリ科、麻酔科、歯科","","232","香川県","372013"
"jp.takamatsu.smartcity.medical.Hospital.2","34.30674","134.030365","香川県高松市田村町１１１４番地","病院","高松市","かがわ総合リハビリテーション病院　","香川県知事","香川県","1986/4/1","087-867-6008","内科、循環器内科、小児科、整形外科、脳神経外科、皮膚科、泌尿器科、眼科、耳鼻咽喉科、リハビリ科、歯科、児童精神科","","184","香川県","372013"
"jp.takamatsu.smartcity.medical.Hospital.3","34.340801","134.044464","香川県高松市番町四丁目１番３号","病院","高松市","高松赤十字病院","社長　清家　篤","日本赤十字社","1907/6/30","087-831-7101","内科、精神科、神経内科、呼吸器内科、消化器内科、消化器・肝臓内科、循環器内科、内分泌・代謝内科、感染症内科、腎臓内科、脳神経内科、血液内科、腫瘍内科、小児科、整形外科、脳神経外科、消化器外科、胸部・乳腺外科、心臓血管外科、小児外科、膠原病・リウマチ科、脳卒中外科、腎臓外科（臓器移植）、皮膚科、形成外科、泌尿器科、産婦人科、眼科、耳鼻咽喉科、リハビリ科、放射線科、病理診断科、麻酔科、歯科口腔外科、救急科、分娩実施、透析実施","","463","香川県","372013"
"jp.takamatsu.smartcity.medical.Hospital.4","34.295549","134.058338","香川県高松市多肥上町１３３１番地１","病院","高松市","社会福祉法人恩賜財団済生会支部香川県済生会病院","支部長　一井　眞比古","社会福祉法人恩賜財団済生会支部香川県済生会","2004/4/1","087-868-1551","内科、消化器内科、循環器内科、糖尿病内科、腎臓内科、人工透析内科、内視鏡内科、小児科、外科、整形外科、消化器外科、内視鏡外科、皮膚科、泌尿器科、眼科、リハビリ科、放射線科、麻酔科","","198","香川県","372013"
"jp.takamatsu.smartcity.medical.Hospital.5","34.328696","134.050367","香川県高松市栗林町三丁目５番９号","病院","高松市","独立行政法人地域医療機能推進機構りつりん病院","理事長　山本　修一","独立行政法人地域医療機能推進機構","1950/12/26","087-862-3171","内科、呼吸器内科、循環器内科、小児科、外科、整形外科、脳神経外科、皮膚科、泌尿器科、婦人科、眼科、耳鼻咽喉科、リハビリ科、放射線科、麻酔科、歯科口腔外科","","199","香川県","372013"
"jp.takamatsu.smartcity.medical.Hospital.6","34.339875","134.045563","香川県高松市天神前４番１８号","病院","高松市","国家公務員共済組合連合会高松病院","理事長　松元　崇","国家公務員共済組合連合会","1952/4/14","087-861-3261","内科、呼吸器内科、消化器内科、循環器内科、腎臓内科、内分泌・代謝内科、脳神経内科、アレルギー科、リウマチ科、外科、脳神経外科、呼吸器外科、消化器外科、泌尿器科、婦人科、眼科、リハビリ科、放射線科、麻酔科","","179","香川県","372013"
"jp.takamatsu.smartcity.medical.Hospital.7","34.315735","134.043564","香川県高松市上天神町３３６番地","病院","高松市","一般財団法人大西精神衛生研究所附属大西病院","理事長　吉田　穂束","一般財団法人大西精神衛生研究所","1950/12/20","087-866-1792","精神科","","374","香川県","372013"
"jp.takamatsu.smartcity.medical.Hospital.8","34.339993","134.045273","香川県高松市天神前５番５号","病院","高松市","一般財団法人三宅医学研究所附属三宅リハビリテーション病院","理事長　三宅　信一郎","一般財団法人三宅医学研究所","2004/8/1","087-831-2101","内科、脳神経内科、リウマチ科、整形外科、脳神経外科、リハビリ科、放射線科","","61","香川県","372013"
"jp.takamatsu.smartcity.medical.Hospital.9","34.320523","134.038914","香川県高松市東ハゼ町８２４番地","病院","高松市","医療法人和光会前田病院","理事長　前田　雅彦","医療法人和光会","1966/12/13","087-865-7111","内科、消化器内科、肛門内科、ペインクリニック内科、外科、整形外科、消化器外科、肛門外科、リハビリ科、麻酔科","","96","香川県","372013"
"jp.takamatsu.smartcity.medical.Hospital.10","34.33271","134.002186","香川県高松市鬼無町藤井４３５番地１","病院","高松市","医療法人財団博仁会キナシ大林病院","理事長　川上　由佳","医療法人財団博仁会","2005/5/1","087-881-3631","内科、心療内科、精神科、神経内科、呼吸器内科科、消化器内科、循環器内科、糖尿病内科、腎臓内科、人工透析内科、血液内科、外科、整形外科、形成外科、脳神経外科、消化器外科、乳腺・内分泌外科、泌尿器科、眼科、リハビリ科、放射線科、放射線診断科、麻酔科、皮膚科、透析実施","","254","香川県","372013"
