"№","事業所名",,"開設者","latitude","longitude","所在地","TEL","開設日","あはき併設"
"1","cozy亀の町接骨院","cozyカメノマチセッコツイン","赤澤　孝宏","34.299286","134.072574","香川県高松市林町1191-20","087-813-7776","2011/8/22",
"2","VIGOROUS鍼灸接骨院","VIGOROUSシンキュウセッコツイン","合同会社　VIGOROUS","34.310829","134.060039","香川県高松市伏石町2084-10　中家ビル1階南側","087-802-9225","2019/8/21","○"
"3","あい鍼灸整骨院","アイシンキュウセイコツイン","宮﨑　智史","34.301977","133.951987","香川県高松市国分寺町国分462","087-887-6650","2011/4/5","○"
"4","愛染整骨院","アイゼンセイコツイン","愛染　武宏","34.353083","133.992369","香川県高松市香西北町326-6","087-882-1203","2005/7/4","○"
"5","阿賀接骨院","アガセッコツイン","阿賀　政勝","34.326831","134.047001","香川県高松市花ノ宮町一丁目11-31","087-831-3832","1964/3/21","○"
"6","あかつき整骨院","アカツキセッコツイン","株式会社あかつき","34.324171","133.992421","香川県高松市鬼無町鬼無457-12","087-882-2004","2021/3/5",
"7","ありす整骨院","アリスセッコツイン","（株）アリスプラン（代）中村　真徳","34.269153","134.109658","香川県高松市十川東町83-1","090-1172-0622","2012/11/1","○"
"8","いいむら整骨院","イイムラセイコツイン","飯村　篤","34.324307","134.063024","香川県高松市今里町二丁目14-3","087-804-6373","2022/9/1","○"
"9","いきいき整骨院","イキイキセッコツイン","髙尾　阿弥","34.330068","134.049935","香川県高松市栗林町二丁目18-21","087-813-3081","2017/7/5","○"
"10","石川接骨院","イシカワセッコツイン","石川　洋二","34.302514","134.093107","香川県高松市東山崎町273","087-847-4580","1983/1/17",
"11","石川ペルニック整骨院","イシカワペルニックセイコツイン","石川　安彦","34.319352","134.054824","香川県高松市伏石町2014-21","087-866-1565","1997/4/5","○"
"12","一里山接骨院","イチリヤマセッコツイン","一里山　敏久","34.322984","134.081748","香川県高松市木太町3770-1","087-867-3010","2001/7/1",
"13","いっくぅ接骨院","イックゥセッコツイン","一空株式会社","34.343575","134.044073","香川県高松市番町2-4-27番町スクエア3F","087-813-0119","2021/4/5","○"
"14","いなだ接骨院","イナダセッコツイン","稲田　拓馬","34.289068","134.075505","香川県高松市上林町30-5","087-810-3677","2018/1/11",
"15","いのした鍼灸整骨院","イノシタシンキュウセイコツイン","井下　裕介","34.313287","134.064015","香川県高松市松縄町1109-21","087-814-3416","2013/2/4","○"
"16","いのはな接骨院","イノハナセッコツイン","藤澤　倫彰","34.338999","134.013867","香川県高松市鶴市町2044-2","070-9277-6580","2024/5/15",
"17","いわき整骨院","イワキセイコツイン","岩城　憲治","34.304646","134.039645","香川県高松市太田下町1962-11","087-867-5311","2009/2/5",
"18","うえた町整骨院","ウエタマチセイコツイン","利國　弘武","34.258761","134.085921","香川県高松市池田町1006-1","087-887-9768","2017/9/1",
"19","上原接骨院","ウエハラセッコツイン","上原　秀一郎","34.343776","134.123323","香川県高松市牟礼町牟礼2221-1","087-818-7808","2015/6/1","○"
"20","エイジ整骨院","エイジセイコツイン","大林　一也","34.256841","134.033869","香川県高松市香川町浅野1035-8","087-879-5995","2017/5/10",
"21","えのきど接骨院","エノキドセッコツイン","榎戸　真治","34.305336","134.092919","香川県高松市東山崎町206-1 吉洸ビル１Ｆ","087-847-7966","2007/9/4","○"
"22","大谷鍼灸整骨院","オオタニシンキュウセイコツイン","大谷　智也","34.300331","134.035314","香川県高松市鹿角町347-1","087-899-6868","2022/4/1",
"23","おおの接骨院","オオノセッコツイン","大野　純","34.343221","134.014883","香川県高松市郷東町11-11","087-882-1820","2021/8/2",
"24","おかだ鍼灸整骨院","オカダシンキュウセイコツイン","岡田　融征","34.263046","134.024761","香川県高松市香川町大野1436-8","090-5710-4527","2017/8/9","○"
"25","岡本接骨院","オカモトセッコツイン","岡本　裕","34.320523","134.049126","香川県高松市上之町二丁目9-30岡村ビル1F","087-866-2711","1985/5/27","○"
"26","おはな整骨院","オハナセイコツイン","㈱OHANA","34.289495","134.028101","香川県高松市一宮町781-8　1階","087-899-7870","2015/6/8",
"27","オリーブ接骨院","オリーブセッコツイン","石川　清州","34.355296","134.092056","香川県高松市屋島西町2444-93","087-841-8369","2008/1/7",
"28","オレンジ鍼灸接骨院","オレンジシンキュウセッコツイン","大森　鉄也","34.324099","134.104794","香川県高松市新田町甲1494-8","087-841-9095","2010/4/12","○"
"29","かがわ接骨院","カガワセッコツイン","香川　洋二","34.285927","134.038673","香川県高松市仏生山町甲240-1","087-888-2275","2006/4/1",
"30","かつせっこついん","カツセッコツイン","田辺　克英","34.342177","134.102794","香川県高松市屋島中町336-16","087-843-1423","2008/10/20",
"31","かつ接骨院","カツセッコツイン","株式会社かつ接骨院","34.343791","134.067838","香川県高松市福岡町2丁目27-18","080-3167-3377","2024/7/1",
"32","かまくら接骨院","カマクラセッコツイン","鎌倉　幸司","34.338174","134.140057","香川県高松市牟礼町牟礼5-1","087-845-4885","2018/3/1",
"33","神高接骨院","カンダカセッコツイン","神高　敏伸","34.305224","133.983989","香川県高松市御町483-7","087-885-0035","1989/1/19",
"34","かめだ鍼灸接骨院","カメダシンキュウセッコツイン","佐藤　郁子","34.281698","134.116666","香川県高松市亀田町54-8","087-847-3538","2002/10/28","○"
"35","川北接骨院","カワキタセッコツイン","川北　博文","34.341287","134.118054","香川県高松市高松町2295-4","087-843-7273","1996/7/17","○"
"36","川西接骨院","カワニシセッコツイン","川西　輝明","34.322454","134.044781","香川県高松市上之町一丁目1-16","087-867-3818","1999/3/23",
"37","川接骨院","カワバタセッコツイン","川　賢治","34.337275","134.058747","香川県高松市多賀町二丁目8-20","087-831-6056","2011/4/1","○"
"38","かわばた整骨院","カワバタ整骨院","㈱アスリートステーション","34.347489","134.027986","香川県高松市西町1-3","087-887-0614","2010/10/14","○"
"39","きいろ接骨院","キイロセイコツイン","斎藤　明次","34.290933","134.095549","香川県高松市下田井町449-11","087-887-1782","2022/5/1","○"
"40","きたむら鍼灸接骨院","キタムラシンキュウセッコツイン","北村　幹","34.326923","134.070304","香川県高松市木太町1861-4","087-899-8758","2021/1/1","○"
"41","木太接骨院","キタセッコツイン","那須　康徳","34.333646","134.077453","香川県高松市木太町3145-5","087-861-7802","2011/5/1",
"42","京町接骨院","キョウマチセッコツイン","乃生　光明","34.350361","133.997266","香川県高松市香西本町711-1","090-3480-9964","2019/9/13",
"43","喜楽整骨院","キラクセイコツイン","川端　重樹","34.345769","134.045628","香川県高松市磨屋町5-11 磨屋町ビル１Ｆ 101","087-851-3677","2020/3/2","○"
"44","国方接骨院","クニカタセッコツイン","國方　知巳","34.284745","134.028562","香川県高松市一宮町178-1","087-886-6930","1991/6/5",
"45","久保鍼灸接骨院","クボシンキュウセッコツイン","久保　仁志","34.340418","134.011499","香川県高松市鶴市町2019-3","087-813-0020","2009/7/10","○"
"46","久保接骨院","クボセッコツイン","久保　美雄","34.324649","134.078581","香川県高松市木太町3505-1","087-861-9112","1999/10/1",
"47","けん整骨院","ケンセイコツイン","松本　健一","34.297524","134.089235","香川県高松市六条町105-1","087-880-8902","2019/7/11",
"48","香西接骨院","コウザイセッコツイン","香西　延能","34.342058","134.069486","香川県高松市福岡町四丁目16-15","087-822-2510","1981/3/2",
"49","香西接骨院","コウザイセッコツイン","田村　裕二","34.350305","133.993239","香川県高松市香西北町79-10","087-882-2848","2013/4/1",
"50","国分寺整骨院","コクブンジセイコツイン","（株）自費移行アカデミー","34.301029","133.967721","香川県高松市国分寺町新居516-1","087-899-5500","2020/1/7",
