"施設名称１","施設名称２","施設名称かな","施設郵便番号","施設所在地１","施設所在地２","施設電話番号","営業者名","営業者名かな","業種","業態","許可番号","初回許可年月日","許可開始日","許可終了日"
"ｃａｆｅ　Ｃｈａｉ",,"カフェ　チャイ","761-0104","高松市高松町１３２６−３",,"087-816-7971  ","朝倉　千愛","アサクラ　チアイ","飲食店営業","喫茶","第10105-1300323号","H30.06.05","H30.06.05","R06.08.31"
"ｃａｆｅ　Ｃｈａｉ",,"カフェ　チャイ","761-0104","高松市高松町１３２６−３",,"087-816-7971  ","朝倉　千愛","アサクラ　チアイ","菓子製造業","菓子","第20101-1300324号","H30.06.05","H30.06.05","R06.08.31"
"株式会社きむら","国分寺低温物流センター","キムラコクブンジテイオンブツリュウセンター","769-0103","高松市国分寺町福家甲１２５５−２０","株式会社デイリーフーズ内","087-813-5151  ","株式会社きむら","キムラ","飲食店営業","その他","第10404-1300337号","H30.06.07","H30.06.07","R06.08.31"
"株式会社きむら","国分寺低温物流センター","キムラコクブンジテイオンブツリュウセンター","769-0103","高松市国分寺町福家甲１２５５−２０","株式会社デイリーフーズ内","087-813-5151  ","株式会社きむら","キムラ","そうざい製造業","そうざい","第22800-1300338号","H30.06.07","H30.06.07","R06.08.31"
"焼きたて食パン　一本堂",,"ヤキタテショクパン　イッポンドウ","760-0071","高松市藤塚町１−８−２２","シブヤビル１階","087-880-0326  ","井上　秀樹","イノウエ　ヒデキ","菓子製造業","パン","第20102-1300527号","H30.07.10","H30.07.10","R06.08.31"
"韓国の味",,"カンコクノアジ","760-0034","高松市内町３−１９",,"087-826-4858  ","林　栄熙","リン　エイヒ","飲食店営業","一般","第10101-1300476号","H30.07.03","H30.07.03","R06.08.31"
"ファミリーマート","高松太田上町店","ファミリーマート　タカマツオオタカミマチテン","761-8074","高松市太田上町９８３−４",,"087-864-3351  ","合資会社テイクユウカンパニー","テイクユウカンパニー","飲食店営業","その他","第10404-1300607号","H30.07.17","H30.07.17","R06.08.31"
"ほっかほっか亭","中央市場前店","ホッカホッカテイ　チュウオウイチバマエテン","760-0003","高松市西町１−２１",,"087-862-4548  ","有限会社パワーフーヅ","パワーフーヅ","飲食店営業","弁当","第10203-1300702号","H30.08.03","H30.08.03","R06.08.31"
"株式会社双葉　食品加工センター",,"フタバ　ショクヒンカコウセンター","760-0012","高松市瀬戸内町４３−１６",,"087-812-7811  ","株式会社双葉","フタバ","飲食店営業","おかず","第10403-1180364号","H18.07.31","H30.09.01","R06.08.31"
"上西プラザ",,"カミニシプラザ","761-1614","高松市塩江町上西乙４６１",,,"光本　信一","ミツモト　シンイチ","菓子製造業","菓子","第20101-1300765号","H30.08.21","H30.08.21","R06.08.31"
"まごころ弁当",,"マゴコロベントウ","761-8045","高松市西山崎町６６６−７",,"087-813-5588  ","溝淵　美加","ミゾブチ　ミカ","飲食店営業","日配","第10201-1301253号","H30.11.26","H30.12.02","R07.02.28"
"キャトル・ペーシュ",,"キャトルペーシュ","761-8031","高松市郷東町７８４−５",,"087-816-7777  ","小松　慶子","コマツ　ケイコ","飲食店営業","喫茶","第10105-1301055号","H30.10.16","H30.10.16","R06.11.30"
"キャトル・ペーシュ",,"キャトルペーシュ","761-8031","高松市郷東町７８４−５",,"087-816-7777  ","小松　慶子","コマツ　ケイコ","菓子製造業","菓子","第20101-1301056号","H30.10.16","H30.10.16","R06.11.30"
"茶寿",,"チャジュ","761-8056","高松市上天神町８０７−１","リオ・プラティーノ　１階","087-880-7720  ","庄野　加那子","ショウノ　カナコ","飲食店営業","喫茶","第10105-1301142号","H30.10.31","H30.10.31","R06.11.30"
"魚国総本社・高松市２８６５４",,"ウオクニソウホンシャ","760-0050","高松市亀井町５−１",,"087-812-5412  ","株式会社魚国総本社","ウオクニソウホンシャ","飲食店営業","給食","第10106-1240649号","H24.08.28","H30.09.01","R06.08.31"
"夢菓房たから　第二工場",,"ユメカボウタカラダイニコウジョウ","761-0101","高松市春日町２０９−１",,"087-844-8808  ","株式会社夢菓房たから","ユメカボウタカラ","菓子製造業","菓子","第20101-1301196号","H30.11.08","H30.11.08","R06.11.30"
"株式会社カワイ","国分寺工場","カワイ　コクブンジコウジョウ","769-0102","高松市国分寺町国分８９０−１",,"087-874-2941  ","株式会社カワイ","カワイ","食肉販売業","食肉販売","第21601-0057456号","H05.11.22","H30.12.01","R07.11.30"
"お好みハウス　おたふく",,"オコノミハウス　オタフク","760-0002","高松市茜町１８−４３",,"087-808-8183  ","権　正男","ゴン　マサオ","飲食店営業","その他","第10404-1301239号","H30.11.20","H30.12.02","R07.02.28"
"鮨司割烹　豊しま",,"トヨシマ","760-0044","高松市御坊町９−１３",,"087-811-4555  ","株式会社豊しま","トヨシマ","飲食店営業","料亭","第10102-0051197号","H12.11.01","H30.12.01","R06.11.30"
"大手前高松中学・高等学校内食堂",,"オオテマエタカマツチュウガクコウトウガッコウナイショクドウ","761-8062","高松市室新町１１６６",,,"株式会社丸亀給食センター","マルガメキュウショクセンター","飲食店営業","給食","第10106-1301283号","H30.11.30","H30.12.01","R06.11.30"
"ハピネスシェフたちばな荘事業所",,"ハピネスシェフタチバナソウジギョウショ","769-0104","高松市国分寺町新名２０８１−２",,"087-874-6355  ","ハピネスシェフ株式会社","ハピネスシェフ","飲食店営業","給食","第10106-1240766号","H24.10.01","H30.12.01","R06.11.30"
"介護複合施設ハーブス",,"ハーブス","761-0102","高松市新田町甲４７８",,"              ","四国ローカルフードサービス株式会社","シコクローカルフードサービス","飲食店営業","給食","第10106-1300686号","H30.08.01","H30.08.01","R06.08.31"
"焼肉食堂　昭和商店　かね村",,"ヤキニクショクドウ　ショウワショウテン　カネムラ","760-0040","高松市片原町１１−１","むうぶ片原町１０５",,"金村　清和","カネムラ　キヨカズ","飲食店営業","居酒屋・焼肉","第10107-1301473号","H31.02.12","H31.02.12","R07.02.28"
"さすらいのカンテキ","高松クラフトビール酒場","サスライノカンテキ　タカマツクラフトビールサカバ","760-0021","高松市西の丸町７−５","吉野ビル１階",,"合同会社ＴＨＥ　ＦＲＩＤＧＥ",,"飲食店営業","居酒屋・焼肉","第10107-1301551号","H31.02.27","H31.02.27","R07.02.28"
"Ｊ・シーラス",,"ジェイシーラス","760-0077","高松市上福岡町９１９−１",,"087-802-2360  ","レイグランド株式会社","レイグランド","飲食店営業","喫茶","第10105-1241255号","H25.02.21","H31.03.01","R07.02.28"
"Ｊ・シーラス",,"ジェイシーラス","760-0077","高松市上福岡町９１９−１",,"087-802-2360  ","レイグランド株式会社","レイグランド","菓子製造業","パン","第20102-1241256号","H25.02.21","H31.03.01","R07.02.28"
"セブン−イレブン","高松丸亀町店","セブンイレブンタカマツマルガメマチテン","760-0029","高松市丸亀町１１−１",,"087-822-1125  ","池田　英司","イケダ　エイジ","飲食店営業","その他","第10404-1301635号","H31.03.15","H31.03.15","R07.05.31"
"クリエイティブハウス「パンジーⅤ」",,"パンジーファイブ","761-8014","高松市香西南町５１８−１",,"087-802-5190  ","社会福祉法人創思苑","ソウシエン","飲食店営業","喫茶","第10105-1301672号","H31.03.26","H31.03.26","R07.05.31"
"クリエイティブハウス「パンジーⅤ」",,"パンジーファイブ","761-8014","高松市香西南町５１８ー１",,"087-802-5190  ","社会福祉法人創思苑","ソウシエン","菓子製造業","菓子","第20101-1301673号","H31.03.26","H31.03.26","R07.05.31"
"ルーヴ菓子創造研究所",,"ルーヴカシソウゾウケンキュウジョ","761-8082","高松市鹿角町２９０−１",,"087-869-7878  ","株式会社ルーヴ","ルーヴ","食品の冷凍又は冷蔵業","冷凍冷蔵","第20901-2020028号","R02.04.10","R02.04.10","R08.05.31"
