#property,latitude,longitude,name,address,telephoneNumber
1,34.32780516063002,134.06561992424602,Ａ－プライス高松店,上福岡町906番地1,835-1412
2,34.292889844019676,134.04397039834413,Bakery cafe Asumi,多肥上町260番地1,889-1810
3,34.35319417087419,134.1235162347946,Ｂｅｅ,牟礼町牟礼2765番地1,-
4,34.26443342818976,134.03321476398693,ＤＣＭダイキ　香川店,香川町大野76番地1,888-3835
5,34.33026051789271,134.06603605294347,ＤＣＭダイキ　上福岡店,上福岡町838番地1,833-9955
6,34.2770389285937,134.10103363519164,ＤＣＭダイキ　川島店,川島東町504番地,848-5688
7,34.34266091068602,134.00748528362672,ＤＣＭダイキ　香西店,香西東町350番地1,881-6335
8,34.29412014574216,133.96144068362537,ＤＣＭダイキ　国分寺店,国分寺町新名574番地3,874-3500
9,34.3008613553895,134.09302062964986,ＤＣＭダイキ　水田店,東山崎町291番地1,847-4935
10,34.3433169411066,134.13158406828524,ＤＣＭダイキ　牟礼店,牟礼町牟礼1018番地,845-5535
11,34.319925576863426,134.0724839971201,DRUGミカワ　木太店,木太町1325番地1,868-2131
12,34.32206513866382,134.06910165294337,GREEN MARKET MOA高松中央店,木太町1174番地1,864-3931
13,34.38982066680749,134.12916113945127,ＪＡ香川県　Ａコープ庵治店,庵治町5824番地1,871-4145
14,34.238349972214465,134.07681685294096,ＪＡ香川県　植田事業所,西植田町2976番地,849-0002
15,34.422027985012086,134.0545937836291,ＪＡ香川県　男木出張所,男木町129番地3,873-0503
16,34.39033970878378,134.0502391989696,ＪＡ香川県　女木出張所,女木町11番地,873-0203
17,34.27145976514846,134.0029809394479,ＪＡ香川県　グリーンピア岡本,岡本町944番地,885-6996
18,34.17248288133163,134.08247364129258,ＪＡ香川県　塩江支店,塩江町安原上東347番地1,893-0020
19,34.358872995121764,133.96803727102164,ＪＡ香川県　下笠居事業所,生島町346番地,881-2181
20,34.31559943184335,134.05476166934463,ＪＡ香川県　高松市太田事業所,伏石町2047番地1,865-3332
21,34.27131389075928,134.0034083882106,ＪＡ香川県　ふれあいセンター岡本店,岡本町944番地,815-7727
22,34.23238938477466,134.03489299711757,ＪＡ香川県　ふれあいセンター香川店,香川町川東上955番地,879-3219
23,34.29047098633879,133.95879035601482,ＪＡ香川県　ふれあいセンター国分寺店,国分寺町新名744番地1,874-1215
24,34.273961035512926,134.10581362861242,ＪＡ香川県　ふれあいセンター十河店,十川西町298番地1,848-0047
25,34.29428172135834,134.03949118607514,ＪＡ香川県　ふれあいセンター高松市中央店,太田上町315番地1,815-5271
26,34.331903199948464,134.00524912043363,ＪＡ香川県　ふれあいセンター弦打店,鶴市町599番地1,832-8100
27,34.296176558383905,134.0776601547902,ＪＡ香川県　ふれあいセンター林店,林町351番地4,865-5532
28,34.340758347863755,134.13530514619683,ＪＡ香川県　ふれあいセンター牟礼店,牟礼町牟礼1147番地3,845-5484
29,34.341019024590786,134.04413947932937,ＫＯＹＯセブンイレブン高松赤十字病院店,番町4丁目1番3号,861-5036
30,34.34153687319777,134.10742502043394,Ｙショップセブンセブン,屋島中町219番地2,841-4964
31,34.34229249262292,134.14109603025332,Ｙショップ牟礼町すやま店,牟礼町牟礼140番地3,845-1336
32,34.373883294342335,133.94746965601718,青木商店,亀水町323番地,882-3206
33,34.39061264073849,134.12792181592684,庵治漁業協同組合,庵治町6377番地1,871-4131
34,34.38528915486001,134.1299566560174,庵治コミュニティセンター,庵治町888番地1,871-4162
35,34.264047996096096,134.0369940093874,穴吹米穀店,香川町浅野527番地1,889-0326
36,34.15058461013851,134.07634805601086,油屋商店,塩江町上西乙558番地1,893-0057
37,34.34035078788575,134.05198463025334,アルファ・トマム,瓦町二丁目2番地19,837-0123
38,34.31234282686946,134.00644034988093,飯田団地購買会,飯田町1035番地1,881-4979
39,34.35207018128823,134.00479855601648,イオン高松店,香西本町1番地1,842-8000
40,34.34540243022517,134.07270101491176,イオン高松東店,福岡町三丁目8番5号,804-7082
41,34.361398944191656,133.96043767933006,生島薬局,生島町462番地3,882-1305
42,34.34492654982204,134.05743029241776,池田酒店,井口町7番地8,821-4960
43,34.34030425626699,134.0527193676727,石丸商店,瓦町二丁目4番地1,834-0551
44,34.2806296857826,134.04547790018108,泉コーポレート,仏生山町甲573番地3,889-2651
45,34.23924867832762,134.03389615601333,一小路商店,香川町川東上1773番地1,879-2005
46,34.32018136385414,134.04649363576448,稲本薬局,上之町二丁目15番34号,865-4540
47,34.298759654087895,134.0736321046867,井上空港前センター,林町286番地8,865-3046
48,34.33899793421914,134.10936129712059,入谷食品センター,高松町3012番地15,843-5768
49,34.31426969593268,134.07082796767207,植田商店,木太町5040番地7,866-8585
50,34.17112003537114,134.09526772655695,植田商店,塩江町安原上東507番地3,893-0047
51,34.281624842739326,134.04704630877555,植田米穀店,仏生山町甲504番地,889-0536
52,34.18735013525603,134.05936262656255,上原酒店,塩江町安原下第1号841番地,897-0401
53,34.30360003446234,134.09475739712343,上原米穀店,東山崎町347番地1,847-5820
54,34.30542409097139,133.96334240531522,植松商店,国分寺町新居1678番地,874-0112
55,34.34736578779105,134.06731242043404,ウエルシア高松朝日町店,朝日町三丁目1番48号,823-1080
56,34.30782058227418,134.0549406854528,ウエルシア高松伏石店,伏石町2165番地1,815-0115
57,34.33956756366319,134.11101569712068,宇賀金物店高松店,高松町3009番地5,843-5018
58,34.27009178055388,134.00016039712955,宇川新店,岡本町889番地5,899-8888
59,34.35094544543731,134.0643514854849,エブリイ朝日町店,朝日町二丁目19番3号,802-6022
60,34.29679937864475,134.05863161736022,エブリイ高松レインボー店,多肥上町1319番地,899-8222
61,34.291602972977074,134.09102532503033,エブリイ六条店,下田井町372番地1,802-5656
62,34.347613826907526,134.0474034836091,江村食料品店,西内町7番2号,821-6065
63,34.33442288796825,134.06202116768074,エリデス石田タバコ店,観光町556番地,834-9195
64,34.285443971297866,134.00553890264575,円座コミュニティセンター,円座町1622番地1,886-4993
65,34.333556726815104,134.08312573822496,遠藤家庭用品,木太町2834番地4,861-7504
66,34.318707188177136,134.0539210498811,太田コミュニティセンター,伏石町2016番地37,867-1139
67,34.31386408824227,134.0640703382242,太田中央コミュニティセンター,松縄町1108番地1,867-3396
68,34.30190353447384,134.04124966767168,太田南コミュニティセンター,太田上町1045番地2,865-9947
69,34.146859035539705,134.08021265602093,大西商店,塩江町上西甲29番地1,893-1614
70,34.33608410645949,134.1426056621191,大町コミュニティセンター,牟礼町大町1463番地2,870-1306
71,34.333963698783535,134.0483185599136,岡金物,藤塚町一丁目8番28号,831-2418
72,34.24265307688402,134.00795236397698,岡崎商店,香南町横井804番地1,879-4252
73,34.29335122656065,134.04343482656708,岡崎食品センター,多肥上町21番地5,889-3968
74,34.28299590689279,134.0436144997771,奥田商店,仏生山町甲324番地,889-0066
75,34.34008451730992,134.04289237380735,香川県庁消費生活協同組合,番町四丁目1番10号,832-3823
76,34.336803966331246,134.04782160183294,葛西商店,中新町11番地16,831-6177
77,34.3334148961599,134.0827567449721,春日水神市場,木太町2836番地1,813-1730
78,34.34342781461185,134.1517731265678,角屋食品センター,牟礼町大町140番地5,-
79,34.342764141571415,134.05086905601627,鎌田商店,古馬場町8番地9,821-3385
80,34.3489666,134.090413,かまの酒店,屋島西町2444番地94,843-7257
81,34.28229753737296,134.04659683822337,河田商店,仏生山町甲469番地2,889-0375
82,34.33762455638954,134.04409539711884,観光精肉,中央町5番27号,831-2980
83,34.30636248974791,134.05149507012436,北谷治療院,太田下町3005番地14,867-7614
84,34.32628326596616,134.07663407380136,木太コミュニティセンター,木太町3480番地2,834-5547
85,34.335624269508656,134.07947010265787,木太北部コミュニティセンター,木太町2603番地,831-9000
86,34.31928442469793,134.07610209648905,木太南コミュニティセンター,木太町1486番地,865-4273
87,34.24050335519042,134.02875408732928,キョーエイ空港店,香川町川東下505番地1,879-0377
88,34.23469376190245,134.0396338593015,日下酒店,香川町川内原124番地,879-4265
89,34.34513471435082,134.05322206767286,日下食糧,百間町4番地2,821-4332
90,34.25627064824169,134.03384412656607,くすりのレデイ浅野店,香川町浅野1031番地9,802-9700
91,34.325140961524674,134.06433719773256,くすりのレデイ今里店,今里町二丁目10番地18,831-8100
92,34.291124220553144,134.09112165788272,くすりのレデイエブリィモール六条店,下田井町372番地1,802-1495
93,34.29113639256303,134.01000741491032,くすりのレデイ円座店,円座町1037番地1,885-3700
94,34.34524533356258,134.03267241491187,くすりのレデイ扇町店,扇町二丁目11番8号,823-8700
95,34.29824343589662,134.04125395601497,くすりのレデイ太田上町店,太田上町503番地1,864-3870
96,34.30627200536727,134.05217669711965,くすりのレデイ太田店,太田下町3004番地14,815-3555
97,34.32447585605216,134.09282706031297,くすりのレデイ春日店,春日町571番地1,844-1100
