#property,lunchDay,menuName,foodName,quantity
1,3/1/2021,ビビンバ（麦ごはん）　,精白米（委託）,70
2,3/1/2021,ビビンバ（麦ごはん）　,米粒麦　委託　,7
3,3/1/2021,ビビンバ（麦ごはん）　,牛赤肉スライス,45
4,3/1/2021,ビビンバ（麦ごはん）　,にんにく　,1.5
5,3/1/2021,ビビンバ（麦ごはん）　,炒り白ごま,1
6,3/1/2021,ビビンバ（麦ごはん）　,ごま油,1
7,3/1/2021,ビビンバ（麦ごはん）　,濃口醤油,2
8,3/1/2021,ビビンバ（麦ごはん）　,砂糖（三温糖）,1
9,3/1/2021,ビビンバ（麦ごはん）　,一味,0.01
10,3/1/2021,ビビンバ（麦ごはん）　,ほうれん草,25
11,3/1/2021,ビビンバ（麦ごはん）　,濃口醤油,1.5
12,3/1/2021,ビビンバ（麦ごはん）　,ごま油,0.3
13,3/1/2021,ビビンバ（麦ごはん）　,もやし,35
14,3/1/2021,ビビンバ（麦ごはん）　,人参,15
15,3/1/2021,ビビンバ（麦ごはん）　,食酢,2.4
16,3/1/2021,ビビンバ（麦ごはん）　,ごま油,1.5
17,3/1/2021,ビビンバ（麦ごはん）　,濃口醤油,1
18,3/1/2021,ビビンバ（麦ごはん）　,砂糖（上白糖）,1
19,3/1/2021,ビビンバ（麦ごはん）　,食塩,0.2
20,3/1/2021,牛乳,牛乳,206
21,3/1/2021,トック入りわかめスープ,トック,20
22,3/1/2021,トック入りわかめスープ,玉葱,35
23,3/1/2021,トック入りわかめスープ,中ねぎ,3
24,3/1/2021,トック入りわかめスープ,（乾）干しわかめ　カット,0.8
25,3/1/2021,トック入りわかめスープ,（レト）がらスープ,4
26,3/1/2021,トック入りわかめスープ,濃口醤油,0.8
27,3/1/2021,トック入りわかめスープ,食塩,0.6
28,3/1/2021,トック入りわかめスープ,こしょう,0.03
29,3/1/2021,トック入りわかめスープ,チキンコンソメ　乳・卵抜き,0.3
30,3/1/2021,トック入りわかめスープ,ごま油,0.2
31,3/1/2021,トック入りわかめスープ,湯,140
32,3/1/2021,野菜マフィン,（袋）野菜マフィン,25
33,3/2/2021,ガーリックピラフ（麦入り）,精白米（自校）,59
34,3/2/2021,ガーリックピラフ（麦入り）,米粒麦　自校,6
35,3/2/2021,ガーリックピラフ（麦入り）,（冷）鶏肉　胸・皮なし　カット,10
36,3/2/2021,ガーリックピラフ（麦入り）,（冷）鶏肉　もも・皮なし　カット,15
37,3/2/2021,ガーリックピラフ（麦入り）,白ぶどう酒,1
38,3/2/2021,ガーリックピラフ（麦入り）,玉葱,15
39,3/2/2021,ガーリックピラフ（麦入り）,人参,5
40,3/2/2021,ガーリックピラフ（麦入り）,エリンギ　カット,5
41,3/2/2021,ガーリックピラフ（麦入り）,（冷）むき枝豆,3
42,3/2/2021,ガーリックピラフ（麦入り）,にんにく　,1
43,3/2/2021,ガーリックピラフ（麦入り）,サラダ油,1.4
44,3/2/2021,ガーリックピラフ（麦入り）,有塩バター,0.6
45,3/2/2021,ガーリックピラフ（麦入り）,チキンコンソメ　乳・卵抜き,0.5
46,3/2/2021,ガーリックピラフ（麦入り）,食塩,0.6
47,3/2/2021,ガーリックピラフ（麦入り）,こしょう,0.04
48,3/2/2021,牛乳,牛乳,206
49,3/2/2021,ごぼうサラダ,（レト）まぐろ油漬,8
50,3/2/2021,ごぼうサラダ,洗いごぼう,30
51,3/2/2021,ごぼうサラダ,きゅうり,10
52,3/2/2021,ごぼうサラダ,人参,8
53,3/2/2021,ごぼうサラダ,（缶）ホールコーン,5
54,3/2/2021,ごぼうサラダ,食酢,2.7
55,3/2/2021,ごぼうサラダ,濃口醤油,2
56,3/2/2021,ごぼうサラダ,サラダ油,1.5
57,3/2/2021,ごぼうサラダ,砂糖（上白糖）,0.5
