"#property","lunchDay","menuName","foodName","quantity"
"1","2/1/2022","コッペパン(袋入り）","コッペパン","60"
"2","2/1/2022","牛乳","牛乳","206"
"3","2/1/2022","冬野菜ポークビーンズ","豚肉並（２×２㎝スライス）","20"
"4","2/1/2022","冬野菜ポークビーンズ","ベーコン（短冊）","5"
"5","2/1/2022","冬野菜ポークビーンズ","赤ぶどう酒","1.5"
"6","2/1/2022","冬野菜ポークビーンズ","（冷）白いんげん豆","30"
"7","2/1/2022","冬野菜ポークビーンズ","じゃがいも","30"
"8","2/1/2022","冬野菜ポークビーンズ","玉葱","25"
"9","2/1/2022","冬野菜ポークビーンズ","大根","20"
"10","2/1/2022","冬野菜ポークビーンズ","金時人参","15"
"11","2/1/2022","冬野菜ポークビーンズ","セロリー","5"
"12","2/1/2022","冬野菜ポークビーンズ","パセリ","1"
"13","2/1/2022","冬野菜ポークビーンズ","サラダ油","0.8"
"14","2/1/2022","冬野菜ポークビーンズ","（袋）トマト水煮","7"
"15","2/1/2022","冬野菜ポークビーンズ","（袋）トマトピューレ","6"
"16","2/1/2022","冬野菜ポークビーンズ","（袋）トマトケチャップ","6"
"17","2/1/2022","冬野菜ポークビーンズ","中双糖","1.2"
"18","2/1/2022","冬野菜ポークビーンズ","ウスターソース","1"
"19","2/1/2022","冬野菜ポークビーンズ","チキンコンソメ","0.65"
"20","2/1/2022","冬野菜ポークビーンズ","食塩","0.3"
"21","2/1/2022","冬野菜ポークビーンズ","こしょう","0.04"
"22","2/1/2022","冬野菜ポークビーンズ","湯","60"
"23","2/1/2022","グリーンサラダ","キャベツ","25"
"24","2/1/2022","グリーンサラダ","ロメインレタス","20"
"25","2/1/2022","グリーンサラダ","きゅうり","10"
"26","2/1/2022","グリーンサラダ","食酢","3"
"27","2/1/2022","グリーンサラダ","上白糖","1"
"28","2/1/2022","グリーンサラダ","オリーブ油","1"
"29","2/1/2022","グリーンサラダ","サラダ油","0.5"
"30","2/1/2022","グリーンサラダ","食塩","0.4"
"31","2/1/2022","グリーンサラダ","こしょう","0.03"
"32","2/2/2022","麦ごはん","精白米（委託）","70"
"33","2/2/2022","麦ごはん","米粒麦　委託","7"
"34","2/2/2022","牛乳","牛乳","206"
"35","2/2/2022","厚揚げとチンゲンサイのみそ炒め","豚肉赤身ミンチ","15"
"36","2/2/2022","厚揚げとチンゲンサイのみそ炒め","清酒","2"
"37","2/2/2022","厚揚げとチンゲンサイのみそ炒め","生姜","0.6"
"38","2/2/2022","厚揚げとチンゲンサイのみそ炒め","にんにく","0.2"
"39","2/2/2022","厚揚げとチンゲンサイのみそ炒め","（冷）厚揚げ（カット）","50"
"40","2/2/2022","厚揚げとチンゲンサイのみそ炒め","玉葱","40"
"41","2/2/2022","厚揚げとチンゲンサイのみそ炒め","人参","10"
"42","2/2/2022","厚揚げとチンゲンサイのみそ炒め","たけのこ水煮（ホール）","8"
"43","2/2/2022","厚揚げとチンゲンサイのみそ炒め","生しいたけ（スライス）県産","2"
"44","2/2/2022","厚揚げとチンゲンサイのみそ炒め","チンゲンサイ","20"
"45","2/2/2022","厚揚げとチンゲンサイのみそ炒め","ごま油","0.8"
"46","2/2/2022","厚揚げとチンゲンサイのみそ炒め","中双糖","2"
"47","2/2/2022","厚揚げとチンゲンサイのみそ炒め","チキンコンソメ","0.6"
"48","2/2/2022","厚揚げとチンゲンサイのみそ炒め","しょうゆ","2.2"
"49","2/2/2022","厚揚げとチンゲンサイのみそ炒め","赤みそ","3"
"50","2/2/2022","厚揚げとチンゲンサイのみそ炒め","豆板醤","0.03"
"51","2/2/2022","厚揚げとチンゲンサイのみそ炒め","でんぷん","1"
"52","2/2/2022","厚揚げとチンゲンサイのみそ炒め","湯","40"
"53","2/2/2022","ごまあえ","もやし","30"
"54","2/2/2022","ごまあえ","キャベツ","30"
"55","2/2/2022","ごまあえ","小松菜","10"
"56","2/2/2022","ごまあえ","炒り白ごま","1"
"57","2/2/2022","ごまあえ","しょうゆ","2.5"
"58","2/2/2022","ごまあえ","ポン酢","1.5"
"59","2/2/2022","味つけのり","（袋）味付けのり（5枚）","2.5"
"60","2/2/2022","ぽんかん","ぽんかん","100"
"61","2/3/2022","麦ごはん","精白米（自校）","73"
"62","2/3/2022","麦ごはん","米粒麦　自校","7"
"63","2/3/2022","麦ごはん","鉄強化米","0.3"
"64","2/3/2022","牛乳","牛乳","206"
"65","2/3/2022","いわしの蒲焼き風","（冷）いわし開き　澱粉付","40"
"66","2/3/2022","いわしの蒲焼き風","食用油","4"
"67","2/3/2022","いわしの蒲焼き風","生姜","1.2"
