"№","助産所名","法人代表者","開　設　者","latitude","longitude","所在地","TEL","開設日","入所室数","助産行為有"
"1","西原母乳育児相談所",,"西原　和代","34.336764","134.043711","香川県高松市中央町１４番２７号","087-831-4762","1994/4/1","0",
"2","松本助産院",,"松本　弘子","34.287855","134.099699","香川県高松市小村町字本村４４８番地４","087-840-7701","2000/6/26","2","○"
"3","特定非営利活動法人いのちの応援舎ぼっこ助産院","理事長　松尾　真理","特定非営利活動法人いのちの応援舎　","34.332435","134.097244","香川県高松市春日町１１７６番地","087-844-4103","2007/1/1","5","○"
"4","育児サポートははこぐさ",,"矢野 真知子","34.335708","134.147161","香川県高松市牟礼町大町１３４４番地１","087-845-9280","2007/2/1","0",
"5","マミーズケア ＆サポート城下",,"城下 利香","34.345987","134.129628","香川県高松市牟礼町牟礼２０４２番地６","087-845-7801","2007/2/1","0",
"6","松木母乳育児相談室",,"松木　朝子","34.265502","133.991456","香川県高松市岡本町１５５７番地３５","087-885-6647","2009/10/1","0",
"7","横井母乳育児相談室",,"横井　まゆみ","34.301476","134.113808","香川県高松市前田西町１４０番地３","087-847-9585","2013/8/1","0",
"8","めぐみ助産院",,"小原井　恵美","34.303981","134.070885","香川県高松市林町２５５７番地４-１００５","090-5262-5494","2016/7/15","0",
"9","訪問相談専門助産院つなぐ「眞」",,"前川　里美","34.333924","134.046112","香川県高松市中野町１６番４−３０１号　アルファライフ中央通り","090-6887-1107","2018/5/1","0",
"10","ｋｉ：ｎｏ助産院",,"新　季里","34.337143","134.061976","香川県高松市多賀町三丁目１１番３号","080-5229-3035","2022/4/12","0",
"11","助産院𣜿ゆずりは",,"加藤　淑美","34.297885","134.065202","香川県高松市林町778-7","080-5828-0058","7/29/24","3",
"12","もものはな助産院",,"芳賀　枝里子","34.332499","133.993401","香川県高松市鬼無町佐料１３９番地１","090-7784-6014","2022/7/8","0",
"13","実（みのり）助産院",,"牟禮　実里","34.330182","134.137239","香川県高松市牟礼町大町１９７３番地２","090-4275-7258","2024/3/15","0",
"14","ひとみ助産院",,"篠原　ひとみ","34.335006","134.043063","香川県高松市中野町13番5号","080-5614-4015","2024/6/6","0",
