"業務種別","施設名称１","施設郵便番号","施設所在地１","施設所在地２","開設者申請者名","開設者役職名","開設者代表者名","開設者都道府県名称","開設者住所１","開設者住所２","開設確認番号","開設確認日"
"美容所","タカラ美容院","761-8078","高松市仏生山町甲２５９３番地",,"田中　喜代子",,,,,,"第37-35号","確認年月日不明"
"美容所","千葉美容室","760-0077","高松市上福岡町９８９−１",,"千葉　トミ子",,,,,,"第37-51号","確認年月日不明"
"美容所","田中美容所","761-8026","高松市鬼無町鬼無４０６番地",,"田中　佳子",,,,,,"第91号","S23.07.01"
"美容所","松村美容室","760-0013","高松市扇町二丁目７−３２",,"松村　美智子",,,,,,"第299号","S30.06.27"
"美容所","花椿美容院","761-0446","高松市東植田町２５６−５",,"横井　幸子",,,,,,"第15号","S31.09.01"
"美容所","やわらぎ美容室","760-0071","高松市藤塚町三丁目８−８",,"鹿谷　スエ子",,,,,,"第9号","S33.03.12"
"美容所","オリーブ美容院","760-0007","高松市中央町５−１４",,"畠　和子",,,,,,"第38号","S35.08.13"
"美容所","むつみ美容院","760-0040","高松市片原町８−１",,"高木　律子",,,,,,"第26号","S35.08.15"
"美容所","スズ美容室","760-0012","高松市瀬戸内町１０−７",,"飯間　鈴代",,,,,,"第36-17号","S36.06.30"
"美容所","マリ美容室","761-0123","高松市牟礼町原６５７",,"和田　和子",,,,,,"第23号","S36.10.13"
"美容所","モリ美容室","761-0450","高松市三谷町１９４４−１",,"森　奈津江",,,,,,"第38-19号","S38.12.18"
"美容所","アオイ美容院","761-8076","高松市多肥上町","多肥団地８０","田井　秀子",,,,,,"第2号","S41.04.15"
"美容所","川田美容室","760-0073","高松市栗林町一丁目２−３",,"田中　和子",,,,,,"第41-8号","S41.05.13"
"美容所","太田美容院","761-1401","高松市香南町岡６９−２",,"太田　久美子",,,,,,"第41-14号","S41.07.25"
"美容所","オカダ美容院","760-0080","高松市木太町８区３８６１−１３",,"岡田　伊都子",,,,,,"第41-22号","S41.08.27"
"美容所","その美容院","761-8061","高松市室町１９３５番地",,"山本　チヨヱ",,,,,,"第42-56号","S42.03.31"
"美容所","小鳩美容院","761-8002","高松市生島町２２１番地６",,"西田　勅子",,,,,,"第42-4号","S42.04.13"
"美容所","山崎美容室","760-0077","高松市上福岡町９０８−１４",,"山崎　照子",,,,,,"第27号","S42.09.01"
"美容所","たるみ美容室","761-1701","高松市香川町大野４０−２８",,"垂水　洋子",,,,,,"第42-28号","S42.09.11"
"美容所","アミ−美容院","761-0130","高松市庵治町７２０−２",,"網　ヤス子",,,,,,"第42-33号","S42.09.26"
"美容所","千代美容室","761-8041","高松市檀紙町１１６５−４",,"橋本　千代子",,,,,,"第42-54号","S42.12.22"
"美容所","三宝美容室","760-0013","高松市扇町三丁目１４番１８号",,"村上　弥太郎",,,,,,"第42-63号","S43.03.07"
"美容所","フラワ美容室","760-0080","高松市木太町大字西浜６区２５５１−４",,"太田　久躬子",,,,,,"第43-10号","S43.05.13"
