"業務種別","施設名称１","施設郵便番号","施設所在地１","施設所在地２","開設者申請者名","開設者役職名","開設者代表者名","開設者都道府県名称","開設者住所１","開設者住所２","開設確認番号","開設確認日"
"理容所","藤沢理容所","761-1401","高松市香南町岡５１−３",,"藤沢　勝",,,,,,"第113号","S28.03.23"
"理容所","長野理容所","761-8071","高松市伏石町１２９７番地",,"長野　武一",,,,,,"第162号","S28.10.20"
"理容所","石川理容所","760-0075","高松市楠上町一丁目９−４２",,"石川　宏明",,,,,,"第271号","S30.03.10"
"理容所","河野理容所","761-8074","高松市太田上町９５７",,"河野　甚太",,,,,,"第37号","S32.09.06"
"理容所","田中理容館","761-8055","高松市紙町７番地",,"田中　サダ子",,,,,,"第45号","S32.12.09"
"理容所","近藤理容所","760-0054","高松市常磐町二丁目５の２０",,"近藤　一雄",,,,,,"第9号","S34.04.22"
"理容所","浜田理容所","760-0063","高松市多賀町二丁目１９−１７",,"濱田　惠美子",,,,,,"第34-11号","S34.04.27"
"理容所","小西理容所","761-8085","高松市寺井町１３５５−２",,"小西　ヒロ子",,,,,,"第35号","S35.08.20"
"理容所","岩崎理容所","761-0130","高松市庵治町９１６−２",,"岩崎　好宏",,,,,,"第44号","S35.12.26"
"理容所","祖川理容所","761-8026","高松市鬼無町鬼無３５５−６",,"祖川　繁明",,,,,,"第36-7号","S36.03.20"
"理容所","さいとう理容所","760-0032","高松市本町５−１７",,"斉藤　繁",,,,,,"第37-17号","S37.07.12"
"理容所","小比賀理容所","761-1401","高松市香南町岡６８６−１",,"小比賀　昭子",,,,,,"第37-22号","S38.04.05"
"理容所","大野理容所","760-0008","高松市中野町１２−１５",,"大野　清枝",,,,,,"第38-9号","S38.08.26"
"理容所","池野理容所","761-8058","高松市勅使町西田中３６−９",,"池野　国夫",,,,,,"第39-27号","S39.10.17"
"理容所","福居理容所","761-8033","高松市飯田町１０３３−５",,"福居　美恵子",,,,,,"第40-4号","S40.02.25"
"理容所","吉田理容所","760-0065","高松市朝日町二丁目１３−１８",,"吉田　公子",,,,,,"第40-13号","S40.06.23"
"理容所","ひかり理容所","761-8033","高松市飯田町１０１４−８",,"藤田　正敏",,,,,,"第42-15号","S42.06.02"
"理容所","小早川理容所","769-0102","高松市国分寺町国分１０５−５",,"小早川　桂子",,,,,,"第42-7号","S42.06.20"
"理容所","アオイ理髪店","761-8076","高松市多肥上町１８３５−２０",,"田井　道広",,,,,,"第42-36号","S42.10.04"
"理容所","福上理容所","769-0103","高松市国分寺町福家甲１８６４−８",,"福上　チヨ子",,,,,,"第43-5号","S43.03.15"
"理容所","理容ハシモト","769-0101","高松市国分寺町新居１６５７−５",,"橋本　民男",,,,,,"第43-8号","S43.05.10"
"理容所","古免理容所","761-1402","高松市香南町由佐８２０−３",,"古免　富子",,,,,,"第43-6号","S43.05.26"
"理容所","小倉理容所","760-0012","高松市瀬戸内町６−６",,"小倉　正義",,,,,,"第43-14号","S43.07.05"
"理容所","三村理容所","761-8071","高松市伏石町７４４−２",,"三村　ミサヲ",,,,,,"第43-19号","S43.08.12"
"理容所","理容たかはら","760-0080","高松市木太町字川西３区１８６２−１５",,"高原　正人",,,,,,"第44-4号","S44.04.24"
"理容所","福井理容所","769-0105","高松市国分寺町柏原１０６−１",,"福井　敏雄",,,,,,"第44-8号","S44.09.02"
"理容所","理容藤澤","761-8032","高松市鶴市町２０３０−７",,"藤澤　克己",,,,,,"第44-23号","S44.11.01"
"理容所","理容　久保","761-8011","高松市香西北町１０７−８",,"久保　禎之",,,,,,"第44-25号","S44.11.18"
"理容所","寺井理容所","761-1706","高松市香川町川東上１８２１−１",,"寺井　孝司",,,,,,"第45-3号","S45.04.24"
"理容所","ヘアーサロン　なかむら","761-8033","高松市飯田町３８４−３",,"中村　武志",,,,,,"第45-8号","S45.06.03"
"理容所","池田理容所","761-8046","高松市川部町１４８１番地",,"池田　則夫",,,,,,"第45-24号","S45.10.02"
"理容所","有限会社　山口理容所","760-0040","高松市片原町４番地２",,"有限会社山口理容所","代表取締役","山口　博","香川県","高松市片原町４番地２",,"第45-31号","S45.12.24"
"理容所","理容　ばんどう","761-1706","高松市香川町川東上１７１３−５",,"坂東　登美恵",,,,,,"第46-22号","S47.02.07"
"理容所","理容　大井戸","761-1708","高松市香川町安原下３１４４−１",,"大井戸　正",,,,,,"第46-28号","S47.04.20"
"理容所","山口理容所","761-8003","高松市神在川窪町２−３",,"山口　忠信",,,,,,"第47-6号","S47.06.02"
"理容所","新西理容所","761-8003","高松市神在川窪町１０６−３",,"新西　律子",,,,,,"第47-8号","S47.07.14"
"理容所","理容　かわさき","761-8071","高松市伏石町２０５８−１９",,"川﨑　美代子",,,,,,"第47-12号","S47.09.19"
"理容所","東ハゼ理容所","761-8054","高松市東ハゼ町９０５番地５",,"多田　博子",,,,,,"第47-16号","S47.11.29"
"理容所","寺井理容所","761-1502","高松市塩江町安原下第２号１７３１−２",,"寺井　則之",,,,,,"第47-20号","S47.12.20"
"理容所","理容　　やまだ","761-8014","高松市香西南町７１５番地",,"山田　勇",,,,,,"第47-21号","S48.01.09"
"理容所","大林理容店","761-8026","高松市鬼無町鬼無３２７番地５",,"大林　美智子",,,,,,"第47-22号","S48.01.09"
"理容所","まつい理容所","760-0077","高松市上福岡町字一本松９３８−１２",,"松井　正晴",,,,,,"第48-17号","S48.09.18"
"理容所","山崎理容所","760-0077","高松市上福岡町１１６７−１",,"山﨑　クニ子",,,,,,"第48-24号","S48.11.29"
"理容所","理容　ニシハラ","769-0104","高松市国分寺町新名８０１−２",,"西原　正博",,,,,,"第49-3号","S49.04.30"
"理容所","山下理容所","761-8046","高松市川部町大字中田井１５５８−３",,"山下　喜代美",,,,,,"第49-11号","S49.06.04"
"理容所","理容　フジハラ","761-8044","高松市円座町下所１５９２−２",,"藤原　善一",,,,,,"第49-9号","S49.06.04"
"理容所","理容　ヤマモト","761-8033","高松市飯田町７５６−２",,"山本　栄男",,,,,,"第49-13号","S49.06.12"
"理容所","理容　志摩","760-0011","高松市浜ノ町４５−６",,"志摩　勝代",,,,,,"第49-19号","S49.08.26"
"理容所","みどり理容所","761-8071","高松市伏石町１０７７番地",,"中塚　清",,,,,,"第49-21号","S49.09.02"
"理容所","理容　石川","761-8071","高松市伏石町１５８１−１４",,"石川　恭正",,,,,,"第50-14号","S50.11.29"
"理容所","多田理容所","761-8046","高松市川部町１５０３−１",,"多田　功子",,,,,,"第50-17号","S50.12.15"
"理容所","川上理容（ヘアーサロンカワカミ）","761-0322","高松市前田東町６７５−３",,"川上　和弘",,,,,,"第50-21号","S51.03.04"
"理容所","吉川理容所","761-0122","高松市牟礼町大町１４５９−７",,"吉川　和子",,,,,,"第50-25号","S51.03.26"
"理容所","松原理容所","761-0121","高松市牟礼町牟礼３０９−２",,"松原　敏彦",,,,,,"第50-27号","S51.03.26"
"理容所","理容　中村","761-0303","高松市六条町３９９番地５",,"中村　武義",,,,,,"第51-1号","S51.04.09"
"理容所","木野理容所","760-0066","高松市福岡町一丁目６番２号",,"木野　哲幸",,,,,,"第51-10号","S51.06.14"
"理容所","本川理容所","761-1404","高松市香南町横井７９９番地９",,"本川　輝夫",,,,,,"第51-12号","S51.07.02"
"理容所","理容　クマノ","761-0104","高松市高松町２４８８−４",,"熊野　純吉",,,,,,"第51-27号","S51.12.16"
"理容所","ヘアーサロン・アーム","760-0072","高松市花園町一丁目３−２５",,"黒渕　義夫",,,,,,"第51-28号","S51.12.20"
"理容所","植田理容所","761-1612","高松市塩江町安原上東５０７",,"植田　稔",,,,,,"第51-31号","S52.01.18"
"理容所","理容タカハシ","760-0072","高松市花園町二丁目８−２３",,"高橋　正俊",,,,,,"第52-6号","S52.05.16"
"理容所","理容　いながき","760-0067","高松市松福町二丁目７−９",,"稲垣　晴夫",,,,,,"第52-10号","S52.06.20"
