"#property","month","birthTotal","birthMan","birthWoman","deathTotal","deathMan","deathWoman"
"1","1","225","113","112","464","226","238"
"2","2","213","99","114","384","209","175"
"3","3","279","138","141","413","204","209"
"4","4","268","129","139","392","177","215"
"5","5","273","140","133","362","159","203"
"6","6","272","137","135","334","165","169"
"7","7","259","129","130","340","178","162"
"8","8","266","141","125","394","191","203"
"9","9","265","134","131","356","182","174"
"10","10","241","125","116","313","158","155"
"11","11","261","126","135","436","220","216"
"12","12","254","124","130","392","203","189"
