#property,month,withinThePrefOfTransferMan,withinThePrefOfTransfeWoman,OutsideThePrefMan,OutsideThePrefManWoman,MoveInAndOthersMan,MoveInAndOthersWoman,WithinThePrefMan,WithinThePrefWoman,OutOfThePrefMan,OutOfThePreffWoman,MovingOutAndOthersMan,MovingOutAndOthersWoman
1,1,115,120,380,237,11,6,110,79,309,247,11,10
2,2,130,126,370,250,13,10,107,102,444,361,14,2
3,3,307,325,1299,1034,31,28,354,289,2064,1634,15,8
4,4,234,193,1078,673,16,16,116,127,661,453,25,8
5,5,106,101,320,251,9,4,81,92,313,240,11,3
6,6,103,107,304,231,15,4,92,89,346,261,12,11
7,7,114,118,377,270,11,12,90,77,394,319,6,3
8,8,111,118,363,265,9,8,69,74,331,270,12,3
9,9,94,99,305,228,4,4,97,96,368,270,5,3
10,10,111,126,363,237,8,4,86,84,313,231,7,5
11,11,112,122,282,234,10,5,79,89,257,199,14,5
12,12,95,95,233,166,6,7,81,80,277,210,8,4
