#property,latitude,longitude,name,address,telephoneNumber,referenceObject,note,certifiedType,access,parkingInformation,capacity,acceptedAge,availableDate,startTime,endTime,availableDateNote,temporaryKeeping
1,34.347392,134.032587,高松市立瀬戸内保育所,高松市瀬戸内町23-7,087-861-5701,https://kagawa-colorful.com/hoikusyo/h1/,,認定公立保育所,,,120,3か月～,月火水木金土,07:30,19:00,,無
2,34.345889,134.038672,高松市立扇町保育所,高松市扇町一丁目24-17,087-821-7629,https://kagawa-colorful.com/hoikusyo/h2/,,認定公立保育所,,,150,3か月～,月火水木金土,07:30,19:00,,無
3,34.332681,134.036106,高松市立宮脇保育所,高松市宮脇町二丁目10-63,087-835-1636,https://kagawa-colorful.com/hoikusyo/h3/,,認定公立保育所,,,60,1歳～,月火水木金土,07:30,19:00,,無
4,34.335033,134.068946,高松市立松島保育所,高松市松島町三丁目13-6,087-831-8066,https://kagawa-colorful.com/hoikusyo/h4/,,認定公立保育所,,,130,3か月～,月火水木金土,07:30,19:00,,無
5,34.343454,134.070941,高松市立福岡保育所,高松市福岡町三丁目31-3,087-851-1206,https://kagawa-colorful.com/hoikusyo/h5/,,認定公立保育所,,,70,3か月～,月火水木金土,07:30,18:30,,無
6,34.331232,134.054318,高松市立桜町保育所,高松市桜町一丁目3-15,087-834-3628,https://kagawa-colorful.com/hoikusyo/h6/,,認定公立保育所,,,190,3か月～,月火水木金土,07:30,19:00,,有
7,34.30444,134.028568,高松市立田村保育所,高松市鹿角町937,087-866-0962,https://kagawa-colorful.com/hoikusyo/h7/,,認定公立保育所,,,70,3か月～,月火水木金土,07:30,18:30,,無
8,34.318866,134.038194,高松市立鶴尾保育所,高松市東ハゼ町19-8,087-865-6342,https://kagawa-colorful.com/hoikusyo/h8/,,認定公立保育所,,,50,3か月～,月火水木金土,07:30,18:30,,無
9,34.313113,134.051756,高松市立太田保育所,高松市伏石町1062,087-867-5741,https://kagawa-colorful.com/hoikusyo/h9/,,認定公立保育所,,,150,3か月～,月火水木金土,07:30,19:00,,無
10,34.324586,134.077269,高松市立木太保育所,高松市木太町3502,087-861-2650,https://kagawa-colorful.com/hoikusyo/h10/,,認定公立保育所,,,150,3か月～,月火水木金土,07:30,19:00,,無
11,34.330899,134.10763,高松市立古高松保育所,高松市高松町423-1,087-841-9845,https://kagawa-colorful.com/hoikusyo/h11/,,認定公立保育所,,,200,3か月～,月火水木金土,07:30,19:00,,無
13,34.372325,133.946185,高松市立下笠居西部保育所,高松市亀水町1424-2,087-881-4710,https://kagawa-colorful.com/hoikusyo/h13/,,認定公立保育所,,,30,1歳～,月火水木金土,07:30,18:30,,無
14,34.352344,133.987044,高松市立下笠居東部保育所,高松市植松町44-4,087-881-4752,https://kagawa-colorful.com/hoikusyo/h14/,,認定公立保育所,,,50,1歳～,月火水木金土,07:30,18:30,,無
15,34.345215,133.996915,高松市立香西保育所,高松市香西西町57-9,087-881-2328,https://kagawa-colorful.com/hoikusyo/h15/,,認定公立保育所,,,210,3か月～,月火水木金土,07:30,19:00,,無
16,34.32833,134.005514,高松市立弦打保育所,高松市鶴市町359-1,087-881-2552,https://kagawa-colorful.com/hoikusyo/h16/,,認定公立保育所,,,150,3か月～,月火水木金土,07:30,19:00,,有
17,34.327852,133.993597,高松市立鬼無保育所,高松市鬼無町佐藤41-1,087-881-2844,https://kagawa-colorful.com/hoikusyo/h17/,,認定公立保育所,,,150,3か月～,月火水木金土,07:30,19:00,,無
18,34.277337,134.070381,高松市立三谷保育所,高松市三谷町1193-1,087-889-0720,https://kagawa-colorful.com/hoikusyo/h18/,,認定公立保育所,,,100,3か月～,月火水木金土,07:30,18:30,,無
19,34.29128,134.051165,高松市立多肥保育所,高松市多肥上町424,087-889-0475,https://kagawa-colorful.com/hoikusyo/h19/,,認定公立保育所,,,140,3か月～,月火水木金土,07:30,19:00,,無
21,34.27678,134.091489,高松市立川島保育所,高松市川島東町253-4,087-848-0075,https://kagawa-colorful.com/hoikusyo/h21/,,認定公立保育所,,,180,3か月～,月火水木金土,07:30,19:00,,無
22,34.240061,134.078063,高松市立西植田保育所,高松市西植田町2350-1,087-849-0102,https://kagawa-colorful.com/hoikusyo/h22/,,認定公立保育所,,,60,1歳～,月火水木金土,07:30,18:30,,無
23,34.239913,134.097878,高松市立東植田保育所,高松市東植田町2023-1,087-849-0082,https://kagawa-colorful.com/hoikusyo/h23/,,認定公立保育所,,,30,1歳～,月火水木金土,07:30,18:30,,無
24,34.26789,134.027335,高松市立大野保育所,高松市香川町大野1063-1,087-886-9356,https://kagawa-colorful.com/hoikusyo/h24/,,認定公立保育所,,,200,3か月～,月火水木金土,07:30,19:00,,無
25,34.257828,134.036939,高松市立浅野保育所,高松市香川町浅野816-1,087-889-2416,https://kagawa-colorful.com/hoikusyo/h26/,,認定公立保育所,,,110,3か月～,月火水木金土,07:30,19:00,,無
26,34.229495,134.040497,高松市立川東南保育所,高松市香川町川内原574-56,087-879-5784,https://kagawa-colorful.com/hoikusyo/h28/,,認定公立保育所,,,45,1歳～,月火水木金土,07:30,19:00,,無
27,34.307041,133.964275,高松市立国分寺北部保育所,高松市国分寺町新居1906-1,087-874-1487,https://kagawa-colorful.com/hoikusyo/h29/,,認定公立保育所,,,100,1歳～,月火水木金土,07:30,18:30,,無
28,34.284657,133.960908,高松市立国分寺南部保育所,高松市国分寺町福家甲3106-1,087-874-1120,https://kagawa-colorful.com/hoikusyo/h30/,,認定公立保育所,,,90,1歳～,月火水木金土,07:30,18:30,,無
29,34.345964,134.126933,高松市立牟礼保育所,高松市牟礼町牟礼1978-1,087-845-1647,https://kagawa-colorful.com/hoikusyo/h31/,,認定公立保育所,,,120,3か月～,月火水木金土,07:30,19:00,,無
30,34.341172,134.140155,高松市立田井保育所,高松市牟礼町牟礼100-1,087-845-5411,https://kagawa-colorful.com/hoikusyo/h32/,,認定公立保育所,,,80,3か月～,月火水木金土,07:30,18:30,,無
31,34.358509,133.967533,高松市下笠居こども園,高松市生島町335,087-881-2515,https://kagawa-colorful.com/hoikusyo/h142,,認定こども園（幼保連携型）,,,1号認定 40、2・3号認定 105,1号認定 3歳児～、2・3号認定 3か月～,月火水木金土,07:30,18:30,,有
32,34.328643,134.156038,高松市はらこども園,高松市牟礼町原570-1,087-845-0234,https://kagawa-colorful.com/hoikusyo/h143,,認定こども園（幼保連携型）,,,1号認定 90、2・3号認定 138,1号認定 3歳児～、2・3号認定 3か月～,月火水木金土,07:30,19:00,,有
33,34.385761,134.131516,高松市庵治こども園,高松市庵治町853-1,087-871-2535,https://kagawa-colorful.com/hoikusyo/h144,,認定こども園（幼保連携型）,,,1号認定 45、2・3号認定 105,1号認定 3歳児～、2・3号認定 3か月～,月火水木金土,07:30,18:30,,有
34,34.242096,134.005834,高松市香南こども園,高松市香南町横井865-1,087-887-7876,https://kagawa-colorful.com/hoikusyo/h145,,認定こども園（幼保連携型）,,,1号認定 90、2・3号認定 179,1号認定 3歳児～、2・3号認定 3か月～,月火水木金土,07:30,19:00,,有
35,34.188524,134.061382,高松市塩江こども園,高松市塩江町安原下第1号887,087-890-2022,https://kagawa-colorful.com/hoikusyo/h146,,認定こども園（幼保連携型）,,,1号認定 15、2・3号認定 105,1号認定 3歳児～、2・3号認定 3か月～,月火水木金土,07:30,19:00,,有
36,34.237755,134.035134,高松市川東こども園,高松市香川町川東上1987-4,087-879-4602,https://kagawa-colorful.com/hoikusyo/h27,,認定こども園（幼保連携型）,,,1号認定 90、2・3号認定 153,1号認定 3歳児～、2・3号認定 3か月～,月火水木金土,07:30,19:00,,有
37,34.342609,134.099868,屋島こども園,高松市屋島西町1744-1,087-841-9711,https://kagawa-colorful.com/hoikusyo/h307/,,認定こども園（幼保連携型）,,,1号認定 9、2・3号認定 135,1号認定 3歳児～、2・3号認定 3か月～,月火水木金土,07:30,19:00,,有
38,34.2959789,134.0789659,林こども園,高松市林町1405-4,087-865-1676,https://kagawa-colorful.com/hoikusyo/h306/,,認定こども園（幼保連携型）,,,1号認定 105、2・3号認定 194,1号認定 3歳児～、2・3号認定 3か月～,月火水木金土,07:30,19:00,,有
39,34.420292,134.057016,高松市小規模保育事業所男木保育所,高松市男木町165,087-873-0614,https://kagawa-colorful.com/hoikusyo/%25E9%25AB%2598%25E6%259D%25BE%25E5%25B8%2582%25E5%25B0%258F%25E8%25A6%258F%25E6%25A8%25A1%25E4%25BF%259D%25E8%2582%25B2%25E4%25BA%258B%25E6%25A5%25AD%25E6%2589%2580%25E3%2580%2580%25E7%2594%25B7%25E6%259C%25A8%25E4%25BF%259D%25E8%2582%25B2%25E6%2589%2580%25EF%25BC%2592/,,小規模保育施設,,,6,1歳児～,月火水木金土,09:00,16:00,,無
41,34.327973,134.058101,こぶし今里保育園,高松市今里町一丁目7-2,087-834-1946,https://kagawa-colorful.com/hoikusyo/h159/,,認定私立保育所,,,90,2か月～,月火水木金土,07:00,19:00,,有
42,34.333037,134.051372,敬愛保育園,高松市藤塚町三丁目18-2,087-831-6778,https://kagawa-colorful.com/hoikusyo/h33/,,認定私立保育所,,,150,3か月～,月火水木金土,07:00,19:00,,無
43,34.328268,134.066087,平安保育園,高松市上福岡町894-8,087-833-7734,https://kagawa-colorful.com/hoikusyo/h160/,,認定私立保育所,,,130,2か月～,月火水木金土,07:00,19:00,,無
44,34.304804,134.02164,勅使百華保育園,高松市勅使町955,087-865-2998,https://kagawa-colorful.com/hoikusyo/h34/,,認定私立保育所,,,230,3か月～,月火水木金土,07:00,19:00,,無
