"#property","latitude","longitude","name","address","telephoneNumber","referenceObject","note","service","availableDate","startTime","endTime","availableDateNote","capacity"
"1","34.33546278","134.0347836","ケアサポート長谷川（中央西）","高松市宮脇町二丁目26-12",,,,"小規模多機能型居宅介護",,,,,
"2","34.34519278","134.0663553","ケアサポート長谷川（中央東）","高松市福岡町二丁目16-6　福岡事業所１階",,,,"小規模多機能型居宅介護",,,,,
"3","34.28475389","134.0029683","えんざ","高松市西山崎町196-2",,,,"小規模多機能型居宅介護",,,,,
"4","34.3215625","134.0749803","小規模多機能ホームたんぽぽの家","高松市木太町1539-8",,,,"小規模多機能型居宅介護",,,,,
"5","34.31648028","134.1022917","ケアサポート長谷川（古高松）","高松市新田町甲2181-1",,,,"小規模多機能型居宅介護",,,,,
"6","34.35848056","134.0891589","小規模多機能施設　富士","高松市屋島西町2277-4",,,,"小規模多機能型居宅介護",,,,,
"7","34.2964575","134.0994817","多機能型施設  邑","高松市前田西町1080-18",,,,"小規模多機能型居宅介護",,,,,
"8","34.27412639","134.0882281","香川県高齢者生活協同組合「ひだまり川島」","高松市川島東町925-1",,,,"小規模多機能型居宅介護",,,,,
"9","34.27728694","134.0755206","やまぶき小規模多機能型居宅介護事業所","高松市三谷町316",,,,"小規模多機能型居宅介護",,,,,
"10","34.35680056","133.9730411","在宅サポートセンター　ハピネス","高松市中山町772-1",,,,"小規模多機能型居宅介護",,,,,
"11","34.32090611","134.1599506","小規模多機能型施設  侶","高松市牟礼町原216-5",,,,"小規模多機能型居宅介護",,,,,
"12","34.264656","134.02725","多機能ホーム　ひまわり","高松市香川町大野901-1",,,,"小規模多機能型居宅介護",,,,,
