"#property","code","prefName","cityName","dataName","category","format","url","apiSupport","license","note"
"0","37201","香川県","高松市","高松市　環境施設","くらし","xlsx,text,RDF,データモデル定義","https://opendata.smartcity-takamatsu.jp/ckan/dataset/environmental_facilities","有","CCライセンス",
"2","37201","香川県","高松市","高松市　AED設置場所","くらし","xlsx,text,RDF,データモデル定義","https://opendata.smartcity-takamatsu.jp/ckan/dataset/aed_location","有","CCライセンス",
"3","37201","香川県","高松市","市民活動・男女共同参画施設","くらし","xlsx,text,RDF,データモデル定義","https://opendata.smartcity-takamatsu.jp/ckan/dataset/citizen_activity_facility","有","CCライセンス",
"4","37201","香川県","高松市","高松市　コミュニティセンター","くらし","xlsx,text,RDF,データモデル定義","https://opendata.smartcity-takamatsu.jp/ckan/dataset/community_center","有","CCライセンス",
"5","37201","香川県","高松市","高松市　市営住宅","くらし","xlsx,text,RDF,データモデル定義","https://opendata.smartcity-takamatsu.jp/ckan/dataset/municipal_housing","有","CCライセンス",
"6","37201","香川県","高松市","高松市　墓地","くらし","xlsx,text,RDF,データモデル定義","https://opendata.smartcity-takamatsu.jp/ckan/dataset/cemetery","有","CCライセンス",
"7","37201","香川県","高松市","高松市　斎場","くらし","xlsx,text,RDF,データモデル定義","https://opendata.smartcity-takamatsu.jp/ckan/dataset/funeral","有","CCライセンス",
"8","37201","香川県","高松市","高松市　観光施設","観光・産業","xlsx,text,RDF,データモデル定義","https://opendata.smartcity-takamatsu.jp/ckan/dataset/tourist_facilities","有","CCライセンス",
"9","37201","香川県","高松市","高松市　市場","観光・産業","xlsx,text,RDF,データモデル定義","https://opendata.smartcity-takamatsu.jp/ckan/dataset/market","有","CCライセンス",
"10","37201","香川県","高松市","高松市　食肉センターなど","観光・産業","xlsx,text,RDF,データモデル定義","https://opendata.smartcity-takamatsu.jp/ckan/dataset/meat_center","有","CCライセンス",
"11","37201","香川県","高松市","高松市　農業体験施設","観光・産業","xlsx,text,RDF,データモデル定義","https://opendata.smartcity-takamatsu.jp/ckan/dataset/agricultural_experience_facility","有","CCライセンス",
"12","37201","香川県","高松市","高松市　幼稚園","教育・子育て","xlsx,text,RDF,データモデル定義","https://opendata.smartcity-takamatsu.jp/ckan/dataset/kindergarten","有","CCライセンス",
"13","37201","香川県","高松市","高松市　保育施設等","教育・子育て","xlsx,text,RDF,データモデル定義","https://opendata.smartcity-takamatsu.jp/ckan/dataset/nursery_school","有","CCライセンス",
"14","37201","香川県","高松市","高松市　学校給食調理場","教育・子育て","xlsx,text,RDF,データモデル定義","https://opendata.smartcity-takamatsu.jp/ckan/dataset/school_lunch_kitchen","有","CCライセンス",
"15","37201","香川県","高松市","高松市　高等学校など","教育・子育て","xlsx,text,RDF,データモデル定義","https://opendata.smartcity-takamatsu.jp/ckan/dataset/high_school","有","CCライセンス",
"16","37201","香川県","高松市","高松市　生涯学習施設","教育・子育て","xlsx,text,RDF,データモデル定義","https://opendata.smartcity-takamatsu.jp/ckan/dataset/lifelong_learning_facility","有","CCライセンス",
"17","37201","香川県","高松市","高松市　小学校","教育・子育て","xlsx,text,RDF,データモデル定義","https://opendata.smartcity-takamatsu.jp/ckan/dataset/primary_school","有","CCライセンス",
