"#property","latitude","longitude","name","address","telephoneNumber","referenceObject","note"
"1","34.33784694","134.06227139","松島公園","高松市松島町二丁目14-46",,,
"2","34.33677361","134.04090083","亀岡公園","高松市亀岡町7-19",,,
"3","34.34495889","134.04059389","番町二丁目公園","高松市番町二丁目13-12",,,
"4","34.35013139","134.05548278","北浜小公園","高松市北浜町9-1",,,
"5","34.34639083","134.05741861","城東公園","高松市城東町一丁目6-11",,,
"6","34.34320167","134.05398972","御坊町小公園","高松市御坊町5-9",,,
"7","34.33945139","134.05519083","塩上小公園","高松市塩上町二丁目7-5",,,
"8","34.33675472","134.05686194","花園第一公園","高松市多賀町一丁目1-7",,,
"9","34.33678528","134.05579","花園第二公園","高松市塩上町二丁目19",,,
"10","34.33255861","134.04919778","藤塚小公園","高松市藤塚町二丁目12-43",,,
"11","34.33357722","134.04398556","中野町公園","高松市中野町26-1",,,
"12","34.34024","134.03977444","番町四丁目公園","高松市番町四丁目12-19",,,
"13","34.34340972","134.06350556","新開西公園","高松市松福町二丁目1-9",,,
"14","34.34276806","134.06683583","新開東公園","高松市松福町二丁目8-1",,,
"15","34.34334306","134.06924889","沖松島北公園","高松市福岡町三丁目28-3",,,
"16","34.34360139","134.07199389","沖松島中公園","高松市福岡町三丁目19-13",,,
"17","34.34054389","134.07118972","沖松島新公園","高松市福岡町四丁目32-3",,,
"18","34.34040444","134.06829694","沖松島南公園","高松市福岡町四丁目27-3",,,
"19","34.33824083","134.06681389","松島北公園","高松市松島町二丁目9-1",,,
"20","34.33671611","134.06480306","松島南公園","高松市多賀町三丁目7-1",,,
"21","34.34227472","134.02650722","西方寺公園","高松市西宝町三丁目506-15",,,
"22","34.34087417","134.07225778","沖松島西公園","高松市福岡町四丁目33-2",,,
"23","34.3475075","134.03733306","扇町公園","高松市扇町一丁目104",,,
"24","34.33856889","134.07189306","洲端公園","高松市松島町三丁目2287-1",,,
"25","34.33842639","134.06473528","松島中公園","高松市松島町二丁目12-24",,,
"26","34.33985694","134.05130694","瓦町小公園","高松市瓦町二丁目8-63",,,
"27","34.35446528","133.99676333","香西公園","高松市香西北町201",,,
"28","34.31794333","134.04841306","三条公園","高松市三条町450-1",,,
"29","34.34088278","134.1119325","赤牛公園","高松市高松町3004-1",,,
"30","34.3393","134.11139639","一本松公園","高松市高松町3009-14",,,
"31","34.33837778","134.10822806","鞍掛公園","高松市高松町3013-3",,,
"32","34.29374389","134.09496139","下田井公園","高松市下田井町215-4",,,
"33","34.34268917","134.01613222","郷東第一公園","高松市郷東町13",,,
"34","34.34240778","134.01213444","郷東第二公園","高松市郷東町24",,,
"35","34.33794611","134.01139139","明見公園","高松市鶴市町2040",,,
"36","34.3400975","134.01353389","中津公園","高松市鶴市町2014",,,
"37","34.3517325","134.02541028","新北町南公園","高松市新北町8",,,
"38","34.35371889","134.0275475","新北町北公園","高松市新北町32",,,
"39","34.33557889","134.11286472","永之谷公園","高松市高松町1727-1",,,
"40","34.3374875","134.11452639","津之町公園","高松市高松町1821",,,
