#property,latitude,longitude,votingDistrict,name,fullNameInKana,address,smallConstituencies,referenceObject
1,34.347226,134.032642,第1投票区,瀬戸内保育所,セトウチホイクショ,香川県高松市瀬戸内町23-7,香川県第１区,https://takamatsu.geocloud.jp/webgis/?z%3D17&ll%3D34.347226%252C134.032642&t%3Droadmap&mp%3D30&op%3D70&vlf%3D-1
2,34.345756,134.040999,第2投票区,新番丁小学校体育館,シンバンチョウショウガッコウタイイクカン,香川県高松市錦町2-14-1,香川県第１区,https://takamatsu.geocloud.jp/webgis/?z%3D17&ll%3D34.345756%252C134.040999&t%3Droadmap&mp%3D30&op%3D70&vlf%3D-1
3,34.343304,134.047063,第3投票区,旧四番丁小学校体育館,キュウヨバンチョウショウガッコウタイイクカン,香川県高松市番町1-5-1,香川県第１区,https://takamatsu.geocloud.jp/webgis/?z%3D17&ll%3D34.343304%252C134.047063&t%3Droadmap&mp%3D10&op%3D70&vlf%3D10-2-000000
4,34.340976,134.033882,第4投票区,紫雲中学校体育館,シウンチュウガッコウタイイクカン,香川県高松市紫雲町8-25,香川県第１区,https://takamatsu.geocloud.jp/webgis/?z%3D17&ll%3D34.340976%252C134.033882&t%3Droadmap&mp%3D30&op%3D70&vlf%3D-1
5,34.338419,134.039996,第5投票区,亀阜小学校体育館,カメオカショウガッコウタイイクカン,香川県高松市亀岡町10-1,香川県第１区,https://takamatsu.geocloud.jp/webgis/?z%3D17&ll%3D34.338419%252C134.039996&t%3Droadmap&mp%3D30&op%3D70&vlf%3D-1
6,34.330375,134.051907,第6投票区,高松市保健センター,タカマツシホケンセンター,香川県高松市桜町1-9-12,香川県第１区,https://takamatsu.geocloud.jp/webgis/?z%3D17&ll%3D34.330375%252C134.051907&t%3Droadmap&mp%3D40&op%3D77&vlf%3D-1
7,34.326694,134.051883,第7投票区,桜町中学校体育館,サクラマチチュウガッコウタイイクカン,香川県高松市桜町2-12-4,香川県第１区,https://takamatsu.geocloud.jp/webgis/?z%3D17&ll%3D34.326694%252C134.051883&t%3Droadmap&mp%3D30&op%3D70&vlf%3D-1
8,34.33385,134.057267,第8投票区,花園小学校体育館,ハナゾノショウガッコウタイイクカン,香川県高松市花園町2-7-7,香川県第１区,https://takamatsu.geocloud.jp/webgis/?z%3D17&ll%3D34.33385%252C134.057267&t%3Droadmap&mp%3D30&op%3D70&vlf%3D30-2-000f3f
9,34.334158,134.066266,第9投票区,玉藻中学校旧体育館,タマモチュウガッコウキュウタイイクカン,香川県高松市上福岡町714-1,香川県第１区,https://takamatsu.geocloud.jp/webgis/?z%3D17&ll%3D34.334158%252C134.066266&t%3Droadmap&mp%3D30&op%3D70&vlf%3D30-2-000f3f
10,34.33915,134.061954,第10投票区,高松第一小学校体育館,タカマツダイイチショウガッコウタイイクカン,香川県高松市松島町2-14-5,香川県第１区,https://takamatsu.geocloud.jp/webgis/?z%3D17&ll%3D34.33915%252C134.061954&t%3Droadmap&mp%3D30&op%3D70&vlf%3D30-2-000f3b
11,34.341481,134.05716,第11投票区,旧築地小学校体育館,キュウツキジショウガッコウタイイクカン,香川県高松市築地町14-1,香川県第１区,https://takamatsu.geocloud.jp/webgis/?z%3D17&ll%3D34.341481%252C134.05716&t%3Droadmap&mp%3D30&op%3D70&vlf%3D30-2-000f3b
12,34.344841,134.056011,第12投票区,旧新塩屋町小学校体育館,キュウシンシオヤマチショウガッコウタイイクカン,香川県高松市末広町5,香川県第１区,https://takamatsu.geocloud.jp/webgis/?z%3D17&ll%3D34.344841%252C134.056011&t%3Droadmap&mp%3D30&op%3D70&vlf%3D30-2-000f1b
13,34.315545,134.027039,第13投票区,旧鶴尾中学校体育館,キュウツルオチュウガッコウタイイクカン,香川県高松市松並町639-1,香川県第１区,https://takamatsu.geocloud.jp/webgis/?z%3D17&ll%3D34.315545%252C134.027039&t%3Droadmap&mp%3D30&op%3D70&vlf%3D30-2-000f1a
14,34.315761,134.028366,第14投票区,鶴尾小学校体育館,ツルオショウガッコウタイイクカン,香川県高松市松並町636-1,香川県第１区,https://takamatsu.geocloud.jp/webgis/?z%3D17&ll%3D34.315761%252C134.028366&t%3Droadmap&mp%3D30&op%3D70&vlf%3D30-2-000f19
15,34.305726,134.04443,第15投票区,太田南小学校体育館,オオタミナミショウガッコウタイイクカン,香川県高松市太田下町1823-1,香川県第１区,https://takamatsu.geocloud.jp/webgis/?z%3D17&ll%3D34.305726%252C134.04443&t%3Droadmap&mp%3D30&op%3D70&vlf%3D30-2-000f19
