#property,prefCode,regionCode,prefName,cityName,surveyDate,regionName,totalPopulation,male,woman,man1,woman1,man2,woman2,man3,woman3,man4,woman4,man5,woman5,man6,woman6,man7,woman7,man8,woman8,man9,woman9,man10,woman10,man11,woman11,man12,woman12,man13,woman13,man14,woman14,man15,woman15,man16,woman16,man17,woman17,man18,woman18,numberOfHouseholds,note,location,
1,37201,,香川県,高松市,2020/09/01,塩屋町,227,100,127,0,4,3,2,4,2,2,4,4,5,9,7,3,4,9,8,10,6,12,13,7,14,9,9,5,6,4,11,9,9,4,6,2,8,4,9,143,,34.342286,134.055021
2,37201,,香川県,高松市,2020/09/01,築地町,658,312,346,5,7,7,8,6,7,14,6,6,15,29,17,8,16,18,16,24,18,22,31,25,23,25,28,27,28,21,23,34,29,19,27,13,18,9,29,396,,34.341274,134.056839
3,37201,,香川県,高松市,2020/09/01,塩上町,115,62,53,1,0,2,1,0,0,2,1,9,2,11,4,7,1,1,2,0,5,6,3,2,2,4,4,2,2,4,1,4,3,1,10,3,6,3,6,82,,34.335876,134.052375
4,37201,,香川県,高松市,2020/09/01,塩上町１丁目,225,116,109,1,1,1,2,3,0,3,1,6,9,9,8,5,4,10,1,6,3,12,5,9,11,6,5,5,4,4,12,14,10,9,12,8,10,5,11,154,,34.3382,134.053646
5,37201,,香川県,高松市,2020/09/01,塩上町２丁目,739,348,391,7,11,7,7,10,12,14,9,26,30,28,19,16,14,21,22,28,26,32,38,23,27,24,21,28,23,18,27,27,25,17,27,8,21,14,32,469,,34.338544,134.055472
6,37201,,香川県,高松市,2020/09/01,塩上町３丁目,628,308,320,11,11,14,11,13,10,10,7,12,16,16,13,15,15,21,21,26,23,24,25,26,18,17,14,17,19,22,24,27,33,14,24,9,16,14,20,362,,34.339112,134.057533
7,37201,,香川県,高松市,2020/09/01,八坂町,83,36,47,2,1,1,1,0,2,0,0,1,1,2,5,2,0,1,1,6,4,2,2,0,2,3,1,1,3,1,3,3,5,3,6,4,2,4,8,50,,34.339782,134.053748
8,37201,,香川県,高松市,2020/09/01,福田町,252,116,136,2,2,7,4,5,5,11,4,8,4,3,3,1,4,4,5,9,14,9,9,4,7,8,11,13,8,6,11,7,15,8,7,5,4,6,19,135,,34.341477,134.05389
9,37201,,香川県,高松市,2020/09/01,常磐町１丁目,129,54,75,4,2,1,2,0,3,3,2,2,3,2,6,2,1,3,7,4,7,4,6,6,3,8,8,3,4,1,5,7,2,1,3,1,3,2,8,71,,34.33874,134.051256
10,37201,,香川県,高松市,2020/09/01,常磐町２丁目,261,124,137,1,4,3,1,1,2,1,3,11,14,13,11,4,4,10,7,9,5,6,7,10,11,9,10,10,5,5,8,12,9,8,10,4,14,7,12,175,,34.337613,134.051101
