"#LINK",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#lang","ja",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#attribution_name","高松市",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#license","http://creativecommons.org/licenses/by/3.0/deed.ja",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#file_name","66",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#download_from","https://opendata.smartcity-takamatsu.jp/ckan/dataset/population",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#property","prefCode","regionCode","prefName","cityName","surveyDate","regionName","totalPopulation","male","woman","man1","woman1","man2","woman2","man3","woman3","man4","woman4","man5","woman5","man6","woman6","man7","woman7","man8","woman8","man9","woman9","man10","woman10","man11","woman11","man12","woman12","man13","woman13","man14","woman14","man15","woman15","man16","woman16","man17","woman17","man18","woman18","numberOfHouseholds","note","location"
"#object_type_xsd","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string"
"#property_context","Assertion","Assertion","Assertion","Assertion","Assertion","Assertion","Assertion","Assertion","Assertion","Assertion","Assertion","Assertion","Assertion","Assertion","Assertion","Assertion","Assertion","Assertion","Assertion","Assertion","Assertion","Assertion","Assertion","Assertion","Assertion","Assertion","Assertion","Assertion","Assertion","Assertion","Assertion","Assertion","Assertion","Assertion","Assertion","Assertion","Assertion","Assertion","Assertion","Assertion","Assertion","Assertion","Assertion","Assertion","Assertion","Assertion","Assertion","Assertion"
"1","37201",,"香川県","高松市","6/1/2023","塩屋町","393","177","216","13","11","3","4","4","3","2","6","6","8","15","10","10","19","18","15","17","12","17","18","16","28","12","11","19","15","8","15","8","16","6","8","1","6","2","11","230",,"34.342286,134.055021"
"2","37201",,"香川県","高松市","6/1/2023","築地町","662","309","353","8","10","8","11","7","10","9","10","17","14","17","21","14","11","15","20","21","13","18","25","30","34","28","21","22","20","24","25","20","27","29","27","9","26","13","28","400",,"34.341274,134.056839"
"3","37201",,"香川県","高松市","6/1/2023","塩上町","118","63","55","2","2","2","1","1","0","1","0","4","2","16","5","8","3","2","3","1","2","4","5","4","2","3","4","3","1","2","2","2","3","4","5","0","7","4","8","81",,"34.335876,134.052375"
"4","37201",,"香川県","高松市","6/1/2023","塩上町１丁目","190","102","88","0","0","1","2","0","1","4","2","8","4","7","2","4","1","4","1","9","1","3","4","14","7","4","7","5","4","3","8","6","6","14","13","8","9","8","16","135",,"34.338200,134.053646"
"5","37201",,"香川県","高松市","6/1/2023","塩上町２丁目","683","331","352","5","3","4","8","9","5","11","12","24","22","22","20","15","11","15","15","21","18","31","29","32","29","29","25","27","24","26","25","20","28","19","24","10","23","11","31","450",,"34.338544,134.055472"
"6","37201",,"香川県","高松市","6/1/2023","塩上町３丁目","613","298","315","10","14","8","6","17","13","11","10","19","14","20","19","13","12","20","19","18","19","28","28","17","15","21","20","14","10","14","22","29","30","20","27","9","16","10","21","356",,"34.339112,134.057533"
"7","37201",,"香川県","高松市","6/1/2023","八坂町","72","33","39","1","1","2","1","0","1","1","1","0","0","2","4","2","0","1","0","3","4","2","1","0","1","1","3","3","2","1","1","3","5","1","4","4","6","6","4","44",,"34.339782,134.053748"
"8","37201",,"香川県","高松市","6/1/2023","福田町","235","103","132","2","1","4","3","5","3","8","5","5","4","5","4","2","2","4","4","4","10","7","11","7","8","6","7","10","11","8","7","8","17","7","6","7","7","4","22","135",,"34.341477,134.053890"
"9","37201",,"香川県","高松市","6/1/2023","常磐町１丁目","121","54","67","0","3","5","2","0","3","0","2","1","4","5","2","1","2","3","4","3","6","8","6","4","4","6","3","7","7","1","2","3","7","5","2","0","3","2","5","71",,"34.338740,134.051256"
"10","37201",,"香川県","高松市","6/1/2023","常磐町２丁目","256","136","120","0","1","3","3","2","2","1","1","17","16","18","6","4","5","7","3","7","4","6","7","11","6","14","11","11","7","7","4","9","12","4","5","5","9","10","18","188",,"34.337613,134.051101"
"11","37201",,"香川県","高松市","6/1/2023","瓦町１丁目","184","101","83","0","1","2","2","4","2","6","3","5","4","8","3","4","4","1","2","6","0","5","9","9","6","11","3","8","6","6","6","9","8","7","7","7","6","3","11","125",,"34.341325,134.051585"
"12","37201",,"香川県","高松市","6/1/2023","瓦町２丁目","261","114","147","1","1","3","5","2","3","2","4","4","8","7","7","4","6","5","2","5","6","8","13","8","9","8","5","11","10","8","6","16","24","11","12","2","10","9","16","169",,"34.339954,134.051305"
