#property,latitude,longitude,name,address,telephoneNumber,referenceObject,note
1,34.34573667,134.040975,高松市立新番丁小学校,高松市錦町二丁目14-1,087-851-1316,http://www.edu-tens.net/syoHP/sinbantyouHP/main.htm,
2,34.33839889,134.03997222,高松市立亀阜小学校,高松市亀岡町10-1,087-861-2013,http://www.edu-tens.net/syoHP/kameokaHP/,
3,34.33117222,134.05019028,高松市立栗林小学校,高松市栗林町二丁目10-7,087-861-3438,http://www.edu-tens.net/syoHP/riturinHP/,
4,34.33383,134.05724222,高松市立花園小学校,高松市花園町二丁目7-7,087-831-9129,http://www.edu-tens.net/syoHP/hanazonoHP/,
5,34.33912139,134.06200111,高松市立高松第一小学校,高松市松島町二丁目14-5,087-832-0611,http://www.edu-tens.net/ikkanHP/takaitiHP/,
6,34.31574167,134.02834222,高松市立鶴尾小学校,高松市松並町636-1,087-867-2564,http://www.edu-tens.net/syoHP/turuoHP/,
7,34.31202556,134.0521025,高松市立太田小学校,高松市伏石町845-1,087-865-4433,http://www.edu-tens.net/syoHP/ootasyouHP/,
8,34.32507667,134.07679833,高松市立木太小学校,高松市木太町3480-1,087-861-6337,http://www.edu-tens.net/syoHP/kitasyouHP/,
9,34.33238639,134.10656667,高松市立古高松小学校,高松市高松町398,087-841-9204,http://www.edu-tens.net/syoHP/hurutakamatusyouHP/,
10,34.34729694,134.10061278,高松市立屋島小学校,高松市屋島西町1205-1,087-841-1538,http://www.edu-tens.net/syoHP/yasimaHP/,
11,34.29603611,134.11331472,高松市立前田小学校,高松市前田東町819-3,087-847-6562,http://www.edu-tens.net/syoHP/maedaHP/,
12,34.30618083,134.09301833,高松市立川添小学校,高松市東山崎町207-1,087-847-6055,http://www.edu-tens.net/syoHP/kawazoeHP/,
13,34.30159333,134.06976194,高松市立林小学校,高松市林町1108-1,087-865-6250,http://www.edu-tens.net/syoHP/hayasiHP/,
14,34.27405139,134.06848111,高松市立三渓小学校,高松市三谷町2173-1,087-889-0767,http://www.edu-tens.net/syoHP/sankeiHP/,
15,34.27471333,134.04775611,高松市立仏生山小学校,高松市仏生山町甲2461,087-889-0549,http://www.edu-tens.net/syoHP/bussyouzanHP/,
16,34.34478639,133.99823528,高松市立香西小学校,高松市香西南町703-1,087-881-3214,http://www.edu-tens.net/syoHP/kouzaiHP/,
17,34.29108472,134.02414306,高松市立一宮小学校,高松市一宮町672-1,087-885-1764,http://www.edu-tens.net/syoHP/itinomiyasyouHP/,
