"#property","latitude","longitude","prefCode","identification","pref","city","name","fullNameInKana","fullNameInRomaji","address","katagaki","installationPosition","totalMensRestroom","smallMensRestroom","japaneseMensRestroom","westernMensRestroom","totalWomanRestroom","japaneseWomanRestroom","westernWomanRestroom","sharedRestroom","japaneseSharedRestroom","westernSharedRestroom","multifunctionalRestroom","wheelchairRestroom","anInfantRestroom","ostomateRestroom","startTime","endTime","availableDateNote","image","iamgeLicense","note"
"1","34.34551","134.05267","37201","1","香川県","高松市","高松市片原町公衆便所","タカマツシカタハラマチコウシュウベンジョ","","香川県高松市片原町9番地9","","片原町商店街南はいる","1","1","","","","","","2","2","","","無","無","無","00:00","24:00","なし","","",""
"2","34.35059","134.04749","37201","2","香川県","高松市","Kanadevia瀬戸の都トイレ（高松市高松駅前広場公衆便所）","カナデビアセトノミヤコトイレ　タカマツシタカマツエキマエヒロバコウシュウベンジョ","Kanadevia Public Toilet   Marine Capital of the Seto Inland Sea","香川県高松市浜ノ町1番19号","","高松駅送迎用ロータリー北","7","4","1","2","5","2","3","","","","","有","有","無","00:00","24:00","なし","","",""
"3","34.33815","134.04377","37201","3","香川県","高松市","高松市天神前公衆便所","タカマツシテンジンマエコウシュウベンジョ","","香川県高松市番町五丁目1番16号","","中野天満宮となり","3","2","1","","2","2","","1","","1","","有","無","無","00:00","24:00","なし","","",""
"4","34.33072","134.04679","37201","4","香川県","高松市","高松市栗林公園前公衆便所","タカマツシリツリンコウエンマエコウシュウベンジョ","","香川県高松市栗林町一丁目6番25号","","栗林公園前バス停前","6","4","2","","6","4","2","1","","1","","有","無","無","00:00","24:00","なし","","",""
"5","34.34955","134.05618","37201","5","香川県","高松市","高松市北浜町公衆便所","タカマツシキタハマチョウコウシュウベンジョ","","香川県高松市北浜町12番14号","","恵美須神社内","2","2","","","","","","1","","1","","無","無","無","00:00","24:00","なし","","",""
"6","34.34398","134.0751","37201","6","香川県","高松市","高松市福岡町東部公衆便所","タカマツシフクオカチョウトウブコウシュウベンジョ","","香川県高松市福岡町三丁目34番8号","","福岡ポンプ場北東","2","2","","","","","","1","1","","","無","無","無","00:00","24:00","なし","","",""
"7","34.33736","134.03559","37201","7","香川県","高松市","高松市石清尾八幡神社内公衆便所","タカマツシイワセオハチマンジンジャナイコウシュウベンジョ","","香川県高松市宮脇町一丁目30番3号","","石清尾八幡神社内","4","3","1","","2","1","1","1","","1","","有","無","無","00:00","24:00","なし","","",""
"8","34.33225","134.03559","37201","8","香川県","高松市","高松市姥ヶ池公衆便所","タカマツシバアガイケコウシュウベンジョ","","香川県高松市宮脇町二丁目12番1号","","姥ヶ池墓地となり","3","2","1","","2","2","","1","","1","","有","無","無","00:00","24:00","なし","","",""
"9","34.34802","134.06106","37201","9","香川県","高松市","高松市朝日町公衆便所","タカマツシアサヒマチコウシュウベンジョ","","香川県高松市朝日町一丁目1番5号","","県立中央病院南","3","2","1","","2","2","","1","","1","","有","無","無","00:00","24:00","なし","","",""
"10","34.35208","134.10735","37201","10","香川県","高松市","高松市屋島山上公衆便所","タカマツシヤシマサンジョウコウシュウベンジョ","","香川県高松市屋島東町1780番地","","屋島ケーブル山上駅跡となり","4","3","1","","2","2","","1","","1","","有","有","無","00:00","24:00","なし","","",""
"11","34.3554","133.99462","37201","11","香川県","高松市","高松市香西芝山第一公衆便所","タカマツシコウザイシバヤマダイイチコウシュウベンジョ","","香川県高松市香西北町275番地3","","芝山自治会館となり","4","3","1","","1","1","","","","","","無","無","無","00:00","24:00","なし","","",""
"12","34.3544","133.99662","37201","12","香川県","高松市","高松市香西芝山第二公衆便所","タカマツシコウザイシバヤマダイニコウシュウベンジョ","","香川県高松市香西北町273番地1","","芝山墓地となり","2","1","1","","1","1","","","","","","無","無","無","00:00","24:00","なし","","",""
"13","34.28738","134.02778","37201","13","香川県","高松市","高松市一宮町公衆便所","タカマツシイチノミヤチョウコウシュウベンジョ","","香川県高松市一宮町286番地1","","田村神社駐車場内","3","2","1","","2","2","","1","","1","","有","無","無","00:00","24:00","なし","","",""
"14","34.29913","134.01864","37201","14","香川県","高松市","高松市成合町公衆便所","タカマツシナリアイチョウコウシュウベンジョ","","香川県高松市成合町1335番地1","","成合天満宮前","2","1","1","","1","1","","1","","1","","有","無","無","00:00","24:00","なし","","",""
"15","34.39113","134.05346","37201","15","香川県","高松市","高松市女木松原公衆便所","タカマツシメギマツバラコウシュウベンジョ","","香川県高松市女木町235番地1","","鬼ヶ島松原キャンプ場となり","2","2","","","","","","2","1","1","","無","無","無","00:00","24:00","なし","","",""
"16","34.39655","134.05073","37201","16","香川県","高松市","高松市女木鷲ヶ峰公衆便所","タカマツシメギワシガミネコウシュウベンジョ","","香川県高松市女木町2633番地","","鬼ヶ島大洞窟入口","4","3","","1","2","1","1","","","","","無","無","無","00:00","24:00","なし","","",""
"17","34.39299","134.05494","37201","17","香川県","高松市","高松市女木海水浴場公衆便所","タカマツシメギカイスイヨクジョウコウシュウベンジョ","","香川県高松市女木町453番1地先","","女木海水浴場となり","2","1","1","","1","1","","1","","1","","有","無","無","00:00","24:00","なし","","",""
"18","34.42198","134.05454","37201","18","香川県","高松市","高松市男木町公衆便所","タカマツシオギチョウコウシュウベンジョ","","香川県高松市男木町133番地2","","男木港フェリー発着場前","1","1","","","","","","2","1","1","","有","無","無","00:00","24:00","なし","","",""
"19","34.41954","134.05733","37201","19","香川県","高松市","高松市男木町大井公衆便所","タカマツシオギチョウオオイコウシュウベンジョ","","香川県高松市男木町1979番地","","男木漁港となり","1","1","","","","","","2","1","1","","有","無","無","00:00","24:00","なし","","",""
"20","34.11818","134.0748","37201","20","香川県","高松市","高松市塩江町相栗峠公衆便所","タカマツシシオノエチョウアイグリトウゲコウシュウベンジョ","","香川県高松市塩江町上西甲2547番地2","","相栗峠駐車場となり","3","2","1","","2","2","","","","","","無","無","無","00:00","24:00","なし","","",""
"21","34.16975","134.07555","37201","21","香川県","高松市","高松市塩江町内場池横公衆便所","タカマツシシオノエチョウナイバイケヨココウシュウベンジョ","","香川県高松市塩江町安原上530番地先","","内場ダム北","2","2","","","","","","2","1","1","","無","無","無","00:00","24:00","なし","","",""
"22","34.3913081","134.1528927","37201","22","香川県","高松市","高松市庵治町鎌野公衆便所","タカマツシアジチョウカマノコウシュウベンジョ","","香川県高松市庵治町4510番地23","","鎌野海水浴場となり","1","","1","","1","1","","","","","","無","無","無","00:00","24:00","なし","","",""
"23","34.39786","134.14143","37201","23","香川県","高松市","高松市庵治町竹居公衆便所","タカマツシアジチョウタケイコウシュウベンジョ","","香川県高松市庵治町5331番地6","","竹居観音寺駐車場となり","1","","1","","1","1","","","","","","無","無","無","00:00","24:00","なし","","",""
"24","34.33784694","134.06227139","37201","24","香川県","高松市","松島公園","マツシマコウエン","","高松市松島町二丁目14-46","","","3","2","1","","2","2","","","","","","無","無","無","","","","","",""
"25","34.33333972","134.05611167","37201","25","香川県","高松市","花園公園","ハナゾノコウエン","","高松市花園町二丁目1271-6","","","1","1","","","","","","1","1","","1","有","無","無","","","","","",""
"26","34.33677361","134.04090083","37201","26","香川県","高松市","亀岡公園","カメオカコウエン","","高松市亀岡町7-19","","","3","2","1","","2","2","","","","","","無","無","無","","","","","",""
"27","34.34495889","134.04059389","37201","27","香川県","高松市","番町二丁目公園","バンチョウニチョウメコウエン","","高松市番町二丁目13-12","","","4","3","1","","2","2","","","","","","無","無","無","","","","","",""
"28","34.34320167","134.05398972","37201","28","香川県","高松市","御坊町小公園","ゴボウマチショウコウエン","","高松市御坊町5-9","","","2","1","1","","1","1","","","","","","無","無","無","","","","","",""
"29","34.33945139","134.05519083","37201","29","香川県","高松市","塩上小公園","シオガミショウコウエン","","高松市塩上町二丁目7-5","","","3","2","1","","1","1","","","","","","無","無","無","","","","","",""
"30","34.33675472","134.05686194","37201","30","香川県","高松市","花園第一公園","ハナゾノダイイチコウエン","","高松市多賀町一丁目1-7","","","2","1","1","","1","1","","","","","","無","無","無","","","","","",""
"31","34.33678528","134.05579","37201","31","香川県","高松市","花園第二公園","ハンゾノダイニコウエン","","高松市塩上町二丁目19","","","","","","","","","","1","1","","","無","無","無","","","","","",""
"32","34.33255861","134.04919778","37201","32","香川県","高松市","藤塚小公園","フジツカショウコウエン","","高松市藤塚町二丁目12-43","","","1","1","","","","","","1","1","","","無","無","無","","","","","",""
"33","34.33357722","134.04398556","37201","33","香川県","高松市","中野町公園","ナカノチョウコウエン","","高松市中野町26-1","","","2","1","1","","1","1","","","","","","無","無","無","","","","","",""
"34","34.34024","134.03977444","37201","34","香川県","高松市","番町四丁目公園","バンチョウヨンチョウメコウエン","","高松市番町四丁目12-19","","","2","1","1","","1","1","","","","","1","有","無","無","","","","","",""
"35","34.34334306","134.06924889","37201","35","香川県","高松市","沖松島北公園","オキマツシマキタコウエン","","高松市福岡町三丁目28-3","","","2","1","1","","1","1","","","","","","無","無","無","","","","","",""
"36","34.34360139","134.07199389","37201","36","香川県","高松市","沖松島中公園","オキマツシマナカコウエン","","高松市福岡町三丁目19-13","","","2","1","1","","1","1","","","","","","無","無","無","","","","","",""
"37","34.34040444","134.06829694","37201","37","香川県","高松市","沖松島南公園","オキマツシマミナミコウエン","","高松市福岡町四丁目27-3","","","2","1","1","","1","1","","","","","","無","無","無","","","","","",""
"38","34.33824083","134.06681389","37201","38","香川県","高松市","松島北公園","マツシマキタコウエン","","高松市松島町二丁目9-1","","","2","1","1","","1","1","","","","","","無","無","無","","","","","",""
"39","34.33671611","134.06480306","37201","39","香川県","高松市","松島南公園","マツシマミナミコウエン","","高松市多賀町三丁目7-1","","","2","1","1","","1","1","","","","","","無","無","無","","","","","",""
"40","34.34227472","134.02650722","37201","40","香川県","高松市","西方寺公園","サイホウジコウエン","","高松市西宝町三丁目506-15","","","2","1","1","","1","1","","","","","","無","無","無","","","","","",""
"41","34.34087417","134.07225778","37201","41","香川県","高松市","沖松島西公園","オキマツシマニシコウエン","","高松市福岡町四丁目33-2","","","3","2","1","","2","2","","","","","","無","無","無","","","","","",""
"42","34.3475075","134.03733306","37201","42","香川県","高松市","扇町公園","オウギマチコウエン","","高松市扇町一丁目104","","","2","1","1","","1","1","","","","","","無","無","無","","","","","",""
"43","34.33856889","134.07189306","37201","43","香川県","高松市","洲端公園","スベリコウエン","","高松市松島町三丁目2287-1","","","2","1","1","","1","1","","","","","","無","無","無","","","","","",""
"44","34.33794611","134.01139139","37201","44","香川県","高松市","明見公園","ミョウケンコウエン","","高松市鶴市町2040","","","2","1","1","","1","1","","","","","1","有","無","無","","","","","",""
"45","34.34268917","134.01613222","37201","45","香川県","高松市","郷東第一公園","ゴウトウダイイチコウエン","","高松市郷東町13","","","2","1","1","","1","1","","","","","1","有","無","無","","","","","",""
"46","34.34240778","134.01213444","37201","46","香川県","高松市","郷東第二公園","ゴウトウダイニコウエン","","高松市郷東町24","","","2","1","1","","1","1","","","","","1","有","無","無","","","","","",""
"47","34.3400975","134.01353389","37201","47","香川県","高松市","中津公園","ナカツコウエン","","高松市鶴市町2014","","","2","1","1","","1","1","","","","","1","有","無","無","","","","","",""
"48","34.33609722","134.03912083","37201","48","香川県","高松市","姥ヶ池公園","バアガイケコウエン","","高松市亀岡町871-1","","","","","","","","","","1","1","","","無","無","無","","","","","",""
"49","34.32228778","134.04512306","37201","49","香川県","高松市","上之町北公園","カミノチョウキタコウエン","","高松市上之町一丁目3-27","","","1","1","","","","","","1","1","","","無","無","無","","","","","",""
"50","34.32107278","134.04272222","37201","50","香川県","高松市","ハゼ東公園","ハゼヒガシコウエン","","高松市東ハゼ町4-7","","","1","1","","","","","","1","1","","","無","無","無","","","","","",""
"51","34.31972944","134.0454825","37201","51","香川県","高松市","上之町南公園","カミノチョウミナミコウエン","","高松市上之町一丁目14-8","","","1","1","","","","","","1","1","","","無","無","無","","","","","",""
"52","34.31887861","134.03930972","37201","52","香川県","高松市","ハゼ西公園","ハゼニシコウエン","","高松市東ハゼ町18-6","","","1","1","","","","","","1","1","","","無","無","無","","","","","",""
"53","34.32729417","134.06018083","37201","53","香川県","高松市","上福岡宮西公園","カミフクオカミヤニシコウエン","","高松市上福岡町2049-1","","","2","1","1","","1","1","","","","","","無","無","無","","","","","",""
"54","34.32417306","134.06537278","37201","54","香川県","高松市","松縄北公園","マツナワキタコウエン","","高松市松縄町25-6","","","1","1","","","","","","1","1","","","無","無","無","","","","","",""
"55","34.32147833","134.06496583","37201","55","香川県","高松市","松縄東公園","マツナワヒガシコウエン","","高松市松縄町40-8","","","1","1","","","","","","1","1","","1","有","無","無","","","","","",""
"56","34.32236028","134.06104056","37201","56","香川県","高松市","松縄西公園","マツナワニシコウエン","","高松市松縄町47-1","","","1","1","","","","","","1","1","","","無","無","無","","","","","",""
"57","34.32274778","134.05749972","37201","57","香川県","高松市","今里西脇公園","イマザトニシワキコウエン","","高松市今里町8-22","","","1","1","","","","","","1","1","","","無","無","無","","","","","",""
"58","34.33019639","134.06192","37201","58","香川県","高松市","上福岡弁財天公園","カミフクオカベンザイテンコウエン","","高松市上福岡町2006","","","2","1","1","","1","1","","","","","","無","無","無","","","","","",""
"59","34.32700972","134.0624125","37201","59","香川県","高松市","上福岡宮東公園","カミフクオカミヤヒガシコウエン","","高松市上福岡町2058-1","","","1","1","","","","","","1","1","","1","有","無","無","","","","","",""
"60","34.32386194","134.061015","37201","60","香川県","高松市","今里東脇公園","イマザトヒガシワキコウエン","","高松市今里町二丁目26-11","","","1","1","","","","","","1","1","","","無","無","無","","","","","",""
"61","34.34861647765662","134.08830082343889","37201","61","香川県","高松市","亥浜第二公園","イノハマダイニコウエン","","高松市屋島西町2488","","","1","1","","","","","","1","","","1","有","無","無","","","","","",""
"62","34.3356975","134.07202722","37201","62","香川県","高松市","洲端第二公園","スベリダイニコウエン","","高松市木太町2325-2","","","1","1","","","","","","1","1","","","無","無","無","","","","","",""
"63","34.34216694","134.11622083","37201","63","香川県","高松市","相引東公園","アイビキヒガシコウエン","","高松市高松町2288-41","","","1","1","","","","","","1","1","","","無","無","無","","","","","",""
"64","34.31331611","134.04297611","37201","64","香川県","高松市","高田公園","タカダコウエン","","高松市上天神町405-2","","","2","1","1","","1","1","","","","","1","有","無","無","","","","","",""
"65","34.34582611","134.05873444","37201","65","香川県","高松市","杣場川公園","センバガワコウエン","","高松市城東町一丁目5-15","","","3","2","1","","3","3","","","","","","無","無","無","","","","","",""
"66","34.33748333","134.06983056","37201","66","香川県","高松市","松島東公園","マツシマヒガシコウエン","","高松市松島町三丁目58-1","","","3","2","1","","2","2","","","","","","無","無","無","","","","","",""
"67","34.33558528","134.07842556","37201","67","香川県","高松市","木太北部公園","キタホクブコウエン","","高松市木太町2541-1","","","2","1","1","","2","2","","","","","","無","無","無","","","","","",""
"68","34.34054389","134.07118972","37201","68","香川県","高松市","沖松島新公園","オキマツシマシンコウエン","","高松市福岡町四丁目32-3","","","3","2","1","","2","2","","","","","","無","無","無","","","","","",""
"69","34.31552472","134.056205","37201","69","香川県","高松市","伏石中公園","フセイシナカコウエン","","高松市伏石町2043","","","2","1","1","","1","1","","","","","","無","無","無","","","","","",""
"70","34.31084639","134.06178806","37201","70","香川県","高松市","伏石東公園","フセイシヒガシコウエン","","高松市松縄町1141","","","2","1","1","","1","1","","","","","1","有","無","無","","","","","",""
"71","34.30689444","134.06865111","37201","71","香川県","高松市","さこ公園","サココウエン","","高松市林町2524","","","2","1","1","","1","1","","","","","","無","無","無","","","","","",""
"72","34.30624083","134.05828722","37201","72","香川県","高松市","多肥北公園","タヒキタコウエン","","高松市多肥下町1502","","","2","1","1","","1","1","","","","","","無","無","無","","","","","",""
"73","34.30004778","134.05699222","37201","73","香川県","高松市","多肥南公園","タヒミナミコウエン","","高松市多肥下町1566","","","2","1","1","","1","1","","","","","1","有","無","無","","","","","",""
"74","34.30342861","134.06018611","37201","74","香川県","高松市","多肥東公園","タヒヒガシコウエン","","高松市多肥下町1534","","","2","1","1","","1","1","","","","","","無","無","無","","","","","",""
"75","34.30538833","134.06262389","37201","75","香川県","高松市","三軒屋公園","サンゲンヤコウエン","","高松市伏石町2156","","","2","1","1","","1","1","","","","","","無","無","無","","","","","",""
"76","34.30485056","134.06628417","37201","76","香川県","高松市","さこ西公園","サコニシコウエン","","高松市林町2550","","","2","1","1","","1","1","","","","","","無","無","無","","","","","",""
"77","34.30379222","134.06898611","37201","77","香川県","高松市","天皇公園","テンノウコウエン","","高松市林町2555","","","2","1","1","","1","1","","","","","1","有","無","無","","","","","",""
"78","34.34025111","134.07598139","37201","78","香川県","高松市","木太新開公園","キタシンカイコウエン","","高松市木太町2415-5","","","3","2","1","","2","2","","","","","1","有","無","無","","","","","",""
"79","34.31925389","134.05668667","37201","79","香川県","高松市","伏石北公園","フセイシキタコウエン","","高松市伏石町2023","","","2","1","1","","1","1","","","","","1","有","無","無","","","","","",""
"80","34.31850667","134.06490833","37201","80","香川県","高松市","松縄天満公園","マツナワテンマンコウエン","","高松市松縄町1072","","","2","1","1","","1","1","","","","","1","有","無","無","","","","","",""
"81","34.31770444","134.06855778","37201","81","香川県","高松市","下西原公園","シモニシハラコウエン","","高松市木太町5012","","","2","1","1","","1","1","","","","","","無","無","無","","","","","",""
"82","34.31620139","134.0602775","37201","82","香川県","高松市","松縄下所公園","マツナワゲショコウエン","","高松市松縄町1120-1","","","2","1","1","","1","1","","","","","","無","無","無","","","","","",""
"83","34.31393222","134.068495","37201","83","香川県","高松市","木太宮前公園","キタミヤマエコウエン","","高松市木太町5043","","","2","1","1","","1","1","","","","","1","有","無","無","","","","","",""
"84","34.31123444","134.05769861","37201","84","香川県","高松市","伏石立石公園","フセイシタテイシコウエン","","高松市伏石町2098","","","2","1","1","","1","1","","","","","1","有","無","無","","","","","",""
"85","34.30964278","134.05466917","37201","85","香川県","高松市","伏石南公園","フセイシミナミコウエン","","高松市伏石町2127","","","2","1","1","","1","1","","","","","","無","無","無","","","","","",""
"86","34.31078583","134.06613111","37201","86","香川県","高松市","平塚公園","ヒラツカコウエン","","高松市木太町5106","","","2","1","1","","1","1","","","","","1","有","無","無","","","","","",""
"87","34.30002222","134.0525","37201","87","香川県","高松市","多肥西公園","タヒニシコウエン","","高松市多肥下町1574","","","2","1","1","","1","1","","","","","1","有","無","無","","","","","",""
"88","34.34516583","134.13526472","37201","88","香川県","高松市","岡の山公園","オカノヤマコウエン","","高松市牟礼町牟礼1300-2","","","1","1","","","","","","1","1","","","無","無","無","","","","","",""
"89","34.34047667","134.14135611","37201","89","香川県","高松市","野上公園","ノガミコウエン","","高松市牟礼町牟礼89-1","","","1","1","","","","","","1","1","","","無","無","無","","","","","",""
"90","34.30059278","133.9587775","37201","90","香川県","高松市","新居児童公園","ニイジドウコウエン","","高松市国分寺町新居1480-2","","","","","","","","","","1","1","","","無","無","無","","","","","",""
"91","34.269584","134.071233","37201","91","香川県","高松市","みたに三郎池公園","ミタニサブロウイケコウエン","","高松市三谷町2665-1","","","1","1","","","","","","1","1","","1","有","無","無","","","","","",""
"92","34.33842639","134.06473528","37201","92","香川県","高松市","松島中公園","マツシマナカコウエン","","高松市松島町二丁目12-24","","","2","1","1","","1","1","","","","","","無","無","無","","","","","",""
"93","34.29374389","134.09496139","37201","93","香川県","高松市","下田井公園","シモタイコウエン","","高松市下田井町215-4","","","1","1","","","","","","1","1","","","無","無","無","","","","","",""
"94","34.33837778","134.10822806","37201","94","香川県","高松市","鞍掛公園","クラカケコウエン","","高松市高松町3013-3","","","","","","","","","","1","1","","","無","無","無","","","","","",""
"95","34.34088278","134.1119325","37201","95","香川県","高松市","赤牛公園","アカウシコウエン","","高松市高松町3004-1","","","2","1","1","","1","1","","","","","1","有","無","無","","","","","",""
