#property,latitude,longitude,prefCode,identification,pref,city,name,fullNameInKana,fullNameInRomaji,address,katagaki,installer,telephoneNumber,extensionNumber,ssid,area,referenceObject,note
1,34.352575,134.0470042,37201,,香川県,高松市,サンポート高松,,,香川県高松市サンポート2番1号,,,,,KAGAWA-WiFi_Takamatsu,高松シンボルタワー（市民ギャラリー、コミュニケーションプラザ、オープンホワイエ、オリーブタワー、展示場（ホール棟1階）、デックスガレリア）、高松シンボルタワー西側歩行者専用道路、高松駅、高松駅前広場、高松駅前バスターミナル、大型テナント広場、多目的広場,,1回あたりの接続時間：30分（回数制限なし。ただし30分毎に再度認証が必要）
2,34.346049,134.050517,37201,,香川県,高松市,高松中央商店街,,,香川県高松市丸亀町1,,,,,KAGAWA-WiFi_Takamatsu,高松中央商店街の街路（アーケード下）,,1回あたりの接続時間：30分（回数制限なし。ただし30分毎に再度認証が必要）
3,34.219228,134.019297,37201,,香川県,高松市,高松空港,,,香川県高松市香南町岡1312番地7,,,,,KAGAWA-WiFi_Takamatsu,高松空港,,1回あたりの接続時間：30分（回数制限なし。ただし30分毎に再度認証が必要）
4,34.33906556,134.05269,37201,,香川県,高松市,高松琴平電気鉄道瓦町駅,,,香川県高松市常磐町一丁目3-1,,,,,KAGAWA-WiFi_Takamatsu,高松琴平電気鉄道瓦町駅、瓦町駅前バスターミナル,,1回あたりの接続時間：30分（回数制限なし。ただし30分毎に再度認証が必要）
5,34.34276778,134.0465461,37201,,香川県,高松市,高松市役所,,,香川県高松市番町一丁目8-15,,,,,KAGAWA-WiFi_Takamatsu,高松市役所1階市民ホール,,1回あたりの接続時間：30分（回数制限なし。ただし30分毎に再度認証が必要）
6,34.34911337642227,134.05062987786422,37201,,香川県,高松市,玉藻公園披雲閣,,,香川県高松市玉藻町２番１号,,,,,KAGAWA-WiFi,,,
7,34.42222463856056,134.05413144104674,37201,,香川県,高松市,男木交流館,,,香川県高松市男木町１９８６番地,,,,,KAGAWA-WiFi,,,
8,34.38949764744894,134.05238501219824,37201,,香川県,高松市,鬼ヶ島おにの館,,,香川県高松市女木町１５番地２２,,,,,KAGAWA-WiFi,,,
9,34.17037598630636,134.08232722876988,37201,,香川県,高松市,塩江インフォメーションセンター,,,香川県高松市塩江町安原上東３９０－９,,,,,KAGAWA-WiFi,,,
10,34.40944181761771,134.10690956498806,37201,,香川県,高松市,眉山亭,,,香川県高松市庵治町６０３４,,,,,KAGAWA-WiFi,,,
11,34.35903506013678,134.1021938648672,37201,,香川県,高松市,屋島山上時計案内板,,,香川県高松市屋島東町,,,,,KAGAWA-WiFi,,,
12,34.33890524840544,134.05247317144878,37201,,香川県,高松市,市民交流プラザＩＫＯＤＥ瓦町,,,高松市常磐町一丁目３番地１　瓦町ＦＬＡＧ８階,,,,,ＦＬＡＧ８,,,
13,34.339009103963704,134.05260523097607,37201,,香川県,高松市,高松市市民活動センター,,,高松市常磐町１－３－１瓦町FLAG８階,,,,,"CitizensActivityCenter-wifi
CitizensActivityCenter-5g-wifi",,,
14,34.34010828247676,134.059578728768,37201,,香川県,高松市,高松市男女共同参画センター,,,高松市松島町１丁目１５番１号,,,,,children,,,
15,34.34399884578942,134.03444384718125,37201,,香川県,高松市,高松市中央図書館,,,高松市昭和町一丁目2番20号,,,,,KAGAWＡ‐WiFi,,,
16,34.341590234726596,134.14288972324724,37201,,香川県,高松市,牟礼図書館,,,高松市牟礼町牟礼130-2,,,,,KAGAWＡ‐WiFi,,,
17,34.29730729598981,133.96031319993725,37201,,香川県,高松市,国分寺図書館,,,高松市国分寺町新居1298,,,,,KAGAWＡ‐WiFi,,,
18,34.24116753360195,134.03449471806132,37201,,香川県,高松市,香川図書館,,,高松市香川町川東1865-13,,,,,KAGAWＡ‐WiFi,,,
19,34.33898106950789,134.052609788906,37201,,香川県,高松市,瓦町健康ステーション,,,高松市常磐町一丁目３番地１　瓦町FLAG８F,,,,,"HealthStation-wifi
HealthStation-5g-wifi",,,
20,34.344073446044625,134.04912532877648,37201,,香川県,高松市,高松市美術館,,,高松市紺屋町10-4,,,,,KAGAWA-WiFi,,,
21,34.344073446044625,134.04912532877648,37201,,香川県,高松市,高松市美術館,,,高松市紺屋町10-4,,,,,DoSPOT-FREE,,,
22,34.33898106950789,134.052609788906,37201,,香川県,高松市,高松市瓦町アートステーション,,,高松市常磐町一丁目3番地1（瓦町FLAG8F）,,,,,"ArtStation-wifi
ArtStation-5g-wifi",,,
23,34.35287259120762,134.04711030365587,37201,,香川県,高松市,サンポートホール高松,,,高松市サンポート２－１,,,,,ＨＡＬＬ Ｗｉ‐Ｆｉ,,,
24,34.344011579787164,134.03443647109574,37201,,香川県,高松市,高松市歴史資料館,,,高松市昭和町一丁目２番２０号,,,,,KAGAWA-WiFi,,,
25,34.344011579787164,134.03443647109574,37201,,香川県,高松市,菊池寛記念館,,,高松市昭和町一丁目２番２０号,,,,,KAGAWA-WiFi,,,
