"#property","名称","名称_カナ","住所","緯度","経度","管理者","電話番号","開始時間","終了時間","特記事項","URL",,"←データの項目名を入力"
"1","常設土のう作成場所（香東川浄化センター）","ジョウセツドノウサクセイバショ（コウトウガワジョウカセンター）","高松市香西本町７６２−２","34.355943","134.002658","高松市河港課","087-839-2522","8:00","19:00","土のう袋とスコップを持参の上、御自身で作製してお持ち帰りください。","https://www.city.takamatsu.kagawa.jp/kurashi/kurashi/shobo/sonae/kakou_donou_sunanomi.html",,"←2行目以降にデータを入力"
"2","常設土のう作成場所（東部下水処理場）","ジョウセツドノウサクセイバショ（トウブゲスイショリジョウ）","高松市屋島西町２３６６−６","34.348304","134.083693","高松市河港課","087-839-2522","8:00","19:00","土のう袋とスコップを持参の上、御自身で作製してお持ち帰りください。","https://www.city.takamatsu.kagawa.jp/kurashi/kurashi/shobo/sonae/kakou_donou_sunanomi.html",,
"3","常設土のう作成場所（国分寺総合センター北駐車場）","ジョウセツドノウサクセイバショ（コクブンジソウゴウセンターキタチュウシャジョウ）","高松市国分寺町新居１２９８","34.297550","133.959888","高松市河港課","087-839-2522","8:00","19:00","土のう袋とスコップを持参の上、御自身で作製してお持ち帰りください。","https://www.city.takamatsu.kagawa.jp/kurashi/kurashi/shobo/sonae/kakou_donou_sunanomi.html",,
"4","常設土のう作成場所（庵治支所西駐車場）","ジョウセツドノウサクセイバショ（アジシショニシチュウシャジョウ）","高松市庵治町６３９８−５","34.384680","134.126029","高松市河港課","087-839-2522","8:00","19:00","土のう袋とスコップを持参の上、御自身で作製してお持ち帰りください。","https://www.city.takamatsu.kagawa.jp/kurashi/kurashi/shobo/sonae/kakou_donou_sunanomi.html",,
"5","常設土のう作成場所（仏生山総合センター北側）","ジョウセツドノウサクセイバショ（ブッショウザンソウゴウセンターキタガワ）","高松市仏生山町甲２１５−１","34.284914","134.040313","高松市河港課","087-839-2522","8:00","19:00","土のう袋とスコップを持参の上、御自身で作製してお持ち帰りください。","https://www.city.takamatsu.kagawa.jp/kurashi/kurashi/shobo/sonae/kakou_donou_sunanomi.html",,
"6","常設土のう作成場所（香南支所）","ジョウセツドノウサクセイバショ（コウナンシショ）","高松市香南町由佐１１７２","34.240238","134.013451","高松市河港課","087-839-2522","8:00","19:00","土のう袋とスコップを持参の上、御自身で作製してお持ち帰りください。","https://www.city.takamatsu.kagawa.jp/kurashi/kurashi/shobo/sonae/kakou_donou_sunanomi.html",,
"7","常設土のう作成場所（塩江支所）","ジョウセツドノウサクセイバショ（シオノエシショ）","高松市塩江町安原下第２号１６４５","34.196058","134.041640","高松市河港課","087-839-2522","8:00","19:00","土のう袋とスコップを持参の上、御自身で作製してお持ち帰りください。","https://www.city.takamatsu.kagawa.jp/kurashi/kurashi/shobo/sonae/kakou_donou_sunanomi.html",,
"8","常設土のう作成場所（牟礼総合体育館）","ジョウセツドノウサクセイバショ（ムレソウゴウタイイクカン）","高松市牟礼町牟礼１５２−１０","34.342940","134.142938","高松市河港課","087-839-2522","8:00","19:00","土のう袋とスコップを持参の上、御自身で作製してお持ち帰りください。","https://www.city.takamatsu.kagawa.jp/kurashi/kurashi/shobo/sonae/kakou_donou_sunanomi.html",,
"9","常設土のう作成場所（山田総合センター北側）","ジョウセツドノウサクセイバショ（ヤマダソウゴウセンターキタガワ）","高松市川島本町２３１−１","34.277193","134.085839","高松市河港課","087-839-2522","8:00","19:00","土のう袋とスコップを持参の上、御自身で作製してお持ち帰りください。","https://www.city.takamatsu.kagawa.jp/kurashi/kurashi/shobo/sonae/kakou_donou_sunanomi.html",,
"10",,,,,,,,,,,,,
