"#property","applicableDate","affiliationCode","bureau","department","division","office","unit","affiliationName","telephoneNumber","mechanismCd","mechanismName"
"1","2020-04-01","0000000000","高松市",,,,,"高松市",,"01","市長"
"2","2020-04-01","0000000005","高松市",,,,"市長","高松市市長",,"01","市長"
"3","2020-04-01","0000000010","高松市",,,,"副市長","高松市副市長",,"02","副市長"
"4","2020-04-01","0000000020","高松市",,,,"病院事業管理者","高松市病院事業管理者",,"01","市長"
"5","2020-04-01","0000000040","高松市",,,,"教育長","高松市教育長",,"01","市長"
"6","2020-04-01","0000000050","高松市",,,,"代表監査委員","高松市代表監査委員",,"01","市長"
"7","2020-04-01","1000000000","市民政策局",,,,,"市民政策局",,"05","局"
"8","2020-04-01","1010100000","市民政策局",,"政策課",,,"市民政策局政策課","087-839-2135","08","課"
"9","2020-04-01","1010103000","市民政策局",,"政策課","ユニバーサルデザイン推進室",,"市民政策局政策課ユニバーサルデザイン推進室","087-839-2141","09","室・出先"
"10","2020-04-01","1010104000","市民政策局",,"政策課","移住・定住促進室",,"市民政策局政策課移住・定住促進室","087-839-2143","09","室・出先"
"11","2020-04-01","1010200000","市民政策局",,"男女共同参画・協働推進課",,,"市民政策局男女共同参画・協働推進課","087-839-2275","08","課"
"12","2020-04-01","1015000000","市民政策局","地域政策部",,,,"市民政策局地域政策部",,"06","部"
"13","2020-04-01","1015100000","市民政策局","地域政策部","コミュニティ推進課",,,"市民政策局地域政策部コミュニティ推進課","087-839-2277","08","課"
"14","2020-04-01","1015200000","市民政策局","地域政策部","地域振興課",,,"市民政策局地域政策部地域振興課","087-839-2278","08","課"
"15","2020-04-01","1015203000","市民政策局","地域政策部","地域振興課","山田支所",,"市民政策局地域政策部地域振興課山田支所","087-848-0165","09","室・出先"
"16","2020-04-01","1015203700","市民政策局","地域政策部","地域振興課","鶴尾出張所",,"市民政策局地域政策部地域振興課鶴尾出張所","087-866-1793","09","室・出先"
"17","2020-04-01","1015203800","市民政策局","地域政策部","地域振興課","太田出張所",,"市民政策局地域政策部地域振興課太田出張所","087-866-1796","09","室・出先"
"18","2020-04-01","1015203900","市民政策局","地域政策部","地域振興課","木太出張所",,"市民政策局地域政策部地域振興課木太出張所","087-834-5485","09","室・出先"
"19","2020-04-01","1015204200","市民政策局","地域政策部","地域振興課","前田出張所",,"市民政策局地域政策部地域振興課前田出張所","087-847-5897","09","室・出先"
"20","2020-04-01","1015204300","市民政策局","地域政策部","地域振興課","川添出張所",,"市民政策局地域政策部地域振興課川添出張所","087-847-5893","09","室・出先"
"21","2020-04-01","1015204400","市民政策局","地域政策部","地域振興課","林出張所",,"市民政策局地域政策部地域振興課林出張所","087-866-2095","09","室・出先"
"22","2020-04-01","1015204500","市民政策局","地域政策部","地域振興課","三谷出張所",,"市民政策局地域政策部地域振興課三谷出張所","087-889-4914","09","室・出先"
"23","2020-04-01","1015204600","市民政策局","地域政策部","地域振興課","仏生山出張所",,"市民政策局地域政策部地域振興課仏生山出張所","087-889-4907","09","室・出先"
"24","2020-04-01","1015204800","市民政策局","地域政策部","地域振興課","一宮出張所",,"市民政策局地域政策部地域振興課一宮出張所","087-886-0811","09","室・出先"
"25","2020-04-01","1015204900","市民政策局","地域政策部","地域振興課","多肥出張所",,"市民政策局地域政策部地域振興課多肥出張所","087-889-4913","09","室・出先"
"26","2020-04-01","1015205600","市民政策局","地域政策部","地域振興課","女木出張所",,"市民政策局地域政策部地域振興課女木出張所","087-873-0101","09","室・出先"
"27","2020-04-01","1015205700","市民政策局","地域政策部","地域振興課","男木出張所",,"市民政策局地域政策部地域振興課男木出張所","087-873-0001","09","室・出先"
"28","2020-04-01","1015300000","市民政策局","地域政策部","牟礼総合センター",,,"市民政策局地域政策部牟礼総合センター","087-845-2111","08","課"
