"#property","latitude","longitude","name","address","telephoneNumber","referenceObject","note","availableDate","startTime","endTime","availableDateNote","basicPrice","detailPrice","description","access","parkingInformation"
"1","34.35056333","134.04680583","香川・高松ツーリストインフォメーション","高松市浜ノ町1-20JR高松駅1階コンコース","087-826-0170","http://www.my-kagawa.jp/point/2486/",,"月火水木金土日","09:00","20:00",,"無料",,"高松市及び香川県内の観光パンフレットを取り揃えた観光案内所。常時、英語、中国語、韓国語に対応。","JR高松駅1階コンコース","無"
"2","34.38945694","134.05230528","高松市鬼ヶ島おにの館","高松市女木町15-22","087-873-0728","http://oninoyakata.stringly.com/",,"月火水木金土日","08:00","17:20","8/1から8/20までの期間は8：00から18：10まで","無料",,"おに伝説に関する資料の展示室、食堂を併設。船の待合室としての利用も可能。自転車の貸し出しも行っている。","高松港から女木港へフェリーで約20分。女木港降りて徒歩1分","駐車スペース6台"
"3","34.16953167","134.08213194","塩江湯愛の郷センター（行基の湯）","高松市塩江町安原上東37-1","087-893-1126","http://shionoe.jp/",,"月水木金土日","09:00","21:00","定休日：火曜日（祝日の場合は翌日）","大人　520円、小人（6歳～11歳）260円、高齢者（60歳以上）400円",,"道の駅しおのえに隣接した温泉施設。山間の静かな環境と和風情緒漂う温泉で癒しの時間をあじわえる。","JR高松駅からバスで約７５分。","普通車100台、バス10台"
"4","34.17037417","134.08198167","塩江湯愛の郷センター（道の駅しおのえ）","高松市塩江町安原上東390-4","087-893-1378","http://shionoe.jp/",,"月水木金土日","08:00","19:00","定休日：火曜日（祝日の場合は翌日）、12月31日～1月2日、営業時間：１１月～２月は午前８時～午後６時","無料",,"国道１９３号の香東川上流の川沿いに位置し、塩江温泉郷の目印になっている。「観光物産センターしおのえ」が隣接していて、塩江の特産品が購入できる。","JR高松駅からバスで約７５分。","駐車スペース２５台"
"5","34.17030472","134.08225667","塩江インフォメーションセンター","高松市塩江町安原上東390-9","087-893-0148","http://shionoe.jp/",,"月火木金土日","10:00","17:00","定休日：毎週水曜日","無料",,"道の駅「しおのえ」に併設。塩江地域の観光情報・イベント情報を紹介しています。","JR高松駅からバスで約６０分。塩江バス停おりてすぐ。","無（道の駅「しおのえ」を利用）"
"6","34.12451361","134.07401333","奥の湯公園キャンプ場","高松市塩江町上西甲2131-2","087-893-1136","http://shionoe.jp/",,"月火水木金土日",,,"開設期間：4/1～10/31","奥の湯公園キャンプ場　入場料（小学生以上）：200円、テントサイト：1,020円　　等",,"公園の中に川が流れており、キャンプ場がある。炊事場、水道、トイレ、貸ハンゴウ、貸テント、貸毛布などの設備がある。","高松空港から車で約２５分。","駐車スペース３５台"
"7","34.23944611","134.00727306","香南楽湯","高松市香南町横井997-2","087-815-8585","http://www.souyu.co.jp/kounan/",,"月火水木金土日","10:00","23:00","定休日：第３水曜日（祝日の場合は翌日）","大人670円、小人（小学生）310円、高齢者（65歳以上）510円、障がい者（手帳所持者）510円",,"木漏れ日のある「陽の風呂」と御影石・庵治石の「石の風呂」の天然温泉があるユニークな道の駅。館内には、おみやげショップの他に、レストラン、軽食コーナー、コミックコーナー、ボディケアがあり、産直市「香南朝市」も併設。","JR高松駅からバスで約４５分。","駐車スペース１０１台"
"8","34.33351","134.15671167","高松市道の駅源平の里むれ","高松市牟礼町原631-7","087-845-6080","http://www.genpei-mure.com/",,"月火水木金土日","09:00","17:00","定休日：第1、第3火曜日（祝日の場合は翌平日）12/31は9：00から15：00","無料",,"国道11号線にある道の駅。地元の特産品等の物販施設や食事処のほかにお遍路さんのための休憩施設、駐車場、トイレ、情報ステーションも併設。","琴電房前駅より徒歩10分。志度ICから車で10分。","大型13台、普通車47台、身障者用2台"
"9","34.37309444","134.16025722","高松市庵治太鼓の鼻オートキャンプ場","高松市庵治町3220-1","087-871-0025","http://www.shikoku-taikonohana.com/",,"月水木金土日","09:00","16:00","休業日：火曜日（7/20から8/31を除く）毎年12/1から翌年2月末日までの間に予約申込がない場合は休業。","入場料：一般310円、小学生・中学生200円、オートキャンプサイト・日帰り2,080円、宿泊3,130円、バンガロー・日帰り4,180円、宿泊6,280円","駐車場（1台使用）500円、テント2,080円　等","小豆島と大串半島をのぞむ、5つのバンガローと10区画のキャンプサイトを備えたオートキャンプ場。","志度ICより車で30分","駐車スペース50台"
"10","34.38999472","134.128515","純愛の聖地庵治・観光交流館","高松市庵治町5824-4","087-871-1700","http://www.aji-shashinkan.com/",,"月水木金土日","09:00","17:00","休館日：火曜日","無料",,"世界の中心で愛を叫ぶに登場したロケセット「雨平写真館」を復元した施設。写真館内ではカフェを営業。併設の展示棟では物販コーナーだけでなく個展やワークショップ、その他イベントも随時開催。","【車】高松自動車道高松中央ICより国道11号経由、庵治方面へ約25分。【バス】JR高松駅バスターミナルより、琴電バス「庵治線」で40分。「庵治農協前」停留場下車すぐ。","駐車スペース10台"
"11","34.433465","134.06086361","男木島灯台資料館","高松市男木町1062-3","087-839-2416","http://www.city.takamatsu.kagawa.jp/kankou/library/list/12_todai.html",,"日","09:00","16:30","原則、日曜日と祝日のみ開館。7/1～8/31、瀬戸内国際芸術祭開催期間中は毎日会館。荒天時等閉館となる場合あり。","無料",,"全国、瀬戸内海の灯台の位置、海上保安庁の役割、男木島灯台の仕組みなどを紹介したパネルなどを展示。また、男木島の歴史、生活、観光のことなども幅広く紹介している資料館。","高松港から男木港へフェリーで40分。男木港から徒歩40分。","無"
"12","34.35263917","134.04797222","（公財）高松観光コンベンション・ビューロー","高松市サンポート1-1","087-822-7060","http://www.takamatsu.or.jp/",,,,,,,,,,
