#property,name,address,shelter,capacity,district,location
1,ホテルパールガーデン,高松市福岡町二丁目2-1,２階・３階,1750,松島,"34.34657056,134.06495"
2,ホテルマリンパレスさぬき,高松市福岡町二丁目3-4,２階・３階,1150,松島,"34.34667333,134.0657719"
3,イオン高松東店,高松市福岡町三丁目8-5,立体駐車場の３階以上,10000,松島,"34.34510972,134.0717994"
4,福岡会館,高松市福岡町三丁目31-18,２階,150,松島,"34.34324028,134.070955"
5,国土交通省四国地方整備局  香川河川国道事務所,高松市福岡町四丁目26-32,北館２階会議室,100,松島,"34.34065167,134.0674556"
6,総合体育館,高松市福岡町四丁目36-1,２階から４階まで,4500,松島,"34.34182111,134.0742075"
7,松島コミュニティセンター,高松市松福町二丁目15-24,２階,100,松島,"34.34009889,134.0650111"
8,高松商業高等学校,高松市松島町一丁目18-54,体育館　２階,1000,松島,"34.33846583,134.0608339"
9,たまや１１号線店,高松市松島町二丁目5-20,立体駐車場の３階以上,2850,松島,"34.33921861,134.0652722"
10,ラウンドワン・スタジアム高松店,高松市松島町二丁目7-43,駐車場棟　２階以上,3600,松島,"34.33912694,134.0671611"
11,高松第一学園,高松市松島町二丁目14-5,校舎,1000,松島,"34.33857139,134.0629114"
12,建設クリエイトビル,高松市福岡町三丁目11-22,３，４，５階廊下部分および５階第二会議室,220,松島,"34.3451625,134.0688414"
13,玉藻中学校,高松市上福岡町714-1,校舎,300,花園,"34.33427194,134.0664836"
14,あなぶきＰＭアカデミー,高松市多賀町二丁目8-2,３階の一部と４階,350,花園,"34.3372075,134.0590481"
15,花園小学校,高松市花園町二丁目7-7,校舎,250,花園,"34.33356056,134.0576147"
16,第２ダイヤビル,高松市観光通二丁目2-15,９階,350,花園,"34.33639917,134.0535956"
17,花園コミュニティセンター,高松市観光通二丁目8-9,２階,150,花園,"34.33590194,134.0566706"
18,築地コミュニティセンター,高松市築地町14-1,２階,150,築地,"34.34079583,134.0573814"
19,コトデン瓦町ビル,高松市常磐町一丁目3-1,２階デッキ部分とコンコース,5500,築地,"34.33887667,134.0522514"
20,株式会社アムロン本社ビル,高松市築地町2-5,４階ｺﾐｭﾆｹｰｼｮﾝﾙｰﾑ、５階会議室,150,築地,"34.34312333,134.0575728"
21,高松市生涯学習センター（まなびＣＡＮ）,高松市片原町11-1,２階・３階,800,新塩屋町,"34.34533972,134.0535814"
22,ファーストイン高松,高松市鶴屋町2-3,４階・５階の通路スペース,150,新塩屋町,"34.34711472,134.0552675"
23,特別養護老人ホーム玉藻荘,高松市北浜町7-10,３階・６階,100,新塩屋町,"34.35043917,134.055845"
24,ニューグランデみまつ,高松市通町2-3,３階,200,新塩屋町,"34.34518417,134.0551314"
25,総合教育センター,高松市末広町5,２階・３階,100,新塩屋町,"34.34375667,134.0563119"
26,競輪場（選手宿舎，プレスセンター）,高松市福岡町一丁目4-46,２階から５階まで,2150,新塩屋町,"34.34643417,134.0620308"
27,新塩屋町コミュニティセンター,高松市城東町一丁目1-47,２階,100,新塩屋町,"34.34722306,134.0558478"
28,シティホール高松,高松市城東町一丁目4-17,２階から４階まで,1600,新塩屋町,"34.34792833,134.0577783"
29,ビジネスホテル東宝イン高松,高松市城東町一丁目5-18,２階から１０階まで,2400,新塩屋町,"34.34723972,134.0572228"
30,ホテル川六エルステージ,高松市百間町1-2,エルステージ館の３階から１１階の廊下部分・禁煙館の３階から１２階,400,新塩屋町,"34.34536472,134.0510844"
31,レクザムホール（香川県県民ホール）,高松市玉藻町9-10,２階・４階･５階のロビー,850,四番丁,"34.35120306,134.0524647"
32,Ｇ－ＯＮＥ,高松市丸の内12-3,立体駐車場の３階以上,2000,四番丁,"34.34689806,134.0539369"
33,高松丸亀町壱番街駐車場,高松市内町2-1,２階以上,13100,四番丁,"34.34676722,134.051165"
34,高松東急ＲＥＩホテル,高松市兵庫町9-9,３階宴会場,150,四番丁,"34.34613667,134.0478458"
35,丸亀町くるりん駐車場,高松市大工町8-1,２階以上,5081,四番丁,"34.34465,134.05093"
36,美術館,高松市紺屋町10-4,３階,350,四番丁,"34.34417028,134.0492236"
37,高松丸亀町レッツホール，カルチャールーム,高松市丸亀町1-1,高松丸亀町壱番街ビル東館４階,150,四番丁,"34.34583972,134.0505317"
38,丸亀町まるい亀さん,高松市亀井町1-2,２階以上,3200,四番丁,"34.34155667,134.0487486"
39,四番丁小学校跡施設南北棟,高松市番町一丁目5-1,２階以上,100,四番丁,"34.34347028,134.0463461"
40,四番丁コミュニティセンター,高松市番町二丁目3-5,２階,100,四番丁,"34.34372306,134.0444686"
41,高松工芸高等学校,高松市番町二丁目9-30,体育館　２階,1000,四番丁,"34.34442306,134.0421797"
42,高松高等学校,高松市番町三丁目1-1,体育館　２階,1000,四番丁,"34.34201222,134.0438575"
43,二番丁コミュニティセンター,高松市扇町二丁目8-7,２階,100,二番丁,"34.34458667,134.0359136"
44,高松センチュリーホテル,高松市錦町一丁目4-19,本館屋上,200,二番丁,"34.3482975,134.0440961"
45,新番丁小学校,高松市錦町二丁目14-1,校舎,750,二番丁,"34.34594222,134.0405436"
46,JRホテルクレメント高松,高松市浜ノ町1-1,２階共用廊下･３階宴会ロビー,850,二番丁,"34.35111111,134.0469903"
47,四国旅客鉄道株式会社本社ビル,高松市浜ノ町8-33,８階と屋上,500,二番丁,"34.34975583,134.0423183"
48,ロイヤルガーデン高松駅西オーシャンビュー壱番館,高松市浜ノ町265番3,各階%2525252525282～14階）の廊下及び屋上供用部分,282,二番丁,"34.35166,134.03847"
49,ロイヤルガーデン高松駅西オーシャンビュー弐番館,高松市浜ノ町265番8,各階%2525252525282～14階）の廊下及び屋上供用部分,230,二番丁,"34.35160,134.03800"
50,中央図書館（サンクリスタル高松）,高松市昭和町一丁目2-20,３階,500,二番丁,"34.34388944,134.0340167"
51,高松港旅客ターミナルビル,高松市サンポート1-1,２階,150,二番丁,"34.35300278,134.0479178"
52,高松シンボルタワー　サンポートホール高松,高松市サンポート2-1,ロビー,400,二番丁,"34.352575,134.0470042"
53,高松シンボルタワー　かがわプラザ,高松市サンポート2-1,インフォメーションゾーン,250,二番丁,"34.352575,134.0470042"
54,高松シンボルタワー　共用部,高松市サンポート2-1,３階・４階・７階・８階の一部,1500,二番丁,"34.352575,134.0470042"
55,日新小学校跡施設,高松市瀬戸内町18-2,体育館,400,日新,"34.3471725,134.0301975"
56,日新コミュニティセンター,高松市瀬戸内町22-9,２階,200,日新,"34.34767528,134.0326083"
57,亀阜小学校,高松市亀岡町10-1,校舎,250,亀阜,"34.33778472,134.0400219"
58,亀阜コミュニティセンター,高松市宮脇町一丁目6-18,２階,100,亀阜,"34.33931222,134.0354667"
59,香川県教育会館（ミューズホール）,高松市西宝町二丁目6-40,２階・３階・５階・６階の会議室,400,亀阜,"34.34047583,134.0301781"
60,喜代美山荘　花樹海,高松市西宝町三丁目5-10,１階ロビー,400,亀阜,"34.342945,134.0261256"
61,紫雲中学校,高松市紫雲町8-25,校舎,1000,亀阜,"34.34042333,134.0337861"
62,アナザースタイル,高松市西宝町3丁目670番地,1階,119,亀阜,"34.343799,134.02003"
63,木太南コミュニティセンター,高松市木太町1486,２階,50,木太,"34.32491472,134.0698392"
64,木太南小学校,高松市木太町1530-1,校舎,50,木太,"34.32080417,134.0747194"
65,香川県農業協同組合木太支店,高松市木太町1669,２階,300,木太,"34.32491472,134.0698392"
66,高松国際ホテル,高松市木太町2191-1,宴会棟の３階,1050,木太,"34.3336525,134.0709525"
67,環境業務センター,高松市木太町2282-1,４階,450,木太,"34.3389075,134.0721661"
68,マルハン高松店,高松市木太町2425,立体駐車場の２階以上,6350,木太,"34.32491472,134.0698392"
69,木太北部コミュニティセンター,高松市木太町2603,２階,50,木太,"34.32491472,134.0698392"
70,木太北部小学校,高松市木太町2613,校舎,150,木太,"34.32491472,134.0698392"
71,木太小学校,高松市木太町3480,校舎,200,木太,"34.32491472,134.0698392"
72,特別養護老人ホーム法寿苑,高松市木太町3308,３階レクリエーションルーム・３階地域交流ルーム,200,木太,"34.32491472,134.0698392"
73,四国財務局合同宿舎深田住宅,高松市木太町1992,３階・４階・５階の廊下,150,木太,"34.32491472,134.0698392"
74,木太コミュニティセンター,高松市木太町3480-2,2階,150,木太,"34.326186,134.076753"
75,屋島東小学校,高松市屋島東町942-1,体育館,400,屋島,"34.3537625,134.1159869"
76,屋島中学校,高松市屋島中町295,校舎,100,屋島,"34.34742667,134.1031936"
77,屋島小学校,高松市屋島西町1205-1,体育館,650,屋島,"34.347035,134.0996331"
78,株式会社マルナカ　パワーシティ屋島,高松市屋島西町1907-1,立体駐車場の２階・３階,2850,屋島,"34.36114722,134.0943553"
79,西村ジョイ屋島店,高松市屋島西町2105-8,立体駐車場の２階と屋上,8000,屋島,"34.34418222,134.0881619"
80,社会福祉法人楽生会ケアハウス屋島,高松市屋島西町2277-1,５階,450,屋島,"34.35843639,134.0893058"
81,旧高松テルサ,高松市屋島西町2366-1,２階から４階まで,2500,屋島,"34.35032889,134.0848647"
82,屋島西小学校,高松市屋島西町2469,校舎,200,屋島,"34.36114722,134.0943553"
83,屋島西コミュニティセンター,高松市屋島西町2483-2,２階,50,屋島,"34.35227583,134.0891614"
84,屋島東コミュニティセンター,高松市屋島東町928,１階・２階,100,屋島,"34.35927806,134.10301"
85,四国財務局合同宿舎屋島住宅　　　　　　　　　１号棟，２号棟　,高松市屋島西町1403,３階から６階の廊下部分,1100,屋島,"34.36114722,134.0943553"
86,高松大学・高松短期大学,高松市春日町960,本館の２，３，４，５階 ・ 1号館２，３，４階 ・ ２号館の２，３階 ・ 図書館の３階 ・ 学生会館の２階 ・ クラブハウスの２階 ・ 体育館の２階,2750,古高松,"34.329640,134.087006"
87,ＳＴＮｅｔビル,高松市春日町1735-3,２階・７階,150,古高松,"34.33583333,134.0937228"
88,古高松中学校,高松市新田町甲190-1,校舎,250,古高松,"34.33263944,134.1030886"
89,古高松南小学校,高松市新田町甲2605,校舎,150,古高松,"34.32479889,134.1028306"
90,障害者支援施設サン未来,高松市新田町甲2717-1,５階,350,古高松,"34.32871222,134.0992336"
91,古高松小学校,高松市高松町398,校舎,150,古高松,"34.32956806,134.1187678"
92,介護老人保健施設サンライズ屋島,高松市新田町甲2723-2,３，４階オープンスペースおよび屋上,850,古高松,"34.3292175,134.0992836"
93,古高松南コミュニティセンター,高松市春日町782-2,２階,100,古高松,"34.32697333,134.0917119"
94,トヨタカローラ香川株式会社春日店,高松市春日町902-1,店舗２階イベントホール,121,古高松,"34.32746,134.09237"
95,フソウテクノセンター,高松市郷東町792-8,2階 体育館ホール、ギャラリー、トレーニングスペース,113,弦打,"34.34978,134.00953"
96,イオン高松店,高松市香西本町1-1,４階と屋上の駐車場部分,10000,香西,"34.35095472,134.0031525"
97,香西コミュニティセンター,高松市香西本町476-1,２階,100,香西,"34.34682444,133.99622"
98,パーラーグランド香西,高松市香西南町378-1,立体駐車場の２階から屋上まで,3600,香西,"34.34290278,134.0037278"
99,ふれあい福祉センター勝賀,高松市香西南町476-1,２階,100,香西,"34.34211111,134.0007281"
100,勝賀中学校,高松市香西南町565,校舎,100,香西,"34.33905028,133.9978061"
101,香西小学校,高松市香西南町703-1,校舎,150,香西,"34.34546083,133.9979003"
102,特別養護老人ホームシオンの丘ホーム,高松市香西北町260,４階テラス部分と屋上,250,香西,"34.35634,133.9888564"
103,ＤＣＭダイキ香西店,高松市香西東町350-1,屋上駐車場,800,香西,"34.34254472,134.007305"
104,下笠居小学校,高松市生島町345,体育館,550,下笠居,"34.35712528,133.9559758"
105,下笠居コミュニティセンター,高松市生島町353-1,施設内,500,下笠居,"34.35870861,133.9687664"
106,下笠居中学校,高松市生島町372-1,体育館,600,下笠居,"34.35771139,133.9666417"
107,牟礼南小学校,高松市牟礼町大町1115-1,校舎,200,牟礼,"34.33324056,134.1535814"
108,道の駅源平の里むれ,高松市牟礼町原631-7,物産館および真念堂,150,牟礼,"34.33351,134.1567117"
109,庵治中学校,高松市庵治町691-1,校舎,100,庵治,"34.38324278,134.1307706"
110,庵治小学校,高松市庵治町790-1,校舎,100,庵治,"34.3844425,134.1318539"
111,庵治コミュニティセンター,高松市庵治町888-1,２階,850,庵治,"34.3853175,134.1299483"
112,庵治やすらぎ会館,高松市庵治町6392-14,２階,50,庵治,"34.38328139,134.1249322"
113,庵治支所,高松市庵治町6393-5,議会棟,50,庵治,"34.38463139,134.1264239"
114,庵治保健センター（ほっとぴあん）,高松市庵治町978,バルコニー部分,200,庵治,"34.388357,134.129479"
