"#property","latitude","longitude","name","address","telephoneNumber","Establisher","fiscalYearStartDay","startTimeWeekDays","startTimeSaturday","startTimeSundays","capacity","targetAge","serviceContents","Equipment"
"1","34.340613","134.052601","光華保育園","760-0052 高松市瓦町一丁目13-8","087-831-5011","宗教法人　高善寺　代表役員　鎌田　拓子","S47.4.1","7：30～18：30","休","休","105","0～2歳児","月極め","構造：鉄骨造6階建ての2～4階（専用建物）、保育室：360㎡、屋外：764㎡"
"2","34.352443","134.005105","保育サポートひまわり　イオン高松店","761-8012 高松市香西本町1-1","087-842-8205","有限会社　Fine　Style　代表取締役　桒内　優美","H19.4.1","9：00～18：00（8：00～9：00,18：00～23：00）","9：00～18：00（8：00～9：00,18：00～23：00）","9：00～18：00（8：00～9：00,18：00～23：00）","20","3ヶ月～5歳児","月極め、一時預かり","構造：鉄骨造4階建ての１階（業務用建物）、保育室：49.25㎡、屋外：なし"
"3","34.333181","134.050484","２４時間保育クラブキッズ","761-0071 高松市藤塚町二丁目12-１3第2八十川ビル1F","087-837-5272","株式会社　クラブキッズ　代表取締役　中谷　伊都子","H12.10.15","0：00～24：00（24時間）","0：00～24：00（24時間）","0：00～24：00（24時間）","20","3ヶ月～5歳児","月極め、一時預かり、夜間保育、24時間保育","構造：鉄筋コンクリート造5階建ての１階（集合住宅、事務所用建物）、保育室：73.2㎡、屋外：なし"
"4","34.339921","134.052268","夜間保育カナリヤ瓦町園","760-0052 高松市瓦町二丁目6番地3","087-813-2862","松熊　徳海","S47.4.1","16：00～1：00（1：00～2：00）","16：00～1：00（1：00～2：00）","13：00～21：00","19","0～5歳児","月極め、一時預かり、夜間保育","構造：鉄骨造3階建ての１階（集合住宅）、保育室：28.5㎡、屋外：なし"
"5","34.31565","134.083089","リバティー・インターナショナルアカデミー高松校　英語バイリンガル保育園","761-0311 高松市元山町689-2","087-813-5036","株式会社　リバティー・インターナショナルアカデミー　代表取締役　森村　文代","H21.4.1","8：30～18：30（8：00～8：30）","休","休","70","1～5歳児","月極め、一時預かり","構造：鉄筋コンクリート造2階建て（専用建物）、保育室：172.55㎡、屋外：350㎡"
"6","34.299814","134.041817","プリスクール　　イングリッシュ　ワールド","761-8074 高松市太田上町969番地","087-865-6254","有限会社　EW　代表取締役　東原　睦美","H23.4.7","8：30～16：00（16：00～17：00）","休","休","20","2～5歳児","月極め","構造：木造2階建ての１階（業務用建物）、保育室：81.21㎡、屋外：350㎡"
"7","34.333993","134.073675","アローナック","760-0080 高松市木太町2344-1","087-813-2277","株式会社　エヌ．クオリティー　代表取締役　川田　直人","H23.8.1","9：00～25：00","9：00～25：00","9：00～25：00","25","0～5歳児","月極め、一時預かり、夜間保育、24時間保育","構造：鉄筋コンクリート造2階建ての１階（業務用建物）、保育室：61.5㎡、屋外：なし"
"8","34.317816","134.051066","トビウメ小児科医院付属　一時預かり保育室あすなろ","761-8071 高松市伏石町1352-2","087-865-3111, 080-2972-4406","トビウメ小児科医院　飛梅　董","H25.11.1","8：00～17：00（17：00～18：00）","8：00～17：00（17：00～18：00）","休","10","3ヶ月～5歳児","月極め、一時預かり","構造：鉄筋コンクリート造2階建ての2階（専用建物）、保育室：102㎡、屋外：500㎡"
"9","34.342954","134.014555","託児所　かくれんぼ（休止中）","761-8031 高松市郷東町11-13","087-880-8880","福本　誠","H25.3.27","ー","ー","ー","ー","4ヶ月～2歳児","月極め、一時預かり","構造：木造1階建て（集合住宅）、保育室：35.38㎡、屋外：なし"
"10","34.249749","134.009329","Ｐｅｔｉｔ-Ｐｅｔｉｔｅ","761-1404 高松市香南町横井98-13","087-805-5451","宮本　尚枝","H27.8.1","8：00～18：00（18：00～8：00）","8：00～18：00（18：00～8：00）","8：00～18：00（18：00～8：00）","5","5ヶ月～3歳児","月極め、一時預かり、夜間保育、24時間保育","構造：木造2階建ての1階（集合住宅）、保育室：9.9㎡、屋外：なし"
