#LINK,,,,,,
#lang,ja,,,,,
#attribution_name,高松市,,,,,
#license,http://creativecommons.org/licenses/by/3.0/deed.ja,,,,,
#file_name,0006,,,,,
#download_from,https://opendata.smartcity-takamatsu.jp/ckan/dataset/cemetery,,,,,
#property,name,address,telephoneNumber,referenceObject,note,location
#object_type_xsd,string,string,string,string,string,string
#property_context,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion
1,高松市摺鉢谷墓地,高松市宮脇町二丁目37-16,,,,"34.33776639,134.03079639"
2,高松市宮脇町姥ヶ池墓地,高松市宮脇町二丁目996,,,,"34.33186417,134.03471556"
3,高松市姥ヶ池西墓地,高松市宮脇町二丁目998,,,,"34.3315625,134.03373833"
4,高松市姥ヶ池東墓地,高松市宮脇町二丁目10-56,,,,"34.33149194,134.03561667"
5,高松市紫雲墓地,高松市宮脇町二丁目994-25,,,,"34.33382833,134.03325583"
6,高松市峰山墓地,高松市西宝町二丁目844-43,,,,"34.33657194,134.0283425"
7,高松市本門院墓地,高松市西宝町二丁目4-4,,,,"34.33920444,134.02993083"
8,高松市柳三昧北墓地,高松市桜町二丁目17-3,,,,"34.32467833,134.05362"
9,高松市柳三昧墓地,高松市桜町二丁目15-37,,,,"34.32480861,134.05303194"
10,高松市楠川墓地,高松市上福岡町2003-7,,,,"34.3304175,134.05996306"
11,高松市沖松島墓地,高松市福岡町四丁目35-20,,,,"34.34066083,134.07439333"
12,高松市西林寺墓地,高松市牟礼町牟礼917-2,,,,"34.3418,134.12916472"
13,高松市岡ノ山墓地,高松市牟礼町牟礼1307,,,,"34.34517028,134.1356975"
14,高松市田井墓地,高松市牟礼町牟礼1587-9,,,,"34.34401583,134.14260111"
15,高松市松井谷墓地,高松市牟礼町牟礼1701-1,,,,"34.35120639,134.13687389"
16,高松市久通墓地,高松市牟礼町牟礼3442-14,,,,"34.36187389,134.12934306"
17,高松市焼野墓地,高松市牟礼町大町626,,,,"34.34025306,134.14746639"
18,高松市北三昧墓地,高松市牟礼町大町985,,,,"34.33885194,134.15394583"
19,高松市南三昧墓地,高松市牟礼町大町1005,,,,"34.33742056,134.15526861"
20,高松市焼背ヶ原墓地,高松市牟礼町大町2420,,,,"34.33905556,134.14246056"
21,高松市鐙田墓地,高松市牟礼町大町2442-1,,,,"34.33524139,134.14622944"
22,高松市丹僧墓地,高松市牟礼町大町2560,,,,"34.33538972,134.13418056"
23,高松市浜三昧墓地,高松市牟礼町原210-6,,,,"34.32106667,134.16079667"
24,高松市鋸ノ鼻墓地,高松市牟礼町原1515,,,,"34.32632611,134.15213611"
25,高松市北村共同墓地,高松市庵治町1443,,,,"34.38980139,134.13678972"
26,高松市浅野墓地公園,高松市香川町浅野2845,,,,"34.25910528,134.04868639"
27,高松市新居大谷公園墓地,高松市国分寺町新居223-1,,,,"34.30312111,133.97368083"
28,高松市川西公園墓地,高松市国分寺町新居3845-1,,,,"34.31440028,133.95901361"
29,高松市平和公園,高松市三谷町2851-1,087-889-0938,,,"34.26100722,134.07571056"
30,高松市平和公園合葬式墓地,高松市三谷町2851-1,087-889-0938,http://www.city.takamatsu.kagawa.jp/kurashi/kurashi/bochi/about/moushikomi.html,,"34.26025278,134.0761375"
31,高松市六ツ目公園,高松市国分寺町福家39-1,,,,"34.28977556,133.97270611"
