#LINK,,,,,,
#lang,ja,,,,,
#attribution_name,高松市,,,,,
#license,http://creativecommons.org/licenses/by/3.0/deed.ja,,,,,
#file_name,0012,,,,,
#download_from,https://opendata.smartcity-takamatsu.jp/ckan/dataset/kindergarten,,,,,
#property,name,address,telephoneNumber,referenceObject,note,location
#object_type_xsd,string,string,string,string,string,string
#property_context,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion
1,高松市立前田幼稚園,高松市前田東町788-1,087-847-6582,http://www.city.takamatsu.kagawa.jp/kurashi/kosodate/youchien_hoiku/kodomoen/chiiki_suishin/gaiyou.html,市立幼稚園,"34.296244,134.113886"
2,高松市立川添幼稚園,高松市東山崎町601,087-847-6934,http://www.city.takamatsu.kagawa.jp/kurashi/kosodate/youchien_hoiku/kodomoen/chiiki_suishin/gaiyou.html,市立幼稚園,"34.306811,134.094141"
,,,,,,
4,高松市立三渓幼稚園,高松市三谷町2316-2,087-889-2514,http://www.city.takamatsu.kagawa.jp/kurashi/kosodate/youchien_hoiku/kodomoen/chiiki_suishin/gaiyou.html,市立幼稚園,"34.275992,134.070302"
5,高松市立香西幼稚園,高松市香西西町59-1,087-882-0161,http://www.city.takamatsu.kagawa.jp/kurashi/kosodate/youchien_hoiku/kodomoen/chiiki_suishin/gaiyou.html,市立幼稚園,"34.345893,133.996786"
6,高松市立一宮幼稚園,高松市一宮町1233-2,087-886-3088,http://www.city.takamatsu.kagawa.jp/kurashi/kosodate/youchien_hoiku/kodomoen/chiiki_suishin/gaiyou.html,市立幼稚園,"34.291795,134.024177"
7,高松市立多肥幼稚園,高松市多肥上町990-2,087-889-2513,http://www.city.takamatsu.kagawa.jp/kurashi/kosodate/youchien_hoiku/kodomoen/chiiki_suishin/gaiyou.html,市立幼稚園,"34.292403,134.051671"
8,高松市立川岡幼稚園,高松市川部町524-3,087-885-0550,http://www.city.takamatsu.kagawa.jp/kurashi/kosodate/youchien_hoiku/kodomoen/chiiki_suishin/gaiyou.html,市立幼稚園,"34.268131,134.008164"
9,高松市立円座幼稚園,高松市円座町125-2,087-885-0846,http://www.city.takamatsu.kagawa.jp/kurashi/kosodate/youchien_hoiku/kodomoen/chiiki_suishin/gaiyou.html,市立幼稚園,"34.285767,134.003182"
10,高松市立檀紙幼稚園,高松市御厩町776-1,087-885-2595,http://www.city.takamatsu.kagawa.jp/kurashi/kosodate/youchien_hoiku/kodomoen/chiiki_suishin/gaiyou.html,市立幼稚園,"34.300941,133.995119"
11,高松市立弦打幼稚園,高松市鶴市町360,087-881-3563,http://www.city.takamatsu.kagawa.jp/kurashi/kosodate/youchien_hoiku/kodomoen/chiiki_suishin/gaiyou.html,市立幼稚園,"34.32771,134.005074"
12,高松市立鬼無幼稚園,高松市鬼無町佐藤128-1,087-881-4913,http://www.city.takamatsu.kagawa.jp/kurashi/kosodate/youchien_hoiku/kodomoen/chiiki_suishin/gaiyou.html,市立幼稚園,"34.328058,133.992816"
13,高松市立木太幼稚園,高松市木太町3901-1,087-833-8144,http://www.city.takamatsu.kagawa.jp/kurashi/kosodate/youchien_hoiku/kodomoen/chiiki_suishin/gaiyou.html,市立幼稚園,"34.322396,134.076556"
14,高松市立山田幼稚園,高松市川島本町191-10,087-848-1978,http://www.city.takamatsu.kagawa.jp/kurashi/kosodate/youchien_hoiku/kodomoen/chiiki_suishin/gaiyou.html,市立幼稚園,"34.276993,134.085666"
,,,,,,
16,高松市立春日幼稚園,高松市春日町744,087-843-2767,http://www.city.takamatsu.kagawa.jp/kurashi/kosodate/youchien_hoiku/kodomoen/chiiki_suishin/gaiyou.html,市立幼稚園,"34.325778,134.091344"
17,高松市立木太北部幼稚園,高松市木太町2604-5,087-862-1031,http://www.city.takamatsu.kagawa.jp/kurashi/kosodate/youchien_hoiku/kodomoen/chiiki_suishin/gaiyou.html,市立幼稚園,"34.336237,134.07927"
18,高松市立栗山幼稚園,高松市牟礼町牟礼3028,087-845-1646,http://www.city.takamatsu.kagawa.jp/kurashi/kosodate/youchien_hoiku/kodomoen/chiiki_suishin/gaiyou.html,市立幼稚園,"34.35044,134.126751"
19,高松市立田井幼稚園（令和2年4月1日から休園）,高松市牟礼町牟礼1243-2,087-845-3701,http://www.city.takamatsu.kagawa.jp/kurashi/kosodate/youchien_hoiku/kodomoen/chiiki_suishin/gaiyou.html,市立幼稚園,"34.344356,134.137129"
20,高松市立大町幼稚園,高松市牟礼町大町605-1,087-845-5718,http://www.city.takamatsu.kagawa.jp/kurashi/kosodate/youchien_hoiku/kodomoen/chiiki_suishin/gaiyou.html,市立幼稚園,"34.33989,134.148384"
21,高松市立大野幼稚園,高松市香川町大野1331-1,087-886-5010,http://www.city.takamatsu.kagawa.jp/kurashi/kosodate/youchien_hoiku/kodomoen/chiiki_suishin/gaiyou.html,市立幼稚園,"34.267361,134.024324"
22,高松市立浅野幼稚園,高松市香川町浅野3117,087-889-2489,http://www.city.takamatsu.kagawa.jp/kurashi/kosodate/youchien_hoiku/kodomoen/chiiki_suishin/gaiyou.html,市立幼稚園,"34.260769,134.041964"
23,高松市立国分寺北部幼稚園,高松市国分寺町新居1870-2,087-874-1155,http://www.city.takamatsu.kagawa.jp/kurashi/kosodate/youchien_hoiku/kodomoen/chiiki_suishin/gaiyou.html,市立幼稚園,"34.306989,133.963516"
