#LINK,,,,,,,,,,,,,,,,
#lang,ja,,,,,,,,,,,,,,,
#attribution_name,高松市,,,,,,,,,,,,,,,
#license,http://creativecommons.org/licenses/by/3.0/deed.ja,,,,,,,,,,,,,,,
#file_name,0013,,,,,,,,,,,,,,,
#download_from,https://opendata.smartcity-takamatsu.jp/ckan/dataset/nursery_school,,,,,,,,,,,,,,,
#property,name,address,telephoneNumber,referenceObject,note,location,certifiedType,access,parkingInformation,capacity,acceptedAge,availableDate,startTime,endTime,availableDateNote,temporaryKeeping
#object_type_xsd,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string
#property_context,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion
1,高松市立瀬戸内保育所,高松市瀬戸内町23-7,087-861-5701,https://kagawa-colorful.com/hoikusyo/h1/,,"34.347392,134.032587",認定公立保育所,,,120,3か月～,月火水木金土,07:30,19:00,,無
2,高松市立扇町保育所,高松市扇町一丁目24-17,087-821-7629,https://kagawa-colorful.com/hoikusyo/h2/,,"34.345889,134.038672",認定公立保育所,,,150,3か月～,月火水木金土,07:30,19:00,,無
3,高松市立宮脇保育所,高松市宮脇町二丁目10-63,087-835-1636,https://kagawa-colorful.com/hoikusyo/h3/,,"34.332681,134.036106",認定公立保育所,,,60,1歳～,月火水木金土,07:30,19:00,,無
4,高松市立松島保育所,高松市松島町三丁目13-6,087-831-8066,https://kagawa-colorful.com/hoikusyo/h4/,,"34.335033,134.068946",認定公立保育所,,,130,3か月～,月火水木金土,07:30,19:00,,無
5,高松市立福岡保育所,高松市福岡町三丁目31-3,087-851-1206,https://kagawa-colorful.com/hoikusyo/h5/,,"34.343454,134.070941",認定公立保育所,,,70,3か月～,月火水木金土,07:30,18:30,,無
6,高松市立桜町保育所,高松市桜町一丁目3-15,087-834-3628,https://kagawa-colorful.com/hoikusyo/h6/,,"34.331232,134.054318",認定公立保育所,,,190,3か月～,月火水木金土,07:30,19:00,,有
7,高松市立田村保育所,高松市鹿角町937,087-866-0962,https://kagawa-colorful.com/hoikusyo/h7/,,"34.30444,134.028568",認定公立保育所,,,70,3か月～,月火水木金土,07:30,18:30,,無
8,高松市立鶴尾保育所,高松市東ハゼ町19-8,087-865-6342,https://kagawa-colorful.com/hoikusyo/h8/,,"34.318866,134.038194",認定公立保育所,,,50,3か月～,月火水木金土,07:30,18:30,,無
9,高松市立太田保育所,高松市伏石町1062,087-867-5741,https://kagawa-colorful.com/hoikusyo/h9/,,"34.313113,134.051756",認定公立保育所,,,150,3か月～,月火水木金土,07:30,19:00,,無
10,高松市立木太保育所,高松市木太町3502,087-861-2650,https://kagawa-colorful.com/hoikusyo/h10/,,"34.324586,134.077269",認定公立保育所,,,150,3か月～,月火水木金土,07:30,19:00,,無
